Accession,ClosestGenotype,ClosestGenotypePident,ClosestSubtype,ClosestSubtypePident,ReferenceOverlapAA,FullyCover,CoveredRASPositions
AF207764,1,81.772,1b,92.720,150-321,Yes,150;159;206;282;316;320;321
AF207765,1,81.218,1b,93.962,150-321,Yes,150;159;206;282;316;320;321
AF207766,1,81.659,1b,93.852,150-321,Yes,150;159;206;282;316;320;321
AF207767,1,81.839,1b,94.300,150-321,Yes,150;159;206;282;316;320;321
AF207768,1,81.772,1b,91.817,150-321,Yes,150;159;206;282;316;320;321
AF207769,1,81.772,1b,92.950,150-321,Yes,150;159;206;282;316;320;321
AF207770,1,81.500,1b,94.078,150-321,Yes,150;159;206;282;316;320;321
AF207771,1,82.054,1b,92.494,150-321,Yes,150;159;206;282;316;320;321
AF207772,1,82.449,1b,93.965,150-321,Yes,150;159;206;282;316;320;321
AF207773,1,81.275,1b,92.499,150-321,Yes,150;159;206;282;316;320;321
AF207774,1,81.951,1b,95.037,150-321,Yes,150;159;206;282;316;320;321
AF208024,1,81.998,1b,93.341,150-321,Yes,150;159;206;282;316;320;321
AF238481,2,93.228,2a,94.444,150-321,Yes,150;159;206;282;316;320;321
AF238482,2,93.401,2a,94.737,150-321,Yes,150;159;206;282;316;320;321
AF238483,2,93.739,2a,94.269,150-321,Yes,150;159;206;282;316;320;321
AF238484,2,93.510,2a,95.029,150-321,Yes,150;159;206;282;316;320;321
AF238485,2,93.175,2a,93.801,150-321,Yes,150;159;206;282;316;320;321
AJ851228,1,83.023,1d,84.320,150-321,Yes,150;159;206;282;316;320;321
AM408911,5,78.970,5a,78.558,150-321,Yes,150;159;206;282;316;320;321
AM910652,1,82.413,1g,100.000,150-321,Yes,150;159;206;282;316;320;321
AY051292,1,82.694,1c,100.000,150-321,Yes,150;159;206;282;316;320;321
AY651061,1,82.714,1c,95.485,150-321,Yes,150;159;206;282;316;320;321
AY859526,6,83.840,6a,100.000,150-321,Yes,150;159;206;282;316;320;321
AY878650,6,75.647,6xj,92.982,150-321,Yes,150;159;206;282;316;320;321
AY878651,6,75.507,6xj,94.211,150-321,Yes,150;159;206;282;316;320;321
AY878652,6,75.647,6n,99.829,150-321,Yes,150;159;206;282;316;320;321
AY956463,1,94.308,1a,93.880,150-321,Yes,150;159;206;282;316;320;321
AY956464,1,94.452,1a,93.883,150-321,Yes,150;159;206;282;316;320;321
AY956467,3,94.620,3a,93.879,150-321,Yes,150;159;206;282;316;320;321
AY956468,1,93.449,1a,92.873,150-321,Yes,150;159;206;282;316;320;321
AY956469,1,94.097,1a,93.599,150-321,Yes,150;159;206;282;316;320;321
GU451218,1,81.669,1b,92.664,150-321,Yes,150;159;206;282;316;320;321
GU451219,1,81.951,1b,93.115,150-321,Yes,150;159;206;282;316;320;321
GU451220,1,81.321,1b,92.720,150-321,Yes,150;159;206;282;316;320;321
GU451221,1,81.951,1b,93.341,150-321,Yes,150;159;206;282;316;320;321
GU451222,1,81.885,1b,93.172,150-321,Yes,150;159;206;282;316;320;321
GU451223,1,81.557,1b,93.905,150-321,Yes,150;159;206;282;316;320;321
GU451224,1,82.223,1b,93.345,150-321,Yes,150;159;206;282;316;320;321
GU814263,3,96.727,3a,94.645,150-321,Yes,150;159;206;282;316;320;321
GU814265,4,98.591,4a,98.591,150-321,Yes,150;159;206;282;316;320;321
HM566120,4,92.321,4a,92.321,150-321,Yes,150;159;206;282;316;320;321
HM566121,5,92.260,5a,92.086,150-321,Yes,150;159;206;282;316;320;321
HM746802,1,97.226,1a,96.515,150-321,Yes,150;159;206;282;316;320;321
HM746803,1,96.906,1a,96.187,150-321,Yes,150;159;206;282;316;320;321
HM746804,1,92.616,1a,91.983,150-321,Yes,150;159;206;282;316;320;321
HM746809,1,94.214,1a,93.643,150-321,Yes,150;159;206;282;316;320;321
HM746810,1,93.989,1a,93.494,150-321,Yes,150;159;206;282;316;320;321
HM746811,1,94.329,1a,93.772,150-321,Yes,150;159;206;282;316;320;321
HM746812,1,93.961,1a,93.399,150-321,Yes,150;159;206;282;316;320;321
HM746818,1,81.367,1b,91.931,150-321,Yes,150;159;206;282;316;320;321
HM746819,1,82.349,1b,92.546,150-321,Yes,150;159;206;282;316;320;321
HM746820,1,81.341,1b,93.236,150-321,Yes,150;159;206;282;316;320;321
HM746822,1,81.700,1b,93.032,150-321,Yes,150;159;206;282;316;320;321
HM746823,1,80.899,1b,92.767,150-321,Yes,150;159;206;282;316;320;321
HM746824,1,80.750,1b,92.711,150-321,Yes,150;159;206;282;316;320;321
HM746825,1,80.626,1b,92.649,150-321,Yes,150;159;206;282;316;320;321
HM746826,1,80.626,1b,92.644,150-321,Yes,150;159;206;282;316;320;321
HM746827,1,81.505,1b,92.124,150-321,Yes,150;159;206;282;316;320;321
HM746828,1,81.531,1b,92.065,150-321,Yes,150;159;206;282;316;320;321
HM746829,1,81.940,1b,92.762,150-321,Yes,150;159;206;282;316;320;321
HM746830,1,82.191,1b,93.216,150-321,Yes,150;159;206;282;316;320;321
HM746831,1,80.534,1b,92.762,150-321,Yes,150;159;206;282;316;320;321
HM746832,1,80.661,1b,92.897,150-321,Yes,150;159;206;282;316;320;321
HM746833,1,81.562,1b,92.611,150-321,Yes,150;159;206;282;316;320;321
HM746836,1,81.531,1b,93.820,150-321,Yes,150;159;206;282;316;320;321
HM746838,1,81.382,1b,93.583,150-321,Yes,150;159;206;282;316;320;321
HM746839,1,81.312,1b,93.583,150-321,Yes,150;159;206;282;316;320;321
HM746841,1,81.083,1b,92.475,150-321,Yes,150;159;206;282;316;320;321
HQ229373,3,94.822,3a,92.084,150-321,Yes,150;159;206;282;316;320;321
HQ229425,2,92.818,2a,93.370,150-321,Yes,150;159;206;282;316;320;321
HQ450380,6,74.085,6u,92.387,150-321,Yes,150;159;206;282;316;320;321
HQ537007,1,80.047,1e,81.206,150-321,Yes,150;159;206;282;316;320;321
HQ537008,4,83.413,4v,95.247,150-321,Yes,150;159;206;282;316;320;321
HQ537009,4,84.251,4v,100.000,150-321,Yes,150;159;206;282;316;320;321
HQ738645,3,93.514,3a,92.668,150-321,Yes,150;159;206;282;316;320;321
HQ850278,1,95.290,1a,94.543,150-321,Yes,150;159;206;282;316;320;321
HQ850279,1,94.945,1a,94.314,150-321,Yes,150;159;206;282;316;320;321
HQ850280,1,97.702,1a,96.898,150-321,Yes,150;159;206;282;316;320;321
HQ850281,1,94.515,1a,94.284,150-321,Yes,150;159;206;282;316;320;321
HQ850282,1,96.390,1a,95.657,150-321,Yes,150;159;206;282;316;320;321
HQ850284,1,94.921,1a,94.470,150-321,Yes,150;159;206;282;316;320;321
HQ850285,1,97.575,1a,97.236,150-321,Yes,150;159;206;282;316;320;321
HQ850286,1,94.924,1a,94.473,150-321,Yes,150;159;206;282;316;320;321
HQ850287,1,96.332,1a,95.485,150-321,Yes,150;159;206;282;316;320;321
HQ850288,1,96.334,1a,95.713,150-321,Yes,150;159;206;282;316;320;321
HQ850289,1,93.965,1a,93.570,150-321,Yes,150;159;206;282;316;320;321
HQ850290,1,95.993,1a,95.655,150-321,Yes,150;159;206;282;316;320;321
HQ908282,1,80.730,1b,92.044,150-321,Yes,150;159;206;282;316;320;321
HQ908283,1,80.657,1b,92.044,150-321,Yes,150;159;206;282;316;320;321
HQ908284,1,80.803,1b,92.044,150-321,Yes,150;159;206;282;316;320;321
HQ908285,1,80.730,1b,91.898,150-321,Yes,150;159;206;282;316;320;321
HQ908286,1,79.752,1b,91.241,150-321,Yes,150;159;206;282;316;320;321
HQ908287,1,81.679,1b,92.774,150-321,Yes,150;159;206;282;316;320;321
HQ908288,1,81.314,1b,91.679,150-321,Yes,150;159;206;282;316;320;321
HQ908289,1,80.876,1b,92.044,150-321,Yes,150;159;206;282;316;320;321
HQ908290,1,80.730,1b,92.701,150-321,Yes,150;159;206;282;316;320;321
HQ908291,1,80.584,1b,92.409,150-321,Yes,150;159;206;282;316;320;321
HQ908292,1,81.241,1b,92.263,150-321,Yes,150;159;206;282;316;320;321
HQ908293,1,80.803,1b,92.263,150-321,Yes,150;159;206;282;316;320;321
HQ908294,1,80.949,1b,92.190,150-321,Yes,150;159;206;282;316;320;321
HQ908295,1,81.752,1b,91.606,150-321,Yes,150;159;206;282;316;320;321
HQ908296,1,80.365,1b,91.825,150-321,Yes,150;159;206;282;316;320;321
HQ908297,1,81.387,1b,92.409,150-321,Yes,150;159;206;282;316;320;321
HQ908298,1,81.022,1b,92.482,150-321,Yes,150;159;206;282;316;320;321
HQ908299,1,81.095,1b,92.044,150-321,Yes,150;159;206;282;316;320;321
HQ908300,1,81.387,1b,92.482,150-321,Yes,150;159;206;282;316;320;321
HQ908301,1,80.949,1b,92.190,150-321,Yes,150;159;206;282;316;320;321
HQ908302,1,80.511,1b,91.825,150-321,Yes,150;159;206;282;316;320;321
HQ908303,1,81.095,1b,91.898,150-321,Yes,150;159;206;282;316;320;321
HQ908304,1,80.876,1b,92.482,150-321,Yes,150;159;206;282;316;320;321
HQ908305,1,80.730,1b,92.482,150-321,Yes,150;159;206;282;316;320;321
HQ908306,1,80.511,1b,91.606,150-321,Yes,150;159;206;282;316;320;321
HQ908307,1,80.949,1b,92.701,150-321,Yes,150;159;206;282;316;320;321
HQ908308,1,80.657,1b,92.847,150-321,Yes,150;159;206;282;316;320;321
HQ908309,1,81.792,1b,92.701,150-321,Yes,150;159;206;282;316;320;321
HQ908310,1,81.241,1b,92.555,150-321,Yes,150;159;206;282;316;320;321
HQ908311,1,81.168,1b,92.190,150-321,Yes,150;159;206;282;316;320;321
HQ908312,1,80.949,1b,92.482,150-321,Yes,150;159;206;282;316;320;321
HQ908313,1,81.095,1b,92.701,150-321,Yes,150;159;206;282;316;320;321
HQ908314,1,81.168,1b,92.847,150-321,Yes,150;159;206;282;316;320;321
HQ908315,1,80.803,1b,92.482,150-321,Yes,150;159;206;282;316;320;321
HQ908316,1,81.022,1b,91.971,150-321,Yes,150;159;206;282;316;320;321
HQ908317,1,80.876,1b,92.774,150-321,Yes,150;159;206;282;316;320;321
HQ908318,1,80.803,1b,91.752,150-321,Yes,150;159;206;282;316;320;321
HQ908319,1,80.657,1b,91.971,150-321,Yes,150;159;206;282;316;320;321
HQ908320,1,81.387,1b,93.212,150-321,Yes,150;159;206;282;316;320;321
HQ908321,1,81.095,1b,92.628,150-321,Yes,150;159;206;282;316;320;321
HQ908322,1,81.241,1b,92.701,150-321,Yes,150;159;206;282;316;320;321
HQ908323,1,80.073,1b,91.606,150-321,Yes,150;159;206;282;316;320;321
HQ908324,1,81.533,1b,92.628,150-321,Yes,150;159;206;282;316;320;321
HQ908325,1,81.022,1b,92.336,150-321,Yes,150;159;206;282;316;320;321
HQ908326,1,80.803,1b,91.898,150-321,Yes,150;159;206;282;316;320;321
HQ908327,1,81.241,1b,92.774,150-321,Yes,150;159;206;282;316;320;321
HQ908328,1,81.168,1b,93.066,150-321,Yes,150;159;206;282;316;320;321
HQ908329,1,80.657,1b,93.066,150-321,Yes,150;159;206;282;316;320;321
HQ908330,1,81.825,1b,93.650,150-321,Yes,150;159;206;282;316;320;321
HQ908331,1,81.679,1b,93.285,150-321,Yes,150;159;206;282;316;320;321
HQ908332,1,81.533,1b,92.920,150-321,Yes,150;159;206;282;316;320;321
HQ908333,1,82.044,1b,93.285,150-321,Yes,150;159;206;282;316;320;321
HQ908334,1,81.533,1b,93.358,150-321,Yes,150;159;206;282;316;320;321
HQ908335,1,81.898,1b,92.701,150-321,Yes,150;159;206;282;316;320;321
HQ908336,1,80.730,1b,93.212,150-321,Yes,150;159;206;282;316;320;321
HQ908337,1,81.241,1b,92.993,150-321,Yes,150;159;206;282;316;320;321
HQ908338,1,80.803,1b,92.555,150-321,Yes,150;159;206;282;316;320;321
HQ908339,1,81.095,1b,92.263,150-321,Yes,150;159;206;282;316;320;321
HQ908340,1,80.876,1b,93.285,150-321,Yes,150;159;206;282;316;320;321
HQ908341,1,80.657,1b,92.117,150-321,Yes,150;159;206;282;316;320;321
HQ908342,1,81.314,1b,92.409,150-321,Yes,150;159;206;282;316;320;321
HQ908343,1,82.117,1b,93.358,150-321,Yes,150;159;206;282;316;320;321
HQ908344,1,81.168,1b,93.650,150-321,Yes,150;159;206;282;316;320;321
HQ908345,1,81.752,1b,93.650,150-321,Yes,150;159;206;282;316;320;321
HQ908346,1,81.022,1b,92.847,150-321,Yes,150;159;206;282;316;320;321
HQ908347,1,80.949,1b,93.212,150-321,Yes,150;159;206;282;316;320;321
HQ908348,1,80.803,1b,92.774,150-321,Yes,150;159;206;282;316;320;321
HQ908349,1,81.387,1b,93.723,150-321,Yes,150;159;206;282;316;320;321
HQ908350,1,81.168,1b,93.504,150-321,Yes,150;159;206;282;316;320;321
HQ908351,1,81.971,1b,92.774,150-321,Yes,150;159;206;282;316;320;321
HQ908352,1,80.949,1b,92.482,150-321,Yes,150;159;206;282;316;320;321
HQ908353,1,81.387,1b,93.650,150-321,Yes,150;159;206;282;316;320;321
HQ908354,1,80.803,1b,92.482,150-321,Yes,150;159;206;282;316;320;321
HQ908355,1,81.314,1b,93.431,150-321,Yes,150;159;206;282;316;320;321
HQ908356,1,81.460,1b,93.212,150-321,Yes,150;159;206;282;316;320;321
HQ908357,1,81.752,1b,92.628,150-321,Yes,150;159;206;282;316;320;321
HQ908358,1,80.876,1b,93.577,150-321,Yes,150;159;206;282;316;320;321
HQ908359,1,81.095,1b,92.482,150-321,Yes,150;159;206;282;316;320;321
HQ912953,3,95.937,3a,94.021,150-321,Yes,150;159;206;282;316;320;321
HQ912954,6,83.052,6a,96.023,150-321,Yes,150;159;206;282;316;320;321
HQ912955,6,83.164,6a,96.842,150-321,Yes,150;159;206;282;316;320;321
JF509176,3,94.204,3a,92.676,150-321,Yes,150;159;206;282;316;320;321
JF735121,3,76.180,3h,100.000,150-321,Yes,150;159;206;282;316;320;321
JF735122,3,79.301,3k,100.000,150-321,Yes,150;159;206;282;316;320;321
JF735123,3,82.854,3g,100.000,150-321,Yes,150;159;206;282;316;320;321
JF735126,3,76.348,3h,94.324,150-321,Yes,150;159;206;282;316;320;321
JF735127,4,81.145,4b,87.662,150-321,Yes,150;159;206;282;316;320;321
JF735132,4,83.596,4p,85.336,150-321,Yes,150;159;206;282;316;320;321
JF735133,4,83.831,4v,93.739,150-321,Yes,150;159;206;282;316;320;321
JF735134,4,81.282,4b,85.746,150-321,Yes,150;159;206;282;316;320;321
JF735135,4,87.599,4c,90.468,150-321,Yes,150;159;206;282;316;320;321
JF735136,4,83.727,4s,100.000,150-321,Yes,150;159;206;282;316;320;321
JF735137,4,91.094,4a,91.094,150-321,Yes,150;159;206;282;316;320;321
JF735138,4,79.820,4b,86.400,150-321,Yes,150;159;206;282;316;320;321
JN377747,1,81.241,1b,92.847,150-321,Yes,150;159;206;282;316;320;321
JN377748,1,81.387,1b,92.409,150-321,Yes,150;159;206;282;316;320;321
JN377749,1,81.460,1b,92.555,150-321,Yes,150;159;206;282;316;320;321
JN377750,1,80.949,1b,92.190,150-321,Yes,150;159;206;282;316;320;321
JN377751,1,80.146,1b,91.679,150-321,Yes,150;159;206;282;316;320;321
JN377752,1,80.657,1b,91.460,150-321,Yes,150;159;206;282;316;320;321
JN377753,1,81.314,1b,92.117,150-321,Yes,150;159;206;282;316;320;321
JN377754,1,81.241,1b,92.190,150-321,Yes,150;159;206;282;316;320;321
JN377755,1,81.022,1b,92.263,150-321,Yes,150;159;206;282;316;320;321
JN377756,1,81.022,1b,91.971,150-321,Yes,150;159;206;282;316;320;321
JN377757,1,80.146,1b,91.679,150-321,Yes,150;159;206;282;316;320;321
JN377758,1,80.584,1b,92.701,150-321,Yes,150;159;206;282;316;320;321
JN377759,1,81.533,1b,93.066,150-321,Yes,150;159;206;282;316;320;321
JN377760,1,81.241,1b,92.482,150-321,Yes,150;159;206;282;316;320;321
JN377761,1,80.365,1b,92.263,150-321,Yes,150;159;206;282;316;320;321
JN377762,1,81.314,1b,92.847,150-321,Yes,150;159;206;282;316;320;321
JN377763,1,81.241,1b,91.387,150-321,Yes,150;159;206;282;316;320;321
JN377764,1,81.387,1b,92.336,150-321,Yes,150;159;206;282;316;320;321
JN377765,1,81.314,1b,92.555,150-321,Yes,150;159;206;282;316;320;321
JN377766,1,81.022,1b,92.263,150-321,Yes,150;159;206;282;316;320;321
JN377767,1,81.971,1b,92.847,150-321,Yes,150;159;206;282;316;320;321
JN377768,1,81.095,1b,92.336,150-321,Yes,150;159;206;282;316;320;321
JN377769,1,80.949,1b,92.555,150-321,Yes,150;159;206;282;316;320;321
JN377770,1,80.730,1b,92.044,150-321,Yes,150;159;206;282;316;320;321
JN377771,1,81.075,1b,92.489,150-321,Yes,150;159;206;282;316;320;321
JN377772,1,81.241,1b,92.336,150-321,Yes,150;159;206;282;316;320;321
JN377773,1,81.095,1b,92.847,150-321,Yes,150;159;206;282;316;320;321
JN377774,1,81.241,1b,92.847,150-321,Yes,150;159;206;282;316;320;321
JN377775,1,81.606,1b,93.358,150-321,Yes,150;159;206;282;316;320;321
JN377776,1,81.241,1b,93.212,150-321,Yes,150;159;206;282;316;320;321
JN377777,1,81.533,1b,92.263,150-321,Yes,150;159;206;282;316;320;321
JN377778,1,80.803,1b,91.971,150-321,Yes,150;159;206;282;316;320;321
JN377779,1,81.460,1b,93.212,150-321,Yes,150;159;206;282;316;320;321
JN377780,1,81.022,1b,92.190,150-321,Yes,150;159;206;282;316;320;321
JN377781,1,80.876,1b,93.139,150-321,Yes,150;159;206;282;316;320;321
JN588558,3,92.937,3a,90.527,150-321,Yes,150;159;206;282;316;320;321
JN714194,3,93.341,3a,92.390,150-321,Yes,150;159;206;282;316;320;321
JQ065709,3,82.957,3b,92.047,150-321,Yes,150;159;206;282;316;320;321
JQ717254,3,95.203,3a,93.405,150-321,Yes,150;159;206;282;316;320;321
JQ717255,3,93.284,3a,92.165,150-321,Yes,150;159;206;282;316;320;321
JQ717256,3,93.567,3a,92.559,150-321,Yes,150;159;206;282;316;320;321
JQ717257,3,93.284,3a,91.939,150-321,Yes,150;159;206;282;316;320;321
JQ717258,3,93.115,3a,92.954,150-321,Yes,150;159;206;282;316;320;321
JQ717259,3,94.131,3a,93.179,150-321,Yes,150;159;206;282;316;320;321
JQ717260,3,93.115,3a,92.221,150-321,Yes,150;159;206;282;316;320;321
PX290144,4,82.964,4f,93.662,150-321,Yes,150;159;206;282;316;320;321
PX376056,1,82.645,1l,95.396,150-321,Yes,150;159;206;282;316;320;321
PX386717,3,94.357,3a,93.405,150-321,Yes,150;159;206;282;316;320;321
PX386719,3,94.865,3a,93.292,150-321,Yes,150;159;206;282;316;320;321
PX386721,1,82.177,1b,93.852,150-321,Yes,150;159;206;282;316;320;321
PX386722,3,93.962,3a,93.517,150-321,Yes,150;159;206;282;316;320;321
PX386723,3,95.372,3a,93.630,150-321,Yes,150;159;206;282;316;320;321
PX386724,1,92.765,1a,92.353,150-321,Yes,150;159;206;282;316;320;321
PX386730,3,93.962,3a,92.728,150-321,Yes,150;159;206;282;316;320;321
PX386731,1,80.767,1b,91.878,150-321,Yes,150;159;206;282;316;320;321
PX386732,3,92.724,3a,91.427,150-321,Yes,150;159;206;282;316;320;321
PX386733,3,94.074,3a,93.345,150-321,Yes,150;159;206;282;316;320;321
PX386734,3,94.808,3a,93.517,150-321,Yes,150;159;206;282;316;320;321
PX386737,1,93.540,1a,92.981,150-321,Yes,150;159;206;282;316;320;321
PX386738,3,94.639,3a,93.067,150-321,Yes,150;159;206;282;316;320;321
PX386741,3,93.965,3a,92.781,150-321,Yes,150;159;206;282;316;320;321
PX386742,3,93.115,3a,92.277,150-321,Yes,150;159;206;282;316;320;321
PX386743,1,81.895,1b,92.664,150-321,Yes,150;159;206;282;316;320;321
PX386744,3,94.360,3a,93.514,150-321,Yes,150;159;206;282;316;320;321
PX386745,1,91.158,1a,90.535,150-321,Yes,150;159;206;282;316;320;321
PX386746,1,82.018,1b,92.099,150-321,Yes,150;159;206;282;316;320;321
PX386748,1,93.457,1a,92.724,150-321,Yes,150;159;206;282;316;320;321
PX386749,3,94.416,3a,93.627,150-321,Yes,150;159;206;282;316;320;321
PX386751,3,94.224,3a,92.498,150-321,Yes,150;159;206;282;316;320;321
PX386753,3,94.244,3a,93.405,150-321,Yes,150;159;206;282;316;320;321
PX386754,1,93.831,1a,93.605,150-321,Yes,150;159;206;282;316;320;321
PX386759,3,94.018,3a,93.348,150-321,Yes,150;159;206;282;316;320;321
PX386762,3,93.514,3a,92.329,150-321,Yes,150;159;206;282;316;320;321
PX386764,1,92.877,1a,92.029,150-321,Yes,150;159;206;282;316;320;321
PX386765,1,96.275,1a,95.824,150-321,Yes,150;159;206;282;316;320;321
PX386769,1,92.967,1a,92.513,150-321,Yes,150;159;206;282;316;320;321
PX386770,1,95.534,1a,94.969,150-321,Yes,150;159;206;282;316;320;321
PX386771,3,94.867,3a,93.739,150-321,Yes,150;159;206;282;316;320;321
PX386772,3,94.642,3a,93.119,150-321,Yes,150;159;206;282;316;320;321
PX386773,3,93.341,3a,92.390,150-321,Yes,150;159;206;282;316;320;321
PX386774,1,94.010,1a,94.093,191-321,,206;282;316;320;321
PX386775,1,93.514,1a,92.611,150-321,Yes,150;159;206;282;316;320;321
PX386776,3,94.413,3a,93.461,150-321,Yes,150;159;206;282;316;320;321
PX386778,1,82.131,1b,92.728,150-321,Yes,150;159;206;282;316;320;321
PX386779,1,95.713,1a,95.037,150-321,Yes,150;159;206;282;316;320;321
PX386780,1,96.942,1a,96.189,150-321,Yes,150;159;206;282;316;320;321
PX386781,3,94.074,3a,93.292,150-321,Yes,150;159;206;282;316;320;321
PX386782,1,94.247,1a,93.570,150-321,Yes,150;159;206;282;316;320;321
PX386784,1,95.460,1a,94.870,150-321,Yes,150;159;206;282;316;320;321
PX386785,1,80.199,1b,91.993,150-321,Yes,150;159;206;282;316;320;321
PX386789,1,93.288,1a,92.611,150-321,Yes,150;159;206;282;316;320;321
PX386790,1,81.105,1b,92.551,150-321,Yes,150;159;206;282;316;320;321
PX386792,1,94.867,1a,94.529,150-321,Yes,150;159;206;282;316;320;321
PX386793,1,81.105,1b,92.329,150-321,Yes,150;159;206;282;316;320;321
PX386794,1,93.401,1a,93.063,150-321,Yes,150;159;206;282;316;320;321
PX386797,3,95.316,3a,93.405,150-321,Yes,150;159;206;282;316;320;321
PX386798,1,92.325,1a,91.874,150-321,Yes,150;159;206;282;316;320;321
PX386799,3,94.413,3a,93.348,150-321,Yes,150;159;206;282;316;320;321
PX386803,1,92.993,1a,92.303,150-321,Yes,150;159;206;282;316;320;321
PX386806,1,94.018,1a,93.397,150-321,Yes,150;159;206;282;316;320;321
PX386807,1,93.739,1a,93.457,150-321,Yes,150;159;206;282;316;320;321
PX386808,3,94.811,3a,93.457,150-321,Yes,150;159;206;282;316;320;321
PX386809,3,93.570,3a,92.781,150-321,Yes,150;159;206;282;316;320;321
PX386810,3,93.683,3a,92.724,150-321,Yes,150;159;206;282;316;320;321
PX386812,3,94.808,3a,93.630,150-321,Yes,150;159;206;282;316;320;321
PX386813,1,94.585,1a,94.078,150-321,Yes,150;159;206;282;316;320;321
PX386814,1,95.262,1a,94.924,150-321,Yes,150;159;206;282;316;320;321
PX386815,1,81.726,1b,92.893,150-321,Yes,150;159;206;282;316;320;321
PX386816,1,93.100,1a,92.647,150-321,Yes,150;159;206;282;316;320;321
PX386819,1,93.965,1a,93.457,150-321,Yes,150;159;206;282;316;320;321
PX386820,3,95.149,3a,92.950,150-321,Yes,150;159;206;282;316;320;321
PX386821,3,94.755,3a,94.134,150-321,Yes,150;159;206;282;316;320;321
PX386823,1,92.525,1a,92.072,150-321,Yes,150;159;206;282;316;320;321
PX386825,1,92.950,1a,92.264,150-321,Yes,150;159;206;282;316;320;321
PX386826,2,81.959,2b,93.482,150-321,Yes,150;159;206;282;316;320;321
PX386828,3,93.514,3a,92.837,150-321,Yes,150;159;206;282;316;320;321
PX386829,1,93.796,1a,93.232,150-321,Yes,150;159;206;282;316;320;321
PX386830,3,94.921,3a,93.968,150-321,Yes,150;159;206;282;316;320;321
PX386831,3,94.867,3a,93.965,150-321,Yes,150;159;206;282;316;320;321
PX386834,3,94.977,3a,93.123,150-321,Yes,150;159;206;282;316;320;321
PX386835,3,94.529,3a,93.683,150-321,Yes,150;159;206;282;316;320;321
PX386837,3,94.357,3a,93.348,150-321,Yes,150;159;206;282;316;320;321
PX386839,1,94.526,1a,93.736,150-321,Yes,150;159;206;282;316;320;321
PX386840,1,92.777,1a,92.269,150-321,Yes,150;159;206;282;316;320;321
PX386841,1,93.711,1a,93.201,150-321,Yes,150;159;206;282;316;320;321
PX386843,3,95.147,3a,93.912,150-321,Yes,150;159;206;282;316;320;321
PX386844,3,94.244,3a,93.179,150-321,Yes,150;159;206;282;316;320;321
PX386845,1,93.627,1a,92.950,150-321,Yes,150;159;206;282;316;320;321
PX386846,2,81.097,2b,93.075,150-321,Yes,150;159;206;282;316;320;321
PX386847,3,94.977,3a,94.138,150-321,Yes,150;159;206;282;316;320;321
PX386848,3,93.909,3a,92.442,150-321,Yes,150;159;206;282;316;320;321
PX386850,3,93.228,3a,91.601,150-321,Yes,150;159;206;282;316;320;321
PX386851,1,94.234,1a,93.612,150-321,Yes,150;159;206;282;316;320;321
PX386852,1,94.847,1a,94.904,150-321,Yes,150;159;206;282;316;320;321
PX386854,3,94.413,3a,93.348,150-321,Yes,150;159;206;282;316;320;321
PX386855,1,89.103,1a,88.605,150-321,Yes,150;159;206;282;316;320;321
PX386856,1,93.909,1a,93.514,150-321,Yes,150;159;206;282;316;320;321
PX386857,1,79.859,1b,90.311,150-321,Yes,150;159;206;282;316;320;321
PX386859,3,93.059,3a,92.165,150-321,Yes,150;159;206;282;316;320;321
PX386860,3,94.582,3a,93.348,150-321,Yes,150;159;206;282;316;320;321
PX386861,1,95.243,1a,94.904,150-321,Yes,150;159;206;282;316;320;321
PX386863,3,95.711,3a,93.799,150-321,Yes,150;159;206;282;316;320;321
PX386864,1,94.585,1a,94.078,150-321,Yes,150;159;206;282;316;320;321
PX386865,3,94.526,3a,93.630,150-321,Yes,150;159;206;282;316;320;321
PX386867,1,94.838,1a,94.214,150-321,Yes,150;159;206;282;316;320;321
PX386872,3,95.037,3a,94.134,150-321,Yes,150;159;206;282;316;320;321
PX386874,3,92.160,3a,91.483,150-321,Yes,150;159;206;282;316;320;321
PX386875,1,93.739,1a,93.232,150-321,Yes,150;159;206;282;316;320;321
PX386876,3,94.413,3a,92.559,150-321,Yes,150;159;206;282;316;320;321
PX386878,1,93.407,1a,92.796,150-321,Yes,150;159;206;282;316;320;321
PX386879,1,95.149,1a,94.529,150-321,Yes,150;159;206;282;316;320;321
PX386880,3,94.698,3a,93.401,150-321,Yes,150;159;206;282;316;320;321
PX386882,1,81.206,1b,92.272,150-321,Yes,150;159;206;282;316;320;321
PX386883,3,94.187,3a,93.010,150-321,Yes,150;159;206;282;316;320;321
PX386884,3,94.585,3a,93.457,150-321,Yes,150;159;206;282;316;320;321
PX386885,1,81.958,1b,92.276,150-321,Yes,150;159;206;282;316;320;321
PX386887,3,92.381,3a,91.488,150-321,Yes,150;159;206;282;316;320;321
PX386888,3,93.776,3a,92.077,150-321,Yes,150;159;206;282;316;320;321
PX386891,1,93.401,1a,92.611,150-321,Yes,150;159;206;282;316;320;321
PX386892,1,81.717,1b,92.534,150-321,Yes,150;159;206;282;316;320;321
PX386893,3,94.921,3a,94.081,150-321,Yes,150;159;206;282;316;320;321
PX386894,1,93.103,1a,92.595,150-321,Yes,150;159;206;282;316;320;321
PX386896,3,94.585,3a,93.457,150-321,Yes,150;159;206;282;316;320;321
PX386897,1,94.833,1a,94.187,150-321,Yes,150;159;206;282;316;320;321
