Accession,ClosestGenotype,ClosestGenotypePident,ClosestSubtype,ClosestSubtypePident,ReferenceOverlapAA,FullyCover,CoveredNS3RASPositions
EF407461,1,79.250,1b,90.751,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
EF407462,1,80.116,1b,91.125,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
EF407463,1,78.967,1b,91.173,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
EF407464,1,80.475,1b,90.962,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
EF407465,1,80.042,1b,91.173,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
EF407466,1,79.314,1b,90.962,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
EF407467,1,78.334,1b,91.279,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
EF407468,1,80.496,1b,91.649,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
EF407469,1,79.578,1b,91.596,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
EF407470,1,79.631,1b,90.011,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
EF407471,1,79.968,1b,91.596,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
EF407472,1,80.696,1b,91.226,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
EF407473,1,79.114,1b,91.068,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
EF407474,1,80.349,1b,90.703,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
EF407475,1,80.053,1b,91.596,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
EF407476,1,80.127,1b,92.389,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
EF407477,1,79.567,1b,91.015,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
EF407478,1,79.758,1b,91.068,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
EF407479,1,80.011,1b,92.019,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
EF407480,1,79.736,1b,91.438,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
EF407481,1,79.589,1b,90.856,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
EF407482,1,80.296,1b,91.385,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
EF407483,1,79.705,1b,91.121,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
EF407484,1,80.337,1b,91.755,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
EF407485,1,79.536,1b,91.490,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
EF407486,1,79.420,1b,91.121,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
EF407487,1,80.000,1b,91.860,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
EF407488,1,80.496,1b,91.121,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
EF407489,1,78.914,1b,91.543,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
EF407490,1,79.968,1b,91.490,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
EF407491,1,80.179,1b,90.116,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
EF407492,1,80.127,1b,91.385,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
EF407493,1,79.367,1b,91.068,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
EF407494,1,79.852,1b,90.962,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
EF407495,1,78.945,1b,91.389,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
EF407496,1,79.810,1b,91.490,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
EF407497,1,80.053,1b,91.438,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
EF407498,1,79.409,1b,90.597,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
EF407499,1,78.861,1b,91.966,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
EF407500,1,79.472,1b,91.015,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
EF407501,1,80.074,1b,91.279,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
EF407502,1,79.114,1b,90.645,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
EF407503,1,79.863,1b,90.856,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
EF407504,1,79.620,1b,90.698,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
EF424626,6,75.370,6p,100.000,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
EF424627,6,75.951,6o,100.000,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
EF424628,6,73.520,6l,100.000,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
EF424629,6,76.658,6c,100.000,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
EF589160,4,81.352,4f,92.552,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
EF589161,4,80.349,4f,100.000,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
EF632069,6,75.423,6t,93.185,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
EF632070,6,75.092,6t,92.182,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
EF632071,6,75.303,6t,100.000,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497850,4,80.564,4k,91.759,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497853,4,80.507,4d,93.819,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497854,4,81.247,4d,93.714,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497855,4,80.983,4d,93.872,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497856,4,80.824,4d,93.872,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497857,4,80.507,4d,93.925,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497858,4,80.507,4d,95.034,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497861,4,80.930,4d,94.242,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497862,4,80.983,4d,94.083,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497863,4,80.877,4d,94.189,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497864,4,80.877,4d,94.189,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497866,4,81.352,4d,94.242,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497867,4,81.194,4d,94.453,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497868,4,80.349,4d,93.819,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497869,4,80.930,4d,94.136,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497870,4,79.768,4r,91.442,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497871,4,79.926,4r,92.129,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497872,1,80.095,1c,93.450,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497873,4,80.983,4v,92.178,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497874,4,89.910,4a,89.910,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497875,4,89.335,4a,89.335,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497877,1,92.604,1a,92.974,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497878,1,94.559,1a,94.506,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497879,1,94.612,1a,94.823,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497880,1,94.400,1a,94.453,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497881,1,94.982,1a,94.876,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497882,1,94.612,1a,94.876,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497883,1,94.506,1a,94.665,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497884,1,92.340,1a,92.816,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497885,1,95.034,1a,94.876,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497886,1,90.174,1a,90.491,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497887,1,94.929,1a,94.823,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497888,1,92.393,1a,92.763,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497889,1,94.665,1a,94.665,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497890,1,94.400,1a,94.506,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497891,1,94.662,1a,94.556,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497892,1,94.136,1a,94.400,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497893,1,94.929,1a,94.823,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497894,1,93.714,1a,93.767,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497895,1,94.348,1a,94.506,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497897,1,94.242,1a,94.559,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497898,1,95.140,1a,95.034,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497899,1,95.087,1a,94.982,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497901,1,95.087,1a,94.982,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497903,1,95.140,1a,95.034,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497904,1,92.340,1a,92.816,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497905,1,94.665,1a,94.665,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497906,1,94.453,1a,94.348,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497907,1,94.717,1a,94.612,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497908,1,92.076,1a,92.235,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497909,1,94.453,1a,94.929,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497910,1,89.382,1a,89.593,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497911,1,91.759,1a,92.129,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497912,1,90.703,1a,91.178,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497913,1,91.337,1a,91.759,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497914,1,91.865,1a,91.918,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497915,1,91.865,1a,92.023,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497916,1,91.970,1a,92.340,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497918,1,92.657,1a,93.450,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497920,1,90.755,1a,91.072,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497921,1,91.918,1a,92.499,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497924,1,91.812,1a,92.182,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497925,1,93.661,1a,94.189,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497927,1,88.537,1a,88.959,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497929,1,94.876,1a,94.770,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497930,1,90.016,1a,90.597,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497931,1,94.665,1a,94.559,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497932,1,93.344,1a,93.450,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497933,1,93.502,1a,93.450,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497934,1,93.714,1a,94.295,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497935,1,92.552,1a,93.027,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497936,1,93.238,1a,93.397,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497937,1,94.770,1a,94.770,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497939,1,91.653,1a,92.393,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497940,1,91.812,1a,92.446,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497942,1,94.876,1a,94.770,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497946,1,91.918,1a,92.340,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497949,1,93.238,1a,94.031,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497950,1,89.752,1a,90.280,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497951,1,92.763,1a,92.552,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497952,1,90.650,1a,91.072,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497953,1,92.499,1a,93.027,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497956,4,84.152,4c,92.495,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497959,3,93.872,3a,92.080,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497960,3,94.612,3a,92.559,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497962,3,94.136,3a,92.507,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497963,3,94.083,3a,92.718,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497965,3,93.714,3a,92.819,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497967,3,93.502,3a,91.768,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497968,3,94.400,3a,93.245,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497970,3,93.872,3a,92.133,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497972,3,94.559,3a,92.612,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497973,3,93.238,3a,92.604,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497975,3,92.657,3a,91.975,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497977,3,93.661,3a,92.027,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497978,3,94.031,3a,92.133,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497979,3,91.601,3a,91.609,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497980,3,93.661,3a,91.816,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497982,3,93.661,3a,92.296,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497984,3,92.921,3a,92.872,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497985,3,92.868,3a,91.288,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497986,3,93.869,3a,92.555,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497987,3,92.816,3a,91.975,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497989,1,79.652,1b,90.751,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497990,1,79.683,1b,90.275,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497991,1,79.283,1b,89.852,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497993,1,79.842,1b,90.381,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497995,1,79.283,1b,90.486,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497996,1,78.024,1b,89.376,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497997,1,79.747,1b,89.746,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497998,1,79.863,1b,90.751,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR497999,1,78.775,1b,88.695,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR498004,1,79.947,1b,90.592,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR498005,1,78.394,1b,89.963,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR498006,1,80.011,1b,90.275,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR498007,1,79.441,1b,90.063,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR498008,1,79.810,1b,88.848,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR498012,1,79.314,1b,90.592,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR498015,1,78.997,1b,89.535,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR498016,1,79.514,1b,91.332,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR498017,1,79.736,1b,90.333,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR498018,1,79.356,1b,90.751,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR498021,1,80.412,1b,90.338,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR498022,1,77.713,1b,89.488,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR498023,1,78.945,1b,89.746,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR498026,1,79.747,1b,90.063,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR498028,1,80.580,1b,91.226,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR498034,1,79.989,1b,89.958,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR498036,1,80.560,1b,90.328,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR498037,1,79.114,1b,91.543,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR498045,1,79.398,1b,90.751,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR498048,1,79.378,1b,88.901,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR498051,1,79.020,1b,89.376,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR498053,1,79.800,1b,89.693,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR498054,1,79.356,1b,89.382,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR498055,1,78.764,1b,89.488,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR498056,1,79.651,1b,91.337,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR498057,1,79.494,1b,90.063,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR498059,1,79.514,1b,90.222,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR498060,1,79.789,1b,90.275,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR498064,1,79.810,1b,91.279,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR498067,1,79.398,1b,89.799,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR498068,1,80.359,1b,90.698,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
OR498072,2,80.127,2i,90.127,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
Y11604,4,100.000,4a,100.000,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
Y12083,6,79.440,6a,100.000,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
Y13184,5,100.000,5a,91.337,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB030907,2,78.594,2b,100.000,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB031663,2,80.021,2k,100.000,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB047639,2,89.646,2a,100.000,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB047640,2,91.231,2a,91.389,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB047641,2,92.816,2a,92.657,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB047642,2,90.808,2a,90.967,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB047643,2,90.755,2a,91.125,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB047644,2,91.020,2a,91.706,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB047645,2,91.284,2a,91.653,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB049087,1,78.997,1b,91.226,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB049092,1,79.820,1b,90.909,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB049093,1,79.589,1b,93.080,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB049094,1,79.356,1b,91.226,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB049096,1,78.892,1b,91.438,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB049097,1,79.461,1b,91.812,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB049098,1,78.658,1b,92.816,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB049099,1,79.092,1b,92.178,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB049100,1,79.092,1b,91.068,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB072043,1,76.879,1b,90.741,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072044,1,76.350,1b,97.222,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB072045,1,79.191,1b,95.926,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072046,1,78.026,1b,92.778,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB072047,1,78.035,1b,92.037,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072048,1,78.035,1b,92.037,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072049,1,77.885,1b,90.926,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072050,1,77.071,1b,91.852,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072051,1,76.493,1b,90.926,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072052,1,78.530,1b,90.892,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072053,1,76.108,1b,90.432,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072054,1,76.536,1b,92.593,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB072055,1,78.420,1b,92.037,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072056,1,78.420,1b,89.444,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072057,1,79.961,1b,92.037,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072058,1,76.493,1b,92.222,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072059,1,77.840,1b,92.593,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB072060,1,78.227,1b,94.630,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072061,1,78.420,1b,91.667,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072062,1,77.264,1b,90.000,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072063,1,77.264,1b,92.407,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072064,1,77.457,1b,90.741,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072065,1,80.347,1b,93.704,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072066,1,76.686,1b,91.667,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072067,1,77.457,1b,90.741,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072068,1,79.383,1b,90.741,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072069,1,77.649,1b,95.185,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072070,1,77.649,1b,92.222,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072071,1,79.191,1b,92.579,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072072,1,77.457,1b,91.667,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072073,1,77.071,1b,92.593,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072074,1,76.493,1b,91.481,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072075,1,77.071,1b,91.667,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
