Accession,ClosestGenotype,ClosestGenotypePident,ClosestGenotypeAlignedNT,ClosestSubtype,ClosestSubtypePident,ClosestSubtypeAlignedNT,ReferenceOverlapAA,FullyCover,CoveredRASPositions
MN641923,1,94.603,315,1a,94.603,315,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MN641924,1,95.238,315,1a,94.603,315,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MN641925,1,92.381,315,1a,91.111,315,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MN641926,1,92.063,315,1a,90.794,315,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MN641927,1,94.268,314,1a,93.631,314,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MN641928,1,96.508,315,1a,95.873,315,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MN641929,1,94.921,315,1a,95.873,315,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MN641930,1,94.286,315,1a,93.016,315,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MN641931,1,88.571,315,1a,87.302,315,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MN641932,1,78.095,315,1d,77.778,315,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MN641933,1,95.238,315,1a,94.603,315,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MN641934,1,82.222,315,1a,80.952,315,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MN641935,3,94.137,307,3a,94.137,307,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MN641936,3,92.182,307,3a,99.349,307,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MN641937,3,95.765,307,3a,91.857,307,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MN641938,3,92.834,307,3a,90.228,307,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MN641939,3,95.114,307,3a,92.834,307,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MN641940,3,92.508,307,3a,92.182,307,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MN641941,3,95.098,306,3a,92.810,306,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MN641942,3,93.464,306,3a,91.176,306,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MN641943,3,94.137,307,3a,91.857,307,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MN641944,3,93.485,307,3a,91.205,307,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MN641945,3,95.114,307,3a,92.834,307,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MN641946,3,91.857,307,3a,89.902,307,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MN641947,3,93.898,295,3a,90.228,307,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MN641948,3,93.811,307,3a,91.857,307,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MN641949,3,94.463,307,3a,93.485,307,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MN641950,3,92.508,307,3a,89.902,307,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MN641951,3,92.834,307,3a,90.228,307,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MN641952,3,92.834,307,3a,90.228,307,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MN641953,3,94.137,307,3a,91.531,307,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MN641954,3,93.811,307,3a,91.205,307,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MN641955,3,92.508,307,3a,91.205,307,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MN641956,3,92.508,307,3a,91.205,307,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MN641957,3,91.531,307,3a,89.251,307,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MN641958,3,91.205,307,3a,89.577,307,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MN641959,4,80.386,311,4d,95.146,309,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MN641960,4,80.707,311,4d,95.469,309,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MN641961,4,79.421,311,4d,94.822,309,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MN641962,4,77.492,311,4d,94.464,289,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MN641963,4,78.778,311,4d,95.469,309,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MN641964,4,80.707,311,4d,95.469,309,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MN641965,4,80.707,311,4d,95.793,309,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MN641966,4,78.778,311,4d,94.822,309,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MN641967,4,78.710,310,4d,95.469,309,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MN641968,4,79.355,310,4d,95.146,309,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MN641969,4,78.065,310,4d,94.498,309,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MN641970,4,79.032,310,4d,95.793,309,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MN641971,4,80.000,310,4d,95.146,309,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MN641972,1,75.238,315,1a,74.603,315,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MN641973,1,94.921,315,1a,94.286,315,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MN641974,1,96.190,315,1a,95.556,315,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MN641975,1,94.603,315,1a,94.603,315,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MN641976,1,95.238,315,1a,94.603,315,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MN641977,1,92.063,315,1a,90.794,315,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MN641978,3,93.464,306,3a,91.176,306,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MN641979,3,88.562,306,3a,87.582,306,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151156,2,90.652,353,2a,91.738,351,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151157,1,92.655,354,1a,91.785,353,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151158,1,79.661,354,1b,81.972,355,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151159,4,77.937,349,4f,92.816,348,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151160,1,83.051,354,1a,83.286,353,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151161,1,77.119,354,1n,81.356,354,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151162,4,77.077,349,4g,82.133,347,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151163,4,79.656,349,4r,92.529,348,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151164,4,81.429,350,4v,96.562,349,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151165,2,80.966,352,2r,84.571,350,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151166,4,79.586,338,4r,92.059,340,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151167,1,76.966,356,1l,93.220,354,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151168,4,77.143,350,4r,91.954,348,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151169,1,77.684,354,1l,93.503,354,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151170,3,76.000,275,3h,91.279,344,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151171,2,82.051,351,2u,87.464,351,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151172,4,79.351,339,4r,92.241,348,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151173,1,92.655,354,1a,91.785,353,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151174,4,77.650,349,4r,90.230,348,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151175,4,82.857,350,4v,92.898,352,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151176,1,78.977,352,1d,80.737,353,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151177,4,78.761,339,4r,91.667,348,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151178,4,77.650,349,4r,91.954,348,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151179,4,80.000,350,4v,94.556,349,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151180,1,80.226,354,1e,93.503,354,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151181,4,81.009,337,4b,91.931,347,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151182,1,79.944,354,1h,81.356,354,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151183,4,79.370,349,4f,91.954,348,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151184,4,82.286,350,4v,93.123,349,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151185,4,79.191,346,4k,89.855,345,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151186,1,78.431,357,1b,91.808,354,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151187,3,87.571,354,3a,87.006,354,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151188,3,72.963,270,3h,92.151,344,26-92,,26;28;29;30;31;32;38;58;62;92
MT151189,1,76.271,354,1b,92.068,353,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151190,4,79.191,346,4k,93.043,345,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151191,3,94.068,354,3a,92.090,354,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151192,4,79.191,346,4r,92.754,345,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151193,4,78.797,349,4r,92.241,348,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151194,4,83.668,349,4c,91.092,348,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151195,1,77.031,357,1b,92.090,354,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151196,4,78.286,350,4r,91.954,348,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151197,1,76.124,356,1l,92.090,354,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151198,4,81.429,350,4v,95.989,349,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151199,1,78.531,354,1b,93.785,354,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151200,1,91.243,354,1a,90.113,354,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151201,1,77.119,354,1b,91.525,354,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151202,4,78.613,346,4k,90.778,347,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151203,4,79.656,349,4d,93.391,348,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151204,1,80.508,354,1l,92.090,354,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151205,3,92.373,354,3a,91.808,354,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151206,1,81.481,351,1o,95.442,351,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151207,4,78.000,350,4d,85.503,338,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151208,4,81.143,350,4v,95.129,349,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151209,4,77.714,350,4k,93.966,348,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151210,1,79.155,355,1b,93.220,354,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151211,1,82.153,353,1o,83.631,336,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151212,1,77.401,354,1d,83.051,354,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151213,1,77.684,354,1b,91.243,354,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151214,4,80.857,350,4v,94.269,349,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151215,4,81.375,349,4v,95.965,347,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151216,1,76.000,350,1l,91.808,354,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151217,1,78.310,355,1b,91.525,354,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151218,1,93.503,354,1a,92.373,354,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151219,4,77.941,340,4r,89.943,348,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151220,1,78.992,357,1b,92.938,354,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151221,3,73.418,316,3h,80.523,344,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151222,1,77.299,348,1a,76.945,347,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151223,1,77.871,357,1b,91.243,354,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151224,1,77.465,355,1b,90.113,354,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151225,1,76.338,355,1l,92.351,353,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151226,1,78.693,352,1o,80.286,350,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151227,4,79.351,339,4r,95.115,348,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151228,1,76.271,354,1e,89.266,354,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151229,5,92.090,354,5a,91.243,354,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151230,4,77.937,349,4r,91.667,348,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151231,4,77.286,339,4r,91.667,348,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151232,4,78.510,349,4r,89.368,348,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151233,4,79.202,351,4m,92.529,348,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151234,1,79.944,354,1g,92.655,354,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151235,1,92.938,354,1a,91.808,354,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151236,2,83.954,349,2c,84.571,350,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151237,4,78.286,350,4r,91.379,348,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151238,1,80.966,352,1c,82.621,351,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151239,4,76.590,346,4r,91.066,347,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151240,4,77.077,349,4r,92.529,348,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151241,1,77.714,350,1o,81.714,350,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151242,1,77.684,354,1b,93.503,354,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151243,2,78.632,351,2i,81.429,350,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151244,3,90.960,354,3a,90.113,354,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151245,4,77.937,349,4r,92.241,348,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151246,5,91.808,354,5a,91.808,354,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151247,1,94.068,354,1a,92.938,354,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151248,4,77.353,340,4r,90.805,348,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151249,3,73.734,316,3h,81.155,329,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151250,4,82.235,349,4d,94.253,348,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151251,1,93.785,354,1a,92.655,354,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151252,4,85.143,350,4c,91.667,336,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151253,4,79.118,340,4r,92.816,348,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151254,1,94.633,354,1a,93.503,354,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151255,1,80.453,353,1o,83.191,351,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151256,3,73.239,284,3h,92.733,344,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151257,4,78.286,350,4r,90.805,348,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151258,4,81.503,346,4v,89.275,345,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151259,4,77.937,349,4r,91.667,348,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151260,3,73.704,270,3h,92.174,345,26-92,,26;28;29;30;31;32;38;58;62;92
MT151261,4,78.613,346,4b,89.017,346,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151262,2,81.766,351,2r,84.900,351,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151263,1,76.000,350,1l,91.808,354,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151264,1,77.778,351,1b,79.518,332,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151265,1,93.785,354,1a,92.655,354,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151266,4,80.516,349,4d,93.966,348,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151267,1,94.350,354,1a,93.785,354,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151268,4,78.171,339,4r,91.092,348,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151269,1,92.938,354,1a,91.808,354,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151270,4,83.668,349,4c,90.517,348,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151271,1,78.028,355,1b,91.525,354,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151272,1,79.887,353,1o,81.766,351,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151273,1,94.633,354,1a,93.503,354,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151274,4,78.286,350,4k,91.667,348,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151275,4,79.598,348,4d,93.103,348,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151276,1,92.938,354,1a,91.808,354,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151277,5,89.831,354,5a,89.548,354,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151278,1,78.814,354,1b,90.960,354,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151279,4,78.466,339,4r,91.092,348,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151280,1,79.437,355,1b,91.808,354,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151281,3,89.655,348,3a,87.571,354,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151282,3,75.633,316,3h,79.939,329,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151283,4,83.728,338,4c,89.655,348,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151284,4,77.364,349,4k,88.986,345,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151285,1,78.592,355,1b,92.938,354,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT151286,3,73.818,275,3h,93.895,344,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT233451,1,94.537,659,1a,94.357,638,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT233452,1,94.444,684,1a,94.357,638,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT233453,1,93.801,613,1a,93.638,613,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT233454,1,94.979,717,1a,95.305,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT233455,1,94.561,717,1a,94.836,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT233456,1,91.181,669,1a,90.767,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT233457,1,94.011,718,1a,94.523,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT233458,1,93.860,684,1a,93.897,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT233459,1,94.250,713,1a,94.679,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT233460,1,94.670,713,1a,94.992,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT233461,1,94.345,672,1a,94.366,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT233462,1,89.819,717,1a,90.909,638,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT233463,1,94.333,600,1a,94.333,600,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT233464,1,94.667,675,1a,94.679,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT233465,1,91.667,708,1a,92.633,638,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT233466,1,91.369,672,1a,91.706,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT233467,1,94.774,708,1a,94.992,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT233468,1,92.663,627,1a,92.185,627,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT233469,1,89.088,669,1a,89.969,638,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT233470,1,94.745,609,1a,94.745,609,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT233471,1,95.152,660,1a,94.992,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT233472,1,90.505,653,1a,91.223,638,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT233473,1,93.944,710,1a,93.897,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT233474,1,94.290,718,1a,94.523,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT233475,1,93.166,717,1a,93.897,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT233476,1,89.356,714,1a,90.439,638,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT233477,1,94.043,554,1a,93.502,554,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT233478,1,94.648,710,1a,94.836,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT233479,1,95.238,651,1a,94.836,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT233480,1,94.697,660,1a,94.523,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT233481,1,94.010,601,1a,93.511,601,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT233482,1,95.545,651,1a,95.462,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT233483,1,95.652,621,1a,94.847,621,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT233484,1,91.506,624,1a,92.147,624,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT233485,1,95.015,662,1a,94.836,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT233486,1,94.648,654,1a,94.679,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT233487,1,90.583,669,1a,91.080,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT233488,1,94.469,669,1a,94.679,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT233489,1,94.648,654,1a,94.523,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT233490,1,94.768,669,1a,94.836,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT233491,1,94.507,710,1a,94.679,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT233492,1,94.775,555,1a,94.234,555,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT233493,1,90.074,675,1a,90.125,638,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT233494,1,94.013,618,1a,93.366,618,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT233495,1,94.444,684,1a,94.679,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT233496,1,94.196,603,1a,94.030,603,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT233497,1,94.444,684,1a,94.679,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT233498,1,95.000,660,1a,94.523,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT233499,1,89.435,672,1a,90.282,638,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT233500,1,94.792,672,1a,94.836,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT233501,1,94.152,684,1a,94.366,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT233502,1,95.000,660,1a,94.836,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT233503,1,90.759,606,1a,90.924,606,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT233504,1,77.157,626,1b,89.744,624,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT233505,1,77.152,639,1b,91.339,635,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT233506,1,76.565,623,1b,90.048,623,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT233507,1,76.438,730,1b,88.661,635,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT233508,1,77.883,633,1b,90.205,633,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT233509,1,77.778,630,1b,90.952,630,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT233510,1,78.075,748,1b,90.394,635,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT233511,1,77.020,557,1b,91.039,558,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT233512,1,78.288,631,1b,90.159,630,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT233513,1,77.200,750,1b,91.181,635,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT233514,1,75.680,625,1b,89.423,624,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT233515,1,78.095,630,1b,91.111,630,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT233516,1,77.746,710,1b,89.606,635,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT233517,1,77.003,674,1b,89.291,635,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT233518,1,78.261,690,1b,91.456,632,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT259593,1,95.380,303,1a,94.059,303,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT259594,1,95.380,303,1a,94.059,303,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT259595,1,93.069,303,1a,91.749,303,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT259596,1,93.729,303,1a,92.409,303,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT259597,1,95.710,303,1a,94.389,303,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT259598,1,96.040,303,1a,94.719,303,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT259599,1,95.050,303,1a,93.729,303,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT259600,1,95.050,303,1a,93.729,303,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT259601,1,94.059,303,1a,92.739,303,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT259602,1,94.389,303,1a,93.069,303,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MT259603,1,92.739,303,1a,91.419,303,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
