Gene,Accession,CometSubtype,BlastPerGeneSubtype,CompareCondition
NS5A,AM710959,1b,1i,Comet_vs_PerGene
NS5A,AM710960,1b,1i,Comet_vs_PerGene
NS5A,AM710961,1b,1i,Comet_vs_PerGene
NS5A,AM710962,1b,1i,Comet_vs_PerGene
NS5A,AM710963,1b,1i,Comet_vs_PerGene
NS5A,AM710964,1b,1i,Comet_vs_PerGene
NS5A,AM710965,1b,1i,Comet_vs_PerGene
NS5A,AM710967,1b,1i,Comet_vs_PerGene
NS5A,AM710968,1b,1i,Comet_vs_PerGene
NS5A,AM710969,1b,1i,Comet_vs_PerGene
NS5A,AM710970,1h,1i,Comet_vs_PerGene
NS5A,AM710971,1b,1i,Comet_vs_PerGene
NS5A,AM710972,1b,1i,Comet_vs_PerGene
NS5A,AM710973,1b,1i,Comet_vs_PerGene
NS5A,AM710974,1b,1i,Comet_vs_PerGene
NS5A,AM710975,1b,1i,Comet_vs_PerGene
NS5A,AM710976,1b,1i,Comet_vs_PerGene
NS5A,AM710977,1b,1i,Comet_vs_PerGene
NS5A,AM710978,1b,1i,Comet_vs_PerGene
NS5A,AM710979,1h,1i,Comet_vs_PerGene
NS5A,AM710980,1b,1i,Comet_vs_PerGene
NS5A,AM710981,1b,1i,Comet_vs_PerGene
NS5A,AM710982,1b,1i,Comet_vs_PerGene
NS5A,AM710983,1b,1i,Comet_vs_PerGene
NS5A,AM710984,1b,1i,Comet_vs_PerGene
NS5A,AM710985,1b,1i,Comet_vs_PerGene
NS5A,AM710986,1b,1i,Comet_vs_PerGene
NS5A,AY045702,"unassigned_1, 1b-6b",1b,Comet_vs_PerGene
NS5A,AY354527,1b,,Comet_vs_PerGene
NS5A,AY354528,1b,,Comet_vs_PerGene
NS5A,AY354529,1b,,Comet_vs_PerGene
NS5A,AY354530,1b,,Comet_vs_PerGene
NS5A,AY354532,1b,,Comet_vs_PerGene
NS5A,AY354533,1b,,Comet_vs_PerGene
NS5A,AY354534,1b,,Comet_vs_PerGene
NS5A,AY354535,1b,,Comet_vs_PerGene
NS5A,AY354537,1b,,Comet_vs_PerGene
NS5A,AY460204,"unassigned_1, 1b-6h-6b",1b,Comet_vs_PerGene
NS5A,AY587845,"unassigned_1, 1b-2j-2a-2j-2k",1b,Comet_vs_PerGene
NS5A,AY861446,1b,,Comet_vs_PerGene
NS5A,AY861447,1b,,Comet_vs_PerGene
NS5A,AY861448,1b,,Comet_vs_PerGene
NS5A,AY861449,1b,,Comet_vs_PerGene
NS5A,AY861450,1b,,Comet_vs_PerGene
NS5A,AY861451,1b,,Comet_vs_PerGene
NS5A,AY861452,1b,,Comet_vs_PerGene
NS5A,AY861453,1b,,Comet_vs_PerGene
NS5A,AY861454,1a,,Comet_vs_PerGene
NS5A,AY878650,6l,6xj,Comet_vs_PerGene
NS5A,AY878651,6l,6xj,Comet_vs_PerGene
NS5A,GU133617,"unassigned_1, 1b-1a",1b,Comet_vs_PerGene
NS5A,GU294484,"unassigned_1, 3a-1a",3a,Comet_vs_PerGene
NS5A,HM348899,1b,,Comet_vs_PerGene
NS5A,HM348900,1b,,Comet_vs_PerGene
NS5A,HM348901,1b,,Comet_vs_PerGene
NS5A,HM348902,1b,,Comet_vs_PerGene
NS5A,HM348903,1b,,Comet_vs_PerGene
NS5A,HM348904,1b,,Comet_vs_PerGene
NS5A,HM348905,1b,,Comet_vs_PerGene
NS5A,HM348906,1b,,Comet_vs_PerGene
NS5A,HM348907,1b,,Comet_vs_PerGene
NS5A,HM348908,1b,,Comet_vs_PerGene
NS5A,HM348909,1b,,Comet_vs_PerGene
NS5A,HM348910,1b,,Comet_vs_PerGene
NS5A,HM348911,1b,,Comet_vs_PerGene
NS5A,HM348912,1b,,Comet_vs_PerGene
NS5A,HM348913,1b,,Comet_vs_PerGene
NS5A,HM348914,1b,,Comet_vs_PerGene
NS5A,HM348915,1b,,Comet_vs_PerGene
NS5A,HM348916,1b,,Comet_vs_PerGene
NS5A,HM348917,1b,,Comet_vs_PerGene
NS5A,HM348918,1b,,Comet_vs_PerGene
NS5A,HM348919,1b,,Comet_vs_PerGene
NS5A,HM348920,1b,,Comet_vs_PerGene
NS5A,HM348921,1b,,Comet_vs_PerGene
NS5A,HM348922,1b,,Comet_vs_PerGene
NS5A,HM348923,1b,,Comet_vs_PerGene
NS5A,HM348924,1b,,Comet_vs_PerGene
NS5A,HM348925,1b,,Comet_vs_PerGene
NS5A,HM348926,1b,,Comet_vs_PerGene
NS5A,HM348927,1b,,Comet_vs_PerGene
NS5A,HM348928,1b,,Comet_vs_PerGene
NS5A,HM348929,1b,,Comet_vs_PerGene
NS5A,HM348930,1b,,Comet_vs_PerGene
NS5A,HM348931,1b,,Comet_vs_PerGene
NS5A,HM348932,1b,,Comet_vs_PerGene
NS5A,HM348933,1b,,Comet_vs_PerGene
NS5A,HM348934,1b,,Comet_vs_PerGene
NS5A,HM348935,1b,,Comet_vs_PerGene
NS5A,HM348936,1b,,Comet_vs_PerGene
NS5A,HM348937,1b,,Comet_vs_PerGene
NS5A,HM348938,1b,,Comet_vs_PerGene
NS5A,HM348939,1b,,Comet_vs_PerGene
NS5A,HM348940,1b,,Comet_vs_PerGene
NS5A,HM348941,1b,,Comet_vs_PerGene
NS5A,HM348942,1b,,Comet_vs_PerGene
NS5A,HM348943,1b,,Comet_vs_PerGene
NS5A,HM348944,1b,,Comet_vs_PerGene
NS5A,HM348945,1b,,Comet_vs_PerGene
NS5A,HM348946,1b,,Comet_vs_PerGene
NS5A,HM348947,1b,,Comet_vs_PerGene
NS5A,HM348948,1b,,Comet_vs_PerGene
NS5A,HM348949,1b,,Comet_vs_PerGene
NS5A,HM348950,1b,,Comet_vs_PerGene
NS5A,HM348951,1b,,Comet_vs_PerGene
NS5A,HM348952,1b,,Comet_vs_PerGene
NS5A,HM348953,1b,,Comet_vs_PerGene
NS5A,HM348954,1b,,Comet_vs_PerGene
NS5A,HM348955,1b,,Comet_vs_PerGene
NS5A,HM348956,1b,,Comet_vs_PerGene
NS5A,HM348957,1b,,Comet_vs_PerGene
NS5A,HM348958,1b,,Comet_vs_PerGene
NS5A,HM348959,1b,,Comet_vs_PerGene
NS5A,HM348960,1b,,Comet_vs_PerGene
NS5A,HM348961,1b,,Comet_vs_PerGene
NS5A,HM348962,1b,,Comet_vs_PerGene
NS5A,HM348963,1b,,Comet_vs_PerGene
NS5A,HM348964,1b,,Comet_vs_PerGene
NS5A,HM348965,1b,,Comet_vs_PerGene
NS5A,HM348966,1b,,Comet_vs_PerGene
NS5A,HM348967,1b,,Comet_vs_PerGene
NS5A,HM348968,1b,,Comet_vs_PerGene
NS5A,HM348969,1b,,Comet_vs_PerGene
NS5A,HM348970,1b,,Comet_vs_PerGene
NS5A,HM348971,1b,,Comet_vs_PerGene
NS5A,HM348972,1b,,Comet_vs_PerGene
NS5A,HM348973,1b,,Comet_vs_PerGene
NS5A,HM348974,1b,,Comet_vs_PerGene
NS5A,HM348975,1b,,Comet_vs_PerGene
NS5A,HM348976,1b,,Comet_vs_PerGene
NS5A,HM348977,1b,,Comet_vs_PerGene
NS5A,HM348978,1b,,Comet_vs_PerGene
NS5A,HM348979,1b,,Comet_vs_PerGene
NS5A,HM348980,1b,,Comet_vs_PerGene
NS5A,HM348981,1b,,Comet_vs_PerGene
NS5A,HM348982,1b,,Comet_vs_PerGene
NS5A,HM348983,1b,,Comet_vs_PerGene
NS5A,HM348984,1b,,Comet_vs_PerGene
NS5A,HM348985,1b,,Comet_vs_PerGene
NS5A,HM348986,1b,,Comet_vs_PerGene
NS5A,HM348987,1b,,Comet_vs_PerGene
NS5A,HM348988,1b,,Comet_vs_PerGene
NS5A,HM348989,1b,,Comet_vs_PerGene
NS5A,HM348990,1b,,Comet_vs_PerGene
NS5A,HM348991,1b,,Comet_vs_PerGene
NS5A,HM348992,1b,,Comet_vs_PerGene
NS5A,HM348993,1b,,Comet_vs_PerGene
NS5A,HM348994,1b,,Comet_vs_PerGene
NS5A,HM348995,1b,,Comet_vs_PerGene
NS5A,HM348996,1b,,Comet_vs_PerGene
NS5A,HM348997,1b,,Comet_vs_PerGene
NS5A,HM348998,1b,,Comet_vs_PerGene
NS5A,HM348999,1b,,Comet_vs_PerGene
NS5A,HM349000,1b,,Comet_vs_PerGene
NS5A,HM349001,1b,,Comet_vs_PerGene
NS5A,HM349002,1b,,Comet_vs_PerGene
NS5A,HM349003,1b,,Comet_vs_PerGene
NS5A,HM349004,1b,,Comet_vs_PerGene
NS5A,HM349005,1b,,Comet_vs_PerGene
NS5A,HM349006,1b,,Comet_vs_PerGene
NS5A,HM349007,1b,,Comet_vs_PerGene
NS5A,HM349008,1b,,Comet_vs_PerGene
NS5A,HM349009,1b,,Comet_vs_PerGene
NS5A,HM349010,1b,,Comet_vs_PerGene
NS5A,HM349011,1b,,Comet_vs_PerGene
NS5A,HM349012,1b,,Comet_vs_PerGene
NS5A,HM349013,1b,,Comet_vs_PerGene
NS5A,HM349014,1b,,Comet_vs_PerGene
NS5A,HM349015,1b,,Comet_vs_PerGene
NS5A,HM349016,1b,,Comet_vs_PerGene
NS5A,HM349017,1b,,Comet_vs_PerGene
NS5A,HM349018,1b,,Comet_vs_PerGene
NS5A,HM349019,1b,,Comet_vs_PerGene
NS5A,HM349020,1b,,Comet_vs_PerGene
NS5A,HM349021,1b,,Comet_vs_PerGene
NS5A,HM349022,1b,,Comet_vs_PerGene
NS5A,HM349023,1b,,Comet_vs_PerGene
NS5A,HM349024,1b,,Comet_vs_PerGene
NS5A,HM349025,1b,,Comet_vs_PerGene
NS5A,HM349026,1b,,Comet_vs_PerGene
NS5A,HM349027,1b,,Comet_vs_PerGene
NS5A,HM349028,1b,,Comet_vs_PerGene
NS5A,HM349029,1b,,Comet_vs_PerGene
NS5A,HM349030,1b,,Comet_vs_PerGene
NS5A,HM349031,1b,,Comet_vs_PerGene
NS5A,HM349032,1b,,Comet_vs_PerGene
NS5A,HM349033,1b,,Comet_vs_PerGene
NS5A,HM349034,1b,,Comet_vs_PerGene
NS5A,HM349035,1b,,Comet_vs_PerGene
NS5A,HM349036,1b,,Comet_vs_PerGene
NS5A,HM349037,1b,,Comet_vs_PerGene
NS5A,HM349038,1b,,Comet_vs_PerGene
NS5A,HM349039,1b,,Comet_vs_PerGene
NS5A,HM349040,1b,,Comet_vs_PerGene
NS5A,HM349041,1b,,Comet_vs_PerGene
NS5A,HM349042,1b,,Comet_vs_PerGene
NS5A,HM349043,1b,,Comet_vs_PerGene
NS5A,HM349044,1b,,Comet_vs_PerGene
NS5A,HM349045,1b,,Comet_vs_PerGene
NS5A,HM349046,1b,,Comet_vs_PerGene
NS5A,HM349047,1b,,Comet_vs_PerGene
NS5A,HM349048,1b,,Comet_vs_PerGene
NS5A,HM349049,1b,,Comet_vs_PerGene
NS5A,HM349050,1b,,Comet_vs_PerGene
NS5A,HM349051,1b,,Comet_vs_PerGene
NS5A,HM349052,1b,,Comet_vs_PerGene
NS5A,HM349053,1b,,Comet_vs_PerGene
NS5A,HM349054,1b,,Comet_vs_PerGene
NS5A,HM349055,1b,,Comet_vs_PerGene
NS5A,HM349056,1b,,Comet_vs_PerGene
NS5A,HM349057,1b,,Comet_vs_PerGene
NS5A,HM349058,1b,,Comet_vs_PerGene
NS5A,HM349059,1b,,Comet_vs_PerGene
NS5A,HM349060,1b,,Comet_vs_PerGene
NS5A,HM349061,1b,,Comet_vs_PerGene
NS5A,HM349062,1b,,Comet_vs_PerGene
NS5A,HM349063,1b,,Comet_vs_PerGene
NS5A,HM349064,1b,,Comet_vs_PerGene
NS5A,HM349065,1b,,Comet_vs_PerGene
NS5A,HM349066,1b,,Comet_vs_PerGene
NS5A,HM349067,1b,,Comet_vs_PerGene
NS5A,HM349068,1b,,Comet_vs_PerGene
NS5A,HM349069,1b,,Comet_vs_PerGene
NS5A,HM349070,1b,,Comet_vs_PerGene
NS5A,HM349071,1b,,Comet_vs_PerGene
NS5A,HM349072,1b,,Comet_vs_PerGene
NS5A,HM349073,1b,,Comet_vs_PerGene
NS5A,HM349074,1b,,Comet_vs_PerGene
NS5A,HM349075,1b,,Comet_vs_PerGene
NS5A,HM349076,1b,,Comet_vs_PerGene
NS5A,HM349077,1b,,Comet_vs_PerGene
NS5A,HM349078,1b,,Comet_vs_PerGene
NS5A,HM349079,1b,,Comet_vs_PerGene
NS5A,HM349080,1b,,Comet_vs_PerGene
NS5A,HM349081,1b,,Comet_vs_PerGene
NS5A,HM349082,1b,,Comet_vs_PerGene
NS5A,HM349083,1b,,Comet_vs_PerGene
NS5A,HM349084,1b,,Comet_vs_PerGene
NS5A,HM349085,1b,,Comet_vs_PerGene
NS5A,HM349086,1b,,Comet_vs_PerGene
NS5A,HM349087,1b,,Comet_vs_PerGene
NS5A,HM349088,1b,,Comet_vs_PerGene
NS5A,HM349089,1b,,Comet_vs_PerGene
NS5A,HM349090,1b,,Comet_vs_PerGene
NS5A,HM349091,1b,,Comet_vs_PerGene
NS5A,HM349092,1b,,Comet_vs_PerGene
NS5A,HM349093,1b,,Comet_vs_PerGene
NS5A,HM349094,1b,,Comet_vs_PerGene
NS5A,HM349095,1b,,Comet_vs_PerGene
NS5A,HM349096,1b,,Comet_vs_PerGene
NS5A,HM349097,1b,,Comet_vs_PerGene
NS5A,HM349098,1b,,Comet_vs_PerGene
NS5A,HM349099,1b,,Comet_vs_PerGene
NS5A,HM349100,1b,,Comet_vs_PerGene
NS5A,HM349101,1b,,Comet_vs_PerGene
NS5A,HM349102,1b,,Comet_vs_PerGene
NS5A,HM349103,1b,,Comet_vs_PerGene
NS5A,HM349104,1b,,Comet_vs_PerGene
NS5A,HM349105,1b,,Comet_vs_PerGene
NS5A,HM349106,1b,,Comet_vs_PerGene
NS5A,HM349107,1b,,Comet_vs_PerGene
NS5A,HM349108,1b,,Comet_vs_PerGene
NS5A,HM349109,1b,,Comet_vs_PerGene
NS5A,HM349110,1b,,Comet_vs_PerGene
NS5A,HM349111,1b,,Comet_vs_PerGene
NS5A,HM349112,1b,,Comet_vs_PerGene
NS5A,HM349113,1b,,Comet_vs_PerGene
NS5A,HM349114,1b,,Comet_vs_PerGene
NS5A,HM349115,1b,,Comet_vs_PerGene
NS5A,HM349116,1b,,Comet_vs_PerGene
NS5A,HM349117,1b,,Comet_vs_PerGene
NS5A,HM349118,1b,,Comet_vs_PerGene
NS5A,HM349119,1b,,Comet_vs_PerGene
NS5A,HM349120,1b,,Comet_vs_PerGene
NS5A,HM349121,1b,,Comet_vs_PerGene
NS5A,HM349122,1a,,Comet_vs_PerGene
NS5A,HM349123,1a,,Comet_vs_PerGene
NS5A,HM349124,1a,,Comet_vs_PerGene
NS5A,HM349125,1a,,Comet_vs_PerGene
NS5A,HM349126,1a,,Comet_vs_PerGene
NS5A,HM349127,1a,,Comet_vs_PerGene
NS5A,HM349128,1a,,Comet_vs_PerGene
NS5A,HM349129,1a,,Comet_vs_PerGene
NS5A,HM349130,1a,,Comet_vs_PerGene
NS5A,HM349131,1a,,Comet_vs_PerGene
NS5A,HM349132,1a,,Comet_vs_PerGene
NS5A,HM349133,1a,,Comet_vs_PerGene
NS5A,HM349134,1a,,Comet_vs_PerGene
NS5A,HM349135,1a,,Comet_vs_PerGene
NS5A,HM349136,1a,,Comet_vs_PerGene
NS5A,HM349137,1a,,Comet_vs_PerGene
NS5A,HM349138,1a,,Comet_vs_PerGene
NS5A,HM349139,1a,,Comet_vs_PerGene
NS5A,HM349140,1a,,Comet_vs_PerGene
NS5A,HM349141,1a,,Comet_vs_PerGene
NS5A,HM349142,1a,,Comet_vs_PerGene
NS5A,HM349143,1a,,Comet_vs_PerGene
NS5A,HM349144,1a,,Comet_vs_PerGene
NS5A,HM349145,1a,,Comet_vs_PerGene
NS5A,HM349146,1a,,Comet_vs_PerGene
NS5A,HM349147,1a,,Comet_vs_PerGene
NS5A,HM349148,1a,,Comet_vs_PerGene
NS5A,HM349149,1a,,Comet_vs_PerGene
NS5A,HM349150,1a,,Comet_vs_PerGene
NS5A,HM349151,1a,,Comet_vs_PerGene
NS5A,HM349152,1a,,Comet_vs_PerGene
NS5A,HM349153,1a,,Comet_vs_PerGene
NS5A,HM349154,1a,,Comet_vs_PerGene
NS5A,HM349155,1a,,Comet_vs_PerGene
NS5A,HM349156,1a,,Comet_vs_PerGene
NS5A,HM349157,1a,,Comet_vs_PerGene
NS5A,HM349158,1a,,Comet_vs_PerGene
NS5A,HM349159,1a,,Comet_vs_PerGene
NS5A,HM349160,1a,,Comet_vs_PerGene
NS5A,HM349161,1a,,Comet_vs_PerGene
NS5A,HM349162,1a,,Comet_vs_PerGene
NS5A,HM349163,1a,,Comet_vs_PerGene
NS5A,HM349164,1a,,Comet_vs_PerGene
NS5A,HM349165,1a,,Comet_vs_PerGene
NS5A,HM349166,1a,,Comet_vs_PerGene
NS5A,HM349167,1a,,Comet_vs_PerGene
NS5A,HM349168,1a,,Comet_vs_PerGene
NS5A,HM349169,1a,,Comet_vs_PerGene
NS5A,HM349170,1a,,Comet_vs_PerGene
NS5A,HM349171,1a,,Comet_vs_PerGene
NS5A,HM349172,1a,,Comet_vs_PerGene
NS5A,HM349173,1a,,Comet_vs_PerGene
NS5A,HM349174,1a,,Comet_vs_PerGene
NS5A,HM349175,1a,,Comet_vs_PerGene
NS5A,HM349176,1a,,Comet_vs_PerGene
NS5A,HM349177,1a,,Comet_vs_PerGene
NS5A,HM349178,1a,,Comet_vs_PerGene
NS5A,HM349179,1a,,Comet_vs_PerGene
NS5A,HM349180,1a,,Comet_vs_PerGene
NS5A,HM349181,1a,,Comet_vs_PerGene
NS5A,HM349182,1a,,Comet_vs_PerGene
NS5A,HM349183,1a,,Comet_vs_PerGene
NS5A,HM349184,1a,,Comet_vs_PerGene
NS5A,HM349185,1a,,Comet_vs_PerGene
NS5A,HM349186,1a,,Comet_vs_PerGene
NS5A,HM349187,1a,,Comet_vs_PerGene
NS5A,HM349188,1a,,Comet_vs_PerGene
NS5A,HM349189,1a,,Comet_vs_PerGene
NS5A,HM349190,1a,,Comet_vs_PerGene
NS5A,HM349191,1a,,Comet_vs_PerGene
NS5A,HM349192,1a,,Comet_vs_PerGene
NS5A,HM349193,1a,,Comet_vs_PerGene
NS5A,HM349194,1a,,Comet_vs_PerGene
NS5A,HM349195,1a,,Comet_vs_PerGene
NS5A,HM349196,1a,,Comet_vs_PerGene
NS5A,HM349197,1a,,Comet_vs_PerGene
NS5A,HM349198,1a,,Comet_vs_PerGene
NS5A,HM349199,1a,,Comet_vs_PerGene
NS5A,HM349200,1a,,Comet_vs_PerGene
NS5A,HM349201,1a,,Comet_vs_PerGene
NS5A,HM349202,1a,,Comet_vs_PerGene
NS5A,HM349203,1a,,Comet_vs_PerGene
NS5A,HM349204,1a,,Comet_vs_PerGene
NS5A,HM349205,1a,,Comet_vs_PerGene
NS5A,HM349206,1a,,Comet_vs_PerGene
NS5A,HM349207,1a,,Comet_vs_PerGene
NS5A,HM349208,1a,,Comet_vs_PerGene
NS5A,HM349209,1a,,Comet_vs_PerGene
NS5A,HM349210,1a,,Comet_vs_PerGene
NS5A,HM349211,1a,,Comet_vs_PerGene
NS5A,HM349212,1a,,Comet_vs_PerGene
NS5A,HM349213,1a,,Comet_vs_PerGene
NS5A,HM349214,1a,,Comet_vs_PerGene
NS5A,HM349215,1a,,Comet_vs_PerGene
NS5A,HM349216,1a,,Comet_vs_PerGene
NS5A,HM349217,1a,,Comet_vs_PerGene
NS5A,HM349218,1a,,Comet_vs_PerGene
NS5A,HM349219,1a,,Comet_vs_PerGene
NS5A,HM349220,1a,,Comet_vs_PerGene
NS5A,HM349221,1a,,Comet_vs_PerGene
NS5A,HM349222,1a,,Comet_vs_PerGene
NS5A,HM349223,1a,,Comet_vs_PerGene
NS5A,HM349224,1a,,Comet_vs_PerGene
NS5A,HM349225,1a,,Comet_vs_PerGene
NS5A,HM349226,1a,,Comet_vs_PerGene
NS5A,HM349227,1a,,Comet_vs_PerGene
NS5A,HM349228,1a,,Comet_vs_PerGene
NS5A,HM349229,1a,,Comet_vs_PerGene
NS5A,HM349230,1a,,Comet_vs_PerGene
NS5A,HM349231,1a,,Comet_vs_PerGene
NS5A,HM349232,1a,,Comet_vs_PerGene
NS5A,HM349233,1a,,Comet_vs_PerGene
NS5A,HM349234,1a,,Comet_vs_PerGene
NS5A,HM349235,1a,,Comet_vs_PerGene
NS5A,HM349236,1a,,Comet_vs_PerGene
NS5A,HM349237,1a,,Comet_vs_PerGene
NS5A,HM349238,1a,,Comet_vs_PerGene
NS5A,HM349239,1a,,Comet_vs_PerGene
NS5A,HM349240,1a,,Comet_vs_PerGene
NS5A,HM349241,1a,,Comet_vs_PerGene
NS5A,HM349242,1a,,Comet_vs_PerGene
NS5A,HM349243,1a,,Comet_vs_PerGene
NS5A,HM349244,1a,,Comet_vs_PerGene
NS5A,HM349245,1a,,Comet_vs_PerGene
NS5A,HM349246,1a,,Comet_vs_PerGene
NS5A,HM349247,1a,,Comet_vs_PerGene
NS5A,HM349248,1a,,Comet_vs_PerGene
NS5A,HM349249,1a,,Comet_vs_PerGene
NS5A,HM349250,1a,,Comet_vs_PerGene
NS5A,HM349251,1a,,Comet_vs_PerGene
NS5A,HM349252,1a,,Comet_vs_PerGene
NS5A,HM349253,1a,,Comet_vs_PerGene
NS5A,HM349254,1a,,Comet_vs_PerGene
NS5A,HM349255,1a,,Comet_vs_PerGene
NS5A,HM349256,1a,,Comet_vs_PerGene
NS5A,HM349257,1a,,Comet_vs_PerGene
NS5A,HM349258,1a,,Comet_vs_PerGene
NS5A,HM349259,1a,,Comet_vs_PerGene
NS5A,HM349260,1a,,Comet_vs_PerGene
NS5A,HM349261,1a,,Comet_vs_PerGene
NS5A,HM349262,1a,,Comet_vs_PerGene
NS5A,HM349263,1a,,Comet_vs_PerGene
NS5A,HM349264,1a,,Comet_vs_PerGene
NS5A,HM349265,1a,,Comet_vs_PerGene
NS5A,HM349266,1a,,Comet_vs_PerGene
NS5A,HM349267,1a,,Comet_vs_PerGene
NS5A,HM349268,1a,,Comet_vs_PerGene
NS5A,HM349269,1a,,Comet_vs_PerGene
NS5A,HM349270,1a,,Comet_vs_PerGene
NS5A,HM349271,1a,,Comet_vs_PerGene
NS5A,HM349272,1a,,Comet_vs_PerGene
NS5A,HM349273,1a,,Comet_vs_PerGene
NS5A,HM349274,1a,,Comet_vs_PerGene
NS5A,HM349275,1a,,Comet_vs_PerGene
NS5A,HM349276,1a,,Comet_vs_PerGene
NS5A,HM349277,1a,,Comet_vs_PerGene
NS5A,HM349278,1a,,Comet_vs_PerGene
NS5A,HM349279,1a,,Comet_vs_PerGene
NS5A,HM349280,1a,,Comet_vs_PerGene
NS5A,HM349281,1a,,Comet_vs_PerGene
NS5A,HM349282,1a,,Comet_vs_PerGene
NS5A,HM349283,1a,,Comet_vs_PerGene
NS5A,HM349284,1a,,Comet_vs_PerGene
NS5A,HM349285,1a,,Comet_vs_PerGene
NS5A,HM349286,1a,,Comet_vs_PerGene
NS5A,HM349287,1a,,Comet_vs_PerGene
NS5A,HM349288,1a,,Comet_vs_PerGene
NS5A,HM349289,1a,,Comet_vs_PerGene
NS5A,HM349290,1a,,Comet_vs_PerGene
NS5A,HM349291,1a,,Comet_vs_PerGene
NS5A,HM349292,1a,,Comet_vs_PerGene
NS5A,HM349293,1a,,Comet_vs_PerGene
NS5A,HM349294,1a,,Comet_vs_PerGene
NS5A,HM349295,1a,,Comet_vs_PerGene
NS5A,HM349296,1a,,Comet_vs_PerGene
NS5A,HM349297,1a,,Comet_vs_PerGene
NS5A,HM349298,1a,,Comet_vs_PerGene
NS5A,HM349299,1a,,Comet_vs_PerGene
NS5A,HM349300,1a,,Comet_vs_PerGene
NS5A,HM349301,1a,,Comet_vs_PerGene
NS5A,HM349302,1a,,Comet_vs_PerGene
NS5A,HM349303,1a,,Comet_vs_PerGene
NS5A,HM349304,1a,,Comet_vs_PerGene
NS5A,HM349305,1a,,Comet_vs_PerGene
NS5A,HM349306,1a,,Comet_vs_PerGene
NS5A,HM349307,1a,,Comet_vs_PerGene
NS5A,HM349308,1a,,Comet_vs_PerGene
NS5A,HM349309,1a,,Comet_vs_PerGene
NS5A,HM349310,1a,,Comet_vs_PerGene
NS5A,HM349311,1a,,Comet_vs_PerGene
NS5A,HM349312,1a,,Comet_vs_PerGene
NS5A,HM349313,1a,,Comet_vs_PerGene
NS5A,HM349314,1a,,Comet_vs_PerGene
NS5A,HM349315,1a,,Comet_vs_PerGene
NS5A,HM349316,1a,,Comet_vs_PerGene
NS5A,HM349317,1a,,Comet_vs_PerGene
NS5A,HM349318,1a,,Comet_vs_PerGene
NS5A,HM349319,1a,,Comet_vs_PerGene
NS5A,HM349320,1a,,Comet_vs_PerGene
NS5A,HM349321,1a,,Comet_vs_PerGene
NS5A,HM349322,1a,,Comet_vs_PerGene
NS5A,HM349323,1a,,Comet_vs_PerGene
NS5A,HM349324,1a,,Comet_vs_PerGene
NS5A,HM349325,1a,,Comet_vs_PerGene
NS5A,HM349326,1a,,Comet_vs_PerGene
NS5A,HM349327,1a,,Comet_vs_PerGene
NS5A,HM349328,1a,,Comet_vs_PerGene
NS5A,HM349329,1a,,Comet_vs_PerGene
NS5A,HM349330,1a,,Comet_vs_PerGene
NS5A,HM349331,1a,,Comet_vs_PerGene
NS5A,HM349332,1a,,Comet_vs_PerGene
NS5A,HM349333,1a,,Comet_vs_PerGene
NS5A,HM349334,1a,,Comet_vs_PerGene
NS5A,HM349335,1a,,Comet_vs_PerGene
NS5A,HM349336,1a,,Comet_vs_PerGene
NS5A,HM349337,1a,,Comet_vs_PerGene
NS5A,HM349338,1a,,Comet_vs_PerGene
NS5A,HM349339,1a,,Comet_vs_PerGene
NS5A,HM349340,1a,,Comet_vs_PerGene
NS5A,HM349341,1a,,Comet_vs_PerGene
NS5A,HM349342,1a,,Comet_vs_PerGene
NS5A,HM349343,1a,,Comet_vs_PerGene
NS5A,HM349344,1a,,Comet_vs_PerGene
NS5A,HM349345,1a,,Comet_vs_PerGene
NS5A,HM349346,1a,,Comet_vs_PerGene
NS5A,HM349347,1a,,Comet_vs_PerGene
NS5A,HM349348,1a,,Comet_vs_PerGene
NS5A,HM349349,1a,,Comet_vs_PerGene
NS5A,HM349350,1a,,Comet_vs_PerGene
NS5A,HM349351,1a,,Comet_vs_PerGene
NS5A,HM349352,1a,,Comet_vs_PerGene
NS5A,HM349353,1a,,Comet_vs_PerGene
NS5A,HM349354,1a,,Comet_vs_PerGene
NS5A,HM349355,1a,,Comet_vs_PerGene
NS5A,HM349356,1a,,Comet_vs_PerGene
NS5A,HM349357,1a,,Comet_vs_PerGene
NS5A,HM349358,1a,,Comet_vs_PerGene
NS5A,HM349359,1a,,Comet_vs_PerGene
NS5A,HM349360,1a,,Comet_vs_PerGene
NS5A,HM349361,1a,,Comet_vs_PerGene
NS5A,HM349362,1a,,Comet_vs_PerGene
NS5A,HM349363,1a,,Comet_vs_PerGene
NS5A,HM349364,1a,,Comet_vs_PerGene
NS5A,HM349365,1a,,Comet_vs_PerGene
NS5A,HM349366,1a,,Comet_vs_PerGene
NS5A,HM349367,1a,,Comet_vs_PerGene
NS5A,HM349368,1a,,Comet_vs_PerGene
NS5A,HM349369,1a,,Comet_vs_PerGene
NS5A,HM349370,1a,,Comet_vs_PerGene
NS5A,HM349371,1a,,Comet_vs_PerGene
NS5A,HM349372,1a,,Comet_vs_PerGene
NS5A,HM349373,1a,,Comet_vs_PerGene
NS5A,HM349374,1a,,Comet_vs_PerGene
NS5A,HM349375,1a,,Comet_vs_PerGene
NS5A,HM349376,1a,,Comet_vs_PerGene
NS5A,HM349377,1a,,Comet_vs_PerGene
