Accession,ClosestGenotype,ClosestSubtype,ReferenceOverlapAA
OQ979441,1,1b,
OQ979442,1,1b,
OQ979443,1,1b,
OQ979444,1,1b,
OQ979445,1,1b,
OQ979446,3,3a,26-93
OQ979447,3,3a,26-93
OQ979448,3,3a,26-93
OQ979449,3,3a,26-93
OQ979450,3,3a,
OQ979451,3,3a,
OQ979452,3,3a,
OQ979453,3,3a,26-93
OQ979454,3,3a,26-93
OQ979455,3,3a,
OQ979456,3,3a,
OQ979457,3,3a,
OQ979458,3,3a,26-93
OQ979459,3,3a,
OQ979460,3,3a,
OQ979461,3,3a,
OQ979462,3,3a,26-93
OQ979463,3,3a,
OQ979464,3,3a,48-93
OQ979465,3,3a,
OR661238,,,
OR661239,,,
OR661240,,,
OR661241,,,
OR661242,,,
OR726665,,,
OR726666,,,
OR726667,,,
AB001040,,,
AB008083,2,,
AB008084,1,,
AB008085,1,,
AB008086,1,,
AB008087,1,,
AB008088,1,,
AB008089,2,,
AB008090,1,,
AB008091,1,,
AB008092,1,,
AB008093,1,,
AB008094,1,,
AB010249,1,1b,26-93
AB010250,1,1b,26-93
AB013620,,,
AB013621,,,
AB013622,,,
AB013623,,,
AB013624,,,
AB013625,,,
AB013626,,,
AB013627,,,
AB013628,,,
AB013629,,,
AB013630,,,
AB013631,,,
AB013632,,,
AB013633,,,
AB013634,,,
AB013635,,,
AB013636,,,
AB013637,,,
AB013638,,,
AB013639,,,
AB013640,,,
AB013641,,,
AB013642,,,
AB013643,,,
AB013644,,,
AB013645,,,
AB013646,,,
AB013647,,,
AB013648,,,
AB013649,,,
AB013650,,,
AB013651,,,
AB016785,1,1b,26-93
AB027608,,,
AB027609,,,
AB027610,,,
AB030907,2,2b,26-93
AB031322,,,
AB031663,2,2k,26-93
AB036519,1,1b,26-93
AB036520,1,1b,26-93
AB036521,1,1b,26-93
AB047639,2,2a,26-93
AB047640,2,2a,26-93
AB047641,2,2a,26-93
AB047642,2,2a,26-93
AB047643,2,2a,26-93
AB047644,2,2a,26-93
AB047645,2,2a,26-93
AB049087,1,1b,26-93
AB049088,1,1b,26-93
AB049089,1,1b,26-93
AB049090,1,1b,26-93
AB049091,1,1b,26-93
AB049092,1,1b,26-93
AB049093,1,1b,26-93
AB049094,1,1b,26-93
AB049095,1,1b,26-93
AB049096,1,1b,26-93
AB049097,1,1b,26-93
AB049098,1,1b,26-93
AB049099,1,1b,26-93
AB049100,1,1b,26-93
AB049101,1,1b,26-93
AB057598,,,
AB057599,,,
AB057600,,,
AB057601,,,
AB057602,,,
AB057603,,,
AB057604,,,
AB057605,,,
AB057606,,,
AB057607,,,
AB057608,,,
AB057609,,,
AB057610,,,
AB057611,,,
AB057612,,,
AB057613,,,
AB057614,,,
AB057615,,,
AB057616,,,
AB057679,,,
AB057680,,,
AB057681,,,
AB057682,,,
AB057683,,,
AB057684,,,
AB057685,,,
AB057686,,,
AB057687,,,
AB057688,,,
AB057689,,,
AB057690,,,
AB057691,,,
AB057692,,,
AB057693,,,
AB057694,,,
AB057695,,,
AB057696,,,
AB057697,,,
AB057698,,,
AB057699,,,
AB057700,,,
AB057701,,,
AB057702,,,
AB057703,,,
AB057704,,,
AB057705,,,
AB057706,,,
AB057707,,,
AB057708,,,
AB057709,,,
AB057710,,,
AB057711,,,
AB057712,,,
AB057713,,,
AB057714,,,
AB057715,,,
AB057716,,,
AB057717,,,
AB057718,,,
AB057719,,,
AB057720,,,
AB057721,,,
AB072043,,,
AB072044,,,
AB072045,,,
AB072046,,,
AB072047,,,
AB072048,,,
AB072049,,,
AB072050,,,
AB072051,,,
AB072052,,,
AB072053,,,
AB072054,,,
AB072055,,,
AB072056,,,
AB072057,,,
AB072058,,,
AB072059,,,
AB072060,,,
AB072061,,,
AB072062,,,
AB072063,,,
AB072064,,,
AB072065,,,
AB072066,,,
AB072067,,,
AB072068,,,
AB072069,,,
AB072070,,,
AB072071,,,
AB072072,,,
AB072073,,,
AB072074,,,
AB072075,,,
AB072076,,,
AB072077,,,
AB072078,,,
AB072079,,,
AB072080,,,
AB072081,,,
AB072082,,,
AB072083,,,
AB072084,,,
AB072085,,,
AB072086,,,
AB072087,,,
AB072088,,,
AB072089,,,
AB072090,,,
AB072091,,,
AB072092,,,
AB072093,,,
AB072094,,,
AB072095,,,
AB072096,,,
AB072097,,,
AB072098,,,
AB072099,,,
AB072100,,,
AB072101,,,
AB072102,,,
AB072103,,,
AB072104,,,
AB072105,,,
AB072106,,,
AB072107,,,
AB072108,,,
AB072109,,,
AB072110,,,
AB072111,,,
AB072112,,,
AB072113,,,
AB079693,,,
AB079694,,,
AB079695,,,
AB079696,,,
AB079697,,,
AB079698,,,
AB079699,,,
AB079700,,,
AB079701,,,
AB079702,,,
AB079703,,,
AB079704,,,
AB079705,,,
AB079706,,,
AB079707,,,
AB079708,,,
AB079709,,,
AB079710,,,
AB079711,,,
AB079712,,,
AB079713,,,
AB079714,,,
AB079715,,,
AB079716,,,
AB079717,,,
AB079718,,,
AB079719,,,
AB079720,,,
AB079721,,,
AB079722,,,
AB079723,,,
AB080299,1,1b,26-93
AB081031,,,
AB081032,,,
AB081033,,,
AB081034,,,
AB081035,,,
AB081036,,,
AB081037,,,
AB081038,,,
AB081039,,,
AB081040,,,
AB081041,,,
AB081042,,,
AB081043,,,
AB081044,,,
AB081045,,,
AB081046,,,
AB081047,,,
AB081048,,,
AB081049,,,
AB081050,,,
AB081051,,,
AB081052,,,
AB081053,,,
AB081054,,,
AB081055,,,
AB081056,,,
AB081057,,,
AB081058,,,
AB081059,,,
AB081060,,,
AB081061,,,
AB081062,,,
AB081063,,,
AB081064,,,
AB081065,,,
AB081066,,,
AB081067,,,
AB081068,,,
AB081069,,,
AB081070,,,
AB081071,,,
AB089512,,,
AB089513,,,
AB089514,,,
AB089515,,,
AB089516,,,
AB089517,,,
AB089518,,,
AB089519,,,
AB089520,,,
AB089521,,,
AB089522,,,
AB089523,,,
AB089524,,,
AB089525,,,
AB089526,,,
AB089527,,,
AB089528,,,
AB089529,,,
AB089530,,,
AB089531,,,
AB089532,,,
AB089533,,,
AB089534,,,
AB089535,,,
AB089536,,,
AB089537,,,
AB089538,,,
AB089539,,,
AB089540,,,
AB089541,,,
AB089542,,,
AB089543,,,
AB089544,,,
AB089545,,,
AB089546,,,
AB089547,,,
AB089548,,,
AB089549,,,
AB089550,,,
AB089551,,,
AB089552,,,
AB089553,,,
AB089554,,,
AB089555,,,
AB089556,,,
AB089557,,,
AB089558,,,
AB089559,,,
AB089560,,,
AB089561,,,
AB089562,,,
AB089563,,,
AB089564,,,
AB089565,,,
AB089566,,,
AB089567,,,
AB089568,,,
AB089569,,,
AB089570,,,
AB089571,,,
AB089572,,,
AB089573,,,
AB089574,,,
AB089575,,,
AB089576,,,
AB089577,,,
AB089578,,,
AB089579,,,
AB089580,,,
AB089581,,,
AB089582,,,
AB089583,,,
AB100806,,,
AB100807,,,
AB100808,,,
AB100809,,,
AB100810,,,
AB100811,,,
AB100812,,,
AB100813,,,
AB100814,,,
AB100815,,,
AB100816,,,
AB100817,,,
AB100818,,,
AB100819,,,
AB100820,,,
AB100821,,,
AB100822,,,
AB100823,,,
AB100824,,,
AB100825,,,
AB100826,,,
AB100827,,,
AB100828,,,
AB100829,,,
AB103135,,,
AB103136,,,
AB103137,,,
AB103138,,,
AB103139,,,
AB103140,,,
AB103141,,,
AB103142,,,
AB103143,,,
AB103144,,,
AB103145,,,
AB103146,,,
AB103147,,,
AB103148,,,
AB103149,,,
AB103150,,,
AB103151,,,
AB103152,,,
AB103153,,,
AB103154,,,
AB103155,,,
AB103156,,,
AB103157,,,
AB103424,,,
AB103425,,,
AB103426,,,
AB103427,,,
AB103428,,,
AB103429,,,
AB103430,,,
AB103431,,,
AB103432,,,
AB103433,,,
AB103434,,,
AB103435,,,
AB103436,,,
AB103437,,,
AB103438,,,
AB103439,,,
AB103440,,,
AB103441,,,
AB103442,,,
AB103443,,,
AB103444,,,
AB103445,,,
AB103446,,,
AB103447,,,
AB103448,,,
AB103449,,,
AB103451,,,
AB103452,,,
AB103453,,,
AB103454,,,
AB103455,,,
AB103456,,,
AB103457,,,
AB109543,1,1b,26-93
AB110287,,,
AB110288,,,
AB110289,,,
AB110290,,,
AB110291,,,
AB110292,,,
AB110293,,,
AB110294,,,
AB110295,,,
AB110296,,,
AB110297,,,
AB110298,,,
AB110299,,,
AB110300,,,
AB110301,,,
AB110302,,,
AB110303,,,
AB110304,,,
AB110305,,,
AB110306,,,
AB110307,,,
AB110308,,,
AB110309,,,
AB110310,,,
AB110311,,,
AB110312,,,
AB110313,,,
AB110314,,,
AB110315,,,
AB110316,,,
AB110317,,,
AB110318,,,
AB110319,,,
AB110320,,,
AB110321,,,
AB110322,,,
AB110323,,,
AB110324,,,
AB110325,,,
AB110326,,,
AB110327,,,
AB110328,,,
AB110329,,,
AB110330,,,
AB110331,,,
AB110332,,,
AB110333,,,
AB110334,,,
AB110335,,,
AB110336,,,
AB110337,,,
AB110338,,,
AB110339,,,
AB110340,,,
AB110341,,,
AB110342,,,
AB110343,,,
AB110344,,,
AB110345,,,
AB110346,,,
AB110347,,,
AB110348,,,
AB110349,,,
AB110350,,,
AB110351,,,
AB110352,,,
AB110353,,,
AB110354,,,
AB110355,,,
AB110356,,,
AB110357,,,
AB110358,,,
AB110359,,,
AB110360,,,
AB110361,,,
AB110362,,,
AB110363,,,
AB110364,,,
AB110365,,,
AB110366,,,
AB110367,,,
AB110368,,,
AB110369,,,
AB110370,,,
AB110371,,,
AB110372,,,
AB110373,,,
AB110374,,,
AB110375,,,
AB110376,,,
AB110377,,,
AB110378,,,
AB110379,,,
AB110380,,,
AB110381,,,
AB110382,,,
AB110383,,,
AB110384,,,
AB110385,,,
AB110386,,,
AB110387,,,
AB110388,,,
AB110389,,,
AB110390,,,
AB110391,,,
AB110392,,,
AB110393,,,
AB110394,,,
AB110395,,,
AB110396,,,
AB110397,,,
AB110398,,,
AB110399,,,
AB110400,,,
AB110401,,,
AB110402,,,
AB110403,,,
AB110404,,,
AB110405,,,
AB110406,,,
AB110407,,,
AB110408,,,
AB110409,,,
AB110410,,,
AB110411,,,
AB110412,,,
AB110413,,,
AB113404,,,
AB113405,,,
AB113406,,,
AB113407,,,
AB113408,,,
AB113409,,,
AB113410,,,
AB113411,,,
AB113412,,,
AB113413,,,
AB113414,,,
AB113415,,,
AB113416,,,
AB113417,,,
AB113418,,,
AB113419,,,
AB113420,,,
AB113421,,,
AB113422,,,
AB113423,,,
AB113424,,,
AB113425,,,
AB113426,,,
AB113427,,,
AB113428,,,
AB113429,,,
AB113430,,,
AB113431,,,
AB113432,,,
AB113433,,,
AB113434,,,
AB113435,,,
AB113436,,,
AB113437,,,
AB113438,,,
AB113439,,,
AB113440,,,
AB113441,,,
AB113442,,,
AB113443,,,
AB113444,,,
AB113445,,,
AB113446,,,
AB113447,,,
AB113448,,,
AB113449,,,
AB113450,,,
AB113451,,,
AB113452,,,
AB113453,,,
AB113454,,,
AB113455,,,
AB113456,,,
AB113457,,,
AB113458,,,
AB113459,,,
AB113460,,,
AB113461,,,
AB113462,,,
AB113463,,,
AB113464,,,
AB113465,,,
AB113466,,,
AB113467,,,
AB113468,,,
AB113469,,,
AB113470,,,
AB113471,,,
AB113472,,,
AB113473,,,
AB113474,,,
AB113475,,,
AB113476,,,
AB113477,,,
AB113478,,,
AB113479,,,
AB113480,,,
AB113481,,,
AB113482,,,
AB113483,,,
AB113484,,,
AB113485,,,
AB113486,,,
AB113487,,,
AB113488,,,
AB113489,,,
AB113490,,,
AB113491,,,
AB113492,,,
AB113493,,,
AB113494,,,
AB113495,,,
AB113496,,,
AB113497,,,
AB113498,,,
AB113499,,,
AB113500,,,
AB113501,,,
AB113502,,,
AB113503,,,
AB113504,,,
AB113505,,,
AB113506,,,
AB113507,,,
AB113508,,,
AB113509,,,
AB113510,,,
AB113511,,,
AB113512,,,
AB113513,,,
AB113514,,,
AB113515,,,
AB113516,,,
AB113517,,,
AB113518,,,
AB113519,,,
AB113520,,,
AB113521,,,
AB113522,,,
AB113523,,,
AB113524,,,
AB113525,,,
AB113526,,,
AB113527,,,
AB113528,,,
AB113529,,,
AB113530,,,
AB113531,,,
AB113532,,,
AB113533,,,
AB113534,,,
AB113535,,,
AB113536,,,
AB113537,,,
AB113538,,,
AB113539,,,
AB113540,,,
AB113541,,,
AB113542,,,
AB113543,,,
AB113544,,,
AB113545,,,
AB119282,1,1b,26-93
AB154177,1,1b,26-93
AB154178,1,1b,26-93
AB154179,1,1b,26-93
AB154180,1,1b,26-93
AB154181,1,1b,26-93
AB154182,1,1b,26-93
AB154183,1,1b,26-93
AB154184,1,1b,26-93
AB154185,1,1b,26-93
AB154186,1,1b,26-93
AB154187,1,1b,26-93
AB154188,1,1b,26-93
AB154189,1,1b,26-93
AB154190,1,1b,26-93
AB154191,1,1b,26-93
AB154192,1,1b,26-93
AB154193,1,1b,26-93
AB154194,1,1b,26-93
AB154195,1,1b,26-93
AB154196,1,1b,26-93
AB154197,1,1b,26-93
AB154198,1,1b,26-93
AB154199,1,1b,26-93
AB154200,1,1b,26-93
AB154201,1,1b,26-93
AB154202,1,1b,26-93
AB154203,1,1b,26-93
AB154204,1,1b,26-93
AB154205,1,1b,26-93
AB154206,1,1b,26-93
AB162877,,,
AB162878,,,
AB162879,,,
AB162880,,,
AB162881,,,
AB162882,,,
AB162883,,,
AB162884,,,
AB162885,,,
AB162886,,,
AB162887,,,
AB162888,,,
AB162889,,,
AB162890,,,
AB162891,,,
AB162892,,,
AB162893,,,
AB186421,,,
AB186422,,,
AB186423,,,
AB186424,,,
AB189078,,,
AB189079,,,
AB189080,,,
AB189081,,,
AB189082,,,
AB189083,,,
AB189084,,,
AB189085,,,
AB189086,,,
AB189087,,,
AB189088,,,
AB189089,,,
AB189090,,,
AB189091,,,
AB189092,,,
AB189093,,,
AB189094,,,
AB189095,,,
AB189096,,,
AB189097,,,
AB189098,,,
AB189099,,,
AB189100,,,
AB189101,,,
AB189102,,,
AB189103,,,
AB189104,,,
AB189105,,,
AB189106,,,
AB189107,,,
AB189108,,,
AB189109,,,
AB189110,,,
AB189111,,,
AB189112,,,
AB189113,,,
AB189114,,,
AB189115,,,
AB189116,,,
AB189117,,,
AB189118,,,
AB189119,,,
AB191333,1,1b,26-93
AB204592,,,
AB204593,,,
AB204594,,,
AB204595,,,
AB204596,,,
AB204597,,,
AB204598,,,
AB204599,,,
AB204600,,,
AB204601,,,
AB204602,,,
AB204603,,,
AB204604,,,
AB204605,,,
AB204606,,,
AB204607,,,
AB204608,,,
AB204609,,,
AB204610,,,
AB204611,,,
AB204612,,,
AB204613,,,
AB204614,,,
AB204615,,,
AB204616,,,
AB204617,,,
AB204618,,,
AB204619,,,
AB204620,,,
AB204621,,,
AB204622,,,
AB204623,,,
AB204624,,,
AB204625,,,
AB204626,,,
AB204627,,,
AB204628,,,
AB204629,,,
AB204630,,,
AB204631,,,
AB204632,,,
AB204633,,,
AB204634,,,
AB204635,,,
AB204636,,,
AB204637,,,
AB204638,,,
AB204639,,,
AB204640,,,
AB204641,,,
AB204642,,,
AB204643,,,
AB204644,,,
AB204645,,,
AB204646,,,
AB204647,,,
AB204648,,,
AB204649,,,
AB204650,,,
AB204651,,,
AB204652,,,
AB204653,,,
AB204654,,,
AB204655,,,
AB204656,,,
AB204657,,,
AB204658,,,
AB204659,,,
AB204660,,,
AB204661,,,
AB204662,,,
AB204663,,,
AB204664,,,
AB204665,,,
AB204666,,,
AB204667,,,
AB204668,,,
AB204669,,,
AB204670,,,
AB204671,,,
AB204672,,,
AB204673,,,
AB204674,,,
AB204675,,,
AB204676,,,
AB204677,,,
AB204678,,,
AB204679,,,
AB204680,,,
AB204681,,,
AB204682,,,
AB204683,,,
AB204684,,,
AB204685,,,
AB204686,,,
AB204687,,,
AB204688,,,
AB204689,,,
AB204690,,,
AB204691,,,
AB204692,,,
AB204693,,,
AB204694,,,
AB204695,,,
AB204696,,,
AB204697,,,
AB204698,,,
AB204699,,,
AB204700,,,
AB204701,,,
AB204702,,,
AB204703,,,
AB204704,,,
AB204705,,,
AB204706,,,
AB204707,,,
AB204708,,,
AB207250,1,,
AB207251,1,,
AB207766,1,,
AB207767,1,,
AB207768,1,,
AB207769,1,,
AB207770,1,,
AB207771,1,,
AB207772,1,,
AB207773,1,,
AB207774,1,,
AB207775,1,,
AB207776,1,,
AB207777,1,,
AB207778,1,,
AB207779,1,,
AB207780,1,,
AB207781,1,,
AB207782,1,,
AB207783,1,,
AB207784,1,,
AB207785,1,,
AB207786,,,
AB207787,,,
AB207788,,,
AB207789,,,
AB207790,,,
AB207791,,,
AB207792,,,
AB207793,,,
AB207794,,,
AB207795,,,
AB207796,,,
AB207797,,,
AB207798,,,
AB207799,,,
AB207800,,,
AB207801,,,
AB249644,1,1b,26-93
AB250149,,,
AB250150,,,
AB250153,,,
AB250154,,,
AB269353,,,
AB281368,,,
AB281369,,,
AB281370,,,
AB281371,,,
AB281372,,,
AB281373,,,
AB281374,,,
AB281375,,,
AB281376,,,
AB281377,,,
AB281378,,,
AB281379,,,
AB281380,,,
AB281381,,,
AB281382,,,
AB281383,,,
AB281384,,,
AB281385,,,
AB281386,,,
AB281387,,,
AB281388,,,
AB281389,,,
AB281390,,,
AB281391,,,
AB281392,,,
AB281393,,,
AB281394,,,
AB281395,,,
AB281396,,,
AB281397,,,
AB281398,,,
AB281399,,,
AB281400,,,
AB281401,,,
AB281402,,,
AB281403,,,
AB281404,,,
AB281405,,,
AB281406,,,
AB281407,,,
AB281408,,,
AB281409,,,
AB281410,,,
AB281411,,,
AB281412,,,
AB281413,,,
AB281414,,,
AB281415,,,
AB281416,,,
AB281417,,,
AB281418,,,
AB281419,,,
AB281420,,,
AB281421,,,
AB281422,,,
AB281423,,,
AB281424,,,
AB284190,,,
AB284191,,,
AB284192,,,
AB284193,,,
AB284194,,,
AB284195,,,
AB284196,,,
AB284197,,,
AB284198,,,
AB284199,,,
AB284200,,,
AB284201,,,
AB284202,,,
AB284203,,,
AB284204,,,
AB284205,,,
AB284206,,,
AB284207,,,
AB284208,,,
AB284209,,,
AB284210,,,
AB284211,,,
AB284212,,,
AB284213,,,
AB284214,,,
AB284215,,,
AB284216,,,
AB284217,,,
AB284218,,,
AB284219,,,
AB284220,,,
AB284221,,,
AB284222,,,
AB284223,,,
AB284224,,,
AB284225,,,
AB284226,,,
AB284227,,,
AB284228,,,
AB284229,,,
AB284230,,,
AB284231,,,
AB284232,,,
AB284233,,,
AB284234,,,
AB284235,,,
AB284236,,,
AB284237,,,
AB284238,,,
AB284239,,,
AB284240,,,
AB284241,,,
AB284242,,,
AB284243,,,
AB284244,,,
AB284245,,,
AB284246,,,
AB284247,,,
AB284248,,,
AB284249,,,
AB284250,,,
AB284251,,,
AB284252,,,
AB284254,,,
AB284256,,,
AB284257,,,
AB285035,1,1b,26-93
AB285036,1,1b,26-93
AB285037,1,1b,26-93
AB285038,1,1b,26-93
AB285039,1,1b,26-93
AB285040,1,1b,26-93
AB285041,1,1b,26-93
AB285042,1,1b,26-93
AB285043,1,1b,26-93
AB285044,1,1b,26-93
AB285045,1,1b,26-93
AB285046,1,1b,26-93
AB285047,1,1b,26-93
AB285048,1,1b,26-93
AB285049,1,1b,26-93
AB285050,1,1b,26-93
AB285051,1,1b,26-93
AB285052,1,1b,26-93
AB285053,1,1b,26-93
AB285054,1,1b,26-93
AB285055,1,1b,26-93
AB285056,1,1b,26-93
AB285057,1,1b,26-93
AB285058,1,1b,26-93
AB285059,1,1b,26-93
AB285060,1,1b,26-93
AB285061,1,1b,26-93
AB285062,1,1b,26-93
AB285063,1,1b,26-93
AB285064,1,1b,26-93
AB285065,1,1b,26-93
AB285066,1,1b,26-93
AB285067,1,1b,26-93
AB285068,1,1b,26-93
AB285069,1,1b,26-93
AB285070,1,1b,26-93
AB285071,1,1b,26-93
AB285072,1,1b,26-93
AB285073,1,1b,26-93
AB285074,1,1b,26-93
AB285075,1,1b,26-93
AB285076,1,1b,26-93
AB285077,1,1b,26-93
AB285078,1,1b,26-93
AB285079,1,1b,26-93
AB285080,1,1b,26-93
AB285081,1,1b,26-93
AB287334,,,
AB287335,,,
AB287336,,,
AB287337,,,
AB287338,,,
AB287339,,,
AB287340,,,
AB287341,,,
AB287342,,,
AB287343,,,
AB287344,,,
AB287345,,,
AB287346,,,
AB295119,,,
AB295120,,,
AB295121,,,
AB295122,,,
AB295123,,,
AB295124,,,
AB295125,,,
AB295126,,,
AB295127,,,
AB295128,,,
AB295129,,,
AB295130,,,
AB295131,,,
AB295132,,,
AB295133,,,
AB295134,,,
AB295135,,,
AB295136,,,
AB295137,,,
AB295138,,,
AB295139,,,
AB295140,,,
AB295141,,,
AB295142,,,
AB295143,,,
AB295144,,,
AB295145,,,
AB295146,,,
AB295147,,,
AB295148,,,
AB295149,,,
AB295150,,,
AB295151,,,
AB295152,,,
AB295153,,,
AB295154,,,
AB295155,,,
AB295156,,,
AB295157,,,
AB295158,,,
AB295159,,,
AB295160,,,
AB295161,,,
AB295162,,,
AB295163,,,
AB295164,,,
AB295165,,,
AB295166,,,
AB295167,,,
AB295168,,,
AB295169,,,
AB295170,,,
AB295171,,,
AB295172,,,
AB295173,,,
AB295174,,,
AB295175,,,
AB295176,,,
AB295177,,,
AB295178,,,
AB327052,,,
AB327053,,,
AB327054,,,
AB327055,,,
AB327056,,,
AB327057,,,
AB327058,,,
AB327059,,,
AB327107,,,
AB327108,,,
AB327109,,,
AB327110,,,
AB327111,,,
AB327112,,,
AB327113,,,
AB327114,,,
AB327115,,,
AB327116,,,
AB327117,,,
AB327118,,,
AB327119,,,
AB327120,,,
AB330313,,,
AB330314,,,
AB330315,,,
AB330316,,,
AB330317,,,
AB330318,,,
AB330319,,,
AB330320,,,
AB330321,,,
AB330322,,,
AB330323,,,
AB330324,,,
AB330325,,,
AB330326,,,
AB330327,,,
AB330328,,,
AB330329,,,
AB330330,,,
AB330331,,,
AB330332,,,
AB330333,,,
AB330334,,,
AB330335,,,
AB330336,,,
AB330337,,,
AB330338,,,
AB330339,,,
AB330340,,,
AB330341,,,
AB330342,,,
AB330343,,,
AB330344,,,
AB330345,,,
AB330346,,,
AB330347,,,
AB354116,1,1b,26-93
AB354117,1,1b,26-93
AB354118,1,1b,26-93
AB426117,1,1b,26-93
AB429050,1,1b,26-93
AB433270,,,
AB433271,,,
AB433272,,,
AB435162,1,1b,26-93
AB440794,1,,
AB440795,1,,
AB440796,1,,
AB440797,1,,
AB440798,1,,
AB440799,1,,
AB440800,1,,
AB440801,1,,
AB440802,1,,
AB440803,1,,
AB440804,1,,
AB440805,1,,
AB440806,1,,
AB440807,1,,
AB440808,1,,
AB440809,1,,
AB440810,1,,
AB440811,1,,
AB440812,1,,
AB440813,1,,
AB440814,1,,
AB440815,1,,
AB440816,1,,
AB440817,1,,
AB440818,1,,
AB440819,1,,
AB440820,1,,
AB440821,1,,
AB440822,1,,
AB440823,1,,
AB440824,1,,
AB440825,1,,
AB440826,1,,
AB440827,1,,
AB440828,1,,
AB440829,1,,
AB440830,1,,
AB440831,1,,
AB440832,1,,
AB440833,1,,
AB440834,1,,
AB440835,1,,
AB440836,1,,
AB440837,1,,
AB440838,1,,
AB440839,1,,
AB440840,1,,
AB440841,1,,
AB440842,1,,
AB440843,1,,
AB440844,1,,
AB440845,1,,
AB440846,1,,
AB440847,1,,
AB440848,1,,
AB440849,1,,
AB440850,1,,
AB440851,1,,
AB440852,1,,
AB440853,1,,
AB440854,1,,
AB440855,1,,
AB440856,1,,
AB440857,1,,
AB440858,1,,
AB440859,1,,
AB440860,1,,
AB440861,1,,
AB440862,1,,
AB440863,1,,
AB440864,1,,
AB440865,1,,
AB440866,1,,
AB440867,1,,
AB440868,1,,
AB440869,1,,
AB440870,1,,
AB440871,1,,
AB440872,1,,
AB440873,1,,
AB440874,1,,
AB440875,1,,
AB440876,1,,
AB440877,1,,
AB440878,1,,
AB440879,1,,
AB440880,1,,
AB440881,1,,
AB440882,1,,
AB440883,1,,
AB440884,1,,
AB440885,1,,
AB440886,1,,
AB440887,1,,
AB440888,1,,
AB440889,1,,
AB440890,1,,
AB440891,1,,
AB440892,1,,
AB440893,1,,
AB440894,1,,
AB440895,1,,
AB440896,1,,
AB440897,1,,
AB440898,1,,
AB440899,1,,
AB440900,1,,
AB440901,1,,
AB440902,1,,
AB440903,1,,
AB440904,1,,
AB440905,1,,
AB440906,1,,
AB440907,1,,
AB440908,1,,
AB440909,1,,
AB440910,1,,
AB440911,1,,
AB440912,1,,
AB440913,1,,
AB440914,1,,
AB440915,1,,
AB440916,1,,
AB440917,1,,
AB440918,1,,
AB440919,1,,
AB440920,1,,
AB440921,1,,
AB440922,1,,
AB440923,1,,
AB440924,1,,
AB440925,1,,
AB440926,1,,
AB440927,1,,
AB440928,1,,
AB440929,1,,
AB440930,1,,
AB440931,1,,
AB440932,1,,
AB440933,1,,
AB440934,1,,
AB440935,1,,
AB440936,1,,
AB440937,1,,
AB440938,1,,
AB440939,1,,
AB440940,1,,
AB440941,1,,
AB440942,1,,
AB440943,1,,
AB440944,1,,
AB440945,1,,
AB440946,1,,
AB440947,1,,
AB440948,1,,
AB440949,1,,
AB440950,1,,
AB440951,1,,
AB440952,1,,
AB440953,1,,
AB440954,1,,
AB440955,1,,
AB440956,1,,
AB440957,1,,
AB440958,1,,
AB440959,1,,
AB440960,1,,
AB440961,1,,
AB440962,1,,
AB440963,1,,
AB440964,1,,
AB440965,1,,
AB440966,1,,
AB440967,1,,
AB440968,1,,
AB440969,1,,
AB440970,1,,
AB440971,1,,
AB440972,1,,
AB440973,1,,
AB440974,1,,
AB440975,1,,
AB440976,1,,
AB440977,1,,
AB440978,1,,
AB440979,1,,
AB440980,1,,
AB440981,1,,
AB440982,1,,
AB440983,1,,
AB440984,1,,
AB440985,1,,
AB440986,1,,
AB440987,1,,
AB440988,1,,
AB440989,1,,
AB440990,1,,
AB440991,1,,
AB440992,1,,
AB440993,1,,
AB440994,1,,
AB440995,1,,
AB440996,1,,
AB440997,1,,
AB440998,1,,
AB440999,1,,
AB441000,1,,
AB441001,1,,
AB441002,1,,
AB441003,1,,
AB441004,1,,
AB441005,1,,
AB441006,1,,
AB441007,1,,
AB441008,1,,
AB441009,1,,
AB441010,1,,
AB441011,1,,
AB441012,1,,
AB441013,1,,
AB441014,1,,
AB441015,1,,
AB441016,1,,
AB441017,1,,
AB441018,1,,
AB441019,1,,
AB441020,1,,
AB441021,1,,
AB441022,1,,
AB441023,1,,
AB441024,1,,
AB441025,1,,
AB441026,1,,
AB441027,1,,
AB442219,1,1b,26-93
AB442220,1,1b,26-93
AB442221,1,1b,26-93
AB442222,1,1b,26-93
AB444429,,,
AB444430,,,
AB444431,,,
AB444432,,,
AB444433,,,
AB444434,,,
AB444435,,,
AB444436,,,
AB444437,,,
AB444438,,,
AB444439,,,
AB444440,,,
AB444441,,,
AB444442,,,
AB444443,,,
AB444444,,,
AB444445,,,
AB444446,,,
AB444447,,,
AB444448,,,
AB444449,,,
AB444450,,,
AB444451,,,
AB444452,,,
AB444453,,,
AB444454,,,
AB444455,,,
AB444456,,,
AB444457,,,
AB444458,,,
AB444459,,,
AB444460,,,
AB444461,,,
AB444462,,,
AB444463,,,
AB444464,,,
AB444465,,,
AB444466,,,
AB444467,,,
AB444468,,,
AB444469,,,
AB444470,,,
AB444471,,,
AB444472,,,
AB444473,,,
AB444474,,,
AB444475,,,
AB444476,,,
AB444477,,,
AB444478,,,
AB444479,,,
AB444480,,,
AB444481,,,
AB444482,,,
AB444483,,,
AB444484,,,
AB444485,,,
AB444486,,,
AB444487,,,
AB444488,,,
AB444489,,,
