accession,genotype,subtype
MN146419,1,1a
MN146420,1,1a
MN146421,1,1a
MN146422,1,1b
MN146423,1,1b
MN146424,1,1b
MN146425,1,1b
MN146426,1,1b
MN146427,1,1b
MN146428,1,1b
MN146429,1,1b
MN146430,1,1b
MN146431,1,1b
MN146432,1,1a
MN146433,1,1a
MN146434,1,1a
MN146435,1,1a
MN146436,1,1a
MN146437,1,1a
MN146438,1,1a
MN146439,1,1a
MN146440,1,1a
MN146441,1,1a
MN146442,,
MN146443,,
MN146444,,
MN146445,,
MN146446,,
MN146447,1,1a
MN146448,1,1a
MN146449,1,1a
MN146450,1,1a
MN146451,1,1a
MN146452,1,1a
MN146453,1,1a
MN146454,1,1a
MN146455,1,1a
MN146456,1,1a
MN146457,1,1a
MN146458,1,1a
MN146459,1,1a
MN146460,1,1a
MN146461,1,1a
MN146462,1,1a
MN146463,1,1a
MN146464,1,1a
MN146465,1,1a
MN146466,1,1a
MN146467,1,1a
MN146468,1,1a
MN146469,1,1a
MN146470,1,1a
MN146471,1,1a
MN146472,1,1a
MN146473,1,1a
MN146474,1,1a
MN146475,1,1a
MN146476,1,1a
MN146477,1,1a
MN146478,1,1a
MN146479,1,1a
MN146480,1,1a
MN146481,1,1a
MN146482,1,1a
MN146483,1,1a
MN146484,1,1a
MN146485,1,1a
MN146486,1,1b
MN146487,1,1b
MN146488,1,1b
MN146489,1,1b
MN146490,1,1b
MN146491,1,1b
MN146492,1,1a
MN146494,1,1a
MN146495,1,1a
MN146496,1,1a
MN146497,1,1a
MN146498,3,3a
MN146499,3,3a
MN146500,1,1a
MN146501,1,1a
MN146502,1,1a
MN146503,1,1a
MN146504,1,1a
MN146505,1,1a
MN146506,1,1a
MN146507,1,1a
MN146508,1,1a
MN146509,1,1a
MN146510,1,1a
MN146511,1,1a
MN146512,1,1a
MN146513,3,3a
MN146514,3,3a
MN146515,1,1b
MN146516,1,1b
MN146517,1,1b
MN146518,1,1b
MN146519,1,1b
MN146520,1,1b
MN146521,1,1b
MN146522,1,1b
MN146523,1,1b
MN146524,1,1b
MN146525,1,1a
MN146526,1,1a
MN146527,1,1a
MN146528,1,1a
MN146529,1,1a
MN146530,1,1a
MN146531,1,1a
MN146532,1,1a
MN146533,1,1a
MN146534,1,1a
MN146535,1,1a
MN146536,1,1a
MN146537,1,1a
MN146538,1,1a
MN146539,1,1b
MN146540,1,1b
MN146541,1,1a
MN146542,1,1a
MN146543,1,1a
MN146544,1,1a
MN146545,1,1a
MN146546,1,1a
MN146547,1,1a
MN146548,1,1a
MN146549,1,1a
MN146550,1,1a
MN146551,1,1a
MN146552,1,1a
MN146553,1,1a
MN146554,1,1a
MN146555,1,1a
MN146556,1,1a
MN146557,1,1a
MN146558,1,1a
MN146559,1,1a
MN146560,1,1a
MN146561,1,1a
MN146562,1,1a
MN146563,1,1a
MN146564,1,1a
MN146565,1,1a
MN146566,1,1a
MN146567,1,1b
MN146568,1,1b
MN146569,1,1b
MN146570,1,1b
MN146571,1,1b
MN146572,1,1b
MN146573,1,1a
MN146574,1,1a
MN146575,1,1a
MN146576,1,1a
MN146577,1,1a
MN146578,1,1a
MN146579,1,1a
MN146580,1,1a
MN146581,1,1a
MN146582,1,1a
MN146583,1,1a
MN146584,1,1a
MN146585,1,1a
MN146586,1,1a
MN146587,1,1a
MN146588,1,1b
MN146589,1,1b
MN146590,1,1b
MN146591,1,1b
MN146592,1,1b
MN146593,1,1b
MN146594,1,1b
MN146595,3,3a
MN146596,3,3a
MN146597,3,3a
MN146598,3,3a
MN146599,1,1a
MN146600,1,1a
MN146601,1,1a
MN146602,1,1a
MN146603,1,1a
MN146604,1,1a
MN146605,1,1a
MN146606,1,1a
MN146607,1,1a
MN146608,1,1a
MN146609,1,1b
MN146610,1,1b
MN146611,1,1b
MN146612,1,1b
MN146613,1,1b
MN146614,1,1b
MN146615,1,1a
MN146616,1,1a
MN146617,1,1a
MN146618,1,1a
MN146619,1,1a
MN146620,1,1a
MN146621,1,1a
MN146622,1,1a
MN146623,1,1a
MN146624,1,1a
MN146625,1,1a
MN146626,1,1a
MN146627,1,1a
MN146628,1,1b
MN146629,1,1b
MN146630,1,1b
MN146631,1,1b
MN146632,1,1b
MN146633,1,1a
MN146634,1,1a
MN146635,1,1a
MN146636,1,1a
MN146637,1,1a
MN146638,1,1a
MN146639,1,1a
MN146640,1,1a
MN146641,1,1a
MN146642,1,1a
MN146643,1,1a
MN146644,1,1a
MN146645,1,1a
MN146646,1,1a
MN146647,1,1a
MN146648,1,1a
MN146649,1,1a
MN146650,1,1a
MN146651,1,1a
MN146652,1,1a
MN146653,1,1b
MN146654,1,1b
MN146655,1,1a
MN146656,1,1a
MN146657,1,1a
MN146658,1,1a
MN146659,1,1a
MN146660,1,1a
MN146661,1,1a
MN146662,1,1b
MN146663,1,1b
MN146664,1,1a
MN146665,1,1a
MN146666,1,1a
MN146667,1,1a
MN146668,1,1a
MN146669,1,1a
MN146670,1,1a
MN146671,1,1a
MN146672,1,1a
MN146673,1,1a
MN146674,1,1a
MN146675,1,1a
MN146676,1,1a
MN146677,1,1a
MN146678,1,1a
MN146679,1,1a
MN164843,1,1l
MN164844,1,1l
MN164845,1,
MN164846,1,
MN164847,1,
MN164848,1,
MN164849,1,
MN164850,1,
MN164851,1,
MN164852,1,
MN164853,1,
MN164854,1,
MN164855,1,
MN164856,1,1p
MN164857,1,1p
MN164858,1,
MN164859,1,
MN164860,1,1l
MN164861,1,
MN164862,1,
MN164863,1,
MN164864,1,
MN164865,1,1l
MN164866,1,1e
MN164867,1,
MN164868,1,
MN164869,1,1g
MN164870,1,
MN164871,1,
MN164872,1,
MN164873,1,1p
MN164874,1,
MN164875,1,1e
MN164876,1,1p
MN164877,1,
MN227780,3,3a
MN227781,3,3a
MN227782,3,3a
MN227783,3,3a
MN227784,3,3a
MN227785,3,3a
MN227786,3,3a
MN227787,3,3a
MN227788,3,3a
MN227789,3,3a
MN227790,3,3a
MN227791,3,3a
MN227792,3,3a
MN227793,3,3a
MN227794,3,3a
MN227795,3,3a
MN227796,3,3a
MN227797,3,3a
MN227798,3,3a
MN227799,3,3a
MN227800,3,3a
MN227801,3,3a
MN227802,3,3a
MN227803,3,3a
MN227804,3,3a
MN227805,3,3a
MN227806,3,3a
MN227807,3,3a
MN227808,3,3a
MN227809,3,3a
MN227810,3,3a
MN227811,3,3a
MN227812,3,3a
MN227813,3,3a
MN227814,3,3a
MN227815,3,3a
MN227816,3,3a
MN227817,3,3a
MN227818,3,3a
MN227819,3,3a
MN227820,3,3a
MN227821,3,3a
MN227822,3,3a
MN227823,3,3a
MN227824,3,3a
MN227825,3,3a
MN227826,3,3a
MN227827,3,3a
MN227828,3,3a
MN227829,3,3a
MN227830,3,3a
MN227831,3,3a
MN227832,3,3a
MN227833,3,3a
MN227834,3,3a
MN227835,3,3a
MN227836,3,3a
MN227837,3,3a
MN227838,3,3a
MN227839,3,3a
MN227840,3,3a
MN227841,3,3a
MN227842,3,3a
MN227843,3,3a
MN227844,3,3a
MN227845,3,3a
MN227846,3,3a
MN227847,3,3a
MN227848,3,3a
MN227849,3,3a
MN227850,3,3a
MN227851,3,3a
MN227852,3,3a
MN227853,3,3a
MN227854,3,3a
MN227855,3,3a
MN227856,3,3a
MN227857,3,3a
MN227858,3,3a
MN227859,3,3a
MN227860,3,3a
MN227861,3,3a
MN227862,3,3a
MN227863,3,3a
MN227864,3,3a
MN227865,3,3a
MN227866,3,3a
MN227867,3,3a
MN227868,3,3a
MN227869,3,3a
MN227870,3,3a
MN227871,3,3a
MN227872,3,3a
MN227873,3,3a
MN227874,3,3a
MN227875,3,3a
MN227876,3,3a
MN227877,3,3a
MN227878,3,3a
MN227879,3,3a
MN227880,3,3a
MN227881,3,3a
MN227882,3,3a
MN227883,3,3a
MN227884,3,3a
MN227885,3,3a
MN227886,3,3a
MN227887,3,3a
MN227888,3,3a
MN227889,3,3a
MN227890,3,3a
MN227891,3,3a
MN227892,3,3a
MN227893,3,3a
MN227894,3,3a
MN227895,3,3a
MN227896,3,3a
MN227897,3,3a
MN227898,3,3a
MN227899,3,3a
MN227900,3,3a
MN227901,3,3a
MN227902,3,3a
MN227903,3,3a
MN227904,3,3a
MN227905,3,3a
MN227906,3,3a
MN227907,3,3a
MN227908,3,3a
MN227909,3,3a
MN227910,3,3a
MN227911,3,3a
MN227912,3,3a
MN227913,3,3a
MN227914,3,3a
MN227915,3,3a
MN227916,3,3a
MN227917,3,3a
MN227918,3,3a
MN227919,3,3a
MN227920,3,3a
MN227921,3,3a
MN227922,3,3a
MN227923,3,3a
MN227924,3,3a
MN227925,3,3a
MN227926,3,3a
MN227927,3,3a
MN227928,3,3a
MN227929,3,3a
MN227930,3,3a
MN227931,3,3a
MN227932,3,3a
MN227933,3,3a
MN227934,3,3a
MN227935,3,3a
MN227936,3,3a
MN227937,3,3a
MN227938,3,3a
MN227939,3,3a
MN227940,3,3a
MN227941,3,3a
MN227942,3,3a
MN227943,3,3a
MN227944,3,3a
MN227945,3,3a
MN227946,3,3a
MN227947,3,3a
MN227948,3,3a
MN227949,3,3a
MN227950,3,3a
MN227951,3,3a
MN227952,3,3a
MN227953,3,3a
MN227954,3,3a
MN227955,3,3a
MN227956,3,3a
MN227957,3,3a
MN227958,3,3a
MN227959,3,3a
MN227960,3,3a
MN227961,3,3a
MN227962,3,3a
MN227963,3,3a
MN240359,6,
MN385563,2,2b
MN385564,2,2b
MN385583,3,3b
LC773637,4,4f
LC773638,4,4k
LC773639,4,4e
LC773640,4,4e
M67463,,
M84754,,
MF114237,1,
MF114238,1,
MF114239,1,
MF114240,1,
MF114241,1,
MF114242,1,
MF114243,1,
MF114244,1,
MF114245,1,
MF182690,1,1a
MF182691,1,1b
MF182692,1,1b
MF182693,1,1a
MF182694,1,1b
MF182695,1,1b
MF182696,1,1b
MF182697,1,1b
MF182698,1,1a
MF182699,1,1a
MF182700,1,1a
MF182701,1,1b
MF182702,1,1b
MF182703,1,1b
MF182704,1,1b
MF182705,1,1b
MF182706,1,1a
MF182707,1,1b
MF182708,1,1b
MF182709,1,1b
MF182710,1,1b
MF182711,1,1b
MF182712,1,1a
MF182713,1,1b
MF182714,1,1b
MF182715,1,1a
MF182716,1,1b
MF182717,1,1b
MF182718,1,1a
MF182719,1,1b
MF182720,1,1a
MF182721,1,1a
MF182722,1,1b
MF182723,1,1a
MF182724,1,1b
MF182725,1,1b
MF182726,1,1a
MF182727,1,1b
MF182728,1,1a
MF182729,1,1a
MF182730,1,1a
MF182731,1,1b
MF182732,1,1a
MF182733,1,1a
MG000203,4,4r
MG000204,4,4r
MG000205,4,4r
MG000206,4,4r
MG000207,4,4r
MG000208,4,4r
MG000209,4,4r
MG000210,4,4r
MG000211,4,4r
MG000212,4,4r
MG000213,4,4r
MG000214,4,4r
MG000215,4,4r
MG000216,4,4r
MG000217,4,4r
MG000218,4,4r
MG000219,4,4r
MG000220,4,4r
MG000221,4,4r
MG000222,4,4r
MG000223,4,4r
MG000224,4,4r
MG000225,4,4r
MG000226,4,4r
MG000227,4,4r
MG000228,4,4r
MG000229,4,4r
MG000230,4,4r
MG000231,4,4r
MG000232,4,4r
MG000233,4,4r
MG000234,4,4r
MG000235,4,4r
MG214786,1,1a
MG252617,1,1a
MG266181,1,1a
MG266182,1,1a
MG266183,1,1a
MG266184,1,1a
MG266185,1,1a
MG266186,1,1a
MG266187,1,1a
MG266188,1,1a
MG266189,1,1a
MG266190,1,1a
MG266191,1,1a
MG280927,1,1a
MG280928,1,1a
MG280929,1,1a
MG280930,1,1a
MG280931,1,1a
MG437050,6,6n
MG454773,4,4a
MG454774,4,4a
MG454775,6,6l
MG454776,6,6q
MG454777,4,4a
MG454778,1,1a
MG454779,4,4a
MG454780,4,4o
MG454781,4,4a
MG454782,1,1a
MG454783,4,4a
MG454784,1,1a
MG454785,1,1b
MG454786,2,2a
MG454787,1,1a
MG454788,1,1b
MG454789,1,1a
MG454790,1,1a
MG454791,4,4o
MG454792,1,1a
MG454793,1,1a
MG454794,1,1b
MG454795,1,1b
MG454796,1,1a
MG454797,1,1a
MG454798,1,1a
MG454799,1,1a
MG454800,1,1a
MG454801,1,1a
MG454802,1,1a
MG454803,1,1a
MG454804,1,1a
MG454805,6,6a
MG454806,1,1a
MG454807,1,1a
MG454808,1,1a
MG454809,1,1a
MG454810,1,1a
MG454811,1,1a
MG454812,1,1b
MG454813,1,1a
MG454814,1,1a
MG454815,1,1a
MG454816,1,1b
MG454817,1,1a
MG454818,1,1a
MG454819,1,1a
MG454820,1,1a
MG454821,4,4o
MG454822,1,1b
MG454823,2,2b
MG454824,1,1a
MG454825,1,1a
MG454826,1,1a
MG454827,2,2b
MG454828,1,1a
MG454829,1,1a
MG454830,1,1b
MG454831,1,1b
MG454832,1,1a
MG454833,1,1a
MG454834,1,1a
MG454835,1,1a
MG454836,1,1b
MG454837,1,1b
MG454838,2,2b
MG454839,2,2a
MG454840,1,1a
MG454841,1,1b
MG454842,1,1a
MG454843,1,1a
MG454844,1,1a
MG454845,1,1a
MG454846,1,1a
MG454847,1,1b
MG454848,2,2b
MG454849,1,1a
MG454850,4,4a
MG454851,2,2b
MG454852,1,1a
MG454853,1,1a
MG454854,1,1a
MG454855,1,1a
MG454856,1,1a
MG454857,1,1b
MG454858,1,1a
MG454859,1,1a
MG454860,1,1b
MG454861,1,1b
MG454862,1,1b
MG454863,2,2c
MG454864,2,2c
MG454865,1,1b
MG454866,1,1a
MG454867,2,2b
MG454868,1,1a
MG454869,2,2b
MG454870,1,1a
MG454871,4,4d
MG454872,4,4d
MG454873,4,4d
MG454874,6,6e
MG454875,1,1b
MG454876,1,1a
MG454877,1,1b
MG454878,1,1a
MG454879,1,1a
MG454880,1,1b
MG454881,2,2b
MG454882,2,2c
MG454883,1,1a
MG454884,1,1a
MG454885,1,1a
MG454886,1,1b
MG454887,1,1b
MG454888,1,1a
MG454889,1,1a
MG454890,2,2a
MG454891,1,1a
MG454892,1,1a
MG454893,2,2b
MG454894,1,1a
MG454895,2,2b
MG454896,1,1a
MG454897,1,1b
MG454898,1,1a
MG454899,1,1b
MG454900,1,1b
MG454901,1,1b
MG454902,1,1a
MG454903,6,6e
MG454904,1,1a
MG454905,1,1b
MG454906,1,1a
MG454907,1,1b
MG454908,1,1a
MG454909,1,1b
MG454910,2,2b
MG454911,1,1b
MG454912,4,4a
MG454913,2,2a
MG454914,1,1a
MG454915,4,4a
MG454916,2,2b
MG454917,6,6a
MG454918,6,6h
MG454919,1,1a
MG454920,6,6e
MG454921,1,1a
MG454922,1,1b
MG454923,1,1b
MG454924,6,6a
MG454925,2,2b
MG454926,1,1b
MG454927,2,2b
MG454928,1,1a
MG454929,1,1a
MG454930,1,1a
MG454931,1,1b
MG454932,1,1a
MG454933,1,1a
MG454934,1,1a
MG454935,1,1b
MG454936,1,1a
MG454937,1,1a
MG454938,4,4d
MG454939,1,1a
MG454940,1,1b
MG454941,4,4d
MG454942,1,1a
MG454943,2,2b
MG454944,2,2b
MG454945,1,1a
MG454946,2,2b
MG454947,4,4a
MG454948,1,1a
MG454949,1,1a
MG454950,1,1a
MG454951,1,1b
MG454952,2,2a
MG454953,1,1a
MG454954,1,1a
MG454955,1,1a
MG454956,1,1a
MG454957,1,1b
MG454958,5,5a
MG454959,1,1b
MG454960,1,1b
MG454961,1,1a
MG454962,1,1a
MG454963,2,2b
MG454964,4,4a
MG454965,1,1a
MG454966,1,1b
MG454967,1,1a
MG454968,1,1b
MG454969,6,6a
MG454970,1,1a
MG454971,1,1a
MG454972,2,2a
MG454973,4,4a
MG454974,2,2a
MG454975,1,1a
MG454976,4,4k
MG454977,1,1b
MG454978,1,1b
MG454979,1,1b
MG454980,1,1a
MG454981,4,4n
MG454982,1,1a
MG454983,2,2a
MG454984,2,2a
MG454985,2,2b
MG454986,1,1b
MG454987,2,2b
MG454988,1,1a
MG454989,1,1e
MG454990,2,2b
MG454991,1,1a
MG454992,1,1a
MG454993,5,5a
MG454994,5,5a
MG454995,4,4a
MG454996,2,2b
MG454997,6,6e
MG454998,4,4a
MG454999,1,1a
MG455000,2,2d
MG455001,1,1b
MG455002,2,2b
MG455003,4,4a
MG455004,1,1a
MG455005,4,4a
MG455006,1,1b
MG455007,1,1b
MG455008,4,4a
MG455009,1,1a
MG455010,1,1b
MG455011,5,5a
MG455012,1,1b
MG455013,1,1a
MG455014,2,2b
MG455015,5,5a
MG455016,1,1a
MG455017,1,1a
MG455018,1,1a
MG455019,1,1a
MG455020,1,1b
MG455021,1,1a
MG455022,2,2i
MG455023,4,4d
MG455024,1,1a
MG455025,1,1a
MG455026,1,1b
MG455027,1,1b
MG455028,2,2a
MG455029,4,4r
MG455030,1,1a
MG455031,1,1b
MG455032,5,5a
MG455033,5,5a
MG455034,4,4d
MG455035,2,2k
MG455036,1,1a
MG455037,1,1b
MG455038,1,1c
MG455039,1,1c
MG455040,1,1c
MG455041,4,4a
MG455042,2,2c
MG455043,5,5a
MG455044,4,4a
MG455045,2,2a
MG455046,1,1b
MG455047,1,1b
MG455048,2,2b
MG455049,4,4a
MG455050,1,1a
MG455051,1,1a
MG455052,6,6a
MG455053,1,1a
MG455054,1,1a
MG455055,2,2b
MG455056,1,1a
MG455057,4,4a
MG455058,1,1a
MG455059,4,4a
MG455060,4,4d
MG455061,1,1a
MG455062,4,4a
MG455063,1,1b
MG455064,1,1a
MG455065,4,4c
MG455066,4,4a
MG455067,6,6a
MG455068,1,1b
MG455069,5,5a
MG455070,1,1b
MG455071,2,2j
MG455072,5,5a
MG455073,1,1b
MG455074,1,1b
MG455075,4,4t
MG455076,2,2a
MG455077,1,1a
MG455078,1,1b
MG455079,2,2a
MG455080,5,5a
MG455081,1,1b
MG455082,1,1a
MG455083,1,1b
MG455084,1,1b
MG455085,1,1a
MG455086,1,1a
MG455087,4,4a
MG455088,1,1b
MG455089,2,2i
MG455090,2,2b
MG455091,1,1b
MG455092,1,1a
MG455093,2,2b
MG455094,6,6a
MG455095,6,6a
MG455096,2,2c
MG455097,6,6a
MG455098,1,1b
MG455099,2,2b
MG455100,2,2b
MG455101,1,1b
MG455102,2,2c
MG455103,1,1b
MG455104,2,2c
MG455105,1,1a
MG455106,1,1a
MG455107,1,1a
MG455108,1,1a
MG455109,4,4n
MG455110,2,2k
MG455111,1,1b
MG455112,1,1b
MG455113,2,2c
MG455114,1,1b
MG455115,5,5a
MG455116,1,1b
MG455117,2,2c
MG455118,2,2b
MG455119,1,1a
MG455120,4,4a
MG455121,1,1a
MG455122,1,1a
MG455123,1,1a
MG455124,2,2b
MG455125,1,1a
MG455126,1,1a
MG455127,6,6a
MG455128,6,6a
MG455129,6,6a
MG455130,4,4d
MG455131,2,2c
MG455132,1,1a
MG455133,4,4d
MG455134,2,2i
MG455135,1,1b
MG455136,1,1b
MG455137,1,1b
MG455138,4,4a
MG455139,1,1a
MG455140,2,2i
MG455141,1,1b
MG455142,2,2i
MG455143,4,4a
MG455144,5,5a
MG455145,1,1a
MG455146,1,1a
MG455147,1,1a
MG455148,1,1a
MG455149,5,5a
MG455150,2,2c
MG455151,2,2a
MG455152,2,2b
MG455153,2,2b
MG455154,2,2b
MG455155,4,4a
MG455156,1,1a
MG455157,1,1a
MG455158,1,1b
MG455159,1,1a
MG455160,4,4a
MG455161,4,4a
MG455162,2,2c
MG455163,2,2a
MG455164,1,1a
MG455165,1,1b
MG455166,2,2c
MG455167,2,2a
MG455168,2,2a
MG455169,1,1b
MG455170,2,2b
MG455171,1,1a
MG455172,1,1b
MG455173,1,1b
MG455174,4,4d
MG455175,6,6l
MG455176,1,1a
MG455177,1,1a
MG455178,1,1a
MG455179,1,1b
MG455180,1,1a
MG455181,4,4a
MG455182,5,5a
MG455183,1,1a
MG455184,1,1b
MG455185,1,1a
MG455186,1,1b
MG455187,1,1a
MG455188,2,2k
MG455189,1,1b
MG455190,4,4d
MG455191,1,1a
MG455192,1,1a
MG455193,1,1b
MG455194,2,2e
MG455195,2,2c
MG455196,6,6a
MG455197,2,2k
MG455198,1,1a
MG455199,2,2a
MG455200,1,1b
MG455201,1,1a
MG455202,1,1a
MG455203,2,2a
MG455204,4,4d
MG455205,4,4a
MG455206,4,4a
MG455207,1,1a
MG455208,1,1b
MG455209,4,4a
MG455210,2,2a
MG455211,1,1a
MG455212,1,1a
MG455213,4,4d
MG455214,1,1a
MG455215,6,6k
MG455216,1,1b
MG455217,5,5a
MG455218,4,4d
MG455219,1,1a
MG455220,4,4d
MG455221,4,4f
MG455222,4,4a
MG455223,1,1b
MG455224,1,1a
MG455225,4,4b
MG455226,1,1a
MG455227,1,1b
MG455228,1,1a
MG455229,4,4d
MG455230,6,6e
MG455231,5,5a
MG455232,4,4n
MG455233,4,4n
MG455234,5,5a
MG455235,1,1a
MG455236,5,5a
MG455237,2,2b
MG455238,1,1a
MG455239,4,4r
MG455240,1,1b
MG455241,2,2i
MG455242,4,4d
MG455243,2,
MG455244,1,1a
MG455245,1,1a
MG455246,1,1a
MG455247,4,4d
MG455248,1,1b
MG455249,5,5a
MG455250,4,4a
MG455251,1,1b
MG455252,1,1a
MG455253,6,6a
MG455254,2,2b
MG455255,1,1a
MG455256,1,1b
MG455257,4,4o
MG455258,4,4a
MG455259,4,4a
MG455260,1,1b
MG455261,6,6a
MG455262,2,2b
MG455263,4,4a
MG455264,1,1a
MG455265,4,4n
MG455266,1,1a
MG455267,1,1a
MG455268,1,1a
MG455269,4,4a
MG455270,2,2a
MG455271,2,2b
MG455272,1,1a
MG455273,4,4a
MG455274,4,4o
MG455275,1,1b
MG455276,2,2b
MG455277,1,1a
MG455278,4,4a
MG455279,5,5a
MG455280,5,5a
MG455281,1,1a
MG455282,6,6h
MG455283,4,4a
MG455284,4,4a
MG455285,1,1b
MG455286,5,5a
MG455287,4,4c
MG455288,2,2i
MG455289,1,1a
MG455290,1,1a
MG455291,5,5a
MG455292,4,4a
MG455293,2,2i
MG455294,6,6a
MG455295,4,4a
MG455296,4,4d
MG455297,1,1a
MG455298,1,1b
MG455299,4,4d
MG455300,4,4p
MG455301,2,2c
MG455302,4,4n
MG455303,4,4a
MG455304,1,1b
MG455305,1,1a
MG455306,4,4a
MG455307,1,1b
MG455308,2,2c
MG455309,4,4a
MG455310,1,1b
MG455311,4,4d
MG455312,5,5a
MG455313,1,1a
MG455314,6,6l
MG455315,4,4a
MG455316,1,1b
MG455317,1,1b
MG455318,1,1a
MG455319,4,4d
MG455320,1,1a
MG455321,4,4a
MG455322,1,1b
MG455323,1,1a
MG455324,4,4a
MG455325,5,5a
MG455326,1,1a
MG455327,4,4o
MG455328,1,1b
MG455329,1,1a
MG455330,6,6a
MG455331,4,4a
MG455332,4,4d
MG455333,4,4a
MG455334,1,1a
MG455335,1,1a
MG455336,6,6a
MG455337,4,4a
MG455338,1,1b
MG455339,5,5a
MG455340,4,4d
MG455341,4,4a
MG455342,1,1b
MG455343,1,1b
MG455344,2,2c
MG455345,4,4a
MG455346,2,2a
MG455347,1,1b
MG455348,1,1a
MG455349,6,6l
MG455350,1,1a
MG455351,1,1b
MG455352,2,2a
MG455353,1,1a
MG455354,4,4a
MG455355,6,6e
MG455356,6,6a
MG455357,5,5a
MG455358,5,5a
MG455359,5,5a
MG455360,4,4n
MG455361,6,6n
MG455362,4,4a
MG455363,2,2i
MG455364,4,4f
MG455365,2,2a
MG455366,4,4a
MG455367,5,5a
MG455368,1,1a
MG455369,1,1a
MG455370,1,1a
MG455371,6,6e
MG455372,6,6a
MG455373,1,1b
MG455374,5,5a
MG455375,5,5a
MG455376,2,2c
MG455377,1,1a
MG455378,6,6a
MG455379,4,4a
MG455380,6,6e
MG455381,4,4a
MG455382,6,6e
MG455383,6,6a
MG455384,5,5a
MG455385,4,4a
MG455386,1,1a
MG455387,1,1a
MG455388,4,4a
MG455389,4,4a
MG455390,6,6m
MG455391,6,6a
MG455392,4,4a
MG455393,2,2a
MG455394,2,2b
MG455395,2,2b
MG455396,2,2a
MG455397,2,2b
MG455398,2,2b
MG455399,2,2b
MG455400,2,2b
MG455401,2,2b
MG455402,2,2a
MG455403,2,2a
MG455404,2,2b
MG455405,2,2b
MG455406,2,2b
MG455407,2,2b
MG455408,2,2a
MG455409,2,2b
MG455410,2,2b
MG455411,2,2b
MG455412,2,2a
MG455413,2,2b
MG455414,2,2b
MG455415,2,2b
MG455416,2,2b
MG455417,2,2b
MG455418,2,2b
MG455419,2,2b
MG455420,2,2b
MG455421,2,2a
MG455422,2,2b
MG455423,2,2a
MG455424,2,2b
MG455425,2,2b
MG455426,2,2b
MG455427,2,2b
MG455428,2,2b
MG455429,2,2b
MG455430,2,2b
MG455431,2,2a
MG455432,2,2c
MG455433,2,2a
MG455434,2,2a
MG455435,2,2b
MG455436,2,2b
MG455437,2,2b
MG455438,2,2a
MG455439,2,2b
MG455440,2,2a
MG455441,2,2a
MG455442,2,2b
MG455443,2,2b
MG455444,2,2b
MG455445,1,1a
MG455446,2,2a
MG455447,2,2b
MG455448,2,2b
MG455449,2,2b
MG455450,2,2b
MG455451,2,2b
MG455452,2,2b
MG455453,2,2b
MG455454,2,2b
MG455455,2,2b
MG455456,2,2b
MG455457,2,2b
MG455458,2,2b
MG455459,2,2b
MG455460,2,2b
MG455461,2,2b
MG455462,2,2b
MG455463,2,2b
MG455464,2,2b
MG455465,2,2b
MG455466,2,2b
MG455467,2,2a
MG455468,2,2b
MG455469,2,2b
MG455470,2,2b
MG455471,2,2b
MG455472,2,2a
MG455473,2,2b
MG455474,2,2b
MG455475,2,2b
MG455476,2,2b
MG455477,2,2b
MG455478,2,2b
MG455479,2,2b
MG455480,2,2b
MG455481,2,2b
MG455482,2,2a
MG455483,2,2b
MG455484,2,2b
MG455485,2,2b
MG455486,2,2b
MG455487,2,2b
MG455488,2,2a
MG455489,2,2b
MG455490,2,2b
MG455491,2,2b
MG455492,2,2b
MG455493,2,2b
MG455494,2,2b
MG455495,2,2b
MG455496,2,2b
MG455497,2,2b
MG455498,2,2b
MG455499,2,2b
MG455500,2,2a
MG455501,2,2b
MG455502,2,2b
MG455503,2,2b
MG455504,2,2b
MG455505,2,2a
MG455506,2,2b
MG455507,2,2b
MG455508,2,2b
MG455509,2,2a
MG455510,2,2b
MG455511,2,2b
MG455512,2,2b
MG455513,2,2b
MG455514,2,2b
MG455515,2,2b
MG455516,2,2b
MG455517,2,2b
MG455518,2,2b
MG455519,2,2b
MG455520,2,2b
MG455521,2,2b
MG455522,2,2a
MG455523,2,2b
MG455524,2,2a
MG455525,2,2b
MG455526,3,3a
MG455527,3,3a
MG455528,3,3a
MG455529,3,3a
MG455530,3,3a
MG455531,3,3a
MG455532,3,3a
MG455533,3,3a
MG455534,3,3a
MG455535,3,3a
MG455536,3,3a
MG455537,3,3a
MG455538,3,3a
MG455539,3,3a
MG455540,3,3a
MG455541,3,3a
MG455542,3,3a
MG455543,3,3a
MG455544,3,3a
MG455545,3,3a
MG455546,3,3a
MG455547,3,3a
MG455548,3,3a
MG455549,3,3a
MG455550,3,3a
MG455551,3,3a
MG455552,3,3a
MG455553,3,3a
MG455554,3,3a
MG455555,3,3a
MG455556,3,3a
MG455557,3,3a
MG455558,3,3a
MG455559,3,3a
MG455560,3,3a
MG455561,3,3a
MG455562,3,3a
MG455563,3,3a
MG455564,3,3a
MG455565,3,3a
MG455566,3,3a
MG455567,3,3a
MG455568,3,3a
MG455569,3,3a
MG455570,3,3a
MG455571,3,3a
MG455572,3,3a
MG455573,3,3a
MG455574,3,3a
MG455575,3,3a
MG455576,3,3a
MG455577,3,3a
MG455578,3,3a
MG455579,3,3a
MG455580,3,3a
MG455581,3,3a
MG455582,3,3a
MG455583,3,3a
MG455584,3,3a
MG455585,3,3a
MG455586,3,3a
