accession,genotype,subtype
MK134433,,
MK134455,,
MK134456,,
MK134457,,
MK134458,,
MK134459,,
MK134460,,
MK134461,,
MK134462,,
MK134463,,
MK134464,,
MK134465,,
MK134466,,
MK134467,,
MK134468,,
MK134469,,
MK134470,,
MK134471,,
MK134472,,
MK134473,,
MK134474,,
MK134475,,
MK134476,,
MK134477,,
MK134478,,
MK134479,,
MK134480,,
MK134481,,
MK134482,,
MK135302,1,1a
MK135303,1,1a
MK135304,1,1a
MK135305,1,1a
MK135306,1,1a
MK135307,1,1a
MK135308,1,1a
MK135309,1,1a
MK135310,1,1a
MK135311,1,1a
MK135312,1,1a
MK135313,1,1a
MK135314,1,1a
MK135315,1,1a
MK135316,1,1a
MK135317,1,1a
MK135318,1,1a
MK135319,1,1a
MK135320,1,1a
MK135321,1,1a
MK135322,1,1a
MK135323,1,1a
MK135324,1,1a
MK135325,1,1a
MK135326,1,1a
MK135327,1,1a
MK135328,1,1a
MK135329,1,1a
MK135330,1,1a
MK135331,1,1a
MK135332,1,1a
MK135333,1,1a
MK135334,1,1a
MK135335,1,1a
MK135336,1,1a
MK135337,1,1a
MK135338,1,1a
MK135339,1,1a
MK135340,1,1a
MK135341,1,1a
MK135342,1,1a
MK135343,1,1a
MK135344,1,1a
MK135345,1,1a
MK135346,1,1a
MK135347,1,1a
MK135348,1,1a
MK135349,1,1a
MK135350,1,1a
MK135351,1,1a
MK135352,1,1a
MK135353,1,1a
MK135354,1,1a
MK135355,1,1a
MK135356,1,1a
MK135357,1,1b
MK135358,1,1b
MK135359,1,1b
MK135360,1,1b
MK135361,1,1b
MK135362,1,1b
MK135363,1,1b
MK135364,1,1b
MK135365,1,1b
MK135366,1,1b
MK135367,1,1b
MK135368,1,1b
MK135369,1,1b
MK135370,1,1b
MK135371,1,1b
MK135372,1,1b
MK135373,1,1b
MK135374,1,1b
MK135375,1,1b
MK135376,1,1b
MK135377,1,1b
MK135378,1,1b
MK135379,1,1b
MK135380,1,1b
MK135381,1,1b
MK135382,1,1b
MK135383,1,1b
MK135384,1,1b
MK135385,1,1b
MK135386,1,1b
MK135387,1,1b
MK135388,1,1b
MK135389,1,1b
MK135390,1,1b
MK135391,1,1b
MK135392,1,1b
MK135393,1,1b
MK135394,1,1b
MK135395,1,1b
MK135396,1,1b
MK135397,1,1b
MK135398,1,1b
MK135399,1,1b
MK135400,1,1b
MK135401,1,1b
MK135402,1,1b
MK135403,1,1b
MK135404,1,1b
MK135405,1,1b
MK135406,1,1b
MK135407,1,1b
MK135408,1,1b
MK135409,1,1b
MK135410,1,1b
MK135411,1,1b
MK135412,1,1b
MK135413,1,1b
MK135414,3,3a
MK135415,3,3a
MK135416,3,3a
MK135417,3,3a
MK135418,3,3a
MK135419,3,3a
MK135420,3,3a
MK135421,3,3a
MK135422,3,3a
MK135423,3,3a
MK135424,3,3a
MK135425,3,3a
MK135426,3,3a
MK135427,3,3a
MK135428,3,3a
MK135429,3,3a
MK135430,3,3a
MK135431,3,3a
MK135432,3,3a
MK135433,3,3a
MK139015,6,6xg
MK139016,6,6xg
MK139017,6,6xg
MK139018,6,6xg
MK139019,6,6xg
MK139020,6,6xg
MK139021,6,6xg
MK139022,6,6xg
MK187268,,
MK187269,,
MK187270,,
MK187271,,
MK187272,,
MK187273,,
MK187274,,
MK187275,,
MK187276,,
MK187277,,
MK187278,,
MK187279,,
MK187280,,
MK187281,,
MK187282,,
MK187283,,
MK187284,,
MK187285,,
MK187286,,
MK187287,,
MK187288,,
MK187289,,
MK187290,,
MK187291,,
MK187292,,
MK187293,,
MK187294,,
MK187295,,
MK187296,,
MK187297,,
MK187298,,
MK187299,,
MK187300,,
MK187301,,
MK187302,,
MK187303,,
MK187304,,
MK187305,,
MK187306,,
MK187307,,
MK187308,,
MK187309,,
MK187310,,
MK187311,,
MK187312,,
MK187313,,
MK187314,,
MK187315,,
MK187316,,
MK187317,,
MK187318,,
MK187319,,
MK187320,,
MK187321,,
MK187322,,
MK187323,,
MK187324,,
MK187325,,
MK187326,,
MK187327,,
MK187328,,
MK187329,,
MK187330,,
MK187331,,
MK187332,,
MK187333,,
MK187334,,
MK187335,,
MK187336,,
MK187337,,
MK187338,,
MK187339,,
MK187340,,
MK187341,,
MK187342,,
MK187343,,
MK187344,,
MK187345,,
MK187346,,
MK187347,,
D10076,,
D10078,,
D10079,,
D10080,,
D10081,,
D10130,,
D10131,,
D10132,,
D10133,,
D10134,,
D10585,,
D10641,,
D10642,,
D10643,,
D10644,,
D10645,,
D10646,,
D10647,,
D10648,,
D10649,,
D10650,,
D10988,,
D14306,,
D14308,,
D14310,,
D14312,,
D14853,,
D16190,,
D16192,,
D16613,,
D16615,,
D16617,,
D16619,,
D16621,,
D17474,,
D17475,,
D17478,,
D17479,,
D17480,,
D17481,,
D17482,,
D17483,,
D17484,,
D17485,,
D17487,,
D17488,,
D17490,,
D17491,,
D17492,,
D17493,,
D17494,,
D17763,,
D26387,,
D26388,,
D26389,,
D26390,,
D26391,,
D28542,,
D28543,,
D28545,,
D28917,,
D30797,,
D31973,,
D31975,,
D31977,,
D31979,,
D31981,,
D31983,,
D31985,,
D31987,,
D31989,,
D31991,,
D31993,,
D31995,,
D31997,,
D31999,,
D37853,,
D37854,,
D37855,,
D37857,,
D37858,,
D37859,,
D37860,,
D37862,,
D37863,,
D37864,,
D37869,,
D37898,,
D38079,,
D45194,,
D49374,,
D49759,,
D49760,,
D49761,,
D49762,,
D49763,,
D49764,,
D49765,,
D49766,,
D49767,,
D49768,,
D49769,,
D49770,,
D49771,,
D49772,,
D49773,,
D49774,,
D49775,,
D49776,,
D49777,,
D49778,,
D49779,,
D49780,,
D50409,,
D50467,,
D50480,,
D50481,,
D50482,,
D50483,,
D50484,,
D50485,,
D63821,,
D63822,,
D84262,,
D84263,,
D84264,,
D84265,,
D84398,,
D85516,,
D86529,,
D86530,,
D86531,,
D86532,,
D86533,,
D86534,,
D86535,,
D86536,,
D86537,,
D86538,,
D86539,,
D86540,,
D86541,,
D86542,,
D86543,,
D87352,,
D87353,,
D87354,,
D87355,,
D87356,,
D87357,,
D87358,,
D87359,,
D87360,,
D87361,,
D87362,,
D87363,,
D87364,,
D87365,,
D89815,,
DQ001175,1,1b
DQ001176,1,1b
DQ001177,1,1b
DQ001178,1,1b
DQ001179,1,1b
DQ001180,1,1b
DQ001181,1,1b
DQ001182,1,1b
DQ001183,1,1b
DQ001184,1,1b
DQ001185,1,1b
DQ001186,1,1b
DQ001187,1,1b
DQ001188,1,1b
DQ001189,1,1b
DQ001190,1,1b
DQ001191,1,1b
DQ001192,1,1b
DQ001193,1,1b
DQ001194,1,1b
DQ001195,1,1b
DQ001196,1,1b
DQ001197,1,1b
DQ001198,1,1b
DQ001199,1,1b
DQ001200,1,1b
DQ001201,1,1b
DQ001202,3,3a
DQ001203,3,3a
DQ001204,3,3a
DQ001205,3,3a
DQ001206,3,3a
DQ001207,3,3a
DQ001208,3,3a
DQ001209,3,3a
DQ001210,3,3a
DQ001211,3,3a
DQ001212,3,3a
DQ001213,3,3a
DQ001214,3,3a
DQ001215,3,3a
DQ001216,3,3a
DQ001217,2,2a
DQ001218,2,2c
DQ001219,1,1b
DQ001220,1,1b
DQ001221,,
DQ001222,1,1b
DQ071885,,
DQ155502,,
DQ155503,,
DQ155504,,
DQ155505,,
DQ155506,,
DQ155507,,
DQ155508,,
DQ155509,,
DQ155510,,
DQ155511,,
DQ155512,,
DQ155513,,
DQ155514,,
DQ155515,,
DQ155516,,
DQ155517,,
DQ155518,,
DQ155519,,
DQ155520,,
DQ155521,,
DQ155522,,
DQ155523,,
DQ155524,,
DQ155525,,
DQ155526,,
DQ155527,,
DQ155528,,
DQ155529,,
DQ155530,,
DQ155531,,
DQ155532,,
DQ155533,,
DQ155534,,
DQ155535,,
DQ155536,,
DQ155537,,
DQ155538,,
DQ155539,,
DQ155540,,
DQ155541,,
DQ155542,,
DQ155543,,
DQ155544,,
DQ155545,,
DQ155546,,
DQ155547,,
DQ155548,,
DQ155549,,
DQ155550,,
DQ155551,,
DQ155552,,
DQ155553,,
DQ155554,,
DQ155555,,
DQ155556,,
DQ155557,,
DQ155558,,
DQ155559,,
DQ155560,2,2i
DQ155561,2,2i
DQ164538,5,
DQ164539,5,
DQ164540,5,
DQ164541,5,
DQ164542,5,
DQ164543,5,
DQ164544,5,
DQ179117,6,
DQ220812,,
DQ220813,,
DQ220814,,
DQ220815,,
DQ220816,,
DQ220817,2,2i
DQ220818,2,2i
DQ220819,2,2i
DQ220820,2,2i
DQ220821,2,2i
DQ220822,2,2i
DQ220823,2,2i
DQ220824,2,2i
DQ220825,2,2i
DQ220826,2,2i
DQ220827,2,2i
DQ220828,2,2i
DQ220829,2,2i
DQ220830,2,2i
DQ220831,2,2i
DQ220832,2,2i
DQ220833,2,2i
DQ220834,2,2i
DQ220836,2,2i
DQ220837,2,2i
DQ220838,2,2i
DQ220839,2,2i
DQ220840,2,2i
DQ220841,2,2i
DQ220842,2,2i
DQ220843,2,2i
DQ220844,2,2i
DQ220845,2,2i
DQ220846,2,2i
DQ220847,2,2i
DQ220848,2,2i
DQ220849,2,2i
DQ220850,2,2i
DQ220851,2,2i
DQ220852,2,2i
DQ220853,2,2i
DQ220854,2,2c
DQ220855,2,2c
DQ220856,2,2c
DQ220857,2,2c
DQ220858,2,2c
DQ220859,2,2c
DQ220860,2,2c
DQ220861,2,2c
DQ220862,2,2c
DQ220863,2,2c
DQ220864,2,2c
DQ220865,2,2c
DQ220866,2,2c
DQ220867,2,2c
DQ220868,2,2c
DQ220869,2,2c
DQ220870,2,2c
DQ220871,2,2c
DQ220872,2,2c
DQ220873,2,2c
DQ220874,2,2c
DQ220875,2,2c
DQ220876,2,2k
DQ220877,2,2k
DQ220878,2,2k
DQ220879,2,2k
DQ220880,2,2k
DQ220881,2,2k
DQ220882,2,2k
DQ220883,2,2k
DQ220884,2,2k
DQ220885,2,2k
DQ220886,2,2k
DQ220887,2,2k
DQ220888,2,2k
DQ220889,2,2k
DQ220890,2,2k
DQ220891,2,2k
DQ220892,2,2k
DQ220893,2,2k
DQ220894,2,2k
DQ220895,2,2k
DQ220896,2,2k
DQ220897,2,2k
DQ220898,2,2k
DQ220899,2,2k
DQ220900,2,2k
DQ220901,2,2k
DQ220902,2,2k
DQ220903,2,2k
DQ220904,2,2k
DQ220905,2,2k
DQ220906,2,2k
DQ220907,2,2k
DQ220908,2,2k
DQ220909,2,2k
DQ220910,2,2k
DQ220911,2,2k
DQ220912,,
DQ220913,,
DQ220914,,
DQ220915,,
DQ220916,,
DQ220917,,
DQ220918,2,2j
DQ220919,2,2j
DQ220920,,
DQ220921,,
DQ220922,,
DQ220923,2,2a
DQ220924,2,2a
DQ220925,2,2a
DQ220926,2,2a
DQ220927,2,2a
DQ220928,2,2a
DQ220929,2,2a
DQ220930,2,2a
DQ220931,2,2a
DQ220932,2,2a
DQ220933,2,2a
DQ220934,2,2a
DQ220935,2,2a
DQ220936,2,2a
DQ220937,2,2a
DQ220938,2,2a
DQ220939,2,2a
DQ220940,2,2a
DQ220941,,
DQ220942,,
DQ220943,,
DQ220944,2,2l
DQ220945,2,2l
DQ220946,2,2l
DQ220947,2,2l
DQ220948,,
DQ220949,2,2b
DQ220950,2,2b
DQ220951,2,2b
DQ220952,2,2b
DQ220953,2,2b
DQ220954,2,2b
DQ220955,2,2b
DQ220956,2,2b
DQ278891,6,6k
DQ278892,,
DQ278893,6,6k
DQ278894,6,6n
DQ313464,1,1a
DQ313465,1,1a
DQ313466,1,1a
DQ313467,1,1a
DQ313468,1,1a
DQ314805,6,6e
DQ314806,6,6g
DQ333614,5,
DQ333615,5,
DQ333616,5,
DQ333617,5,
DQ333618,5,
DQ333619,5,
DQ333620,5,
DQ333621,5,
DQ333622,5,
DQ333623,5,
DQ333624,5,
DQ333625,5,
DQ333626,5,
DQ333627,5,
DQ333628,5,
DQ333629,5,
DQ333630,5,
DQ333631,5,
DQ333632,5,
DQ333633,5,
DQ333634,5,
DQ333635,5,
DQ333636,5,
DQ333637,5,
DQ333638,5,
DQ333639,5,
DQ333640,5,
DQ333641,5,
DQ333642,5,
DQ333643,5,
DQ333644,5,
DQ333645,5,
DQ333646,5,
DQ333647,5,
DQ333648,5,
DQ333649,5,
DQ333650,5,
DQ333651,5,
DQ333652,5,
DQ333653,5,
DQ333654,5,
DQ333655,5,
DQ333656,5,
DQ333657,5,
DQ333658,5,
DQ333659,5,
DQ333660,5,
DQ333661,5,
DQ333662,5,
DQ333663,5,
DQ333664,5,
DQ333665,5,
DQ333666,5,
DQ333667,5,
DQ333668,5,
DQ333669,5,
DQ333670,5,
DQ333671,5,
DQ333672,5,
DQ333673,5,
DQ333674,5,
DQ333675,5,
DQ333676,5,
DQ333677,5,
DQ333678,5,
DQ333679,5,
DQ333680,5,
DQ333681,5,
DQ333682,5,
DQ333683,5,
DQ333684,5,
DQ333685,5,
DQ333686,5,
DQ333687,5,
DQ333688,5,
DQ333689,5,
DQ333690,5,
DQ345613,1,1b
DQ345614,2,2b
DQ345615,2,2b
DQ345616,2,2b
DQ345617,2,
DQ345618,2,2b
DQ345619,1,1b
DQ345620,1,1b
DQ345621,1,1b
DQ345622,2,2k
DQ345623,1,1b
DQ345624,1,1b
DQ345625,1,1b
DQ345626,1,1b
DQ345627,1,1b
DQ345628,2,2b
DQ345629,2,2b
DQ363039,,
DQ363040,,
DQ363041,,
DQ363042,,
DQ363043,,
DQ363044,,
DQ363045,,
DQ363046,,
DQ363047,,
DQ363048,,
DQ363049,,
DQ363050,,
DQ363051,,
DQ363052,,
DQ363053,,
DQ363054,,
DQ363055,,
DQ363056,,
DQ363057,,
DQ363058,,
DQ363059,,
DQ363060,,
DQ363061,,
DQ363062,,
DQ363063,,
DQ363064,,
DQ363065,,
DQ363066,,
DQ363067,,
DQ363068,,
DQ363069,,
DQ363070,,
DQ363071,,
DQ363072,,
DQ363073,,
DQ363074,,
DQ363075,,
DQ363076,,
DQ363077,,
DQ363078,,
DQ363079,,
DQ363080,,
DQ363081,,
DQ363082,,
DQ363083,,
DQ363084,,
DQ363085,,
DQ363086,,
DQ363087,,
DQ363088,,
DQ363089,,
DQ363090,,
DQ363091,,
DQ363092,,
DQ363093,,
DQ363094,,
DQ363095,,
DQ363096,,
DQ363097,,
DQ363098,,
DQ363099,,
DQ363100,,
DQ363101,,
DQ363102,,
DQ363103,,
DQ363104,,
DQ363105,,
DQ363106,,
DQ363107,,
DQ363108,,
DQ363109,,
DQ363110,,
DQ363111,,
DQ363112,,
DQ363113,,
DQ363114,,
DQ363115,,
DQ363116,,
DQ363117,,
DQ363118,,
DQ363119,,
DQ363120,,
DQ363121,,
DQ363122,,
DQ363123,,
DQ363124,,
DQ363125,,
DQ363126,,
DQ363127,,
DQ363128,,
DQ363129,,
DQ363130,,
DQ364460,2,2b
DQ417439,2,2k
DQ417440,2,2k
DQ417441,2,2k
DQ417442,2,2k
DQ417443,2,2k
DQ417444,2,2k
DQ417445,2,2k
DQ417446,2,2k
DQ417447,2,2k
DQ417448,2,2k
DQ417449,2,2k
DQ417450,2,2k
DQ417451,2,2k
DQ417452,2,2k
DQ418782,4,
DQ418783,4,
DQ418784,4,
DQ418785,4,
DQ418786,4,
DQ418787,4,
DQ418788,4,
DQ418789,4,
DQ480512,6,6a
DQ480513,6,6a
DQ480514,6,6a
DQ480515,6,6a
DQ480516,6,6a
DQ480517,6,6a
DQ480518,6,6a
DQ480519,6,6a
DQ480520,6,6a
DQ480521,6,6a
DQ480522,6,6a
DQ480523,6,6a
DQ480524,6,6a
DQ508461,,
DQ508462,,
DQ508463,,
DQ508464,,
DQ508465,,
DQ508466,,
DQ508467,,
DQ508468,,
DQ508469,,
DQ508470,,
DQ508471,,
DQ508472,,
DQ508473,,
DQ508474,,
DQ508475,,
DQ508476,,
DQ508477,,
DQ508478,,
DQ508479,,
DQ508480,,
DQ508481,,
DQ508482,,
DQ508483,,
DQ508484,,
DQ516083,4,4d
DQ516084,4,4a
DQ640362,,
DQ640363,,
DQ640364,,
DQ640365,,
DQ640366,,
DQ640367,,
DQ640368,,
DQ640369,,
DQ640370,,
DQ640371,,
DQ640372,,
DQ640373,,
DQ640374,,
DQ640375,,
DQ640376,,
DQ640377,,
DQ640378,,
DQ640379,,
DQ640380,,
DQ640381,,
DQ640382,,
DQ640383,,
DQ640384,,
DQ640385,,
DQ640386,,
DQ648505,,
DQ648506,,
DQ648507,,
DQ648509,,
DQ648510,,
DQ648511,,
DQ648512,,
DQ648513,,
DQ648514,,
DQ648515,,
DQ648516,,
DQ648517,,
DQ663598,,
DQ663599,,
DQ663600,,
DQ663601,,
DQ663602,,
DQ663603,,
DQ663604,,
DQ663605,,
DQ663606,,
DQ663607,,
DQ663608,,
DQ663609,,
DQ663610,,
DQ666240,,
DQ666241,,
DQ666242,,
DQ666243,,
DQ666244,,
DQ666245,,
DQ666246,,
DQ666247,,
DQ666248,,
DQ666249,,
DQ666250,,
DQ666251,,
DQ666252,,
DQ666253,,
DQ666254,,
DQ666255,,
DQ666256,,
DQ666257,,
DQ666258,,
DQ666259,,
DQ666260,,
DQ666261,,
DQ666262,,
DQ666263,,
DQ666264,,
DQ666265,,
DQ666266,,
DQ666267,,
DQ666268,,
DQ790269,3,3a
DQ790270,3,3a
DQ790271,3,3a
DQ790272,3,3a
DQ790273,3,3a
DQ790274,3,3a
DQ790275,3,3a
DQ790276,3,3a
DQ790277,3,3a
DQ790278,3,3a
DQ790279,3,3a
DQ790280,3,3a
DQ790281,3,3a
DQ790282,3,3a
DQ790283,3,3a
DQ790284,3,3a
DQ790285,3,3a
DQ790286,3,3a
DQ790287,3,3a
DQ790288,3,3a
DQ790289,3,3a
DQ790290,3,3a
DQ790291,3,3a
DQ790292,3,3a
DQ790302,1,1a
DQ790303,1,1a
DQ790304,1,1a
DQ790305,1,1a
DQ790306,1,1a
DQ790307,1,1b
DQ790308,1,1b
DQ790309,1,1b
DQ790310,1,1b
DQ790311,1,1b
DQ790313,1,1b
DQ790314,1,1b
DQ790315,1,1b
DQ790318,1,1b
DQ790321,1,1b
DQ790322,1,1b
DQ790324,1,1b
DQ790325,1,1b
DQ790326,1,1b
DQ790327,1,1b
DQ790328,1,1b
DQ790329,1,1b
DQ790330,1,1b
DQ790331,1,1b
DQ790332,1,1b
DQ790333,1,1b
DQ790334,1,1b
DQ790335,1,1b
DQ790336,1,1b
DQ790337,1,1b
DQ790338,1,1b
DQ790339,1,1b
DQ790340,1,1b
DQ790341,1,1b
DQ790342,1,1b
DQ790343,1,1b
DQ790344,1,1b
DQ790345,1,1b
DQ790346,1,1b
DQ790347,1,1b
DQ790348,1,1b
DQ790349,1,1b
DQ790350,1,1b
DQ790351,1,1b
DQ790352,1,1b
DQ790353,1,1b
DQ790354,1,1b
DQ790355,1,1b
DQ790356,1,1b
DQ790357,1,1b
DQ790358,1,1b
DQ790359,1,1b
DQ790360,1,1b
DQ790361,1,1b
DQ790362,1,1b
DQ790363,1,1b
DQ790364,1,1b
DQ790365,1,1b
DQ790366,2,2a
DQ790367,2,2a
DQ790368,2,2a
DQ790369,2,2a
DQ790370,2,2a
DQ790371,2,2c
DQ835760,6,6f
DQ835761,6,6j
DQ835762,6,6i
DQ835763,6,6m
DQ835764,6,6f
DQ835765,6,6m
DQ835766,6,6m
DQ835767,6,6m
DQ835768,6,6n
DQ835769,6,6j
DQ835770,6,6i
DQ889263,,
DQ889264,,
DQ889268,,
DQ889271,,
DQ889276,,
DQ889290,,
DQ889291,,
DQ889295,,
DQ889296,,
DQ889308,,
DQ889312,,
DQ889314,,
DQ911162,,
DQ911163,,
DQ911164,,
DQ911165,,
DQ911166,,
DQ911167,,
DQ911168,,
DQ911169,,
DQ911170,,
DQ911171,,
DQ911172,,
DQ911173,,
DQ911174,,
DQ911175,,
DQ911176,,
DQ911177,,
DQ911178,,
DQ911179,,
DQ911180,,
DQ911181,,
DQ911182,,
DQ911183,,
DQ911184,,
DQ911185,,
DQ911186,,
DQ911187,,
DQ911188,,
DQ911189,,
DQ911190,,
DQ911191,,
DQ911192,,
DQ911193,,
DQ911194,,
DQ911195,,
DQ911196,,
DQ911197,,
DQ911198,,
DQ911199,,
DQ911200,,
DQ911201,,
DQ911202,,
DQ911203,,
DQ911204,,
DQ911205,,
DQ911206,,
DQ911207,,
DQ911208,,
DQ911209,,
DQ911210,,
DQ911211,,
DQ911212,,
DQ911213,,
DQ911214,,
DQ911215,,
DQ911216,,
DQ911217,,
DQ911218,,
DQ911219,,
DQ911220,,
DQ911221,,
DQ911222,,
DQ911223,,
DQ911224,,
DQ911225,,
DQ911226,,
DQ911227,,
DQ911228,,
DQ911229,,
DQ911230,,
DQ911231,,
DQ911232,,
DQ911233,,
DQ911234,,
DQ911235,,
DQ911236,,
DQ911237,,
DQ911238,,
DQ911239,,
DQ911240,,
DQ911561,,
DQ911562,,
DQ911563,,
DQ911564,,
DQ911565,,
DQ911566,,
DQ911567,,
DQ911568,,
DQ911569,,
DQ911570,,
DQ911571,,
DQ911572,,
DQ911573,,
DQ911574,,
DQ911575,,
DQ911576,,
DQ911577,,
DQ911578,,
DQ911579,,
DQ911580,,
DQ911581,,
DQ911582,,
DQ911583,,
DQ911584,,
DQ911585,,
DQ911586,,
DQ911587,,
DQ911588,,
DQ911589,,
DQ911590,,
EF015699,,
EF015700,,
EF015701,,
EF015702,,
EF015703,,
EF015704,,
EF015705,,
EF015706,,
EF015707,,
EF015708,,
EF015709,,
EF015710,,
EF015711,,
EF015712,,
EF015713,,
EF015714,,
EF015715,,
EF015716,,
EF015717,,
EF015718,,
EF015719,,
EF015720,,
EF015721,,
EF015722,,
EF015723,,
EF015724,,
EF015725,,
EF026073,,
EF108306,7,7a
EF115981,1,
EF115982,1,
EF115983,1,1g
EF115984,1,1c
EF115985,1,
EF115986,1,1g
EF115987,1,
EF115988,1,
EF115989,1,1d
EF115990,1,
EF115991,1,
EF115992,1,1h
EF115993,1,1c
EF115994,1,1d
EF115995,1,1a
EF115996,1,
EF115997,1,1a
EF115998,1,
EF115999,1,1a
EF116000,1,1b
EF116001,1,1a
EF116002,1,1b
EF116003,1,1a
EF116004,1,1a
EF116005,1,1a
EF116006,1,1a
EF116007,1,1b
EF116008,1,1b
EF116009,1,1a
EF116010,1,1b
EF116011,1,1b
EF116012,1,1a
EF116013,1,1k
EF116014,1,
EF116015,1,1b
EF116016,1,1b
EF116017,1,1b
EF116018,1,
EF116019,1,1b
EF116020,1,1k
EF116021,1,1j
EF116022,2,2c
EF116023,2,
EF116024,2,2e
EF116025,2,
EF116026,2,
EF116027,2,
EF116028,2,
EF116029,2,2k
EF116030,2,
EF116031,2,2i
EF116032,2,2r
EF116033,2,
EF116034,2,
EF116035,2,
EF116036,2,2k
EF116037,2,2k
EF116038,2,
EF116039,2,2b
EF116040,2,2r
EF116041,2,2b
EF116042,2,
EF116043,2,2a
EF116044,2,
EF116045,2,2a
EF116046,2,2c
EF116047,2,2c
EF116048,2,2i
EF116049,2,2k
EF116050,2,2j
EF116051,2,2r
EF116052,2,2d
EF116053,2,
EF116054,2,
EF116055,2,2a
EF116056,2,2i
EF116057,2,2b
EF116058,2,2i
EF116059,2,2r
EF116060,2,
EF116061,2,
EF116062,2,
EF116063,2,
EF116064,2,
EF116065,2,
EF116066,2,
EF116067,2,
EF116068,3,3b
EF116069,3,3k
EF116070,3,
EF116071,3,3a
EF116072,3,3a
EF116073,3,3a
EF116074,3,3a
EF116075,3,3h
EF116076,3,3b
EF116077,3,3b
EF116078,3,3a
EF116079,3,3a
EF116080,3,3a
EF116081,3,3a
EF116082,3,3a
EF116083,3,3a
EF116084,3,3i
EF116085,3,3b
EF116086,3,3a
EF116087,3,3g
EF116088,3,3i
EF116089,3,3i
EF116090,3,3g
EF116091,3,3b
EF116092,3,3i
EF116093,4,4m
EF116094,4,4m
EF116095,4,4d
EF116096,4,
EF116097,4,4n
EF116098,4,4r
EF116099,4,4o
EF116100,4,4l
EF116101,4,
EF116102,4,
EF116103,4,
EF116104,4,
EF116105,4,4q
EF116106,4,4h
EF116107,4,
EF116108,4,
EF116109,4,
EF116110,4,
EF116111,4,4k
EF116112,4,4k
EF116113,4,
EF116114,4,4f
EF116115,4,4h
EF116116,4,4c
EF116117,4,4a
EF116118,4,4r
EF116119,4,
EF116120,4,4a
EF116121,4,4e
EF116122,4,
EF116123,4,4c
EF116124,4,4a
EF116125,4,4g
EF116126,4,4a
EF116127,4,
EF116128,4,
EF116129,4,4k
EF116130,4,4a
EF116131,4,4m
EF116132,4,
EF116133,4,
EF116134,4,
EF116135,4,4a
EF116136,4,4q
EF116137,4,4l
EF116138,4,4b
EF116139,4,4l
EF116140,4,4f
EF116141,4,4h
EF116142,4,
EF116143,4,4a
EF116144,4,4q
EF116145,4,4r
EF116146,4,4r
EF116147,4,4d
EF116148,4,4o
EF116149,6,6a
EF116150,6,
EF116151,6,
EF116152,6,
EF116153,6,6r
EF116154,6,6r
EF116155,6,
EF116156,6,6h
EF116157,6,
EF116158,6,
EF116159,6,6l
EF116160,6,6a
EF116161,6,6a
EF116162,6,6a
EF116163,6,6r
EF116164,6,6e
EF116165,6,6l
EF116166,6,
EF116167,6,6e
EF116168,6,6p
EF116169,6,6s
EF116170,6,
EF116171,6,
EF116172,6,6a
EF116173,6,6r
EF116174,6,6r
EF116175,6,
EF116176,6,
EF116177,6,
EF116178,6,
EF116179,6,
EF116180,6,
EF116181,6,6e
EF116182,6,6q
EF116183,6,6h
EF116184,6,6r
EF116185,6,6s
EF116186,6,6r
EF116187,6,6a
EF116188,6,6f
EF116189,6,6e
EF116190,6,6p
EF116191,6,6q
EF116192,6,6a
EF116193,6,6e
EF116194,6,6e
EF116195,6,6e
EF116196,6,6e
EF116197,6,
EF116198,6,
EF116199,6,6r
EF116200,6,6c
EF116201,7,
EF175816,1,1a
EF175817,1,1a
EF175818,1,1b
EF175819,1,1a
EF175820,1,1a
EF175821,1,1b
EF175822,1,1a
EF175823,1,1a
EF175824,1,1a
EF175825,1,1a
EF175826,2,2a
EF175828,2,2c
EF175829,2,2a
EF175833,2,2a
EF175834,2,2a
EF175835,2,2c
EF175837,6,
EF175838,6,
EF194899,1,1a
EF194900,1,1b
EF194901,1,1b
EF194902,1,1b
EF194903,1,1b
EF194904,1,1b
EF194905,1,1b
EF194906,1,1b
EF194907,1,1b
EF194908,1,1b
EF194909,1,1b
EF194910,1,1b
EF194911,1,1b
EF194912,1,1b
EF194913,1,1b
EF194914,1,1b
EF194915,1,1b
EF194916,1,1b
EF194917,1,1b
EF194918,1,1b
EF194919,1,1b
EF194920,1,1b
EF194921,1,1b
EF194922,1,1b
EF194923,1,1b
EF194924,1,1b
EF194925,1,1b
EF194926,1,1b
EF194927,1,1b
EF194928,1,1b
EF194929,1,1b
EF194930,1,1b
EF194931,1,1b
EF194932,1,1b
EF194933,1,1b
EF194934,1,1b
EF194935,1,1b
EF194936,1,1b
EF194937,1,1b
EF194938,1,1b
EF194939,1,1b
EF194940,1,1b
EF194941,1,1b
EF194942,1,1b
EF194943,1,1b
EF194944,1,1b
EF194945,1,1b
EF194946,1,1b
EF194947,1,1b
EF194948,1,1b
EF194949,1,1b
EF194950,1,1b
EF194951,1,1b
EF194952,1,1b
EF194953,,
EF194954,1,1b
EF194955,1,1b
EF194956,1,1b
EF194957,1,1b
EF194958,1,1b
EF194959,1,1b
EF194960,1,1b
EF194961,1,1b
EF194962,1,1b
EF194963,1,1b
EF194964,1,1b
EF194965,1,1b
EF194966,1,1b
EF194967,1,1b
EF194968,1,1b
EF194969,1,1b
EF194970,1,1b
EF194971,1,1b
EF194972,1,1b
EF194973,1,1b
EF194974,1,1b
EF194975,1,1b
