Accession,ClosestSubtypeAlignedNT,Genotype1Distance,Genotype2Distance,Genotype3Distance,Genotype4Distance,Genotype5Distance,Genotype6Distance,Genotype7Distance,Genotype8Distance,FirstChoiceGenotype,FirstChoiceDistance,SecondChoiceGenotype,SecondChoiceDistance
MT863942,280,7.500,,29.323,30.488,,32.000,,,1,7.500,3,29.323
MT863943,280,7.143,,28.947,30.488,,32.000,,,1,7.143,3,28.947
MT863945,281,4.626,,29.070,29.032,,31.111,,,1,4.626,3,29.070
MT863946,281,6.762,,,30.242,,,,,1,6.762,4,30.242
MT863947,281,4.626,,29.070,29.032,,31.111,,,1,4.626,3,29.070
MT863948,221,9.050,32.667,28.977,25.749,,,,,1,9.050,4,25.749
MT863949,281,4.626,,29.070,29.032,,31.111,,,1,4.626,3,29.070
MT863954,281,7.117,,33.333,27.941,,31.111,30.263,,1,7.117,4,27.941
MT863955,281,7.117,32.044,33.333,27.574,,31.111,29.825,,1,7.117,4,27.574
MT863958,281,5.338,32.044,,27.206,,31.111,,,1,5.338,4,27.206
MT863959,281,4.626,31.492,,26.471,,30.222,27.000,,1,4.626,4,26.471
MT863966,281,5.694,32.044,32.685,28.309,,30.702,30.131,,1,5.694,4,28.309
MT863967,281,4.982,31.492,32.171,27.941,,32.000,29.694,,1,4.982,4,27.941
MT863972,281,6.050,32.044,,27.419,30.196,31.111,,,1,6.050,4,27.419
MT863973,281,5.338,32.044,,27.016,29.675,30.667,,,1,5.338,4,27.016
MT863976,279,6.093,33.032,,26.104,31.707,31.556,27.228,,1,6.093,4,26.104
MT863977,279,5.376,33.032,,26.908,31.301,31.556,27.228,,1,5.376,4,26.908
MT863978,281,5.338,,28.794,28.629,,31.556,,,1,5.338,3,28.794
MT863979,279,5.735,33.032,,26.908,31.301,32.000,27.228,,1,5.735,4,26.908
MT863980,281,18.861,,,29.032,,,31.973,,1,18.861,4,29.032
MT863981,281,3.915,,,27.574,,29.778,,,1,3.915,4,27.574
MT863984,279,7.527,33.484,,28.992,,31.696,,,1,7.527,4,28.992
MT863988,281,5.338,,29.070,29.435,,31.111,,,1,5.338,3,29.070
MT863989,281,5.694,,29.457,29.839,,30.531,,,1,5.694,3,29.457
MT863990,281,5.694,,32.946,27.941,,30.222,,,1,5.694,4,27.941
MT863991,281,7.117,,32.946,29.044,,30.603,,,1,7.117,4,29.044
MT863992,279,10.036,,,31.325,,,,,1,10.036,4,31.325
MT863993,279,10.394,,,30.924,,33.480,,,1,10.394,4,30.924
MT864002,279,7.527,33.484,,28.992,,31.696,,,1,7.527,4,28.992
MT864003,279,8.602,34.389,,29.412,,32.589,,,1,8.602,4,29.412
MT995341,635,24.258,33.559,30.153,30.587,30.977,30.293,33.481,30.215,1,24.258,4,30.587
MT995342,635,24.258,33.559,30.153,30.587,30.977,30.293,33.481,30.215,1,24.258,4,30.587
MT995343,635,24.517,33.559,33.805,30.635,30.698,30.405,33.687,30.122,1,24.517,4,30.635
MT995344,635,24.555,33.559,30.153,30.500,30.919,30.293,33.569,30.309,1,24.555,4,30.500
MT995345,635,24.629,33.694,30.271,30.675,31.012,30.518,33.717,30.309,1,24.629,4,30.675
MT995351,639,8.408,34.688,33.146,31.381,30.798,30.246,34.037,30.708,1,8.408,4,31.381
MT995352,639,8.333,34.688,33.146,31.239,30.798,30.246,34.037,30.708,1,8.333,4,31.239
MT995353,639,8.482,34.886,32.958,31.326,31.070,30.469,34.301,30.808,1,8.482,4,31.326
MT995354,639,8.333,34.688,33.146,31.239,30.798,30.246,34.037,30.708,1,8.333,4,31.239
MT995355,639,8.408,34.688,32.958,31.414,30.705,29.989,34.037,30.608,1,8.408,5,30.705
ON630763,639,9.077,33.019,33.240,31.201,31.360,30.709,33.510,31.732,1,9.077,4,31.201
ON630764,638,8.408,32.060,33.679,30.911,30.662,31.342,33.894,30.600,1,8.408,4,30.911
ON630765,639,8.929,33.787,32.741,31.321,31.470,31.636,34.422,30.561,1,8.929,4,31.321
ON630766,639,5.432,33.613,33.613,30.911,30.512,30.503,33.949,30.731,1,5.432,4,30.911
ON630767,638,5.659,34.257,33.240,31.469,30.925,31.102,34.257,31.300,1,5.659,4,31.469
ON630768,639,6.771,32.745,31.813,30.736,31.407,31.858,34.164,31.532,1,6.771,4,30.736
ON630769,638,6.622,34.612,32.621,31.059,30.991,32.280,33.302,31.500,1,6.622,4,31.059
ON630770,639,5.060,33.994,33.207,30.824,30.654,31.146,33.826,31.238,1,5.060,4,30.824
ON630771,638,7.515,34.791,32.122,31.487,31.696,30.357,34.041,32.322,1,7.515,6,30.357
ON630772,638,6.473,34.461,32.897,31.179,30.848,30.787,33.333,31.600,1,6.473,5,30.848
ON630773,639,9.226,34.844,33.051,30.332,30.885,31.263,32.660,29.800,1,9.226,4,30.332
ON630774,638,8.185,34.428,33.148,31.086,30.519,31.367,33.766,30.639,1,8.185,4,31.086
ON630775,639,6.994,33.433,32.960,30.709,29.884,30.769,33.641,30.900,1,6.994,4,30.709
ON630776,639,5.878,33.469,32.989,31.025,29.707,31.044,34.057,31.331,1,5.878,5,29.707
ON630777,639,9.598,34.521,32.342,31.551,30.585,31.109,33.736,30.300,1,9.598,4,31.551
ON630778,639,6.250,33.664,31.535,30.157,30.318,30.693,33.909,30.600,1,6.250,4,30.157
ON630779,639,6.771,33.765,32.123,30.268,29.304,30.762,33.641,30.370,1,6.771,5,29.304
ON630780,639,6.324,33.267,32.549,31.119,29.691,31.553,34.336,30.370,1,6.324,5,29.691
ON630781,639,7.595,,33.642,31.584,30.777,30.812,33.951,31.668,1,7.595,4,31.584
ON630782,639,6.701,35.652,33.023,31.178,30.585,31.257,34.636,30.769,1,6.701,5,30.585
ON630783,639,8.929,34.211,32.989,30.878,31.204,29.778,33.154,31.431,1,8.929,4,30.878
ON630784,639,6.250,33.604,33.178,30.938,30.529,31.141,33.859,30.900,1,6.250,4,30.938
ON630785,639,5.878,34.946,33.271,30.500,30.317,31.194,34.192,31.031,1,5.878,4,30.500
ON630786,638,8.861,35.288,33.737,30.923,31.480,30.800,34.164,31.143,1,8.861,4,30.923
ON630787,639,6.994,33.566,32.279,30.473,29.691,30.959,33.673,30.400,1,6.994,4,30.473
ON630788,638,5.432,34.688,32.861,30.324,30.464,31.044,33.925,30.531,1,5.432,4,30.324
ON630789,638,8.557,34.703,32.736,31.288,30.977,29.018,33.451,30.938,1,8.557,6,29.018
ON630790,639,8.705,34.247,32.925,30.736,30.977,30.033,33.568,30.831,1,8.705,4,30.736
ON630791,639,8.780,34.247,32.925,30.823,30.977,30.033,33.568,30.731,1,8.780,4,30.823
ON630792,639,7.068,34.816,33.551,31.436,30.585,31.368,34.547,31.269,1,7.068,5,30.585
ON630793,639,8.854,34.247,32.925,30.736,31.163,30.033,33.656,30.631,1,8.854,4,30.736
ON630794,636,6.771,34.112,33.302,30.995,29.971,30.881,34.192,30.869,1,6.771,5,29.971
ON630795,639,6.250,34.057,32.807,30.123,31.327,31.398,33.922,32.400,1,6.250,4,30.123
ON630796,638,9.970,32.801,31.867,31.464,30.427,30.505,33.887,30.170,1,9.970,5,30.427
ON630797,639,9.598,32.201,33.396,31.288,30.705,30.282,33.364,29.870,1,9.598,4,31.288
ON630798,638,9.605,34.962,33.678,31.212,30.056,30.673,33.852,30.170,1,9.605,5,30.056
ON630799,639,9.449,33.386,33.177,30.762,30.548,30.317,33.043,30.600,1,9.449,4,30.762
ON630800,639,10.268,35.111,32.346,31.146,30.891,31.412,34.067,29.770,1,10.268,4,31.146
ON630801,639,8.333,36.565,33.365,31.759,31.128,30.422,34.281,31.568,1,8.333,6,30.422
ON630802,639,10.045,33.437,33.490,31.266,30.605,31.768,33.398,29.670,1,10.045,5,30.605
ON630803,639,9.152,35.088,33.114,30.621,30.641,31.269,33.074,30.400,1,9.152,4,30.621
ON630804,639,5.878,33.378,33.271,30.675,30.085,30.948,33.837,31.331,1,5.878,4,30.675
ON630805,639,9.896,34.911,33.521,31.179,30.427,30.882,34.533,29.781,1,9.896,5,30.427
ON630806,638,6.176,34.783,32.562,31.469,30.977,32.015,34.717,31.900,1,6.176,4,31.469
ON630807,639,9.598,34.304,33.830,31.376,29.898,30.656,34.452,29.900,1,9.598,5,29.898
ON630808,639,7.223,35.714,33.644,31.065,30.585,30.923,34.867,30.708,1,7.223,4,31.065
ON630809,638,6.250,34.684,32.562,31.556,30.977,32.015,34.717,31.800,1,6.250,4,31.556
ON630810,639,5.357,34.980,33.178,30.648,29.961,31.141,34.303,31.131,1,5.357,4,30.648
ON630811,638,9.821,33.469,33.628,31.639,30.230,29.654,33.210,30.170,1,9.821,5,30.230
ON630812,639,10.193,35.127,32.580,31.584,30.891,30.430,33.798,29.900,1,10.193,8,29.900
ON630813,639,9.970,34.421,33.294,31.234,30.651,31.448,34.387,30.330,1,9.970,4,31.234
ON630814,639,9.449,34.526,33.866,31.409,30.798,30.317,33.755,29.900,1,9.449,4,31.409
ON630815,639,9.673,35.234,33.490,31.086,30.241,30.778,33.705,29.570,1,9.673,5,30.241
ON630816,639,5.655,34.681,33.836,31.436,30.684,31.426,33.833,31.269,1,5.655,5,30.684
ON630817,639,7.595,36.482,32.682,30.621,31.630,30.915,34.097,31.500,1,7.595,4,30.621
ON630818,639,9.449,35.490,32.926,30.675,30.548,31.169,33.241,30.400,1,9.449,4,30.675
ON630819,639,9.375,32.644,32.580,31.524,29.914,30.430,34.080,29.600,1,9.375,5,29.914
ON630820,639,6.548,34.980,33.084,30.500,30.464,31.528,34.192,30.907,1,6.548,4,30.500
ON630821,639,9.003,36.337,33.210,31.086,31.714,30.572,33.673,30.430,1,9.003,4,31.086
ON630822,639,5.506,34.350,33.553,31.727,30.250,31.055,33.930,31.600,1,5.506,5,30.250
ON630823,639,9.449,35.126,33.020,30.850,30.548,31.169,32.977,30.400,1,9.449,4,30.850
ON630824,635,7.961,35.149,34.294,30.796,31.333,31.293,33.097,30.600,1,7.961,4,30.796
ON630825,639,6.176,31.588,32.523,30.412,30.151,31.044,34.192,31.162,1,6.176,4,30.412
ON630826,639,6.176,33.831,33.114,30.245,30.309,30.520,34.104,30.370,1,6.176,4,30.245
ON630827,639,9.598,33.580,34.211,31.551,30.519,31.222,33.487,30.669,1,9.598,5,30.519
ON630828,639,9.673,34.664,33.302,31.288,30.607,30.514,34.230,30.500,1,9.673,5,30.607
ON630829,639,10.268,36.048,33.866,30.560,30.891,29.876,33.171,29.870,1,10.268,4,30.560
ON630830,639,5.804,34.289,33.271,31.404,30.157,31.437,33.641,31.469,1,5.804,5,30.157
ON630831,638,9.896,34.719,33.396,31.113,30.297,30.057,33.952,30.370,1,9.896,4,31.113
ON630832,639,5.878,34.289,33.271,31.491,30.250,31.533,33.734,31.369,1,5.878,5,30.250
ON630833,639,7.297,33.178,33.118,30.769,30.909,31.034,34.929,30.969,1,7.297,4,30.769
ON630834,639,5.729,34.190,33.084,30.061,29.584,30.754,34.425,31.100,1,5.729,4,30.061
ON630835,639,7.297,33.178,33.118,30.769,30.909,31.034,34.929,30.969,1,7.297,4,30.769
ON630836,639,6.845,33.499,32.738,30.070,30.683,30.913,33.826,30.900,1,6.845,4,30.070
ON630837,639,6.101,34.091,33.645,30.412,29.962,30.948,33.919,31.000,1,6.101,4,30.412
ON630838,639,4.985,34.623,33.240,30.500,29.962,31.335,33.925,30.569,1,4.985,4,30.500
ON630839,639,6.850,34.962,33.488,30.735,30.201,31.146,34.192,30.869,1,6.850,4,30.735
ON630840,639,7.967,35.639,33.239,31.089,30.856,31.257,35.200,31.076,1,7.967,4,31.089
ON630841,639,5.580,34.881,33.522,31.113,30.274,31.721,34.336,31.632,1,5.580,5,30.274
ON630842,639,6.771,34.363,32.926,29.965,30.834,30.566,33.303,30.800,1,6.771,4,29.965
ON630843,639,6.101,31.588,32.617,30.675,30.246,30.851,34.103,31.162,1,6.101,4,30.675
ON630844,639,7.669,34.919,33.364,32.165,30.718,31.250,34.425,31.568,1,7.669,5,30.718
ON630845,639,6.399,35.050,33.178,30.298,30.820,31.431,33.859,31.275,1,6.399,4,30.298
ON630846,639,6.473,33.930,32.738,30.709,30.215,31.201,34.323,30.769,1,6.473,4,30.709
ON630847,639,6.399,31.615,32.186,30.319,29.691,29.399,34.159,31.269,1,6.399,4,30.319
ON630848,639,6.994,34.263,32.402,30.762,29.787,29.621,34.392,30.969,1,6.994,5,29.787
ON630849,639,5.357,33.560,32.213,30.762,30.029,31.118,33.837,30.700,1,5.357,4,30.762
ON630850,639,9.301,34.684,34.213,31.551,30.705,30.701,32.936,30.700,1,9.301,4,31.551
ON630851,639,6.176,34.783,32.400,31.658,30.483,30.357,34.744,32.132,1,6.176,5,30.483
ON630852,639,5.208,34.950,33.144,30.938,30.180,31.141,34.248,31.231,1,5.208,5,30.180
ON630853,639,6.994,34.263,32.402,30.762,29.787,29.621,34.392,30.969,1,6.994,5,29.787
ON630854,639,6.627,34.881,33.210,30.796,29.818,31.138,34.281,30.945,1,6.627,4,30.796
ON630855,638,7.973,34.226,32.869,30.836,31.204,30.692,34.091,32.032,1,7.973,4,30.836
ON630856,638,9.226,34.156,32.893,31.113,31.272,31.508,33.715,31.400,1,9.226,4,31.113
ON630857,638,9.449,34.255,32.988,31.201,31.360,31.612,33.715,31.300,1,9.449,4,31.201
ON630858,639,8.631,33.227,33.056,31.332,30.823,30.145,34.898,31.400,1,8.631,4,31.332
ON630859,638,10.201,33.152,33.708,31.794,31.154,29.766,33.959,31.705,1,10.201,4,31.794
ON630860,639,6.925,35.179,33.580,30.824,30.297,31.146,34.103,30.969,1,6.925,5,30.297
ON630861,639,6.324,34.183,32.463,30.938,30.246,30.948,34.281,31.162,1,6.324,4,30.938
ON630862,639,8.854,34.486,33.930,31.113,30.241,30.207,32.782,30.400,1,8.854,4,31.113
ON630863,638,5.432,35.041,33.519,30.226,30.455,30.256,34.039,30.200,1,5.432,4,30.226
ON630864,639,6.324,33.988,32.617,30.500,30.085,30.658,34.043,31.062,1,6.324,4,30.500
ON630865,639,7.961,35.401,33.145,30.884,30.769,30.154,34.073,31.437,1,7.961,4,30.884
ON630866,639,9.226,34.580,33.207,31.639,31.166,29.651,33.709,30.622,1,9.226,4,31.639
ON630867,639,6.176,33.532,32.309,30.823,29.497,30.861,33.641,30.370,1,6.176,5,29.497
ON630868,639,5.952,35.771,33.148,30.174,30.634,30.449,33.569,30.370,1,5.952,4,30.174
ON630869,639,8.036,35.396,33.051,31.059,30.762,30.058,34.161,31.238,1,8.036,6,30.058
MW629117,638,8.191,34.490,33.148,30.776,31.574,32.182,33.803,32.032,1,8.191,4,30.776
MW629120,635,24.370,33.603,31.415,30.950,30.970,32.472,33.539,29.879,1,24.370,8,29.879
MW675788,639,4.762,34.093,33.738,31.579,30.669,31.340,33.825,31.331,1,4.762,5,30.669
MW675789,639,4.762,34.093,33.738,31.579,30.669,31.340,33.825,31.331,1,4.762,5,30.669
MW675790,639,9.524,34.842,33.584,31.376,30.148,29.977,33.024,29.600,1,9.524,5,30.148
MW675791,639,9.970,33.087,33.177,31.464,30.269,29.977,33.364,30.110,1,9.970,5,30.269
MW675792,639,7.515,36.656,33.365,30.971,30.884,30.250,33.984,31.637,1,7.515,4,30.971
MW675793,639,9.152,34.842,33.584,31.639,30.241,30.543,33.922,29.970,1,9.152,5,30.241
MW675794,639,9.152,34.842,33.584,31.639,30.241,30.543,33.922,29.970,1,9.152,5,30.241
MW675795,638,9.524,34.526,33.583,31.989,30.605,30.813,34.015,30.400,1,9.524,5,30.605
MW675796,638,9.524,34.421,33.583,31.989,30.605,30.700,33.922,30.500,1,9.524,5,30.605
MW689944,639,9.152,34.413,32.706,30.324,24.752,31.668,34.101,31.300,1,9.152,4,30.324
MW689945,639,5.357,33.960,32.808,29.983,29.423,31.373,33.853,30.600,1,5.357,4,29.983
MW689946,639,4.539,34.890,32.897,30.184,30.540,30.207,33.570,30.600,1,4.539,4,30.184
MW689947,639,10.201,34.877,32.931,30.736,30.641,30.777,32.803,30.639,1,10.201,4,30.736
MW689948,639,7.292,33.834,33.677,31.025,30.919,31.096,33.302,31.031,1,7.292,4,31.025
MW689949,639,10.342,34.657,33.396,31.593,30.698,31.262,33.778,30.370,1,10.342,5,30.698
MW689950,638,12.723,34.777,32.267,34.151,33.796,34.152,34.241,30.973,1,12.723,4,34.151
MW689951,639,7.595,34.718,32.868,31.201,30.877,31.072,33.540,30.400,1,7.595,4,31.201
MW689952,636,25.893,34.379,31.383,29.758,29.171,31.376,33.748,32.383,1,25.893,4,29.758
MW689953,639,7.669,34.718,32.868,31.201,30.791,30.875,33.363,30.300,1,7.669,4,31.201
MW689954,639,9.152,33.898,33.710,32.137,32.339,32.240,35.341,32.733,1,9.152,4,32.137
MW689955,639,9.077,34.479,33.208,31.321,31.947,32.368,34.073,31.031,1,9.077,4,31.321
MW689956,639,9.077,32.679,33.490,30.971,31.285,32.068,34.253,31.031,1,9.077,4,30.971
MW689957,638,6.696,34.861,33.302,30.332,31.099,30.376,33.837,30.600,1,6.696,4,30.332
MW689958,639,11.607,33.771,33.678,30.736,31.272,31.968,33.988,31.632,1,11.607,4,30.736
MW689959,639,10.640,34.378,33.021,31.146,31.686,32.567,34.073,31.131,1,10.640,4,31.146
MW689960,639,8.408,34.681,32.645,31.584,32.389,32.468,33.895,31.231,1,8.408,4,31.584
MW689961,638,8.110,33.107,32.931,31.349,31.325,30.923,33.579,30.378,1,8.110,4,31.349
MW689962,638,15.030,36.229,32.584,31.001,31.634,28.094,34.926,31.394,1,15.030,6,28.094
MW689963,639,7.068,32.970,33.272,28.497,30.103,29.477,33.579,30.370,1,7.068,4,28.497
MW689964,636,26.024,35.605,31.835,30.609,28.953,29.952,35.171,31.803,1,26.024,4,30.609
MW689965,635,27.179,33.271,31.854,31.404,29.805,27.609,34.059,31.028,1,27.179,6,27.609
MW689966,635,26.444,34.626,31.157,31.714,30.841,28.171,34.321,31.131,1,26.444,6,28.171
MW689967,635,23.860,33.784,31.321,29.826,28.412,30.717,33.245,32.207,1,23.860,4,29.826
MW689968,635,25.316,33.693,30.000,30.287,30.106,29.167,34.095,30.467,1,25.316,4,30.287
MW689969,639,10.417,34.008,32.306,30.245,24.752,31.568,33.716,31.300,1,10.417,4,30.245
MW689970,635,8.631,36.378,33.613,30.298,30.941,31.854,33.422,31.231,1,8.631,4,30.298
MW689971,633,25.457,34.638,32.264,31.142,29.947,29.301,34.461,31.584,1,25.457,5,29.947
MW689972,635,8.705,34.770,32.216,29.860,30.475,30.966,33.422,30.100,1,8.705,4,29.860
MW689973,635,24.067,34.647,32.323,30.655,29.685,30.144,33.773,30.431,1,24.067,5,29.685
MW689974,635,8.705,36.378,33.613,30.298,30.941,31.854,33.422,31.231,1,8.705,4,30.298
MW689975,614,25.074,35.092,32.959,32.586,30.891,33.116,35.061,31.524,1,25.074,4,32.586
MW689976,636,23.328,33.738,32.225,30.628,30.641,31.974,34.516,31.022,1,23.328,4,30.628
MW689977,639,8.557,34.717,33.499,30.938,31.051,31.568,33.835,31.500,1,8.557,4,30.938
MW689978,636,25.740,34.011,30.197,31.163,29.268,31.146,32.601,31.238,1,25.740,4,31.163
MW689979,639,7.217,34.717,33.583,30.736,30.855,31.773,33.510,30.900,1,7.217,4,30.736
MW689980,635,16.741,34.726,31.771,32.473,31.830,31.693,35.516,31.805,1,16.741,5,31.830
MW689981,639,15.041,35.312,32.123,31.146,30.877,30.020,34.336,30.100,1,15.041,6,30.020
MW689982,639,6.622,35.091,33.488,31.206,31.041,30.906,33.659,31.431,1,6.622,4,31.206
MW689983,636,25.298,35.041,32.019,30.524,30.619,29.634,34.323,32.468,1,25.298,4,30.524
MW689984,636,26.612,33.424,29.419,31.774,28.381,30.391,34.187,31.469,1,26.612,5,28.381
MW689985,639,6.920,34.995,33.551,30.412,30.289,31.176,34.241,31.868,1,6.920,4,30.412
MW689986,639,9.375,34.946,33.270,31.727,31.398,32.448,34.069,31.741,1,9.375,4,31.727
MW689987,639,9.375,32.939,33.396,30.149,30.280,30.869,33.178,29.800,1,9.375,4,30.149
MW689988,638,16.319,31.473,32.361,31.326,31.937,30.275,34.565,33.333,1,16.319,4,31.326
MW689989,639,8.780,32.413,33.002,30.324,29.672,30.370,33.451,29.471,1,8.780,4,30.324
MW689990,639,9.301,35.053,33.396,31.025,29.963,30.056,33.086,29.271,1,9.301,5,29.963
MW689991,635,24.261,34.153,31.673,30.306,30.417,31.707,33.038,30.224,1,24.261,4,30.306
MW689992,635,23.774,34.595,31.951,31.004,29.018,32.682,33.892,30.899,1,23.774,4,31.004
MW689993,639,7.440,32.385,32.962,30.412,30.080,30.579,33.864,30.400,1,7.440,4,30.412
MW689994,639,8.185,34.684,32.957,31.989,30.584,31.473,34.159,31.532,1,8.185,5,30.584
MW689995,639,12.649,33.062,32.682,29.947,,30.580,35.071,31.337,1,12.649,4,29.947
MW689996,639,8.185,34.752,32.839,31.989,30.427,30.915,34.601,30.931,1,8.185,5,30.427
MW689997,635,23.915,33.965,30.943,30.253,,31.111,33.982,30.402,1,23.915,4,30.253
MW689998,639,9.301,32.972,33.522,30.568,30.288,31.398,34.446,31.757,1,9.301,4,30.568
MW689999,635,24.107,34.511,31.109,31.822,30.532,32.402,33.690,30.321,1,24.107,4,31.822
MW690000,639,10.714,35.359,32.552,32.428,31.667,30.872,33.701,31.055,1,10.714,6,30.872
MW690001,640,16.232,30.909,31.138,31.206,30.427,30.212,33.274,29.400,1,16.232,5,30.427
MW690002,639,8.557,34.034,33.868,31.671,30.584,31.737,33.625,31.687,1,8.557,5,30.584
MW690003,639,9.821,33.970,33.426,32.633,31.233,32.347,34.574,32.000,1,9.821,5,31.233
MW690004,639,8.482,34.034,33.868,31.759,30.584,31.737,33.625,31.594,1,8.482,5,30.584
MW690005,638,9.003,32.899,33.772,31.234,31.034,31.387,33.924,31.632,1,9.003,5,31.034
MW690006,639,9.524,35.954,33.085,29.772,30.681,30.453,33.864,31.238,1,9.524,4,29.772
MW690007,636,25.241,33.379,30.496,31.838,27.716,29.252,32.273,31.028,1,25.241,5,27.716
MW690008,636,25.241,32.429,30.733,25.575,27.051,29.222,31.882,28.636,1,25.241,5,27.051
MW690009,639,14.062,32.429,30.952,30.534,30.140,29.517,33.921,29.670,1,14.062,5,30.140
MW690010,636,25.861,34.252,30.724,30.582,29.831,29.259,33.741,30.641,1,25.861,6,29.259
MW690011,639,9.003,34.619,33.148,31.731,31.911,31.760,34.192,32.107,1,9.003,4,31.731
MW690012,637,24.521,32.791,29.350,31.565,29.842,29.760,32.632,29.781,1,24.521,6,29.760
MW690013,617,21.325,34.558,32.350,31.851,30.272,30.250,35.039,30.855,1,21.325,6,30.250
MW690014,635,23.270,34.008,31.827,29.713,31.227,32.126,35.071,30.712,1,23.270,4,29.713
MW690015,639,4.762,35.084,32.407,31.496,30.726,31.096,33.628,31.537,1,4.762,5,30.726
MW690016,635,23.704,35.936,31.385,31.456,30.532,31.628,33.831,29.588,1,23.704,4,31.456
MW690017,639,8.036,34.358,32.361,30.565,30.941,30.357,34.574,30.831,1,8.036,4,30.565
MW690018,639,7.887,34.490,33.396,31.288,30.719,31.361,33.921,30.531,1,7.887,4,31.288
MW690019,639,9.375,34.056,33.774,30.977,30.548,30.474,33.396,29.770,1,9.375,4,30.977
MW690020,639,5.134,35.084,32.407,31.496,30.726,31.096,33.628,31.537,1,5.134,5,30.726
MN628580,639,8.036,34.787,32.989,30.500,29.991,30.187,33.714,29.960,1,8.036,4,30.500
MN628592,639,6.324,35.392,32.676,31.004,31.041,30.569,33.948,31.868,1,6.324,4,31.004
MN641918,315,4.762,34.074,29.655,27.817,29.167,31.481,,,1,4.762,4,27.817
MN641919,315,0.635,,32.069,30.097,,31.481,,,1,0.635,4,30.097
MN641920,315,0.317,,31.724,30.097,,31.481,,,1,0.317,4,30.097
MN641921,315,5.397,,26.882,29.225,,31.111,,,1,5.397,3,26.882
MN641922,315,4.444,,28.315,29.930,,31.481,,,1,4.444,3,28.315
MN641923,315,5.397,,29.310,28.155,,32.593,30.496,,1,5.397,4,28.155
MN641924,315,4.762,,29.787,29.450,,31.852,,,1,4.762,4,29.450
MN641925,315,7.619,35.556,33.448,30.952,32.292,32.841,31.930,,1,7.619,4,30.952
MN641926,315,7.937,35.556,33.448,31.293,32.292,,32.632,,1,7.937,4,31.293
MN641927,314,5.732,,31.022,29.545,,30.370,,,1,5.732,4,29.545
MN641928,315,3.492,,31.034,28.155,,30.741,,,1,3.492,4,28.155
MN641929,315,5.079,,30.690,28.803,,32.222,,,1,5.079,4,28.803
MN641930,315,5.714,32.381,31.541,28.803,,32.171,30.396,,1,5.714,4,28.803
MN641931,315,11.429,31.707,34.524,29.891,,,28.966,,1,11.429,4,29.891
MN641932,315,21.905,31.949,30.420,22.330,,,,29.553,1,21.905,4,22.330
MN641933,315,4.762,,29.655,29.126,,30.741,,,1,4.762,4,29.126
MN641934,315,17.778,,27.434,24.648,,,,,1,17.778,4,24.648
MN641972,315,24.762,,33.681,26.861,,,30.451,,1,24.762,4,26.861
MN641973,315,5.079,,32.069,28.479,,31.111,,,1,5.079,4,28.479
MN641974,315,3.810,,30.690,28.155,,31.111,,,1,3.810,4,28.155
MN641975,315,5.397,,30.824,28.803,30.556,31.481,,,1,5.397,4,28.803
MN641976,315,4.762,,29.655,29.126,,30.741,,,1,4.762,4,29.126
MN641977,315,7.937,35.926,33.793,30.612,32.639,,31.707,,1,7.937,4,30.612
MN782311,636,25.604,33.559,29.787,31.771,29.379,30.584,33.129,31.369,1,25.604,6,30.584
MN977327,636,25.604,33.559,29.787,31.771,29.379,30.584,33.129,31.369,1,25.604,6,30.584
MT062965,304,4.605,,31.683,29.452,,31.955,,,1,4.605,4,29.452
MT062966,304,4.605,33.197,31.683,28.082,,32.444,,,1,4.605,4,28.082
MT062967,304,5.263,,32.013,27.740,,32.331,29.767,,1,5.263,4,27.740
MT062968,304,4.934,,32.343,28.082,,32.707,29.302,,1,4.934,4,28.082
MT062969,304,4.934,,31.353,28.425,,32.707,,,1,4.934,4,28.425
MT062970,304,4.276,,32.343,29.110,,33.835,,,1,4.276,4,29.110
MT062971,304,4.605,,32.343,29.110,,33.459,,,1,4.605,4,29.110
MT062972,304,4.934,,31.683,28.767,,33.083,,,1,4.934,4,28.767
MT062973,304,5.263,,32.673,28.425,,,29.302,,1,5.263,4,28.425
MT062974,304,5.263,,31.023,27.740,,32.331,,,1,5.263,4,27.740
MT151157,353,7.345,32.698,30.556,27.874,30.595,32.951,30.337,,1,7.345,4,27.874
MT151158,355,20.339,,31.498,,,33.333,29.412,29.513,1,20.339,8,29.513
MT151160,353,16.949,,28.247,27.353,30.861,31.086,32.414,,1,16.949,4,27.353
MT151161,354,22.881,30.872,30.581,31.921,27.458,,31.206,,1,22.881,5,27.458
MT151167,354,23.034,32.593,30.380,29.143,30.372,29.226,32.632,,1,23.034,6,29.226
MT151169,354,22.316,34.191,31.761,28.736,31.627,28.367,33.457,33.846,1,22.316,6,28.367
MT151173,353,7.345,,30.216,28.448,30.678,32.121,30.137,,1,7.345,4,28.448
MT151176,353,21.023,,29.755,27.795,,29.395,,,1,21.023,4,27.795
MT151180,354,19.774,33.086,31.250,26.912,26.748,29.598,28.328,32.849,1,19.774,4,26.912
MT151182,354,20.056,28.968,29.846,27.327,28.775,31.322,,30.636,1,20.056,4,27.327
MT151186,354,21.569,,,27.350,29.630,28.367,,31.014,1,21.569,4,27.350
MT151189,353,23.729,33.861,29.283,27.874,28.779,30.548,,,1,23.729,4,27.874
MT151195,354,22.969,34.444,28.571,27.794,29.107,30.086,,,1,22.969,4,27.794
MT151197,354,23.876,33.829,29.062,27.066,30.330,30.372,32.342,34.593,1,23.876,4,27.066
