Accession,ClosestSubtypeAlignedNT,AssignedGenotype,Subtype4aDistance,Subtype4bDistance,Subtype4cDistance,Subtype4dDistance,Subtype4dDistance,Subtype4fDistance,Subtype4fDistance,Subtype4gDistance,Subtype4kDistance,Subtype4kDistance,Subtype4lDistance,Subtype4mDistance,Subtype4nDistance,Subtype4oDistance,Subtype4pDistance,Subtype4qDistance,Subtype4rDistance,Subtype4sDistance,Subtype4tDistance,Subtype4vDistance,Subtype4vDistance,Subtype4wDistance,Subtype4wDistance,FirstChoiceSubtype,FirstChoiceDistance,SecondChoiceSubtype,SecondChoiceDistance
MG454780,628,4,21.781,20.323,19.427,18.631,18.631,21.725,21.725,23.285,23.718,23.718,18.831,22.771,20.292,19.010,18.850,17.488,22.807,21.565,19.169,17.357,17.357,21.406,21.406,4v,17.357,4q,17.488
MG454781,636,4,10.535,21.002,12.698,18.095,18.095,19.683,19.683,21.587,20.513,20.513,16.234,19.683,18.095,18.022,17.778,17.329,23.453,19.365,20.000,15.848,15.848,22.524,22.524,4a,10.535,4c,12.698
MG454783,637,4,11.617,20.986,13.214,19.396,19.396,20.668,20.668,22.468,21.154,21.154,17.073,20.032,18.740,18.690,18.442,16.613,25.079,21.781,20.668,17.619,17.619,22.524,22.524,4a,11.617,4c,13.214
MG454791,627,4,17.073,20.734,17.647,17.065,17.065,18.790,18.790,22.807,21.087,21.087,16.612,18.820,18.820,8.931,17.994,16.450,23.102,19.777,19.139,17.544,17.544,21.648,21.648,4o,8.931,4q,16.450
MG454821,627,4,20.650,21.372,20.388,18.182,18.182,18.660,18.660,20.976,21.818,21.818,17.915,20.255,21.531,10.686,19.427,17.752,22.132,20.415,21.212,18.182,18.182,20.840,20.840,4o,10.686,4q,17.752
MG454850,636,4,11.164,20.645,13.355,17.011,17.011,19.396,19.396,21.870,20.833,20.833,16.234,18.919,17.965,17.252,17.965,16.984,22.857,19.873,18.601,15.906,15.906,21.565,21.565,4a,11.164,4c,13.355
MG454871,630,4,20.159,20.447,18.254,5.079,5.079,17.778,17.778,21.587,19.125,19.125,17.045,19.048,17.143,17.225,17.619,13.355,21.002,19.206,19.048,13.810,13.810,19.677,19.677,4d,5.079,4q,13.355
MG454872,630,4,19.206,18.901,17.476,4.444,4.444,17.619,17.619,19.516,17.949,17.949,15.584,18.095,16.984,17.065,16.349,13.355,20.986,17.903,17.778,13.016,13.016,19.936,19.936,4d,4.444,4v,13.016
MG454873,629,4,20.635,20.607,18.283,7.631,7.631,19.873,19.873,22.222,18.994,18.994,17.532,19.714,18.919,18.371,18.919,15.103,21.653,19.396,18.919,15.580,15.580,21.935,21.935,4d,7.631,4q,15.103
MG454912,637,4,11.774,20.773,13.831,18.601,18.601,20.827,20.827,22.117,21.635,21.635,16.558,19.237,18.919,18.690,19.078,17.778,24.762,20.350,20.191,17.329,17.329,22.684,22.684,4a,11.774,4c,13.831
MG454915,635,4,11.181,20.893,11.429,18.730,18.730,20.317,20.317,20.127,20.673,20.673,16.234,19.206,17.778,17.384,18.571,16.375,23.453,19.365,19.206,16.323,16.323,23.163,23.163,4a,11.181,4c,11.429
MG454938,630,4,19.365,18.182,16.825,4.762,4.762,18.571,18.571,20.635,18.506,18.506,15.584,18.254,16.667,15.789,16.984,12.878,20.000,17.460,17.778,13.651,13.651,20.323,20.323,4d,4.762,4q,12.878
MG454941,630,4,24.406,23.885,22.913,22.099,22.099,23.663,23.663,20.000,18.639,18.639,21.498,23.688,24.483,23.445,22.042,21.078,10.952,26.073,22.853,21.394,21.394,22.807,22.807,4r,10.952,4k,18.639
MG454947,636,4,10.692,21.971,12.541,17.778,17.778,20.794,20.794,21.129,20.673,20.673,16.423,19.683,17.619,17.863,17.937,16.852,23.211,20.806,18.730,17.116,17.116,22.169,22.169,4a,10.692,4c,12.541
MG454964,636,4,12.421,22.581,14.332,19.524,19.524,22.540,22.540,22.456,22.756,22.756,18.862,20.794,19.841,18.660,19.206,18.760,25.119,21.935,21.111,18.542,18.542,23.802,23.802,4a,12.421,4c,14.332
MG454973,635,4,11.339,20.679,12.540,17.937,17.937,19.841,19.841,21.395,20.673,20.673,15.747,18.889,18.254,17.863,17.619,17.011,23.779,20.000,19.524,16.323,16.323,22.204,22.204,4a,11.339,4c,12.540
MG454976,625,4,21.519,22.807,19.555,18.417,18.417,18.601,18.601,16.667,12.640,12.640,17.724,20.509,20.350,20.447,18.094,17.937,19.048,22.258,19.555,17.302,17.302,20.288,20.288,4k,12.640,4g,16.667
MG454981,630,4,21.078,22.684,19.206,18.413,18.413,21.905,21.905,21.429,20.455,20.455,19.449,20.000,9.524,19.139,20.484,16.349,23.548,21.429,18.387,17.722,17.722,22.364,22.364,4n,9.524,4q,16.349
MG454995,636,4,12.107,21.129,12.560,18.601,18.601,20.191,20.191,22.345,20.513,20.513,16.558,19.237,18.283,17.412,18.442,17.143,23.492,20.350,19.714,16.850,16.850,22.045,22.045,4a,12.107,4c,12.560
MG454998,631,4,9.667,20.451,11.288,17.170,17.170,19.714,19.714,19.968,20.032,20.032,16.234,19.555,16.693,17.732,16.375,16.032,23.175,19.078,18.760,15.689,15.689,21.565,21.565,4a,9.667,4c,11.288
MG455003,637,4,12.402,22.419,14.149,18.442,18.442,19.555,19.555,21.078,20.353,20.353,18.182,19.237,18.442,17.252,18.283,17.937,23.333,21.622,18.919,17.008,17.008,21.885,21.885,4a,12.402,4c,14.149
MG455005,637,4,12.402,21.129,13.672,19.237,19.237,20.350,20.350,21.044,21.955,21.955,16.558,18.919,18.283,19.010,18.283,16.508,23.492,19.873,20.032,17.480,17.480,22.204,22.204,4a,12.402,4c,13.672
MG455008,635,4,12.126,22.364,13.810,19.365,19.365,21.429,21.429,22.381,22.276,22.276,18.019,21.587,20.000,19.458,18.730,18.601,24.919,21.429,21.270,17.750,17.750,23.323,23.323,4a,12.126,4c,13.810
MG455023,630,4,19.524,19.329,18.095,3.016,3.016,18.413,18.413,21.746,18.639,18.639,16.396,19.048,17.722,17.703,17.619,13.355,21.002,19.524,18.095,13.651,13.651,19.516,19.516,4d,3.016,4q,13.355
MG455029,630,4,23.101,21.865,21.394,21.111,21.111,22.222,22.222,18.730,17.152,17.152,21.138,23.052,21.971,22.258,20.952,20.570,9.365,24.286,23.847,20.317,20.317,22.488,22.488,4r,9.365,4k,17.152
MG455034,630,4,18.254,19.871,16.343,7.302,7.302,17.619,17.619,20.806,18.269,18.269,14.935,18.730,18.254,16.427,16.667,13.196,19.873,18.871,17.778,13.333,13.333,20.415,20.415,4d,7.302,4q,13.196
MG455041,636,4,12.264,21.900,12.878,19.714,19.714,20.191,20.191,21.203,20.192,20.192,15.909,19.396,18.283,18.211,19.078,16.984,24.127,19.714,19.396,17.488,17.488,22.364,22.364,4a,12.264,4c,12.878
MG455044,637,4,11.617,21.900,14.149,18.760,18.760,20.827,20.827,21.553,22.756,22.756,16.721,20.827,17.488,18.850,17.647,16.984,24.603,21.145,20.827,16.984,16.984,21.885,21.885,4a,11.617,4c,14.149
MG455049,636,4,10.220,19.646,12.719,17.488,17.488,19.396,19.396,21.078,19.712,19.712,16.234,18.760,17.965,17.093,17.965,16.508,22.540,20.032,18.124,15.898,15.898,21.406,21.406,4a,10.220,4c,12.719
MG455057,635,4,14.173,21.486,15.739,20.191,20.191,21.781,21.781,23.175,23.237,23.237,18.994,21.463,20.350,18.690,19.714,18.760,25.437,22.258,22.099,18.919,18.919,23.482,23.482,4a,14.173,4c,15.739
MG455059,636,4,11.006,19.745,13.051,18.442,18.442,19.078,19.078,20.934,21.314,21.314,16.558,20.032,18.760,16.773,17.965,16.825,23.651,20.840,20.032,16.063,16.063,20.767,20.767,4a,11.006,4c,13.051
MG455060,630,4,20.635,19.968,18.413,5.873,5.873,18.095,18.095,20.952,19.449,19.449,16.883,19.365,18.730,17.384,17.143,13.831,20.679,18.730,19.048,13.651,13.651,20.806,20.806,4d,5.873,4v,13.651
MG455062,637,4,11.146,20.290,12.401,18.601,18.601,19.396,19.396,22.029,20.513,20.513,16.396,19.237,18.124,16.773,17.965,16.825,23.651,20.191,19.555,15.906,15.906,21.246,21.246,4a,11.146,4c,12.401
MG455065,614,4,16.349,20.893,10.098,19.365,19.365,20.952,20.952,21.677,21.314,21.314,18.211,20.159,18.095,19.458,18.095,16.852,22.964,23.175,20.317,17.778,17.778,22.293,22.293,4c,10.098,4a,16.349
MG455066,639,4,12.520,22.617,13.810,19.524,19.524,20.476,20.476,22.857,22.276,22.276,16.721,20.952,19.048,18.341,18.571,16.852,23.740,20.285,20.159,17.138,17.138,22.843,22.843,4a,12.520,4c,13.810
MG455075,630,4,22.222,21.987,17.314,19.524,19.524,20.635,20.635,22.099,19.839,19.839,17.752,21.111,17.419,20.415,15.238,16.478,23.779,20.159,8.254,17.302,17.302,20.607,20.607,4t,8.254,4p,15.238
MG455087,636,4,13.522,21.578,15.262,20.350,20.350,21.145,21.145,23.296,21.830,21.830,18.344,21.145,19.396,19.649,19.237,19.206,25.244,20.986,20.668,18.583,18.583,23.163,23.163,4a,13.522,4c,15.262
MG455109,629,4,21.677,21.497,17.965,16.216,16.216,20.827,20.827,20.919,18.299,18.299,14.935,16.825,7.949,19.010,17.609,14.127,22.222,18.760,16.747,14.286,14.286,21.406,21.406,4n,7.949,4q,14.127
MG455120,636,4,11.164,23.910,12.908,19.206,19.206,21.270,21.270,20.645,20.833,20.833,18.831,20.317,18.889,18.501,18.889,17.011,23.127,22.097,19.365,18.384,18.384,23.802,23.802,4a,11.164,4c,12.908
MG455130,630,4,19.524,18.660,17.302,4.762,4.762,18.730,18.730,21.587,18.963,18.963,15.909,18.571,17.143,17.384,16.667,13.196,20.032,18.413,18.095,14.127,14.127,20.484,20.484,4d,4.762,4q,13.196
MG455133,630,4,20.952,20.288,18.889,6.349,6.349,19.524,19.524,22.540,20.259,20.259,17.208,20.317,19.524,17.863,18.254,14.149,21.971,20.000,19.683,14.921,14.921,21.178,21.178,4d,6.349,4q,14.149
MG455138,633,4,9.479,21.338,12.719,18.124,18.124,20.032,20.032,20.728,20.994,20.994,16.585,19.078,17.647,17.412,18.124,16.032,23.968,21.622,19.078,17.143,17.143,22.364,22.364,4a,9.479,4c,12.719
MG455143,637,4,13.501,21.256,14.467,19.396,19.396,20.668,20.668,22.468,21.795,21.795,18.019,20.509,19.396,18.690,18.919,18.254,24.762,20.191,20.668,17.143,17.143,22.204,22.204,4a,13.501,4c,14.467
MG455155,636,4,13.050,21.578,14.075,19.396,19.396,21.940,21.940,23.548,20.867,20.867,18.019,21.304,18.760,18.530,18.442,17.302,23.290,21.163,18.601,18.413,18.413,24.121,24.121,4a,13.050,4c,14.075
MG455160,631,4,11.569,19.807,13.037,17.329,17.329,19.237,19.237,20.602,20.513,20.513,15.909,18.442,18.760,17.572,17.488,16.984,23.016,19.237,18.919,15.591,15.591,20.927,20.927,4a,11.569,4c,13.037
MG455161,637,4,10.989,21.129,11.746,18.760,18.760,20.191,20.191,21.061,21.474,21.474,16.396,18.919,18.442,16.933,18.124,16.508,24.127,19.386,19.396,17.488,17.488,21.885,21.885,4a,10.989,4c,11.746
MG455174,630,4,20.317,21.406,19.683,5.873,5.873,19.206,19.206,22.063,19.935,19.935,16.883,19.841,18.730,18.022,18.413,14.308,21.648,20.635,19.683,15.397,15.397,22.742,22.742,4d,5.873,4q,14.308
MG455181,636,4,12.736,20.517,13.725,17.937,17.937,18.413,18.413,20.444,19.231,19.231,17.695,18.254,16.825,17.157,17.778,15.580,24.104,20.317,19.841,16.508,16.508,22.684,22.684,4a,12.736,4c,13.725
MG455190,630,4,20.952,19.968,18.254,4.127,4.127,18.571,18.571,21.078,19.231,19.231,15.909,18.254,17.937,17.225,17.460,14.149,21.622,18.889,19.206,13.968,13.968,21.372,21.372,4d,4.127,4v,13.968
MG455204,629,4,19.968,19.777,17.965,5.564,5.564,19.396,19.396,21.236,18.831,18.831,16.396,18.283,17.806,16.933,17.488,13.810,20.968,19.078,18.283,14.149,14.149,20.517,20.517,4d,5.564,4q,13.810
MG455205,630,4,11.635,20.161,11.587,18.254,18.254,19.524,19.524,21.111,20.513,20.513,16.234,19.206,17.619,16.906,17.778,16.216,23.779,19.683,18.889,16.195,16.195,21.565,21.565,4c,11.587,4a,11.635
MG455206,635,4,13.543,22.456,13.990,19.714,19.714,21.463,21.463,22.698,20.994,20.994,18.344,20.986,19.873,19.329,20.032,18.124,24.430,20.827,20.191,18.425,18.425,23.642,23.642,4a,13.543,4c,13.990
MG455209,637,4,10.361,20.323,12.719,17.011,17.011,19.555,19.555,21.111,20.192,20.192,15.584,18.283,18.283,17.412,18.124,16.032,23.651,19.873,19.555,16.667,16.667,21.565,21.565,4a,10.361,4c,12.719
MG455213,630,4,20.476,19.139,18.571,5.397,5.397,19.048,19.048,21.712,19.318,19.318,16.585,18.889,17.619,17.225,17.937,14.149,20.840,19.048,18.571,14.603,14.603,21.163,21.163,4d,5.397,4q,14.149
MG455218,630,4,21.429,19.617,18.571,5.556,5.556,19.048,19.048,21.429,20.032,20.032,17.532,19.365,18.254,18.501,18.413,14.785,23.211,20.317,20.000,14.921,14.921,21.885,21.885,4d,5.556,4q,14.785
MG455220,630,4,19.683,19.010,17.460,4.762,4.762,18.413,18.413,20.794,18.590,18.590,15.909,17.778,18.095,16.427,16.508,13.514,21.304,19.048,18.571,13.968,13.968,21.053,21.053,4d,4.762,4q,13.514
MG455221,630,4,20.285,20.517,19.256,17.619,17.619,7.619,7.619,22.132,20.673,20.673,19.156,19.524,18.889,19.617,21.078,19.078,23.941,19.677,19.968,18.859,18.859,20.574,20.574,4f,7.619,4d,17.619
MG455222,636,4,9.277,20.161,12.222,18.095,18.095,19.365,19.365,20.952,19.872,19.872,15.909,18.730,17.302,17.225,17.937,16.534,23.290,19.841,19.206,16.323,16.323,21.086,21.086,4a,9.277,4c,12.222
MG455225,630,4,22.705,13.810,19.139,19.775,19.775,21.086,21.086,21.338,21.348,21.348,21.290,22.364,20.288,20.927,20.574,18.889,23.732,23.163,20.968,20.415,20.415,19.237,19.237,4b,13.810,4q,18.889
MG455229,630,4,19.683,19.225,18.254,6.667,6.667,18.095,18.095,21.111,17.978,17.978,16.883,18.095,17.619,18.182,17.778,15.103,21.781,20.159,18.571,14.762,14.762,18.820,18.820,4d,6.667,4v,14.762
MG455232,629,4,19.778,21.212,18.124,17.806,17.806,20.509,20.509,21.746,19.643,19.643,17.666,19.048,8.267,18.850,18.901,15.055,22.061,20.509,17.391,16.482,16.482,21.086,21.086,4n,8.267,4q,15.055
MG455233,629,4,20.063,22.488,19.078,18.283,18.283,22.417,22.417,22.345,20.385,20.385,20.130,20.350,10.493,19.489,21.145,18.095,25.238,21.622,19.714,18.413,18.413,22.684,22.684,4n,10.493,4q,18.095
MG455239,629,4,22.698,24.717,21.113,21.622,21.622,22.258,22.258,19.714,19.551,19.551,21.010,23.211,22.294,22.097,21.781,20.952,12.242,24.642,22.258,20.350,20.350,23.802,23.802,4r,12.242,4g,19.714
MG455242,630,4,19.078,19.169,17.778,4.762,4.762,17.937,17.937,20.635,18.639,18.639,16.396,18.889,17.302,17.065,16.667,13.355,20.840,18.889,18.413,13.016,13.016,19.516,19.516,4d,4.762,4v,13.016
MG455247,630,4,20.952,21.246,19.048,6.508,6.508,20.476,20.476,21.587,20.130,20.130,18.506,20.635,19.206,17.863,19.841,14.626,22.617,20.952,19.206,16.032,16.032,22.419,22.419,4d,6.508,4q,14.626
MG455250,637,4,11.931,19.968,13.990,19.078,19.078,19.873,19.873,21.587,20.353,20.353,18.019,18.760,18.760,18.371,18.442,18.413,24.286,20.191,19.237,17.778,17.778,23.163,23.163,4a,11.931,4c,13.990
MG455257,627,4,18.699,21.406,16.993,17.384,17.384,19.298,19.298,21.138,21.104,21.104,16.124,19.777,18.341,9.250,17.544,16.124,22.294,21.372,18.820,16.587,16.587,21.648,21.648,4o,9.250,4q,16.124
MG455258,636,4,11.792,22.169,12.704,19.048,19.048,20.794,20.794,21.111,21.474,21.474,17.236,20.794,18.065,17.863,17.302,17.609,24.104,21.553,18.730,17.302,17.302,23.163,23.163,4a,11.792,4c,12.704
MG455259,636,4,10.849,21.095,13.990,18.283,18.283,20.350,20.350,21.870,21.314,21.314,16.721,19.396,18.601,18.051,18.283,17.460,23.968,20.668,20.191,17.170,17.170,21.885,21.885,4a,10.849,4c,13.990
MG455263,637,4,12.559,21.256,12.766,18.283,18.283,20.032,20.032,21.669,21.154,21.154,17.073,19.555,18.124,18.530,17.488,16.508,24.762,20.194,19.714,17.008,17.008,22.204,22.204,4a,12.559,4c,12.766
MG455265,629,4,19.620,21.053,18.124,17.965,17.965,20.355,20.355,19.968,19.318,19.318,15.447,19.063,9.062,17.412,18.255,15.055,22.222,19.714,17.591,15.055,15.055,21.246,21.246,4n,9.062,4q,15.055
MG455269,634,4,12.145,21.850,13.196,18.124,18.124,20.350,20.350,21.145,21.474,21.474,16.396,18.760,18.760,18.211,17.965,16.693,23.089,20.032,20.509,16.693,16.693,23.642,23.642,4a,12.145,4c,13.196
MG455273,637,4,11.303,21.095,13.377,19.237,19.237,19.714,19.714,19.937,20.833,20.833,17.370,19.555,18.124,18.494,17.011,17.778,23.968,20.668,19.555,17.170,17.170,21.885,21.885,4a,11.303,4c,13.377
MG455274,627,4,19.350,21.212,19.417,17.544,17.544,18.312,18.312,20.325,21.266,21.266,18.404,19.458,20.255,9.091,18.949,17.370,21.325,20.734,20.415,17.544,17.544,21.486,21.486,4o,9.091,4v,17.544
MG455278,637,4,11.303,21.095,12.156,18.501,18.501,18.341,18.341,20.860,20.833,20.833,16.667,18.341,19.139,18.211,17.572,15.764,24.083,20.767,18.371,16.108,16.108,20.927,20.927,4a,11.303,4c,12.156
MG455283,637,4,11.931,20.484,12.275,17.329,17.329,20.509,20.509,20.612,20.032,20.032,17.370,19.396,17.806,18.371,17.965,16.508,23.968,21.163,19.396,17.488,17.488,21.406,21.406,4a,11.931,4c,12.275
MG455284,636,4,9.906,20.968,12.063,17.302,17.302,19.841,19.841,21.111,19.712,19.712,16.721,19.841,16.984,17.703,17.460,16.534,22.476,20.476,19.206,16.509,16.509,22.684,22.684,4a,9.906,4c,12.063
MG455287,630,4,16.190,21.850,9.206,18.225,18.225,21.270,21.270,20.952,19.872,19.872,17.561,19.841,18.571,20.000,18.254,16.801,23.290,20.317,18.730,16.984,16.984,21.053,21.053,4c,9.206,4a,16.190
MG455292,637,4,9.419,19.355,11.288,17.965,17.965,18.760,18.760,20.761,20.192,20.192,16.071,18.283,17.965,16.773,17.329,16.667,22.222,18.760,17.965,15.873,15.873,20.927,20.927,4a,9.419,4c,11.288
MG455295,635,4,12.441,21.452,13.355,19.078,19.078,20.827,20.827,22.345,21.154,21.154,16.558,19.237,18.919,18.530,18.760,17.170,23.941,20.032,20.509,17.323,17.323,22.364,22.364,4a,12.441,4c,13.355
MG455296,630,4,19.841,19.649,17.302,5.238,5.238,18.095,18.095,21.270,19.287,19.287,15.909,18.889,18.254,16.906,16.984,13.196,20.517,18.889,19.206,13.175,13.175,20.484,20.484,4d,5.238,4q,13.196
MG455299,630,4,18.889,18.979,16.990,5.079,5.079,18.254,18.254,20.476,18.639,18.639,17.073,17.937,17.460,17.065,17.778,13.355,21.486,19.206,19.206,13.810,13.810,20.000,20.000,4d,5.079,4q,13.355
MG455300,630,4,22.381,20.767,16.667,17.302,17.302,20.635,20.635,20.509,19.904,19.904,17.073,20.000,16.935,18.820,13.651,14.701,21.789,21.111,9.365,16.190,16.190,21.406,21.406,4t,9.365,4p,13.651
MG455302,629,4,20.253,22.010,18.760,18.919,18.919,20.986,20.986,20.285,20.130,20.130,17.666,19.555,10.334,19.329,19.548,16.957,22.705,20.827,18.417,17.116,17.116,22.045,22.045,4n,10.334,4q,16.957
MG455303,637,4,10.675,19.614,12.719,17.647,17.647,19.237,19.237,20.444,20.353,20.353,15.260,18.601,18.442,17.732,17.329,16.508,23.492,20.350,19.237,15.898,15.898,21.246,21.246,4a,10.675,4c,12.719
MG455306,631,4,12.361,22.930,12.887,17.806,17.806,20.191,20.191,20.635,20.673,20.673,17.561,20.509,18.740,18.690,17.647,17.419,22.540,21.463,19.237,17.323,17.323,22.204,22.204,4a,12.361,4c,12.887
MG455309,636,4,9.748,19.516,12.381,17.460,17.460,19.206,19.206,21.270,20.320,20.320,16.071,18.095,17.937,17.703,18.254,16.693,22.476,20.159,19.365,15.531,15.531,21.725,21.725,4a,9.748,4c,12.381
MG455311,630,4,20.794,19.649,18.889,4.921,4.921,18.730,18.730,21.111,20.097,20.097,17.208,19.841,17.619,17.703,17.302,14.149,21.163,19.683,18.889,14.286,14.286,20.484,20.484,4d,4.921,4q,14.149
MG455315,636,4,12.736,21.935,14.308,19.555,19.555,21.781,21.781,22.345,21.669,21.669,17.695,20.509,19.555,19.329,19.078,17.965,24.593,20.191,20.668,18.095,18.095,23.003,23.003,4a,12.736,4c,14.308
MG455319,630,4,20.159,19.649,19.206,4.921,4.921,17.937,17.937,20.635,19.101,19.101,16.883,18.730,18.095,16.906,17.778,13.672,21.304,19.365,18.095,14.444,14.444,19.617,19.617,4d,4.921,4q,13.672
MG455321,637,4,12.245,21.417,12.887,18.442,18.442,20.668,20.668,22.504,21.795,21.795,17.073,20.668,19.078,18.211,18.760,17.143,24.444,20.668,19.873,17.165,17.165,22.045,22.045,4a,12.245,4c,12.887
MG455324,634,4,14.511,23.726,17.011,21.145,21.145,22.258,22.258,22.275,23.397,23.397,19.156,20.827,20.191,21.086,19.237,19.206,25.397,23.211,21.905,18.760,18.760,23.323,23.323,4a,14.511,4c,17.011
MG455327,627,4,20.000,19.386,18.464,18.022,18.022,21.212,21.212,22.452,22.313,22.313,16.748,19.139,19.032,16.587,18.501,15.980,21.975,21.531,19.777,18.022,18.022,19.298,19.298,4o,16.587,4q,15.980
MG455331,635,4,10.866,21.809,11.889,17.937,17.937,20.317,20.317,20.645,20.192,20.192,18.669,20.000,18.571,18.341,17.937,17.170,22.638,20.645,19.048,18.413,18.413,22.524,22.524,4a,10.866,4c,11.889
MG455332,630,4,19.365,20.032,19.146,9.841,9.841,18.095,18.095,20.000,18.109,18.109,17.695,19.206,18.889,17.703,16.667,15.898,21.304,18.254,20.000,16.667,16.667,21.246,21.246,4d,9.841,4q,15.898
MG455333,636,4,10.063,20.806,13.333,17.778,17.778,19.524,19.524,21.270,20.320,20.320,16.396,19.524,18.730,17.225,16.825,16.534,22.313,20.794,19.524,16.038,16.038,21.565,21.565,4a,10.063,4c,13.333
MG455337,637,4,11.617,20.773,12.561,18.919,18.919,20.509,20.509,19.493,19.712,19.712,17.236,18.124,17.447,17.412,17.329,15.806,24.762,21.304,20.191,17.302,17.302,21.725,21.725,4a,11.617,4c,12.561
MG455340,630,4,20.000,18.211,17.937,5.238,5.238,18.571,18.571,21.270,18.994,18.994,16.721,17.937,17.460,15.470,17.778,13.355,21.325,19.365,18.889,14.286,14.286,20.679,20.679,4d,5.238,4q,13.355
MG455341,635,4,11.969,19.709,11.075,18.254,18.254,19.524,19.524,21.270,20.513,20.513,16.260,19.048,18.095,16.746,18.254,16.852,23.616,19.048,19.048,16.509,16.509,21.246,21.246,4a,11.969,4c,11.075
MG455345,637,4,12.402,21.774,12.439,18.442,18.442,20.191,20.191,21.270,20.513,20.513,15.798,19.714,18.919,18.690,17.806,16.508,23.175,20.350,20.350,16.984,16.984,21.406,21.406,4a,12.402,4c,12.439
MG455354,636,4,11.321,22.293,12.541,18.254,18.254,21.270,21.270,21.774,21.795,21.795,17.724,21.111,18.889,18.182,17.937,17.329,23.616,20.161,19.524,17.750,17.750,22.524,22.524,4a,11.321,4c,12.541
MG455360,629,4,20.570,22.010,18.601,18.442,18.442,19.773,19.773,21.078,19.870,19.870,18.831,20.350,9.221,18.690,20.097,16.667,23.301,21.145,18.597,16.667,16.667,22.204,22.204,4n,9.221,4q,16.667
MG455362,631,4,11.886,21.338,13.355,18.730,18.730,19.206,19.206,21.905,21.955,21.955,17.073,20.159,19.032,18.341,18.571,18.094,24.165,20.952,20.317,17.247,17.247,22.524,22.524,4a,11.886,4c,13.355
MG455364,630,4,21.609,20.488,19.417,17.619,17.619,10.476,10.476,21.290,20.192,20.192,18.730,19.048,19.206,20.893,19.683,18.124,22.734,20.323,20.794,18.700,18.700,20.767,20.767,4f,10.476,4d,17.619
MG455366,627,4,19.777,22.967,17.157,19.936,19.936,20.860,20.860,20.767,21.173,21.173,18.730,20.574,18.022,18.660,20.701,17.572,24.601,21.691,21.691,17.225,17.225,22.524,22.524,4v,17.225,4q,17.572
MG455379,637,4,11.931,20.968,12.398,18.124,18.124,19.396,19.396,19.614,19.391,19.391,16.558,18.442,18.124,17.732,17.647,16.190,23.016,19.709,17.965,16.693,16.693,21.885,21.885,4a,11.931,4c,12.398
MG455381,637,4,12.873,23.065,14.192,19.555,19.555,20.668,20.668,20.570,21.635,21.635,18.994,20.986,19.396,18.051,18.760,19.048,23.968,23.052,20.191,17.806,17.806,23.163,23.163,4a,12.873,4c,14.192
MG455385,636,4,12.893,23.226,14.286,20.159,20.159,21.905,21.905,22.063,22.596,22.596,18.669,21.270,19.365,18.660,19.524,17.806,25.570,21.587,21.270,18.067,18.067,24.601,24.601,4a,12.893,4c,14.286
MG455388,631,4,9.350,20.860,12.401,17.488,17.488,19.555,19.555,20.095,19.611,19.611,15.422,19.714,16.852,17.252,16.534,16.032,23.065,19.714,19.078,15.956,15.956,21.809,21.809,4a,9.350,4c,12.401
MG455389,637,4,14.757,23.671,16.534,22.099,22.099,22.576,22.576,23.016,22.793,22.793,19.481,22.417,21.145,21.406,20.032,20.317,25.570,22.258,21.304,20.191,20.191,24.121,24.121,4a,14.757,4c,16.534
MG455392,636,4,10.377,22.132,11.889,17.460,17.460,20.476,20.476,19.646,20.192,20.192,15.422,20.000,18.095,17.703,17.302,16.375,22.638,19.839,19.206,15.723,15.723,21.372,21.372,4a,10.377,4c,11.889
MG455817,635,4,10.866,19.871,12.698,16.825,16.825,18.730,18.730,20.635,19.071,19.071,15.422,18.730,16.984,16.746,17.302,15.898,22.222,20.000,18.730,15.214,15.214,20.927,20.927,4a,10.866,4c,12.698
MG455838,630,4,20.000,19.489,17.302,5.238,5.238,17.778,17.778,20.317,18.831,18.831,16.234,18.571,17.778,16.587,17.619,13.514,21.163,18.571,18.571,13.175,13.175,20.517,20.517,4d,5.238,4v,13.175
MG455854,637,4,11.774,20.806,13.672,18.124,18.124,21.145,21.145,22.345,21.314,21.314,18.019,19.714,19.396,18.530,20.191,17.619,24.444,20.986,21.145,17.937,17.937,23.163,23.163,4a,11.774,4c,13.672
MG455855,637,4,10.989,19.324,13.196,17.647,17.647,18.601,18.601,20.761,19.712,19.712,15.747,16.057,17.170,17.252,18.442,16.032,21.587,19.873,18.413,14.944,14.944,20.607,20.607,4a,10.989,4c,13.196
MG455859,630,4,19.683,20.927,18.413,7.460,7.460,18.254,18.254,20.285,18.963,18.963,16.396,18.571,18.095,17.384,18.889,13.990,23.425,20.159,18.730,15.079,15.079,20.645,20.645,4d,7.460,4q,13.990
MG455929,637,4,13.501,20.773,14.239,19.555,19.555,20.191,20.191,22.979,22.756,22.756,18.019,19.396,19.873,19.649,19.078,18.095,25.079,22.099,20.509,17.965,17.965,23.323,23.323,4a,13.501,4c,14.239
MG455944,630,4,20.317,19.871,18.447,5.397,5.397,18.730,18.730,20.323,19.422,19.422,16.558,19.365,18.254,17.544,17.302,14.308,21.622,20.000,18.254,14.603,14.603,20.415,20.415,4d,5.397,4q,14.308
MG455954,629,4,20.444,20.255,17.965,5.405,5.405,18.760,18.760,20.602,19.551,19.551,16.234,18.442,18.124,18.051,17.806,14.286,21.111,19.237,18.601,14.467,14.467,20.255,20.255,4d,5.405,4q,14.286
