Accession,ClosestSubtypeAlignedNT,AssignedGenotype,Subtype1aDistance,Subtype1aDistance,Subtype1bDistance,Subtype1bDistance,Subtype1cDistance,Subtype1cDistance,Subtype1dDistance,Subtype1eDistance,Subtype1eDistance,Subtype1gDistance,Subtype1gDistance,Subtype1hDistance,Subtype1hDistance,Subtype1iDistance,Subtype1jDistance,Subtype1kDistance,Subtype1lDistance,Subtype1lDistance,Subtype1mDistance,Subtype1mDistance,Subtype1nDistance,Subtype1nDistance,Subtype1oDistance,Subtype1oDistance,FirstChoiceSubtype,FirstChoiceDistance,SecondChoiceSubtype,SecondChoiceDistance
MN146187,639,1,5.634,5.634,21.732,21.732,19.334,19.334,22.379,21.905,21.905,22.013,22.013,21.997,21.997,22.381,17.371,16.301,23.651,23.651,17.329,17.329,17.005,17.005,21.304,21.304,1a,5.634,1k,16.301
MN146188,639,1,8.138,8.138,23.688,23.688,21.236,21.236,24.257,23.810,23.810,23.899,23.899,24.181,24.181,23.968,18.623,17.712,25.079,25.079,18.919,18.919,18.721,18.721,23.052,23.052,1a,8.138,1k,17.712
MN146189,639,1,8.294,8.294,23.847,23.847,21.236,21.236,24.257,23.810,23.810,23.899,23.899,24.181,24.181,23.968,18.779,17.712,25.079,25.079,19.078,19.078,18.877,18.877,23.052,23.052,1a,8.294,1k,17.712
MN146190,633,1,6.319,6.319,21.940,21.940,19.683,19.683,23.223,22.698,22.698,22.821,22.821,22.520,22.520,22.857,18.325,16.430,24.127,24.127,17.965,17.965,17.795,17.795,21.781,21.781,1a,6.319,1k,16.430
MN146191,638,1,8.934,8.934,22.677,22.677,20.476,20.476,23.041,23.270,23.270,21.855,21.855,22.031,22.031,22.170,18.025,16.144,25.472,25.472,17.694,17.694,16.771,16.771,22.468,22.468,1a,8.934,1k,16.144
MN146192,638,1,10.188,10.188,23.780,23.780,21.270,21.270,24.295,24.019,24.019,22.956,22.956,23.125,23.125,23.585,19.122,17.712,26.803,26.803,19.462,19.462,17.868,17.868,23.734,23.734,1a,10.188,1k,17.712
MN146193,635,1,10.394,10.394,24.051,24.051,21.429,21.429,24.567,23.975,23.975,23.223,23.223,23.391,23.391,23.697,19.370,17.953,26.929,26.929,19.620,19.620,18.110,18.110,23.892,23.892,1a,10.394,1k,17.953
MN146194,638,1,9.248,9.248,22.520,22.520,20.635,20.635,23.197,22.920,22.920,21.855,21.855,22.031,22.031,22.170,18.182,16.301,25.472,25.472,17.852,17.852,16.614,16.614,22.468,22.468,1a,9.248,1k,16.301
MN146195,638,1,8.934,8.934,22.362,22.362,20.476,20.476,23.041,23.113,23.113,21.698,21.698,21.875,21.875,22.013,17.868,15.987,25.314,25.314,17.536,17.536,16.458,16.458,22.310,22.310,1a,8.934,1k,15.987
MN146196,639,1,7.668,7.668,20.408,20.408,20.159,20.159,22.430,22.920,22.920,21.855,21.855,20.905,20.905,21.069,17.684,16.144,23.742,23.742,17.563,17.563,17.941,17.941,21.361,21.361,1a,7.668,1k,16.144
MN146197,638,1,4.859,4.859,22.013,22.013,20.411,20.411,21.944,22.205,22.205,20.945,20.945,22.344,22.344,21.102,17.241,15.047,23.622,23.622,17.035,17.035,16.771,16.771,20.853,20.853,1a,4.859,1k,15.047
MN146198,639,1,7.668,7.668,20.408,20.408,20.159,20.159,22.430,22.920,22.920,21.855,21.855,20.905,20.905,21.069,17.684,16.144,23.742,23.742,17.563,17.563,17.941,17.941,21.361,21.361,1a,7.668,1k,16.144
MN146199,639,1,9.077,9.077,21.732,21.732,20.000,20.000,23.161,21.440,21.440,20.755,20.755,20.814,20.814,20.283,17.684,15.674,23.899,23.899,16.930,16.930,16.745,16.745,21.044,21.044,1a,9.077,1k,15.674
MN146200,639,1,9.077,9.077,21.732,21.732,20.000,20.000,23.161,21.440,21.440,20.755,20.755,20.814,20.814,20.283,17.684,15.674,23.899,23.899,16.930,16.930,16.745,16.745,21.044,21.044,1a,9.077,1k,15.674
MN146201,639,1,9.233,9.233,21.732,21.732,20.000,20.000,23.318,21.440,21.440,20.912,20.912,20.970,20.970,20.283,17.840,15.831,23.899,23.899,16.930,16.930,16.901,16.901,21.044,21.044,1a,9.233,1k,15.831
MN146202,636,1,8.962,8.962,21.835,21.835,19.841,19.841,23.270,21.384,21.384,20.853,20.853,20.912,20.912,20.063,17.610,15.748,23.855,23.855,16.772,16.772,16.824,16.824,21.044,21.044,1a,8.962,1k,15.748
MN146203,639,1,6.103,6.103,20.945,20.945,19.115,19.115,22.535,21.978,21.978,21.541,21.541,20.344,20.344,21.384,16.588,15.047,22.956,22.956,18.009,18.009,16.225,16.225,20.411,20.411,1a,6.103,1k,15.047
MN146204,636,1,6.289,6.289,21.044,21.044,19.273,19.273,22.642,21.924,21.924,21.643,21.643,20.440,20.440,21.327,16.667,15.118,22.907,22.907,18.167,18.167,16.458,16.458,20.411,20.411,1a,6.289,1k,15.118
MN146205,636,1,6.289,6.289,21.044,21.044,19.273,19.273,22.642,21.924,21.924,21.643,21.643,20.440,20.440,21.327,16.667,15.118,22.907,22.907,18.167,18.167,16.458,16.458,20.411,20.411,1a,6.289,1k,15.118
MN146206,636,1,6.289,6.289,21.044,21.044,19.431,19.431,22.642,22.082,22.082,21.643,21.643,20.440,20.440,21.327,16.667,15.118,22.907,22.907,18.167,18.167,16.614,16.614,20.411,20.411,1a,6.289,1k,15.118
MN146207,636,1,6.289,6.289,21.044,21.044,19.431,19.431,22.642,22.082,22.082,21.643,21.643,20.440,20.440,21.327,16.667,15.118,22.907,22.907,18.167,18.167,16.614,16.614,20.411,20.411,1a,6.289,1k,15.118
MN146208,636,1,6.132,6.132,21.044,21.044,19.115,19.115,22.642,21.924,21.924,21.643,21.643,20.440,20.440,21.327,16.667,15.118,22.907,22.907,18.009,18.009,16.301,16.301,20.411,20.411,1a,6.132,1k,15.118
MN146209,639,1,8.451,8.451,22.205,22.205,21.270,21.270,23.787,23.077,23.077,22.170,22.170,22.153,22.153,23.428,17.840,15.831,25.078,25.078,18.770,18.770,17.527,17.527,22.627,22.627,1a,8.451,1k,15.831
MN146210,636,1,8.805,8.805,22.943,22.943,21.270,21.270,24.019,23.344,23.344,22.591,22.591,22.571,22.571,23.975,18.239,15.906,25.354,25.354,18.770,18.770,16.981,16.981,22.943,22.943,1a,8.805,1k,15.906
MN146211,639,1,8.920,8.920,23.307,23.307,21.746,21.746,23.742,23.862,23.862,22.170,22.170,22.465,22.465,23.862,17.953,16.144,24.922,24.922,18.770,18.770,17.527,17.527,22.627,22.627,1a,8.920,1k,16.144
MN146212,639,1,7.199,7.199,21.260,21.260,20.000,20.000,23.005,21.978,21.978,21.698,21.698,21.685,21.685,22.642,17.058,15.204,24.528,24.528,17.666,17.666,16.901,16.901,21.994,21.994,1a,7.199,1k,15.204
MN146213,639,1,7.199,7.199,21.417,21.417,20.476,20.476,23.005,21.821,21.821,21.384,21.384,21.596,21.596,22.956,17.214,14.734,24.528,24.528,17.666,17.666,16.432,16.432,21.677,21.677,1a,7.199,1k,14.734
MN146218,635,1,22.066,22.066,7.874,7.874,21.959,21.959,16.220,23.113,23.113,20.755,20.755,20.814,20.814,15.723,20.472,20.283,23.391,23.391,21.835,21.835,21.596,21.596,20.570,20.570,1b,7.874,1i,15.723
MN146219,635,1,22.222,22.222,8.031,8.031,22.117,22.117,16.378,23.113,23.113,20.755,20.755,20.814,20.814,15.881,20.630,20.440,23.548,23.548,21.994,21.994,21.753,21.753,20.728,20.728,1b,8.031,1i,15.881
MN146220,635,1,22.222,22.222,8.031,8.031,22.117,22.117,16.378,23.113,23.113,20.755,20.755,20.814,20.814,16.038,20.787,20.597,23.548,23.548,21.994,21.994,21.753,21.753,20.728,20.728,1b,8.031,1i,16.038
MN146221,635,1,22.222,22.222,8.031,8.031,22.117,22.117,16.378,23.113,23.113,20.755,20.755,20.814,20.814,15.881,20.630,20.440,23.548,23.548,21.994,21.994,21.753,21.753,20.728,20.728,1b,8.031,1i,15.881
MN146222,635,1,22.066,22.066,8.031,8.031,22.117,22.117,16.378,23.270,23.270,20.912,20.912,20.970,20.970,15.881,20.630,20.440,23.548,23.548,21.994,21.994,21.753,21.753,20.570,20.570,1b,8.031,1i,15.881
MN146223,639,1,7.042,7.042,21.732,21.732,20.159,20.159,23.438,22.642,22.642,21.384,21.384,21.685,21.685,21.698,18.153,15.361,24.138,24.138,17.852,17.852,17.161,17.161,20.886,20.886,1a,7.042,1k,15.361
MN146224,639,1,7.042,7.042,21.732,21.732,20.159,20.159,23.438,22.642,22.642,21.384,21.384,21.685,21.685,21.698,18.153,15.361,24.138,24.138,17.852,17.852,17.161,17.161,20.886,20.886,1a,7.042,1k,15.361
MN146225,639,1,5.634,5.634,21.036,21.036,19.905,19.905,22.692,22.013,22.013,22.327,22.327,20.657,20.657,21.541,17.214,15.674,22.642,22.642,15.324,15.324,16.069,16.069,19.747,19.747,1a,5.634,1k,15.674
MN146226,639,1,5.634,5.634,21.036,21.036,19.905,19.905,22.692,22.013,22.013,22.327,22.327,20.657,20.657,21.541,17.214,15.674,22.642,22.642,15.324,15.324,16.069,16.069,19.747,19.747,1a,5.634,1k,15.674
MN146227,639,1,5.634,5.634,21.036,21.036,19.905,19.905,22.692,22.013,22.013,22.327,22.327,20.657,20.657,21.541,17.214,15.674,22.642,22.642,15.324,15.324,16.069,16.069,19.747,19.747,1a,5.634,1k,15.674
MN146228,639,1,5.634,5.634,21.036,21.036,19.905,19.905,22.692,22.013,22.013,22.327,22.327,20.657,20.657,21.541,17.214,15.674,22.642,22.642,15.324,15.324,16.069,16.069,19.747,19.747,1a,5.634,1k,15.674
MN146229,639,1,5.634,5.634,21.036,21.036,19.905,19.905,22.692,22.013,22.013,22.327,22.327,20.657,20.657,21.541,17.214,15.674,22.642,22.642,15.324,15.324,16.069,16.069,19.747,19.747,1a,5.634,1k,15.674
MN146230,639,1,7.199,7.199,22.205,22.205,20.317,20.317,23.428,24.528,24.528,22.956,22.956,22.309,22.309,22.956,19.213,16.144,25.472,25.472,18.957,18.957,17.058,17.058,22.943,22.943,1a,7.199,1k,16.144
MN146231,639,1,5.321,5.321,20.787,20.787,18.889,18.889,22.327,23.270,23.270,22.013,22.013,20.437,20.437,21.384,17.480,14.937,24.214,24.214,17.778,17.778,15.649,15.649,21.677,21.677,1a,5.321,1k,14.937
MN146232,639,1,7.355,7.355,22.047,22.047,20.159,20.159,23.270,24.371,24.371,22.799,22.799,22.153,22.153,22.799,19.213,16.144,25.314,25.314,18.957,18.957,17.058,17.058,23.101,23.101,1a,7.355,1k,16.144
MN146233,639,1,7.355,7.355,22.047,22.047,20.159,20.159,23.270,24.371,24.371,22.799,22.799,22.153,22.153,22.799,19.213,16.144,25.314,25.314,18.957,18.957,17.058,17.058,23.101,23.101,1a,7.355,1k,16.144
MN146234,639,1,7.981,7.981,22.835,22.835,19.870,19.870,23.787,23.585,23.585,22.956,22.956,21.997,21.997,22.956,16.901,15.517,23.511,23.511,17.563,17.563,16.432,16.432,21.519,21.519,1a,7.981,1k,15.517
MN146235,639,1,7.825,7.825,22.677,22.677,19.707,19.707,23.631,23.428,23.428,22.799,22.799,21.997,21.997,22.799,16.901,15.517,23.511,23.511,17.405,17.405,16.432,16.432,21.519,21.519,1a,7.825,1k,15.517
MN146236,639,1,7.825,7.825,22.677,22.677,19.707,19.707,23.944,23.428,23.428,22.799,22.799,21.997,21.997,23.113,16.588,15.204,23.668,23.668,17.405,17.405,16.119,16.119,21.203,21.203,1a,7.825,1k,15.204
MN146237,639,1,7.981,7.981,22.835,22.835,19.870,19.870,23.944,23.585,23.585,22.956,22.956,22.153,22.153,23.113,16.901,15.517,23.668,23.668,17.563,17.563,16.432,16.432,21.519,21.519,1a,7.981,1k,15.517
MN146238,639,1,7.825,7.825,22.677,22.677,19.707,19.707,23.631,23.428,23.428,22.799,22.799,21.997,21.997,22.799,16.901,15.517,23.511,23.511,17.405,17.405,16.432,16.432,21.519,21.519,1a,7.825,1k,15.517
MN146239,639,1,6.416,6.416,22.047,22.047,20.159,20.159,22.535,23.270,23.270,21.855,21.855,22.066,22.066,21.698,18.623,15.831,24.528,24.528,16.114,16.114,17.684,17.684,20.886,20.886,1a,6.416,1k,15.831
MN146240,639,1,5.634,5.634,21.260,21.260,19.683,19.683,22.535,23.270,23.270,21.698,21.698,21.596,21.596,21.698,18.310,15.361,24.371,24.371,15.640,15.640,17.214,17.214,20.411,20.411,1a,5.634,1k,15.361
MN146241,639,1,6.886,6.886,22.520,22.520,20.635,20.635,23.631,24.057,24.057,22.642,22.642,22.848,22.848,22.642,18.936,16.144,25.314,25.314,16.904,16.904,18.466,18.466,21.203,21.203,1a,6.886,1k,16.144
MN146242,639,1,5.634,5.634,21.260,21.260,19.683,19.683,22.535,23.270,23.270,21.698,21.698,21.596,21.596,21.698,18.310,15.361,24.371,24.371,15.640,15.640,17.214,17.214,20.411,20.411,1a,5.634,1k,15.361
MN146243,639,1,5.634,5.634,21.260,21.260,19.683,19.683,22.535,23.270,23.270,21.698,21.698,21.596,21.596,21.698,18.310,15.361,24.371,24.371,15.640,15.640,17.214,17.214,20.411,20.411,1a,5.634,1k,15.361
MN146244,636,1,6.918,6.918,23.576,23.576,22.591,22.591,25.275,25.276,25.276,23.855,23.855,23.270,23.270,24.329,20.283,18.268,25.908,25.908,18.641,18.641,18.553,18.553,23.576,23.576,1a,6.918,1k,18.268
MN146245,639,1,5.634,5.634,22.047,22.047,21.111,21.111,23.125,23.899,23.899,22.013,22.013,22.066,22.066,22.642,18.153,16.458,24.019,24.019,17.694,17.694,17.371,17.371,22.468,22.468,1a,5.634,1k,16.458
MN146246,636,1,7.075,7.075,23.259,23.259,22.433,22.433,25.118,24.961,24.961,23.697,23.697,23.270,23.270,24.013,20.440,18.110,25.592,25.592,18.483,18.483,18.553,18.553,23.259,23.259,1a,7.075,1k,18.110
MN146247,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN146248,636,1,5.346,5.346,22.468,22.468,21.327,21.327,24.176,23.855,23.855,22.907,22.907,22.170,22.170,23.223,19.025,17.008,24.645,24.645,16.904,16.904,17.111,17.111,21.994,21.994,1a,5.346,1k,17.008
MN146249,639,1,5.634,5.634,22.047,22.047,21.111,21.111,23.125,23.899,23.899,22.013,22.013,22.066,22.066,22.642,18.153,16.458,24.019,24.019,17.694,17.694,17.371,17.371,22.468,22.468,1a,5.634,1k,16.458
MN146250,639,1,5.634,5.634,20.000,20.000,19.683,19.683,21.495,22.642,22.642,21.698,21.698,21.061,21.061,21.855,17.997,15.674,23.742,23.742,16.430,16.430,17.371,17.371,21.677,21.677,1a,5.634,1k,15.674
MN146251,636,1,8.491,8.491,20.063,20.063,19.714,19.714,23.585,23.101,23.101,21.361,21.361,21.317,21.317,21.203,17.610,14.331,23.576,23.576,16.719,16.719,16.667,16.667,20.221,20.221,1a,8.491,1k,14.331
MN146252,639,1,14.085,14.085,22.047,22.047,22.964,22.964,25.196,25.314,25.314,24.371,24.371,23.161,23.161,24.528,21.909,19.436,26.887,26.887,21.044,21.044,21.127,21.127,24.684,24.684,1a,14.085,1k,19.436
MN146253,636,1,8.333,8.333,20.570,20.570,20.033,20.033,22.799,22.433,22.433,21.169,21.169,20.597,20.597,22.433,18.553,15.433,23.697,23.697,16.930,16.930,17.453,17.453,21.519,21.519,1a,8.333,1k,15.433
MN146254,636,1,8.019,8.019,20.411,20.411,19.707,19.707,22.799,22.275,22.275,21.169,21.169,20.755,20.755,22.591,18.239,15.118,23.381,23.381,16.614,16.614,17.138,17.138,21.203,21.203,1a,8.019,1k,15.118
MN146255,636,1,8.019,8.019,20.411,20.411,19.707,19.707,22.799,22.275,22.275,21.169,21.169,20.755,20.755,22.591,18.239,15.118,23.381,23.381,16.614,16.614,17.138,17.138,21.203,21.203,1a,8.019,1k,15.118
MN146256,636,1,8.176,8.176,20.728,20.728,19.870,19.870,22.956,22.591,22.591,21.327,21.327,20.912,20.912,22.749,18.553,15.433,23.697,23.697,16.930,16.930,17.296,17.296,21.519,21.519,1a,8.176,1k,15.433
MN146257,639,1,7.042,7.042,20.094,20.094,19.841,19.841,22.274,22.135,22.135,21.541,21.541,20.281,20.281,20.912,17.058,15.674,23.113,23.113,17.405,17.405,17.473,17.473,20.886,20.886,1a,7.042,1k,15.674
MN146258,639,1,6.729,6.729,21.890,21.890,21.111,21.111,22.692,23.862,23.862,23.113,23.113,22.465,22.465,23.113,18.310,15.806,24.371,24.371,18.038,18.038,17.997,17.997,21.835,21.835,1a,6.729,1k,15.806
MN146259,635,1,6.614,6.614,22.082,22.082,19.683,19.683,22.992,21.609,21.609,21.485,21.485,22.835,22.835,22.591,17.323,15.118,22.907,22.907,16.456,16.456,16.013,16.013,20.728,20.728,1a,6.614,1k,15.118
MN146260,639,1,9.859,9.859,23.163,23.163,20.255,20.255,23.622,22.488,22.488,22.484,22.484,22.309,22.309,23.445,18.583,17.241,25.518,25.518,18.790,18.790,16.745,16.745,21.885,21.885,1a,9.859,1n,16.745
MN146261,635,1,6.772,6.772,22.240,22.240,19.841,19.841,23.150,21.767,21.767,21.485,21.485,22.992,22.992,22.749,17.480,15.276,23.065,23.065,16.297,16.297,16.170,16.170,20.886,20.886,1a,6.772,1k,15.276
MN146262,635,1,6.772,6.772,22.240,22.240,19.841,19.841,23.150,21.767,21.767,21.485,21.485,22.992,22.992,22.749,17.480,15.276,23.065,23.065,16.297,16.297,16.170,16.170,20.886,20.886,1a,6.772,1k,15.276
MN146263,635,1,6.772,6.772,22.240,22.240,19.841,19.841,23.150,21.767,21.767,21.485,21.485,22.992,22.992,22.749,17.480,15.276,23.065,23.065,16.297,16.297,16.170,16.170,20.886,20.886,1a,6.772,1k,15.276
MN146264,638,1,7.837,7.837,22.047,22.047,21.587,21.587,24.608,23.705,23.705,24.057,24.057,23.511,23.511,22.956,19.436,17.241,25.629,25.629,18.641,18.641,18.438,18.438,22.749,22.749,1a,7.837,1k,17.241
MN146265,638,1,7.680,7.680,22.205,22.205,21.587,21.587,24.138,23.455,23.455,23.899,23.899,23.438,23.438,23.113,19.279,16.928,25.000,25.000,18.167,18.167,18.281,18.281,22.627,22.627,1a,7.680,1k,16.928
MN146266,632,1,8.228,8.228,22.785,22.785,21.429,21.429,24.525,24.127,24.127,24.762,24.762,23.659,23.659,23.381,19.620,17.247,25.276,25.276,18.957,18.957,18.770,18.770,22.591,22.591,1a,8.228,1k,17.247
MN146267,638,1,7.524,7.524,22.205,22.205,21.587,21.587,24.295,23.296,23.296,24.057,24.057,23.594,23.594,23.113,19.122,16.614,24.843,24.843,18.167,18.167,18.281,18.281,22.468,22.468,1a,7.524,1k,16.614
MN146268,632,1,6.962,6.962,21.994,21.994,21.429,21.429,23.892,23.138,23.138,23.810,23.810,23.186,23.186,22.749,18.671,15.981,24.645,24.645,18.009,18.009,17.823,17.823,21.994,21.994,1a,6.962,1k,15.981
MN146269,639,1,7.668,7.668,22.047,22.047,19.683,19.683,23.005,22.292,22.292,21.384,21.384,20.501,20.501,22.170,17.371,15.361,24.057,24.057,17.536,17.536,15.962,15.962,22.152,22.152,1a,7.668,1k,15.361
MN146270,639,1,7.668,7.668,22.047,22.047,19.683,19.683,23.005,22.292,22.292,21.384,21.384,20.501,20.501,22.170,17.371,15.361,24.057,24.057,17.536,17.536,15.962,15.962,22.152,22.152,1a,7.668,1k,15.361
MN146271,636,1,8.648,8.648,23.101,23.101,20.191,20.191,24.528,23.381,23.381,21.994,21.994,21.473,21.473,23.418,18.396,15.433,25.237,25.237,18.167,18.167,16.667,16.667,22.627,22.627,1a,8.648,1k,15.433
MN146272,636,1,8.648,8.648,23.065,23.065,20.191,20.191,24.371,23.381,23.381,21.994,21.994,21.473,21.473,23.418,18.239,15.433,25.237,25.237,18.139,18.139,16.667,16.667,22.591,22.591,1a,8.648,1k,15.433
MN146273,636,1,7.704,7.704,22.468,22.468,19.683,19.683,23.428,22.397,22.397,21.643,21.643,20.755,20.755,22.433,17.610,15.591,24.171,24.171,17.694,17.694,16.038,16.038,22.310,22.310,1a,7.704,1k,15.591
MN146274,636,1,8.333,8.333,21.677,21.677,20.000,20.000,23.307,21.924,21.924,21.485,21.485,22.100,22.100,22.397,18.196,15.798,24.013,24.013,18.513,18.513,17.610,17.610,21.203,21.203,1a,8.333,1k,15.798
MN146275,639,1,8.764,8.764,21.890,21.890,20.317,20.317,23.668,22.135,22.135,21.384,21.384,22.153,22.153,22.799,18.425,15.723,24.214,24.214,18.354,18.354,17.684,17.684,21.361,21.361,1a,8.764,1k,15.723
MN146276,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN146277,635,1,23.787,23.787,10.394,10.394,23.065,23.065,18.740,23.742,23.742,20.565,20.565,23.005,23.005,16.509,22.956,22.642,24.961,24.961,22.713,22.713,22.692,22.692,22.785,22.785,1b,10.394,1i,16.509
MN146278,635,1,23.944,23.944,10.709,10.709,23.381,23.381,18.740,23.742,23.742,20.722,20.722,22.848,22.848,16.824,23.465,22.642,24.961,24.961,22.871,22.871,23.005,23.005,22.627,22.627,1b,10.709,1i,16.824
MN146279,636,1,23.944,23.944,10.849,10.849,23.065,23.065,17.795,23.899,23.899,21.036,21.036,23.474,23.474,16.352,22.327,22.642,25.118,25.118,22.677,22.677,23.161,23.161,22.310,22.310,1b,10.849,1i,16.352
MN146280,635,1,23.944,23.944,10.709,10.709,23.381,23.381,18.740,23.742,23.742,20.722,20.722,22.848,22.848,16.824,23.465,22.642,24.961,24.961,22.871,22.871,23.005,23.005,22.627,22.627,1b,10.709,1i,16.824
MN146281,635,1,23.787,23.787,10.394,10.394,23.223,23.223,18.583,23.585,23.585,20.565,20.565,22.692,22.692,16.667,23.150,22.484,24.804,24.804,22.713,22.713,22.848,22.848,22.310,22.310,1b,10.394,1i,16.667
MN146282,636,1,23.944,23.944,11.006,11.006,23.381,23.381,18.425,24.057,24.057,21.193,21.193,23.787,23.787,16.509,22.484,22.642,25.589,25.589,22.677,22.677,23.005,23.005,22.627,22.627,1b,11.006,1i,16.509
MN146283,635,1,23.307,23.307,8.976,8.976,22.099,22.099,17.296,22.677,22.677,19.654,19.654,21.890,21.890,14.173,22.013,21.732,23.161,23.161,22.606,22.606,22.520,22.520,22.275,22.275,1b,8.976,1i,14.173
MN146284,635,1,23.307,23.307,8.661,8.661,21.940,21.940,17.138,22.362,22.362,19.497,19.497,21.732,21.732,13.858,22.013,21.417,22.848,22.848,22.606,22.606,22.362,22.362,21.959,21.959,1b,8.661,1i,13.858
MN146285,635,1,23.465,23.465,9.449,9.449,22.258,22.258,17.296,22.677,22.677,19.654,19.654,21.890,21.890,14.173,22.170,21.732,23.161,23.161,22.763,22.763,22.677,22.677,22.433,22.433,1b,9.449,1i,14.173
MN146286,635,1,23.465,23.465,9.134,9.134,22.099,22.099,17.138,22.362,22.362,19.497,19.497,21.732,21.732,13.858,22.170,21.417,22.848,22.848,22.763,22.763,22.520,22.520,22.117,22.117,1b,9.134,1i,13.858
MN146287,639,1,5.790,5.790,22.047,22.047,19.841,19.841,22.741,23.113,23.113,20.912,20.912,21.283,21.283,23.234,16.745,15.674,24.138,24.138,16.430,16.430,15.806,15.806,21.203,21.203,1a,5.790,1k,15.674
MN146288,639,1,5.790,5.790,22.047,22.047,19.841,19.841,22.741,23.113,23.113,20.912,20.912,21.283,21.283,23.234,16.745,15.674,24.138,24.138,16.430,16.430,15.806,15.806,21.203,21.203,1a,5.790,1k,15.674
MN146289,635,1,22.344,22.344,8.976,8.976,23.175,23.175,16.535,22.956,22.956,21.036,21.036,20.970,20.970,14.780,21.102,21.507,22.763,22.763,22.082,22.082,21.875,21.875,22.310,22.310,1b,8.976,1i,14.780
MN146290,635,1,22.344,22.344,8.976,8.976,23.175,23.175,16.535,22.956,22.956,20.879,20.879,20.970,20.970,14.780,21.102,21.507,22.920,22.920,21.924,21.924,22.031,22.031,22.310,22.310,1b,8.976,1i,14.780
MN146291,635,1,22.344,22.344,8.976,8.976,23.175,23.175,16.535,22.956,22.956,20.879,20.879,20.814,20.814,14.780,21.102,21.507,22.763,22.763,21.924,21.924,22.031,22.031,22.310,22.310,1b,8.976,1i,14.780
MN146292,635,1,22.344,22.344,8.976,8.976,23.175,23.175,16.535,22.956,22.956,20.879,20.879,20.814,20.814,14.780,21.102,21.507,22.763,22.763,21.924,21.924,22.031,22.031,22.310,22.310,1b,8.976,1i,14.780
MN146293,635,1,22.188,22.188,8.819,8.819,23.016,23.016,16.378,22.799,22.799,20.879,20.879,20.814,20.814,14.623,20.945,21.350,22.763,22.763,21.924,21.924,21.875,21.875,22.152,22.152,1b,8.819,1i,14.623
MN146294,636,1,9.748,9.748,22.785,22.785,20.794,20.794,23.511,22.117,22.117,21.485,21.485,22.257,22.257,24.329,17.610,16.535,24.371,24.371,18.325,18.325,17.712,17.712,22.468,22.468,1a,9.748,1k,16.535
MN146295,639,1,9.233,9.233,22.047,22.047,20.317,20.317,22.621,21.541,21.541,20.912,20.912,20.749,20.749,23.428,16.275,15.674,23.474,23.474,17.220,17.220,16.693,16.693,21.835,21.835,1a,9.233,1k,15.674
MN146296,639,1,9.233,9.233,22.047,22.047,20.317,20.317,22.621,21.541,21.541,20.912,20.912,20.749,20.749,23.428,16.275,15.674,23.474,23.474,17.220,17.220,16.693,16.693,21.835,21.835,1a,9.233,1k,15.674
MN146297,639,1,9.859,9.859,22.835,22.835,20.952,20.952,23.557,22.327,22.327,21.541,21.541,22.309,22.309,24.528,17.684,16.614,24.570,24.570,18.483,18.483,17.785,17.785,22.627,22.627,1a,9.859,1k,16.614
MN146298,636,1,9.748,9.748,22.785,22.785,20.794,20.794,23.511,22.117,22.117,21.485,21.485,22.257,22.257,24.329,17.610,16.535,24.371,24.371,18.325,18.325,17.712,17.712,22.468,22.468,1a,9.748,1k,16.535
MN146299,636,1,7.862,7.862,21.959,21.959,19.250,19.250,23.428,21.361,21.361,21.519,21.519,21.787,21.787,22.468,16.824,15.591,25.000,25.000,17.666,17.666,16.614,16.614,21.169,21.169,1a,7.862,1k,15.591
MN146300,638,1,7.837,7.837,21.855,21.855,19.413,19.413,23.354,21.575,21.575,21.575,21.575,21.875,21.875,22.677,16.928,15.674,25.197,25.197,17.823,17.823,16.719,16.719,21.327,21.327,1a,7.837,1k,15.674
MN146301,638,1,7.680,7.680,21.855,21.855,19.250,19.250,23.354,21.417,21.417,21.417,21.417,21.719,21.719,22.520,16.771,15.517,25.039,25.039,17.666,17.666,16.562,16.562,21.169,21.169,1a,7.680,1k,15.517
MN146302,639,1,7.668,7.668,21.855,21.855,19.250,19.250,23.318,21.417,21.417,21.417,21.417,21.685,21.685,22.520,16.745,15.517,25.039,25.039,17.666,17.666,16.537,16.537,21.169,21.169,1a,7.668,1k,15.517
MN146303,639,1,7.825,7.825,22.013,22.013,19.413,19.413,23.318,21.732,21.732,21.575,21.575,21.841,21.841,22.677,17.058,15.831,25.197,25.197,17.823,17.823,16.693,16.693,21.485,21.485,1a,7.825,1k,15.831
MN146304,639,1,7.668,7.668,23.937,23.937,21.905,21.905,23.281,24.843,24.843,22.956,22.956,23.245,23.245,23.899,19.249,17.058,25.549,25.549,19.462,19.462,18.565,18.565,22.943,22.943,1a,7.668,1k,17.058
MN146305,636,1,5.660,5.660,22.468,22.468,20.000,20.000,21.350,23.223,23.223,21.485,21.485,21.787,21.787,22.433,17.138,15.723,23.780,23.780,17.880,17.880,16.641,16.641,21.519,21.519,1a,5.660,1k,15.723
MN146306,639,1,5.790,5.790,22.520,22.520,20.000,20.000,21.406,23.428,23.428,21.541,21.541,21.841,21.841,22.642,17.214,15.806,23.824,23.824,18.038,18.038,16.719,16.719,21.519,21.519,1a,5.790,1k,15.806
