Accession,ClosestSubtypeAlignedNT,AssignedGenotype,Subtype6aDistance,Subtype6aDistance,Subtype6bDistance,Subtype6cDistance,Subtype6dDistance,Subtype6eDistance,Subtype6fDistance,Subtype6gDistance,Subtype6hDistance,Subtype6iDistance,Subtype6jDistance,Subtype6kDistance,Subtype6lDistance,Subtype6mDistance,Subtype6nDistance,Subtype6nDistance,Subtype6oDistance,Subtype6pDistance,Subtype6qDistance,Subtype6rDistance,Subtype6sDistance,Subtype6tDistance,Subtype6tDistance,Subtype6uDistance,Subtype6vDistance,Subtype6vDistance,Subtype6wDistance,Subtype6wDistance,Subtype6xaDistance,Subtype6xaDistance,Subtype6xbDistance,Subtype6xbDistance,Subtype6xcDistance,Subtype6xdDistance,Subtype6xdDistance,Subtype6xeDistance,Subtype6xeDistance,Subtype6xfDistance,Subtype6xfDistance,Subtype6xgDistance,Subtype6xgDistance,Subtype6xhDistance,Subtype6xiDistance,Subtype6xiDistance,Subtype6xjDistance,FirstChoiceSubtype,FirstChoiceDistance,SecondChoiceSubtype,SecondChoiceDistance
MG455336,638,6,10.972,10.972,23.318,28.571,32.097,27.885,28.549,30.159,29.690,27.044,30.903,29.355,31.270,30.179,31.171,31.171,27.614,27.154,29.108,28.896,29.921,29.173,29.173,29.114,31.073,31.073,28.268,28.268,30.525,30.525,29.653,29.653,29.260,22.381,22.381,29.477,29.477,28.774,28.774,31.379,31.379,29.403,30.159,30.159,28.951,6a,10.972,6xd,22.381
MG455349,636,6,29.968,29.968,27.488,28.935,30.569,27.504,30.660,30.000,23.651,24.487,22.698,20.513,7.390,23.968,20.476,20.476,29.734,28.644,25.316,31.811,30.380,28.254,28.254,28.935,29.402,29.402,26.349,26.349,28.458,28.458,18.325,18.325,28.548,27.937,27.937,21.036,21.036,26.170,26.170,19.811,19.811,30.648,19.683,19.683,20.886,6l,7.390,6xb,18.325
MG455355,639,6,30.609,30.609,30.016,30.048,27.302,15.493,28.438,30.463,,31.935,31.290,30.244,30.303,30.622,29.226,29.226,26.837,25.791,25.079,29.811,32.437,27.201,27.201,20.221,30.684,30.684,29.936,29.936,28.344,28.344,30.269,30.269,24.803,29.524,29.524,28.914,28.914,28.458,28.458,28.025,28.025,30.428,30.519,30.519,30.525,6e,15.493,6u,20.221
MG455356,639,6,7.668,7.668,20.886,29.276,30.583,27.113,28.505,28.889,28.176,27.962,29.889,29.194,28.413,29.002,29.524,29.524,27.027,28.549,27.673,29.531,31.013,27.769,27.769,27.697,27.874,27.874,27.172,27.172,28.730,28.730,27.402,27.402,29.226,20.415,20.415,27.345,27.345,28.006,28.006,28.752,28.752,29.542,29.206,29.206,29.114,6a,7.668,6xd,20.415
MG455361,630,6,31.804,31.804,30.031,29.853,30.915,29.346,29.811,29.492,24.603,25.873,25.837,24.880,20.630,23.651,4.127,4.127,30.696,29.215,27.778,30.866,,29.402,29.402,27.858,30.000,30.000,27.619,27.619,28.776,28.776,22.698,22.698,30.719,29.430,29.430,15.580,15.580,28.549,28.549,14.646,14.646,30.757,23.217,23.217,25.238,6n,4.127,6xg,14.646
MG455371,639,6,29.582,29.582,28.730,29.412,26.508,12.520,28.051,32.428,29.730,30.384,30.806,30.278,29.872,30.032,29.665,29.665,25.879,24.329,24.570,30.854,30.317,26.997,26.997,20.820,29.825,29.825,29.459,29.459,28.526,28.526,29.730,29.730,23.344,28.910,28.910,30.671,30.671,27.663,27.663,29.825,29.825,31.270,30.769,30.769,30.207,6e,12.520,6u,20.820
MG455372,639,6,5.634,5.634,21.924,28.095,31.329,28.549,30.156,30.794,29.316,27.215,30.806,28.974,30.476,29.477,31.429,31.429,26.391,28.140,28.081,30.625,31.289,28.393,28.393,29.469,30.000,30.000,28.594,28.594,31.270,31.270,29.764,29.764,28.685,21.304,21.304,27.892,27.892,27.856,27.856,30.745,30.745,29.858,30.000,30.000,29.968,6a,5.634,6xd,21.304
MG455378,635,6,7.874,7.874,20.000,27.734,30.323,28.254,30.612,30.586,27.445,26.814,29.319,28.756,28.864,29.002,31.429,31.429,28.458,27.460,27.786,31.447,29.858,28.906,28.906,27.832,28.120,28.120,28.209,28.209,28.889,28.889,30.269,30.269,28.935,19.365,19.365,27.575,27.575,28.209,28.209,30.599,30.599,29.683,29.245,29.245,30.298,6a,7.874,6xd,19.365
MG455380,639,6,28.639,28.639,28.413,28.617,26.375,9.859,28.169,30.990,27.981,29.094,28.935,28.243,26.358,27.157,27.769,27.769,23.962,23.223,24.127,30.222,30.159,25.080,25.080,18.927,28.662,28.662,27.707,27.707,27.625,27.625,28.299,28.299,21.767,28.481,28.481,28.013,28.013,27.157,27.157,26.504,26.504,30.159,27.524,27.524,28.176,6e,9.859,6u,18.927
MG455382,639,6,30.111,30.111,28.730,30.048,26.667,11.737,28.705,31.310,28.299,29.441,29.889,29.516,27.955,29.393,28.314,28.314,25.040,24.684,24.921,29.952,30.317,26.156,26.156,19.747,30.414,30.414,28.868,28.868,28.226,28.226,28.935,28.935,23.381,28.889,28.889,29.506,29.506,26.475,26.475,27.432,27.432,30.000,28.990,28.990,28.664,6e,11.737,6u,19.747
MG455383,638,6,6.426,6.426,21.169,29.589,31.452,28.864,30.986,30.317,27.896,27.014,30.806,30.066,29.568,30.229,31.746,31.746,27.186,26.899,27.656,30.878,30.709,27.925,27.925,29.630,29.383,29.383,28.436,28.436,30.696,30.696,31.329,31.329,28.843,21.587,21.587,28.571,28.571,29.062,29.062,31.220,31.220,31.013,30.317,30.317,30.806,6a,6.426,6b,21.169
MG455390,630,6,28.165,28.165,28.639,27.094,28.595,26.518,28.436,30.428,23.734,24.961,23.175,21.595,23.150,4.444,21.587,21.587,26.797,29.506,26.264,29.479,31.683,26.910,26.910,28.708,27.100,27.100,26.023,26.023,29.441,29.441,22.540,22.540,28.881,27.288,27.288,19.843,19.843,27.955,27.955,20.879,20.879,29.114,22.114,22.114,23.651,6m,4.444,6xe,19.843
MG455391,638,6,7.367,7.367,22.520,28.843,32.014,27.778,29.844,30.159,29.316,27.987,30.428,29.288,30.174,29.952,31.111,31.111,28.617,27.778,28.527,30.360,30.696,28.549,28.549,28.548,29.167,29.167,28.526,28.526,29.206,29.206,29.226,29.226,29.160,22.063,22.063,28.730,28.730,29.717,29.717,30.903,30.903,30.236,30.174,30.174,30.490,6a,7.367,6xd,22.063
MG455928,630,6,31.171,31.171,30.866,29.853,30.769,29.872,29.968,28.983,24.921,26.349,27.273,25.361,20.787,23.016,6.190,6.190,31.171,29.048,27.460,30.442,31.994,29.841,29.841,28.180,29.160,29.160,27.619,27.619,28.935,28.935,22.857,22.857,30.016,29.952,29.952,16.850,16.850,29.393,29.393,16.378,16.378,30.099,23.383,23.383,25.238,6n,6.190,6xg,16.378
MG455955,638,6,11.442,11.442,22.835,27.892,30.323,27.373,30.530,29.365,29.811,28.819,30.952,28.738,30.476,29.160,31.270,31.270,27.504,28.730,28.795,30.047,29.449,28.257,28.257,27.520,30.442,30.442,27.375,27.375,28.413,28.413,29.747,29.747,29.384,21.270,21.270,27.258,27.258,28.956,28.956,29.319,29.319,28.639,28.833,28.833,30.490,6a,11.442,6xd,21.270
MG455970,638,6,4.702,4.702,21.293,28.051,32.206,30.063,29.688,30.159,28.436,27.488,30.696,29.450,29.858,29.160,31.912,31.912,26.868,27.504,28.081,29.781,30.709,29.108,29.108,29.839,29.542,29.542,29.319,29.319,30.476,30.476,29.495,29.495,28.639,20.191,20.191,27.981,27.981,29.421,29.421,31.062,31.062,30.016,29.384,29.384,29.747,6a,4.702,6xd,20.191
MG455971,639,6,7.199,7.199,23.028,29.794,32.753,29.272,29.907,31.320,31.220,27.690,30.854,30.435,30.794,31.220,32.698,32.698,27.822,28.889,30.938,31.612,33.175,28.906,28.906,28.892,30.323,30.323,29.606,29.606,32.381,32.381,31.024,31.024,30.317,22.099,22.099,28.730,28.730,31.289,31.289,32.647,32.647,30.806,31.379,31.379,30.394,6a,7.199,6xd,22.099
MG455986,639,6,28.120,28.120,27.619,28.458,26.349,10.642,26.917,28.758,27.663,28.990,28.990,27.273,26.635,28.299,26.797,26.797,23.003,22.117,23.651,28.165,29.206,24.881,24.881,19.874,28.503,28.503,27.504,27.504,26.010,26.010,26.709,26.709,22.397,27.330,27.330,28.275,28.275,26.424,26.424,26.433,26.433,30.159,27.451,27.451,26.547,6e,10.642,6u,19.874
MG455989,636,6,29.384,29.384,26.108,29.027,31.153,26.518,30.757,29.683,24.367,24.487,21.500,19.071,6.289,23.492,20.159,20.159,29.667,28.308,25.397,30.854,29.477,29.048,29.048,27.581,28.368,28.368,25.397,25.397,27.504,27.504,17.536,17.536,27.471,27.100,27.100,19.937,19.937,26.899,26.899,19.562,19.562,29.630,18.413,18.413,18.413,6l,6.289,6xb,17.536
MG456009,639,6,28.795,28.795,28.233,24.483,23.418,23.968,25.509,29.073,26.514,25.532,26.809,28.571,25.914,25.854,26.941,26.941,20.317,22.893,6.260,25.429,26.142,20.315,20.315,22.698,27.987,27.987,27.663,27.663,26.452,26.452,27.603,27.603,23.492,28.526,28.526,25.791,25.791,21.304,21.304,27.504,27.504,27.172,27.193,27.193,28.639,6q,6.260,6t,20.315
MG456080,638,6,5.643,5.643,20.787,28.685,30.964,27.804,29.641,29.524,28.707,27.129,29.319,29.288,29.700,28.843,30.745,30.745,27.143,27.937,27.031,30.360,28.976,27.457,27.457,27.536,28.341,28.341,28.120,28.120,29.048,29.048,30.063,30.063,28.209,20.476,20.476,28.526,28.526,28.237,28.237,30.745,30.745,29.068,29.542,29.542,29.022,6a,5.643,6xd,20.476
MG456192,639,6,28.910,28.910,28.095,27.981,25.079,5.634,28.482,30.192,28.935,28.947,28.571,29.194,26.677,27.796,29.173,29.173,23.604,23.892,23.492,30.586,30.476,26.457,26.457,18.483,29.984,29.984,29.027,29.027,27.564,27.564,29.153,29.153,22.520,28.320,28.320,28.549,28.549,26.825,26.825,27.273,27.273,30.000,29.951,29.951,28.990,6e,5.634,6u,18.483
MG456224,638,6,10.031,10.031,23.975,29.952,33.172,30.332,31.464,31.379,30.032,28.752,31.329,31.452,30.794,31.220,32.857,32.857,28.776,29.032,30.312,31.925,31.761,29.797,29.797,30.484,31.280,31.280,30.016,30.016,31.587,31.587,31.024,31.024,30.317,22.893,22.893,29.794,29.794,31.024,31.024,31.654,31.654,31.122,30.952,30.952,30.818,6a,10.031,6xd,22.893
MG456252,639,6,28.320,28.320,25.750,27.981,23.529,14.241,24.171,27.973,28.571,27.419,27.581,26.264,28.230,27.504,25.920,25.920,24.920,22.468,24.286,27.646,28.797,25.518,25.518,19.115,28.981,28.981,27.911,27.911,26.518,26.518,27.892,27.892,23.065,27.302,27.302,26.307,26.307,25.080,25.080,25.955,25.955,28.526,27.760,27.760,27.504,6e,14.241,6u,19.115
MG456287,639,6,10.955,10.955,23.817,29.841,33.386,29.338,32.188,31.429,31.171,28.976,32.540,31.129,31.270,32.488,32.698,32.698,28.299,27.822,29.173,33.333,31.289,29.329,29.329,29.469,31.190,31.190,30.222,30.222,31.270,31.270,31.024,31.024,30.696,23.688,23.688,30.428,30.428,29.968,29.968,32.385,32.385,31.132,31.746,31.746,31.861,6a,10.955,6xd,23.688
MG456306,638,6,7.053,7.053,21.890,27.417,32.120,28.481,28.906,30.000,29.160,26.929,30.538,29.900,29.160,30.159,30.832,30.832,27.027,25.873,28.281,29.937,30.862,28.385,28.385,28.663,29.173,29.173,28.639,28.639,30.586,30.586,29.700,29.700,28.413,21.111,21.111,27.614,27.614,28.645,28.645,30.442,30.442,30.394,29.365,29.365,28.864,6a,7.053,6xd,21.111
MG456346,629,6,29.079,29.079,29.635,29.605,31.220,29.777,30.918,29.967,28.095,27.229,27.877,26.445,29.430,28.254,29.889,29.889,30.195,28.930,27.823,29.319,30.450,28.120,28.120,27.113,5.723,5.723,29.365,29.365,26.382,26.382,29.068,29.068,29.506,28.914,28.914,28.457,28.457,29.412,29.412,28.065,28.065,29.011,27.435,27.435,27.491,6v,5.723,6xa,26.382
MG456347,636,6,29.858,29.858,26.698,28.549,30.731,26.677,30.274,29.285,23.381,24.645,22.698,18.750,6.289,22.381,19.365,19.365,29.402,28.708,24.921,30.222,30.066,28.730,28.730,28.387,28.209,28.209,26.508,26.508,26.984,26.984,17.694,17.694,27.880,27.258,27.258,18.838,18.838,27.014,27.014,18.553,18.553,29.791,17.619,17.619,20.159,6l,6.289,6xb,17.694
MG456415,639,6,28.526,28.526,28.889,26.709,25.873,8.764,27.856,28.914,26.635,27.663,26.968,27.697,26.997,27.467,28.201,28.201,23.445,23.381,21.519,28.323,27.804,24.721,24.721,18.167,28.185,28.185,27.751,27.751,26.452,26.452,26.710,26.710,22.397,28.639,28.639,28.070,28.070,25.040,25.040,26.825,26.825,28.095,28.314,28.314,27.524,6e,8.764,6u,18.167
MG717925,639,6,3.286,3.286,20.505,28.776,31.487,27.603,29.595,30.159,29.589,27.057,30.745,28.387,29.048,29.319,30.476,30.476,26.232,27.345,27.969,29.890,30.503,27.656,27.656,27.929,29.194,29.194,28.752,28.752,30.000,30.000,28.819,28.819,28.956,20.350,20.350,27.460,27.460,28.707,28.707,30.586,30.586,29.700,29.206,29.206,28.549,6a,3.286,6xd,20.350
MG717926,639,6,3.286,3.286,20.505,28.776,31.487,27.603,29.595,30.159,29.589,27.057,30.745,28.387,29.048,29.319,30.476,30.476,26.232,27.345,27.969,29.890,30.503,27.656,27.656,27.929,29.194,29.194,28.752,28.752,30.000,30.000,28.819,28.819,28.956,20.350,20.350,27.460,27.460,28.707,28.707,30.586,30.586,29.700,29.206,29.206,28.549,6a,3.286,6xd,20.350
MG717927,639,6,3.286,3.286,20.505,28.776,31.487,27.603,29.595,30.159,29.589,27.057,30.745,28.387,29.048,29.319,30.476,30.476,26.232,27.345,27.969,29.890,30.503,27.656,27.656,27.929,29.194,29.194,28.752,28.752,30.000,30.000,28.819,28.819,28.956,20.350,20.350,27.460,27.460,28.707,28.707,30.586,30.586,29.700,29.206,29.206,28.549,6a,3.286,6xd,20.350
MG717928,639,6,3.912,3.912,20.662,28.413,31.723,28.910,29.953,29.524,28.956,26.741,30.952,28.710,29.524,29.524,31.111,31.111,26.550,27.186,28.125,30.203,30.660,27.656,27.656,28.135,29.319,29.319,29.002,29.002,30.635,30.635,28.976,28.976,28.685,19.873,19.873,28.095,28.095,29.108,29.108,31.270,31.270,29.226,29.206,29.206,28.707,6a,3.912,6xd,19.873
MG717929,639,6,3.912,3.912,20.662,28.413,31.723,28.910,29.953,29.524,28.956,26.741,30.952,28.710,29.524,29.524,31.111,31.111,26.550,27.186,28.125,30.203,30.660,27.656,27.656,28.135,29.319,29.319,29.002,29.002,30.635,30.635,28.976,28.976,28.685,19.873,19.873,28.095,28.095,29.108,29.108,31.270,31.270,29.226,29.206,29.206,28.707,6a,3.912,6xd,19.873
MG717930,639,6,3.912,3.912,20.662,28.413,31.723,28.910,29.953,29.524,28.956,26.741,30.952,28.710,29.524,29.524,31.111,31.111,26.550,27.186,28.125,30.203,30.660,27.656,27.656,28.135,29.319,29.319,29.002,29.002,30.635,30.635,28.976,28.976,28.685,19.873,19.873,28.095,28.095,29.108,29.108,31.270,31.270,29.226,29.206,29.206,28.707,6a,3.912,6xd,19.873
PP092207,630,6,30.421,30.421,31.388,29.758,33.119,31.280,29.890,32.808,29.811,27.634,31.638,30.354,31.220,32.241,29.841,29.841,28.767,29.215,28.705,29.421,30.866,30.256,30.256,30.351,29.858,29.858,31.083,31.083,30.476,30.476,29.968,29.968,31.024,30.635,30.635,28.254,28.254,28.819,28.819,30.159,30.159,30.174,30.354,30.354,30.854,6xe,28.254,6q,28.705
PP101888,639,6,27.969,27.969,29.180,22.099,22.152,23.016,25.118,26.797,25.368,25.205,25.493,26.910,25.119,26.591,27.302,27.302,21.270,23.052,5.947,26.365,24.921,21.102,21.102,21.587,28.805,28.805,26.825,26.825,25.645,25.645,26.341,26.341,23.810,27.532,27.532,25.556,25.556,21.145,21.145,26.382,26.382,25.276,26.756,26.756,28.797,6q,5.947,6t,21.102
PP101889,639,6,28.169,28.169,29.226,23.370,23.259,23.016,26.531,27.504,26.350,24.714,26.108,27.907,25.596,28.222,27.532,27.532,22.063,23.052,6.573,26.989,26.066,22.835,22.835,22.857,28.642,28.642,27.504,27.504,25.873,25.873,28.687,28.687,23.968,27.981,27.981,24.089,24.089,21.395,21.395,27.445,27.445,25.750,28.020,28.020,29.272,6q,6.573,6xf,21.395
PP101892,639,6,29.734,29.734,30.806,27.330,25.276,28.209,20.344,30.159,28.209,29.068,31.329,31.063,30.284,29.527,29.700,29.700,24.324,25.832,26.135,5.477,27.717,26.258,26.258,29.068,28.685,28.685,29.206,29.206,27.653,27.653,30.645,30.645,27.760,30.366,30.366,30.174,30.174,27.504,27.504,28.707,28.707,27.918,30.137,30.137,29.589,6r,5.477,6f,20.344
PP101893,639,6,29.734,29.734,30.806,27.330,25.276,28.209,20.344,30.159,28.209,29.068,31.329,31.063,30.284,29.527,29.700,29.700,24.324,25.832,26.135,5.477,27.717,26.258,26.258,29.068,28.685,28.685,29.206,29.206,27.653,27.653,30.645,30.645,27.760,30.366,30.366,30.174,30.174,27.504,27.504,28.707,28.707,27.918,30.137,30.137,29.589,6r,5.477,6f,20.344
PP101895,638,6,30.545,30.545,31.496,29.291,27.287,28.685,20.376,33.280,29.905,30.332,,31.954,31.280,30.332,30.968,30.968,25.914,26.741,26.406,7.994,30.284,27.044,27.044,30.111,29.180,29.180,29.365,29.365,28.778,28.778,30.551,30.551,29.430,31.220,31.220,32.385,32.385,28.413,28.413,29.068,29.068,28.006,29.744,29.744,30.503,6r,7.994,6f,20.376
PP101896,639,6,31.612,31.612,31.171,29.068,27.100,27.504,21.596,29.936,29.841,30.635,31.691,30.464,30.806,29.623,31.122,31.122,25.119,26.232,25.589,5.321,27.690,25.629,25.629,28.885,29.002,29.002,28.730,28.730,27.814,27.814,30.449,30.449,28.910,31.002,31.002,32.171,32.171,28.754,28.754,30.806,30.806,29.022,30.479,30.479,29.683,6r,5.321,6f,21.596
PP101897,639,6,31.768,31.768,30.854,29.068,27.258,27.345,21.753,30.096,29.305,30.278,32.166,30.795,30.964,30.174,30.964,30.964,25.278,26.232,26.060,5.947,27.690,25.786,25.786,29.042,28.165,28.165,28.730,28.730,28.090,28.090,30.449,30.449,29.068,31.320,31.320,32.013,32.013,28.275,28.275,30.648,30.648,29.022,30.782,30.782,29.841,6r,5.947,6f,21.753
PP101898,639,6,32.081,32.081,32.808,28.819,26.772,28.752,20.657,30.144,30.476,29.147,30.411,31.857,31.122,30.456,30.269,30.269,24.801,25.990,25.585,6.103,28.594,25.000,25.000,29.180,29.002,29.002,30.794,30.794,28.935,28.935,31.122,31.122,28.910,30.263,30.263,31.062,31.062,28.458,28.458,29.160,29.160,28.391,30.810,30.810,29.272,6r,6.103,6f,20.657
PP101900,639,6,29.818,29.818,31.754,28.479,26.324,28.479,21.127,32.217,28.571,29.700,31.854,31.063,31.280,29.364,30.854,30.854,24.642,25.832,26.128,6.103,29.700,25.629,25.629,29.606,28.549,28.549,29.839,29.839,28.776,28.776,30.806,30.806,29.700,31.479,31.479,31.854,31.854,28.571,28.571,29.542,29.542,28.707,29.932,29.932,28.481,6r,6.103,6f,21.127
PP101901,639,6,31.406,31.406,31.654,27.330,25.354,28.006,21.753,31.688,28.843,28.910,31.854,31.395,30.648,29.700,31.006,31.006,24.642,24.881,26.209,5.790,28.189,25.472,25.472,29.717,27.918,27.918,30.000,30.000,27.974,27.974,30.794,30.794,29.384,32.171,32.171,31.596,31.596,28.617,28.617,30.648,30.648,28.910,30.619,30.619,29.747,6r,5.790,6f,21.753
PP101902,639,6,31.094,31.094,31.339,27.488,25.354,28.165,21.596,31.847,28.843,28.910,31.696,31.395,30.648,29.542,31.006,31.006,24.801,24.881,26.209,6.103,28.031,25.472,25.472,29.560,27.603,27.603,30.000,30.000,27.974,27.974,30.794,30.794,29.226,32.171,32.171,31.596,31.596,28.617,28.617,30.648,30.648,29.068,30.619,30.619,29.747,6r,6.103,6f,21.596
PP101903,639,6,31.925,31.925,30.903,28.413,26.698,28.617,21.596,30.573,29.841,30.000,,30.897,31.280,29.690,30.918,30.918,24.006,26.391,26.060,6.103,27.981,26.887,26.887,30.236,28.481,28.481,30.000,30.000,27.974,27.974,30.449,30.449,29.858,31.688,31.688,30.964,30.964,28.275,28.275,30.016,30.016,28.391,31.940,31.940,29.858,6r,6.103,6f,21.596
PP101904,633,6,28.547,28.547,30.829,28.299,28.663,29.781,28.013,30.428,30.090,27.451,31.616,28.664,28.776,31.229,30.546,30.546,26.508,28.201,26.101,27.516,7.425,26.814,26.814,29.365,29.307,29.307,29.253,29.253,28.730,28.730,28.006,28.006,29.841,28.788,28.788,29.730,29.730,27.734,27.734,30.066,30.066,27.646,28.523,28.523,28.213,6s,7.425,6q,26.101
PP101905,633,6,27.488,27.488,28.076,23.370,24.483,19.315,28.031,29.048,27.258,27.346,27.036,28.952,28.617,29.296,28.662,28.662,21.850,20.728,23.492,28.391,29.747,24.402,24.402,19.905,28.051,28.051,26.190,26.190,28.013,28.013,29.642,29.642,6.793,27.373,27.373,27.713,27.713,25.041,25.041,28.425,28.425,29.206,28.455,28.455,28.776,6xc,6.793,6e,19.315
PP101906,627,6,30.757,30.757,29.683,25.000,25.040,25.674,26.794,28.708,24.874,27.303,26.437,30.000,26.904,28.571,28.549,28.549,23.492,26.073,21.691,26.358,29.665,25.714,25.714,26.997,29.524,29.524,27.707,27.707,29.027,29.027,28.571,28.571,23.241,29.440,29.440,28.548,28.548,8.931,8.931,28.230,28.230,28.986,26.408,26.408,26.794,6xf,8.931,6q,21.691
PP101907,627,6,30.757,30.757,29.524,25.000,25.359,25.990,26.635,28.549,25.628,27.467,26.929,30.333,26.904,28.900,28.549,28.549,23.651,26.391,21.850,26.433,29.825,26.190,26.190,27.157,30.063,30.063,28.185,28.185,28.868,28.868,28.730,28.730,23.404,29.600,29.600,28.548,28.548,9.250,9.250,28.230,28.230,29.147,26.761,26.761,26.954,6xf,9.250,6q,21.850
PP101908,638,6,30.388,30.388,29.068,28.617,23.780,27.027,20.376,30.781,30.000,29.068,30.794,31.177,29.858,30.222,29.524,29.524,25.079,25.832,25.705,20.846,28.966,25.314,25.314,26.783,28.209,28.209,27.778,27.778,29.527,29.527,30.619,30.619,28.436,29.469,29.469,29.747,29.747,25.368,25.368,29.160,29.160,27.646,30.034,30.034,29.430,6f,20.376,6r,20.846
PP101909,638,6,30.543,30.543,29.068,28.776,24.132,26.868,20.846,30.941,30.159,29.068,30.794,31.012,30.016,30.538,29.683,29.683,24.921,25.674,25.862,21.003,28.793,25.472,25.472,26.783,28.209,28.209,27.937,27.937,29.690,29.690,30.782,30.782,28.594,29.630,29.630,29.905,29.905,25.205,25.205,29.635,29.635,27.804,30.546,30.546,29.589,6f,20.846,6r,21.003
PP101912,631,6,26.709,26.709,26.341,24.127,22.964,22.381,25.357,27.937,28.361,26.480,27.345,26.043,27.113,28.289,28.389,28.389,21.885,9.826,22.576,24.723,27.504,22.648,22.648,21.350,26.752,26.752,27.432,27.432,26.580,26.580,27.170,27.170,20.952,26.382,26.382,27.707,27.707,26.224,26.224,27.273,27.273,26.391,28.230,28.230,27.460,6p,9.826,6xc,20.952
PP101913,631,6,26.466,26.466,27.734,23.492,23.616,22.135,25.156,28.889,27.541,26.032,27.504,26.711,26.954,27.592,29.215,29.215,20.767,6.656,22.205,24.247,27.302,22.884,22.884,22.591,26.115,26.115,27.592,27.592,24.875,24.875,26.741,26.741,19.841,27.172,27.172,27.032,27.032,25.914,25.914,27.546,27.546,27.822,26.794,26.794,28.254,6p,6.656,6xc,19.841
PP101914,631,6,26.997,26.997,28.864,21.746,22.712,22.204,25.000,28.889,27.541,26.151,27.806,27.379,27.911,28.454,30.463,30.463,19.649,8.241,22.677,24.483,26.709,22.698,22.698,22.345,26.765,26.765,27.592,27.592,25.608,25.608,27.258,27.258,20.860,27.962,27.962,28.027,28.027,25.556,25.556,28.214,28.214,26.794,27.432,27.432,27.937,6p,8.241,6o,19.649
PP101915,639,6,29.818,29.818,30.068,27.962,25.276,28.730,20.657,31.161,27.778,28.910,31.379,29.216,30.031,30.538,30.854,30.854,24.960,25.873,25.822,5.634,27.402,26.415,26.415,29.700,27.937,27.937,29.206,29.206,27.331,27.331,31.759,31.759,28.910,30.903,30.903,31.438,31.438,27.345,27.345,29.542,29.542,28.278,29.984,29.984,29.272,6r,5.634,6f,20.657
PP101916,633,6,28.459,28.459,28.910,26.179,26.856,26.232,24.961,26.825,29.900,27.362,28.413,28.264,26.688,27.129,26.698,26.698,26.108,26.466,24.567,26.572,25.633,25.978,25.978,25.276,28.233,28.233,26.972,26.972,27.874,27.874,27.529,27.529,27.734,28.663,28.663,26.282,26.282,25.755,25.755,26.856,26.856,23.223,27.723,27.723,27.804,6xh,23.223,6q,24.567
PP101917,639,6,28.037,28.037,29.811,23.052,23.418,23.016,24.417,27.036,26.550,26.899,25.780,27.741,24.960,27.080,26.709,26.709,21.270,22.576,6.260,24.493,26.164,21.102,21.102,21.830,29.680,29.680,26.868,26.868,26.508,26.508,26.183,26.183,23.016,29.319,29.319,25.158,25.158,21.178,21.178,25.434,25.434,27.127,28.339,28.339,28.006,6q,6.260,6t,21.102
PP101918,639,6,29.717,29.717,28.278,29.412,25.278,11.894,26.066,27.592,30.274,30.207,29.412,27.010,26.861,29.085,26.899,26.899,26.038,23.892,24.921,28.707,30.470,24.522,24.522,17.536,28.822,28.822,28.389,28.389,27.636,27.636,27.575,27.575,22.749,28.180,28.180,26.979,26.979,26.677,26.677,25.122,25.122,29.160,28.084,28.084,28.299,6e,11.894,6u,17.536
PP101919,639,6,32.075,32.075,30.835,28.889,26.424,29.299,20.344,31.688,28.730,29.477,,30.680,30.806,30.130,30.906,30.906,24.960,26.709,25.432,4.225,28.685,25.314,25.314,30.236,28.368,28.368,30.000,30.000,27.287,27.287,31.200,31.200,29.542,31.847,31.847,32.013,32.013,28.754,28.754,30.269,30.269,28.594,29.252,29.252,29.841,6r,4.225,6f,20.344
PP101920,639,6,30.208,30.208,30.952,28.165,25.434,27.172,19.875,30.096,28.095,29.114,30.952,30.233,29.858,29.690,30.490,30.490,23.613,24.406,24.181,5.321,27.717,24.843,24.843,29.338,28.481,28.481,28.730,28.730,27.974,27.974,29.624,29.624,28.594,31.746,31.746,30.964,30.964,26.868,26.868,29.180,29.180,26.929,29.660,29.660,28.639,6r,5.321,6f,19.875
PP101921,639,6,27.500,27.500,30.274,24.006,24.367,23.175,24.252,27.796,25.205,25.205,27.303,27.907,27.504,27.172,27.258,27.258,20.476,24.165,6.573,25.312,26.164,21.890,21.890,22.698,28.642,28.642,27.186,27.186,26.667,26.667,27.603,27.603,25.079,29.477,29.477,26.266,26.266,21.463,21.463,27.929,27.929,26.224,28.664,28.664,28.065,6q,6.573,6o,20.476
PP101922,639,6,30.673,30.673,30.551,27.804,25.984,28.120,21.440,31.320,29.160,29.542,31.854,30.731,30.538,29.805,30.806,30.806,24.642,26.190,25.429,5.790,28.414,25.157,25.157,29.134,29.635,29.635,29.206,29.206,28.296,28.296,31.013,31.013,27.445,31.270,31.270,31.329,31.329,26.709,26.709,30.063,30.063,28.549,30.293,30.293,28.481,6r,5.790,6f,21.440
PP101923,633,6,28.964,28.964,30.986,29.094,27.877,27.900,27.273,30.269,30.623,29.460,29.859,28.455,29.253,30.066,30.847,30.847,27.619,28.180,24.843,28.616,9.005,27.287,27.287,29.291,28.873,28.873,30.525,30.525,27.962,27.962,30.063,30.063,29.683,30.366,30.366,29.730,29.730,27.258,27.258,30.731,30.731,27.172,29.236,29.236,30.394,6s,9.005,6q,24.843
