Accession,ClosestSubtypeAlignedNT,AssignedGenotype,Subtype5aDistance,Subtype5bDistance,FirstChoiceSubtype,FirstChoiceDistance,SecondChoiceSubtype,SecondChoiceDistance
KJ925146,1772,5,8.014,20.023,5a,8.014,5b,20.023
KJ925147,1772,5,6.941,19.504,5a,6.941,5b,19.504
KJ925148,1772,5,6.716,20.293,5a,6.716,5b,20.293
KJ925149,1772,5,7.167,19.842,5a,7.167,5b,19.842
KM587626,1772,5,8.747,21.094,5a,8.747,5b,21.094
KY627936,347,5,8.069,20.286,5a,8.069,5b,20.286
L23471,222,5,6.306,19.091,5a,6.306,5b,19.091
L23472,222,5,6.306,19.091,5a,6.306,5b,19.091
L23473,222,5,5.405,19.545,5a,5.405,5b,19.545
L23474,222,5,5.856,19.545,5a,5.856,5b,19.545
L29580,340,5,6.471,20.294,5a,6.471,5b,20.294
L29583,340,5,6.765,20.588,5a,6.765,5b,20.588
L29584,340,5,8.235,21.818,5a,8.235,5b,21.818
LC484047,287,5,8.711,22.807,5a,8.711,5b,22.807
LC484049,339,5,8.260,22.419,5a,8.260,5b,22.419
LC484050,339,5,8.555,23.009,5a,8.555,5b,23.009
LC484051,310,5,9.677,24.412,5a,9.677,5b,24.412
LC484052,269,5,6.320,21.509,5a,6.320,5b,21.509
LC484053,338,5,8.284,22.485,5a,8.284,5b,22.485
LC484055,339,5,8.260,22.419,5a,8.260,5b,22.419
LC484056,265,5,6.038,21.456,5a,6.038,5b,21.456
LC484057,339,5,7.965,22.124,5a,7.965,5b,22.124
LC538234,342,5,11.696,24.269,5a,11.696,5b,24.269
LC538238,340,5,8.235,21.765,5a,8.235,5b,21.765
LC538239,389,5,6.170,18.718,5a,6.170,5b,18.718
LC538240,339,5,8.850,20.065,5a,8.850,5b,20.065
LC538247,339,5,8.260,22.419,5a,8.260,5b,22.419
LC538249,339,5,8.260,22.419,5a,8.260,5b,22.419
LC538260,344,5,9.012,21.231,5a,9.012,5b,21.231
LC538261,340,5,7.353,20.882,5a,7.353,5b,20.882
KT595242,1583,5,19.204,20.354,5a,19.204,5b,20.354
KU095084,320,5,5.625,19.688,5a,5.625,5b,19.688
KU095085,320,5,5.625,19.375,5a,5.625,5b,19.375
KU095086,320,5,4.062,18.438,5a,4.062,5b,18.438
KU095087,316,5,5.063,17.949,5a,5.063,5b,17.949
KU870974,337,5,6.231,18.485,5a,6.231,5b,18.485
KU871279,1701,5,7.643,19.376,5a,7.643,5b,19.376
KU871280,1701,5,7.349,19.376,5a,7.349,5b,19.376
KU871281,1696,5,7.075,20.082,5a,7.075,5b,20.082
KU871282,1701,5,7.172,20.212,5a,7.172,5b,20.212
KX107872,1772,5,7.449,20.620,5a,7.449,5b,20.620
KX107873,1752,5,7.021,20.353,5a,7.021,5b,20.353
KX107874,1772,5,6.095,19.718,5a,6.095,5b,19.718
KX107875,1752,5,7.820,20.251,5a,7.820,5b,20.251
KX107876,1752,5,6.221,20.228,5a,6.221,5b,20.228
KX107885,1772,5,9.876,21.433,5a,9.876,5b,21.433
KX107892,1746,5,8.247,20.733,5a,8.247,5b,20.733
KX346875,687,5,5.968,21.106,5a,5.968,5b,21.106
KX346876,687,5,6.259,20.961,5a,6.259,5b,20.961
KX346877,417,5,7.674,21.583,5a,7.674,5b,21.583
KX346878,687,5,7.715,22.999,5a,7.715,5b,22.999
KX346879,687,5,7.715,21.106,5a,7.715,5b,21.106
KX346880,687,5,6.696,22.125,5a,6.696,5b,22.125
KX346881,687,5,5.968,20.961,5a,5.968,5b,20.961
KX346882,687,5,5.677,20.815,5a,5.677,5b,20.815
KX346883,687,5,6.987,21.543,5a,6.987,5b,21.543
KX346884,687,5,6.550,19.942,5a,6.550,5b,19.942
KX346885,687,5,7.569,20.815,5a,7.569,5b,20.815
OK180969,296,5,8.108,20.530,5a,8.108,5b,20.530
