Accession,Genotype1Distance,Genotype2Distance,Genotype3Distance,Genotype4Distance,Genotype5Distance,Genotype6Distance,Genotype7Distance,Genotype8Distance,FirstChoiceGenotype,FirstChoiceDistance,SecondChoiceGenotype,SecondChoiceDistance
AY004034,18.454,29.676,31.017,32.673,29.177,33.333,33.170,30.640,1,18.454,5,29.177
AY004035,18.454,29.676,30.521,32.673,29.177,32.836,32.924,30.640,1,18.454,5,29.177
AY044867,17.861,30.351,28.636,28.734,28.263,28.352,31.716,30.135,1,17.861,6,28.352
AY045702,18.443,29.005,28.458,28.201,28.079,28.136,32.303,29.760,1,18.443,6,28.136
AY051292,17.306,29.602,28.491,26.531,26.730,27.790,30.437,28.164,1,17.306,4,26.531
AY100114,2.878,30.200,30.290,27.166,27.548,29.471,30.570,26.415,1,2.878,4,27.166
AY100115,4.604,28.926,30.870,27.526,28.860,30.143,30.277,27.892,1,4.604,4,27.526
AY100116,5.899,30.318,31.548,27.713,28.716,30.857,31.142,29.167,1,5.899,4,27.713
AY100117,6.763,29.401,30.435,28.446,28.489,30.086,30.915,28.275,1,6.763,5,28.489
AY100118,4.173,28.114,30.511,26.940,27.554,29.772,30.172,26.542,1,4.173,4,26.940
AY100119,5.180,28.571,30.725,27.526,28.324,28.499,29.356,28.000,1,5.180,4,27.526
AY100120,4.029,27.679,29.855,26.647,29.191,29.286,30.225,28.209,1,4.029,4,26.647
AY100121,5.755,29.231,31.214,27.207,26.935,29.857,30.390,26.692,1,5.755,4,27.207
AY100122,4.611,29.362,31.004,27.273,28.239,27.487,29.361,28.480,1,4.611,4,27.273
AY100123,5.339,27.828,30.321,27.139,26.235,29.900,29.542,25.612,1,5.339,4,27.139
AY100124,4.460,27.899,30.145,27.086,29.149,29.598,31.034,27.520,1,4.460,4,27.086
AY100125,5.755,29.938,31.449,27.168,26.741,28.870,29.983,25.235,1,5.755,4,27.168
AY100126,6.579,28.210,30.139,27.414,27.597,27.374,29.379,25.981,1,6.579,5,27.597
AY100127,5.916,28.571,30.959,28.047,28.947,29.928,30.272,28.209,1,5.916,4,28.047
AY100128,2.878,27.941,30.580,27.273,27.586,29.429,30.277,27.460,1,2.878,4,27.273
AY100129,4.604,27.355,30.145,27.526,28.716,29.741,30.862,28.000,1,4.604,4,27.526
AY100130,4.386,27.717,29.985,28.102,28.217,29.678,29.567,26.306,1,4.386,4,28.102
AY100131,4.604,27.667,30.290,26.647,28.035,29.310,29.828,27.911,1,4.604,4,26.647
AY100132,3.741,27.125,30.246,26.833,28.386,29.310,30.690,27.840,1,3.741,4,26.833
AY100133,3.741,27.717,30.290,27.233,28.019,29.741,30.862,27.680,1,3.741,4,27.233
AY100134,5.036,27.667,30.000,26.801,28.324,28.797,29.567,27.751,1,5.036,4,26.801
AY100135,4.029,26.993,29.624,27.086,28.818,29.598,30.862,27.273,1,4.029,4,27.086
AY100136,3.597,26.944,30.580,26.794,28.613,29.598,30.345,28.275,1,3.597,4,26.794
AY100137,4.692,27.971,30.076,26.946,27.048,28.166,30.051,27.697,1,4.692,4,26.946
AY100138,5.324,27.648,30.580,27.500,26.000,29.747,30.390,25.800,1,5.324,5,26.000
AY100139,4.460,28.131,30.491,26.754,29.480,28.323,30.000,27.937,1,4.460,4,26.754
AY100140,6.331,30.200,30.870,27.941,27.160,28.846,31.239,25.328,1,6.331,4,27.941
AY100141,5.612,29.848,30.000,26.912,26.389,30.143,30.390,25.612,1,5.612,4,26.912
AY100142,5.899,30.000,31.350,28.382,26.893,28.425,30.427,26.705,1,5.899,5,26.893
AY100143,5.036,29.362,31.304,27.526,29.149,30.129,30.411,28.000,1,5.036,4,27.526
AY100144,4.685,28.494,30.139,27.205,28.837,29.971,30.360,26.493,1,4.685,4,27.205
AY100145,4.892,28.308,31.060,27.526,29.335,29.885,30.690,27.680,1,4.892,4,27.526
AY100146,4.604,28.312,30.202,27.353,29.191,28.006,29.828,27.460,1,4.604,4,27.353
AY100147,4.317,28.131,30.347,27.086,29.480,28.323,30.000,27.778,1,4.317,4,27.086
AY100148,6.196,28.546,29.675,26.872,26.235,30.429,29.372,25.047,1,6.196,4,26.872
AY100149,6.331,30.152,31.214,28.088,27.160,30.380,30.390,26.930,1,6.331,4,28.088
AY100150,6.619,29.848,29.088,27.581,26.080,29.384,30.051,26.177,1,6.619,5,26.080
AY100151,4.665,27.355,30.200,28.102,27.554,30.378,29.755,26.542,1,4.665,5,27.554
AY100152,5.468,27.788,30.000,27.500,27.315,30.429,30.390,25.516,1,5.468,4,27.500
AY100153,6.503,28.691,29.202,27.917,27.752,29.553,29.542,27.429,1,6.503,4,27.917
AY100154,5.324,29.385,30.000,26.912,27.954,29.714,30.221,25.564,1,5.324,4,26.912
AY100155,5.180,28.857,31.594,27.818,29.302,29.114,30.466,26.217,1,5.180,4,27.818
AY100156,6.052,28.493,30.624,27.770,27.666,30.538,30.272,25.989,1,6.052,4,27.770
AY100157,6.196,27.788,30.189,27.688,27.821,29.272,30.051,26.880,1,6.196,4,27.688
AY100158,6.906,28.755,29.957,27.059,26.543,30.538,30.952,26.742,1,6.906,4,27.059
AY100159,5.612,28.923,29.420,27.353,26.543,30.429,30.236,26.504,1,5.612,4,27.353
AY100160,4.892,28.308,30.145,27.206,28.716,29.741,31.034,28.320,1,4.892,4,27.206
AY100161,4.460,27.629,30.202,27.526,28.468,29.714,30.690,27.603,1,4.460,4,27.526
AY100162,5.331,26.874,30.044,27.393,27.128,29.699,30.900,26.554,1,5.331,5,27.128
AY100163,5.755,29.068,31.594,26.393,27.097,29.905,29.372,26.365,1,5.755,4,26.393
AY100164,5.468,29.846,30.580,26.686,27.202,28.522,29.032,25.926,1,5.468,4,26.686
AY100165,6.619,28.022,30.580,26.765,28.530,30.714,30.809,26.981,1,6.619,4,26.765
AY100166,4.748,28.598,30.870,27.965,27.911,29.167,30.450,25.524,1,4.748,4,27.965
AY100167,5.612,30.154,31.014,26.912,26.893,30.222,30.051,27.119,1,5.612,4,26.912
AY100168,5.882,28.885,30.757,27.315,27.357,29.883,30.051,26.692,1,5.882,4,27.315
AY100169,4.604,27.451,30.000,27.233,28.468,29.885,30.517,28.209,1,4.604,4,27.233
AY100170,6.187,27.695,29.565,27.794,26.852,28.767,30.390,26.692,1,6.187,4,27.794
AY100171,2.158,28.624,30.580,27.273,27.389,29.000,30.570,25.235,1,2.158,4,27.273
AY100172,4.892,28.022,31.159,27.126,27.048,29.043,29.202,25.752,1,4.892,4,27.126
AY100173,4.029,28.674,30.636,27.233,27.981,29.571,31.261,24.859,1,4.029,4,27.233
AY100174,6.331,30.154,29.366,26.912,27.202,30.063,28.862,25.940,1,6.331,4,26.912
AY100175,7.770,30.556,30.435,26.393,23.819,30.029,30.690,25.800,1,7.770,4,26.393
AY100176,4.317,28.312,31.159,27.526,28.756,29.454,29.567,27.981,1,4.317,4,27.526
AY100177,5.856,27.788,29.114,27.395,27.463,28.323,30.017,25.752,1,5.856,4,27.395
AY100178,5.755,28.923,29.710,27.059,25.502,29.429,29.881,25.974,1,5.755,5,25.502
AY100179,3.741,29.441,30.870,27.419,26.709,29.857,29.879,27.302,1,3.741,4,27.419
AY100180,5.324,30.560,30.000,27.059,27.315,30.143,29.881,25.940,1,5.324,4,27.059
AY100181,4.317,27.536,29.624,26.940,28.468,28.736,30.000,27.822,1,4.317,4,26.940
AY100182,5.675,28.727,29.231,27.987,29.147,28.157,30.690,26.866,1,5.675,4,27.987
AY100183,4.526,27.402,29.403,27.844,27.006,30.680,30.390,26.742,1,4.526,5,27.006
AY100184,5.710,27.839,30.294,27.778,26.543,29.196,30.051,26.177,1,5.710,5,26.543
AY100185,3.235,28.309,30.448,28.186,28.328,29.971,30.450,26.177,1,3.235,4,28.186
AY100186,5.000,28.073,30.139,26.882,27.245,30.631,29.932,25.564,1,5.000,5,27.245
AY100187,5.755,28.388,31.205,27.259,27.006,28.082,30.900,26.692,1,5.755,4,27.259
AY100188,4.308,27.806,29.922,26.929,27.994,29.231,31.034,27.491,1,4.308,4,26.929
AY100189,4.762,27.239,29.876,26.540,27.357,29.421,29.881,26.128,1,4.762,4,26.540
AY100190,6.442,28.755,30.603,27.717,27.666,29.356,29.879,26.792,1,6.442,5,27.666
AY100191,4.740,26.993,29.385,27.316,27.864,29.538,29.188,26.119,1,4.740,4,27.316
AY100192,5.825,27.536,30.051,28.110,28.027,28.336,30.057,26.266,1,5.825,8,26.266
AY100193,3.058,28.308,29.181,27.630,26.868,30.275,31.261,25.989,1,3.058,5,26.868
AY131339,15.522,23.669,24.928,24.713,24.370,24.198,26.948,24.595,1,15.522,2,23.669
AY131340,16.223,25.072,24.928,25.459,26.121,25.205,27.841,24.928,1,16.223,4,25.459
AY131342,16.706,25.071,25.926,26.234,24.311,25.068,27.684,26.650,1,16.706,5,24.311
AY131345,5.048,28.362,26.980,26.265,24.409,25.935,26.393,24.217,1,5.048,5,24.409
AY131346,6.161,25.501,27.441,25.176,25.061,27.431,26.000,24.069,1,6.161,4,25.176
AY131350,7.059,26.816,26.781,25.416,23.961,,27.222,22.792,1,7.059,5,23.961
AY131354,15.023,25.876,25.714,25.700,22.843,24.931,29.006,24.574,1,15.023,5,22.843
AY131361,6.506,26.437,27.177,24.272,23.678,,28.000,23.894,1,6.506,4,24.272
AY131362,6.398,26.050,27.941,24.528,23.529,,27.298,22.989,1,6.398,5,23.529
AY131366,3.563,28.710,26.913,24.402,24.675,25.240,28.090,24.752,1,3.563,4,24.402
AY131367,6.796,26.453,27.968,25.428,25.316,27.930,27.826,24.484,1,6.796,4,25.428
AY131368,17.067,22.792,23.768,25.521,23.158,24.251,28.451,26.434,1,17.067,5,23.158
AY131370,7.786,26.816,27.297,25.672,25.654,27.047,27.246,25.217,1,7.786,4,25.672
AY131371,16.707,25.360,26.136,26.205,24.084,25.753,,26.176,1,16.707,5,24.084
AY131374,7.500,26.205,25.984,24.242,24.934,26.579,27.327,24.308,1,7.500,5,24.934
AY131375,5.707,28.426,26.019,24.518,24.518,27.387,27.083,24.242,1,5.707,5,24.518
AY131376,14.824,26.341,27.685,24.370,23.590,25.366,27.701,25.672,1,14.824,5,23.590
AY131377,2.824,27.338,27.737,24.228,23.822,25.829,27.350,24.265,1,2.824,4,24.228
AY131378,6.203,25.970,27.441,25.871,24.934,26.884,27.381,24.545,1,6.203,5,24.934
AY131380,6.118,25.627,27.494,25.178,24.265,28.199,26.389,23.647,1,6.118,5,24.265
AY131381,6.118,26.462,27.441,25.653,25.245,27.962,27.500,23.295,1,6.118,5,25.245
AY131382,7.820,25.140,27.941,24.823,24.020,24.501,28.571,23.276,1,7.820,5,24.020
AY131383,6.824,26.542,26.913,25.178,24.020,25.568,26.781,22.727,1,6.824,5,24.020
AY131386,6.190,27.670,26.377,24.402,22.546,,27.966,25.622,1,6.190,5,22.546
AY131387,3.059,28.058,28.710,24.703,24.808,27.251,26.857,22.857,1,3.059,4,24.703
AY131392,3.529,29.257,27.251,25.178,25.897,26.540,26.857,23.077,1,3.529,4,25.178
AY131396,2.118,28.777,28.467,25.891,25.385,27.014,27.143,23.362,1,2.118,8,23.362
AY131397,3.765,26.005,28.224,25.416,25.980,26.777,26.496,23.611,1,3.765,4,25.416
AY131400,4.235,25.936,27.981,25.416,25.490,25.337,26.781,24.225,1,4.235,4,25.416
AY131402,6.118,25.627,27.007,24.466,22.983,27.251,27.500,24.217,1,6.118,5,22.983
AY131403,2.824,28.777,27.704,25.416,24.665,24.528,28.000,21.937,1,2.824,8,21.937
AY131404,2.594,26.891,28.496,24.941,24.595,24.798,27.714,22.857,1,2.594,4,24.941
AY131405,2.118,28.297,28.232,25.653,25.128,26.066,27.714,22.507,1,2.118,8,22.507
AY131406,5.176,25.401,27.845,25.416,25.980,26.777,27.066,23.398,1,5.176,8,23.398
AY131407,17.176,24.793,24.928,25.714,24.561,24.251,28.249,25.070,1,17.176,5,24.561
AY131410,5.882,26.184,27.981,25.178,24.755,27.488,25.278,24.148,1,5.882,5,24.755
AY131411,5.647,25.978,27.981,24.703,23.716,,27.222,22.792,1,5.647,5,23.716
AY131412,2.588,29.017,27.968,26.128,25.128,26.777,27.714,22.792,1,2.588,8,22.792
AY131416,6.824,26.741,27.737,25.653,23.716,,28.333,23.362,1,6.824,5,23.716
AY131417,8.000,26.613,26.772,25.653,24.390,,27.500,23.647,1,8.000,5,24.390
AY131418,15.294,24.513,25.215,24.370,25.575,24.267,27.747,26.161,1,15.294,6,24.267
AY131419,3.529,28.537,28.467,26.128,26.716,26.303,27.920,25.980,1,3.529,8,25.980
AY131420,4.235,27.660,27.714,26.128,23.636,24.776,25.430,23.932,1,4.235,4,26.128
AY131421,4.706,27.924,28.087,24.941,25.980,26.777,27.350,25.735,1,4.706,4,24.941
AY131425,4.471,28.777,28.496,26.366,25.641,26.540,27.714,23.647,1,4.471,8,23.647
AY131430,7.529,24.022,27.427,24.762,24.205,,26.870,24.148,1,7.529,4,24.762
AY131432,6.824,25.905,26.385,25.178,23.039,27.488,27.500,22.792,1,6.824,5,23.039
AY131433,4.706,26.203,28.224,24.941,25.490,26.540,26.389,23.611,1,4.706,4,24.941
AY131435,4.000,25.401,27.177,25.178,25.490,26.540,27.066,23.955,1,4.000,4,25.178
AY149692,6.015,30.242,,,24.390,31.892,,28.814,1,6.015,8,28.814
AY149693,19.820,,31.469,,26.351,,,,1,19.820,5,26.351
AY149694,4.054,,25.874,,28.436,28.387,30.588,30.256,1,4.054,5,28.436
AY149698,4.887,29.675,27.972,,,31.443,32.432,27.542,1,4.887,8,27.542
AY149700,3.008,29.555,28.148,,,30.901,34.263,27.542,1,3.008,8,27.542
AY149701,5.263,29.268,27.273,,,31.443,31.923,28.390,1,5.263,8,28.390
AY149704,5.263,28.629,32.479,,27.801,30.682,33.846,28.390,1,5.263,8,28.390
AY149706,4.018,,29.371,,25.000,30.968,32.544,29.592,1,4.018,8,29.592
AY149708,19.212,,30.070,,29.557,,,,1,19.212,5,29.557
AY149709,19.820,27.879,30.178,,25.000,30.380,,,1,19.820,5,25.000
AY149711,19.369,,27.972,,,31.414,,,1,19.369,3,27.972
AY149721,18.981,,31.278,,27.027,31.606,,,1,18.981,5,27.027
AY149726,3.125,,28.889,,,30.380,34.197,29.592,1,3.125,8,29.592
AY172640,3.012,32.298,31.304,31.269,30.065,32.716,32.129,27.984,1,3.012,8,27.984
AY172641,16.867,31.269,31.507,,29.043,32.500,,29.756,1,16.867,5,29.043
AY172645,18.072,33.746,32.609,,31.023,34.062,,,1,18.072,5,31.023
AY172646,17.771,33.437,33.043,,31.023,33.750,,,1,17.771,5,31.023
AY172648,16.265,32.817,30.870,,29.703,33.750,,30.222,1,16.265,5,29.703
AY224780,4.911,,33.000,32.864,27.848,33.333,32.500,30.317,1,4.911,8,30.317
AY224781,5.357,,30.216,,,26.786,32.051,30.317,1,5.357,8,30.317
AY224782,4.464,,30.216,33.175,26.061,27.103,33.632,29.864,1,4.464,5,26.061
AY224784,4.018,,,32.843,,32.749,34.906,29.279,1,4.018,8,29.279
AY224785,3.139,,30.534,,26.582,31.765,34.667,28.054,1,3.139,8,28.054
AY224786,9.375,,32.824,,29.091,,,32.701,1,9.375,5,29.091
AY224787,2.752,,,32.683,,32.164,32.075,29.767,1,2.752,8,29.767
AY224788,4.911,,28.571,31.455,26.582,,32.051,29.864,1,4.911,8,29.864
AY224789,3.125,,30.216,32.683,,,33.333,28.507,1,3.125,8,28.507
AY224790,5.804,,,34.112,,29.310,,32.127,1,5.804,8,32.127
AY224792,5.804,,32.061,33.178,,33.333,,28.169,1,5.804,8,28.169
AY224794,4.464,,30.216,,,,32.692,29.493,1,4.464,8,29.493
AY224795,2.242,,30.216,,,28.037,31.395,28.507,1,2.242,8,28.507
AY224796,4.464,29.384,28.058,30.516,24.051,,28.431,28.959,1,4.464,5,24.051
AY224797,3.571,,26.429,32.864,,32.195,32.547,27.027,1,3.571,8,27.027
AY224798,0.893,,29.771,32.394,,32.749,,28.054,1,0.893,8,28.054
AY224799,4.464,,31.655,,25.455,31.788,34.081,28.507,1,4.464,8,28.507
AY224800,3.125,,28.244,30.233,25.455,30.409,33.184,28.436,1,3.125,8,28.436
AY224801,2.679,,29.008,30.516,25.949,,32.692,28.507,1,2.679,8,28.507
AY224802,2.232,,30.216,,,31.579,31.410,27.602,1,2.232,8,27.602
AY224803,3.153,,28.571,,24.684,27.586,32.547,29.464,1,3.153,5,24.684
AY224804,6.250,,29.496,31.754,26.829,,33.333,29.864,1,6.250,8,29.864
AY224805,4.464,,28.777,31.754,25.455,28.037,34.081,29.412,1,4.464,5,25.455
AY224806,5.381,,29.496,32.227,25.000,27.103,32.743,28.959,1,5.381,8,28.959
AY224807,3.571,,30.216,32.683,,,32.883,28.054,1,3.571,8,28.054
AY224809,4.147,30.622,28.788,32.227,,32.317,34.272,28.302,1,4.147,8,28.302
AY224810,3.587,30.622,28.788,31.754,,32.353,34.222,28.507,1,3.587,8,28.507
AY224812,3.756,30.622,28.788,31.754,,,33.962,28.302,1,3.756,8,28.302
AY224816,3.139,,32.500,31.455,,31.765,34.667,29.412,1,3.139,8,29.412
AY224819,3.687,31.905,29.008,30.233,,29.878,34.272,29.412,1,3.687,8,29.412
AY224820,3.587,31.579,29.771,30.516,,31.176,,29.412,1,3.587,8,29.412
AY224821,4.484,,30.534,31.455,,,,30.317,1,4.484,8,30.317
AY224822,4.036,32.057,30.534,30.516,,31.765,33.962,29.545,1,4.036,8,29.545
AY224823,2.691,31.579,29.771,30.047,,31.176,34.222,29.412,1,2.691,8,29.412
AY224824,3.587,31.100,29.545,31.034,,32.353,34.434,29.091,1,3.587,8,29.091
AY224825,3.587,,31.298,31.220,,32.353,,28.507,1,3.587,8,28.507
AY224828,2.691,31.100,,30.986,27.215,31.176,,29.412,1,2.691,8,29.412
AY224829,5.804,,29.496,31.132,26.220,27.103,33.632,29.911,1,5.804,5,26.220
AY224830,4.933,32.057,28.788,31.455,,,,29.730,1,4.933,8,29.730
AY224831,1.786,,29.771,,26.582,31.579,,28.507,1,1.786,8,28.507
AY224832,3.571,,28.244,,,30.409,30.769,26.577,1,3.571,8,26.577
AY224833,3.571,,29.008,,25.316,30.994,34.081,27.477,1,3.571,8,27.477
AY224842,3.125,,,31.455,26.582,27.586,31.410,27.928,1,3.125,8,27.928
AY224844,3.571,,,30.986,26.506,25.862,31.410,29.245,1,3.571,8,29.245
AY224847,5.357,,28.058,,24.684,29.825,32.864,28.054,1,5.357,8,28.054
AY224848,3.687,,,31.707,,25.862,31.387,27.451,1,3.687,8,27.451
AY224849,4.911,,29.496,31.132,,32.589,32.075,27.803,1,4.911,8,27.803
AY224850,2.232,,28.777,31.925,,32.164,33.333,28.054,1,2.232,8,28.054
AY224851,6.250,,30.216,31.527,22.561,26.168,32.287,29.412,1,6.250,5,22.561
AY224852,5.357,,30.216,31.527,23.171,26.168,32.287,29.412,1,5.357,5,23.171
AY224853,5.804,,30.935,32.020,23.171,26.168,31.839,28.959,1,5.804,5,23.171
AY224854,5.357,,30.216,31.527,23.780,26.168,32.394,29.412,1,5.357,5,23.780
AY224855,5.804,,,31.527,24.390,26.168,,29.864,1,5.804,5,24.390
AY224856,5.804,,30.935,31.034,23.780,27.103,32.287,29.864,1,5.804,5,23.780
AY224857,4.018,,29.496,31.754,25.610,28.037,33.632,28.959,1,4.018,8,28.959
AY224858,5.804,,29.496,32.227,25.000,27.103,33.184,29.279,1,5.804,5,25.000
AY224859,5.804,,27.143,31.034,24.390,27.586,31.839,28.378,1,5.804,5,24.390
AY224860,4.018,,29.496,31.754,,33.482,33.019,28.378,1,4.018,8,28.378
AY224861,4.464,,,32.227,,33.482,32.547,27.928,1,4.464,8,27.928
AY224862,4.464,,29.496,30.986,,31.746,32.075,27.928,1,4.464,8,27.928
AY224863,5.357,29.208,29.496,30.516,,31.217,32.075,27.928,1,5.357,8,27.928
AY224864,5.357,,31.982,30.986,24.051,31.746,32.394,28.378,1,5.357,5,24.051
AY224865,4.911,,,30.986,,32.804,32.075,28.378,1,4.911,8,28.378
AY224866,4.911,,29.496,,,31.746,32.547,27.477,1,4.911,8,27.477
AY224867,4.018,,28.777,31.280,25.294,29.801,31.410,28.378,1,4.018,5,25.294
AY224868,4.018,,32.432,,,30.994,,28.959,1,4.018,8,28.959
AY224869,5.804,,30.348,,24.242,29.825,,30.332,1,5.804,5,24.242
AY224870,3.153,,28.777,30.841,,31.737,32.883,27.111,1,3.153,8,27.111
AY224871,3.125,,31.500,,,32.275,32.075,29.412,1,3.125,8,29.412
AY224872,2.679,,30.216,31.925,,,33.019,28.054,1,2.679,8,28.054
AY224873,3.125,,29.496,30.986,,32.749,33.491,28.054,1,3.125,8,28.054
AY224874,3.571,,31.500,,27.059,31.892,,29.464,1,3.571,8,29.464
AY224875,2.679,,31.655,31.455,25.316,32.450,34.081,29.412,1,2.679,8,29.412
AY224876,3.125,,30.216,,,32.164,33.491,29.412,1,3.125,8,29.412
AY224877,4.054,,29.286,,,33.182,30.769,28.774,1,4.054,8,28.774
AY224878,4.464,,30.216,31.925,,32.804,33.019,28.829,1,4.464,8,28.829
AY224879,17.512,,28.058,,,31.336,,29.858,1,17.512,8,29.858
AY224880,16.590,31.193,30.846,,29.064,33.180,,29.358,1,16.590,8,29.358
AY224881,17.890,,,,27.473,,,31.863,1,17.890,5,27.473
AY224882,15.207,,30.846,,26.374,,,30.806,1,15.207,5,26.374
AY224883,15.207,,28.571,,26.087,,,32.353,1,15.207,5,26.087
AY224884,19.355,,,,25.882,,,30.516,1,19.355,5,25.882
AY224885,16.129,,,,26.923,,,29.412,1,16.129,5,26.923
AY224889,16.744,,,,26.901,,,29.902,1,16.744,5,26.901
AY224890,16.279,,,,26.316,31.308,,29.412,1,16.279,5,26.316
AY224892,17.512,,30.216,,26.923,,,30.882,1,17.512,5,26.923
AY224893,17.130,,,,25.731,31.308,,31.280,1,17.130,5,25.731
AY224894,17.431,,,,26.966,,,30.882,1,17.431,5,26.966
AY224896,17.209,,,,25.731,31.308,,31.280,1,17.209,5,25.731
AY224899,17.512,,30.846,,25.275,31.336,,30.734,1,17.512,5,25.275
AY224901,17.512,,30.348,,23.977,30.876,,31.193,1,17.512,5,23.977
AY224902,17.209,,30.348,,25.146,31.308,,30.734,1,17.209,5,25.146
AY224905,17.209,,28.058,,23.270,32.243,,31.651,1,17.209,5,23.270
AY224906,17.972,,27.857,,26.471,,,32.227,1,17.972,5,26.471
AY224908,17.512,,,,30.045,,,30.882,1,17.512,5,30.045
AY224909,18.433,,,,26.923,,,31.373,1,18.433,5,26.923
AY224910,18.433,,,,25.824,31.797,,31.863,1,18.433,5,25.824
AY224911,15.668,,27.703,,24.706,,,32.420,1,15.668,5,24.706
AY224913,15.207,,29.496,,25.824,,,29.412,1,15.207,5,25.824
AY224914,15.207,30.631,30.348,,25.275,,,30.882,1,15.207,5,25.275
AY224915,15.668,,28.777,,24.176,30.415,,31.193,1,15.668,5,24.176
AY224916,17.051,,28.856,,26.108,29.954,,30.734,1,17.051,5,26.108
AY224917,17.972,,30.594,,25.146,30.415,,31.651,1,17.972,5,25.146
AY224918,18.433,,31.000,,25.824,31.797,,31.193,1,18.433,5,25.824
AY224921,18.433,24.324,28.058,,26.923,30.601,,30.734,1,18.433,5,26.923
AY224923,16.590,,25.301,,26.667,31.364,,30.806,1,16.590,5,26.667
AY224926,16.590,,29.496,,25.824,29.817,,29.817,1,16.590,5,25.824
AY224937,21.198,,,,23.626,29.954,,31.193,1,21.198,5,23.626
AY224938,21.198,29.464,28.856,,23.077,30.220,,30.734,1,21.198,5,23.077
AY224939,18.304,,30.348,,24.157,31.797,,31.193,1,18.304,5,24.157
AY224940,16.744,,28.467,,,31.868,,31.429,1,16.744,8,31.429
AY224941,16.744,,29.197,,,32.093,,30.000,1,16.744,8,30.000
AY224942,15.349,,29.197,,25.882,,,,1,15.349,5,25.882
AY224943,17.512,,30.846,,24.725,,,30.734,1,17.512,5,24.725
AY224944,17.512,,30.846,,24.725,,,30.275,1,17.512,5,24.725
AY224945,15.668,,30.348,,25.275,,,30.332,1,15.668,5,25.275
AY224946,16.590,,30.348,,26.374,,,31.280,1,16.590,5,26.374
AY224947,17.512,,29.353,,26.374,30.594,,30.806,1,17.512,5,26.374
AY224948,17.512,,28.358,,26.374,,,29.384,1,17.512,5,26.374
AY224949,18.433,,28.777,,26.923,,,29.902,1,18.433,5,26.923
AY224950,17.512,,28.777,,28.022,,,30.392,1,17.512,5,28.022
AY224951,17.512,,29.353,,25.882,30.055,,31.193,1,17.512,5,25.882
AY224952,17.051,27.778,29.851,,26.471,,,29.902,1,17.051,5,26.471
AY224953,17.972,27.778,27.338,,25.275,,,28.436,1,17.972,5,25.275
AY224954,16.129,,29.697,,23.529,,,30.806,1,16.129,5,23.529
AY224955,17.972,,27.338,,28.022,,,31.754,1,17.972,5,28.022
AY224956,16.129,29.444,,,27.473,,,30.806,1,16.129,5,27.473
AY224957,18.433,,28.777,,28.922,30.415,,29.902,1,18.433,5,28.922
AY224958,17.972,,,,25.824,32.258,,,1,17.972,5,25.824
AY224959,17.972,30.055,28.058,,25.275,,,30.332,1,17.972,5,25.275
AY224960,18.433,31.081,28.856,,27.094,,,29.384,1,18.433,5,27.094
AY224961,15.668,,30.846,,26.374,,,30.806,1,15.668,5,26.374
AY224962,16.964,,30.846,,25.275,,,30.806,1,16.964,5,25.275
AY224963,17.512,,31.343,,26.923,,,32.701,1,17.512,5,26.923
AY224964,17.512,31.532,28.058,,25.824,32.258,,29.858,1,17.512,5,25.824
AY224965,17.512,,28.058,,25.824,33.180,,,1,17.512,5,25.824
AY224966,17.972,24.324,28.058,,27.473,,,30.332,1,17.972,5,27.473
AY224967,17.051,,30.303,,25.882,32.967,,32.110,1,17.051,5,25.882
AY224968,17.512,,28.777,,26.471,32.258,,32.569,1,17.512,5,26.471
AY224969,18.894,,28.571,,25.882,32.719,,,1,18.894,5,25.882
AY224970,18.750,,28.777,,,,,31.863,1,18.750,8,31.863
AY224971,17.512,,27.338,,27.094,31.651,,30.734,1,17.512,5,27.094
AY224972,16.590,28.571,29.697,,25.275,,,,1,16.590,5,25.275
AY224973,17.512,24.324,31.655,,25.294,,,33.333,1,17.512,5,25.294
AY224974,20.737,,28.058,30.000,28.022,,,31.373,1,20.737,5,28.022
AY224976,18.750,,30.769,,27.473,,,31.373,1,18.750,5,27.473
AY224978,20.276,,30.216,,27.473,,,29.384,1,20.276,5,27.473
AY224979,22.936,,32.857,,28.492,,,33.649,1,22.936,5,28.492
AY224980,17.972,,30.348,,26.230,31.336,,31.193,1,17.972,5,26.230
AY224981,18.433,,29.851,,27.869,,,30.876,1,18.433,5,27.869
AY224982,17.512,,30.846,,26.923,32.258,,32.110,1,17.512,5,26.923
AY224983,17.512,,28.777,,,,,30.392,1,17.512,8,30.392
AY224984,18.433,,28.378,,27.485,,,33.175,1,18.433,5,27.485
AY224985,22.321,,31.655,,29.670,33.790,,34.404,1,22.321,5,29.670
AY224986,20.465,,31.658,,25.824,,,33.333,1,20.465,5,25.824
AY224987,18.894,,29.851,,26.923,30.415,,31.280,1,18.894,5,26.923
AY224988,17.512,,32.338,,26.374,,,32.701,1,17.512,5,26.374
AY224989,18.433,26.923,29.851,,23.626,,,31.193,1,18.433,5,23.626
AY224990,19.355,,30.846,,25.275,,,31.193,1,19.355,5,25.275
AY236369,16.296,26.667,31.250,29.534,29.960,,32.075,25.564,1,16.296,2,26.667
AY236370,19.259,,,29.060,,33.493,,,1,19.259,4,29.060
AY257069,19.461,,,,27.108,31.148,,31.496,1,19.461,5,27.108
AY257071,21.317,30.657,,,30.303,33.333,35.314,31.765,1,21.317,5,30.303
AY257073,17.629,31.420,31.379,,30.693,,,31.193,1,17.629,5,30.693
