Accession,ClosestSubtypeAlignedNT,AssignedGenotype,Subtype3aDistance,Subtype3bDistance,Subtype3dDistance,Subtype3eDistance,Subtype3gDistance,Subtype3gDistance,Subtype3hDistance,Subtype3iDistance,Subtype3iDistance,Subtype3kDistance,Subtype3kDistance,FirstChoiceSubtype,FirstChoiceDistance,SecondChoiceSubtype,SecondChoiceDistance
MG456456,638,3,10.658,29.630,22.648,23.226,26.741,26.741,29.665,28.006,28.006,29.327,29.327,3a,10.658,3d,22.648
MG456462,639,3,7.825,26.974,21.372,21.256,24.013,24.013,29.708,25.873,25.873,26.731,26.731,3a,7.825,3d,21.372
MG456463,639,3,8.764,26.853,20.096,20.451,22.205,22.205,28.409,24.684,24.684,25.806,25.806,3a,8.764,3d,20.096
MG456464,639,3,7.512,28.548,20.541,20.033,24.367,24.367,28.734,24.921,24.921,26.610,26.610,3a,7.512,3d,20.541
MG456465,635,3,10.394,28.502,19.936,20.290,23.101,23.101,29.027,27.345,27.345,26.849,26.849,3a,10.394,3d,19.936
MG456466,639,3,10.172,27.063,22.169,20.290,23.697,23.697,28.708,25.908,25.908,26.935,26.935,3a,10.172,3e,20.290
MG456467,639,3,12.207,29.489,22.134,21.578,26.382,26.382,30.064,26.424,26.424,28.756,28.756,3a,12.207,3e,21.578
MG456468,638,3,6.583,28.180,21.372,19.807,23.381,23.381,29.383,25.592,25.592,26.570,26.570,3a,6.583,3e,19.807
MG456469,639,3,6.573,26.765,20.574,20.257,23.539,23.539,29.058,25.000,25.000,26.087,26.087,3a,6.573,3d,20.574
MG456470,639,3,7.825,27.858,20.734,21.613,24.132,24.132,28.549,24.367,24.367,26.603,26.603,3a,7.825,3d,20.734
MG456471,638,3,8.934,27.974,21.372,20.612,23.734,23.734,29.346,25.714,25.714,25.556,25.556,3a,8.934,3e,20.612
MG456472,639,3,7.981,27.471,20.350,21.095,24.329,24.329,27.229,25.316,25.316,25.926,25.926,3a,7.981,3d,20.350
MG456473,639,3,7.668,27.697,20.255,19.002,23.065,23.065,28.868,25.118,25.118,26.582,26.582,3a,7.668,3e,19.002
MG456474,639,3,8.764,28.663,21.178,20.290,24.961,24.961,28.981,24.842,24.842,26.741,26.741,3a,8.764,3e,20.290
MG456475,639,3,8.451,29.489,22.010,19.968,24.763,24.763,29.545,25.791,25.791,27.375,27.375,3a,8.451,3e,19.968
MG456476,639,3,8.294,27.632,19.777,19.807,24.688,24.688,27.922,25.633,25.633,27.214,27.214,3a,8.294,3d,19.777
MG456477,639,3,9.233,28.341,21.850,21.613,24.606,24.606,30.583,25.750,25.750,28.413,28.413,3a,9.233,3d,21.850
MG456478,639,3,8.920,28.171,21.497,20.773,25.592,25.592,29.383,25.949,25.949,26.817,26.817,3a,8.920,3e,20.773
MG456479,639,3,7.199,27.448,21.372,19.344,23.065,23.065,28.730,24.051,24.051,26.731,26.731,3a,7.199,3e,19.344
MG456480,639,3,8.920,28.571,22.452,21.774,25.276,25.276,29.822,26.582,26.582,27.010,27.010,3a,8.920,3e,21.774
MG456481,639,3,8.764,27.806,22.807,19.324,23.502,23.502,28.336,24.723,24.723,27.141,27.141,3a,8.764,3e,19.324
MG456482,639,3,8.920,28.125,22.010,20.773,24.684,24.684,29.346,27.023,27.023,26.527,26.527,3a,8.920,3e,20.773
MG456483,639,3,8.451,27.677,20.734,20.934,24.645,24.645,27.922,25.633,25.633,26.409,26.409,3a,8.451,3d,20.734
MG456484,639,3,9.233,28.261,22.488,23.349,25.434,25.434,30.844,27.057,27.057,26.892,26.892,3a,9.233,3d,22.488
MG456485,639,3,6.573,27.929,21.246,20.773,24.413,24.413,29.756,25.669,25.669,27.787,27.787,3a,6.573,3e,20.773
MG456486,635,3,8.031,27.422,20.128,19.807,23.391,23.391,28.943,25.119,25.119,27.553,27.553,3a,8.031,3d,20.128
MG456487,639,3,7.825,28.830,21.212,21.774,24.013,24.013,29.545,25.316,25.316,26.892,26.892,3a,7.825,3d,21.212
MG456488,639,3,7.981,28.007,19.617,19.807,24.132,24.132,28.571,26.424,26.424,27.464,27.464,3a,7.981,3d,19.617
MG456489,639,3,7.825,28.710,22.329,20.290,23.344,23.344,28.734,25.949,25.949,26.892,26.892,3a,7.825,3e,20.290
MG456490,639,3,8.294,27.558,20.255,21.256,24.171,24.171,27.597,25.552,25.552,26.248,26.248,3a,8.294,3d,20.255
MG456491,638,3,7.680,28.736,23.285,21.739,24.803,24.803,29.708,27.057,27.057,28.918,28.918,3a,7.680,3e,21.739
MG456492,639,3,9.233,26.892,22.967,21.095,23.502,23.502,29.058,25.316,25.316,26.667,26.667,3a,9.233,3e,21.095
MG456493,639,3,9.859,29.325,23.604,21.967,26.498,26.498,30.195,26.979,26.979,27.214,27.214,3a,9.859,3e,21.967
MG456494,639,3,8.451,28.007,21.850,19.807,24.606,24.606,29.058,26.266,26.266,27.141,27.141,3a,8.451,3e,19.807
MG456495,639,3,11.111,29.654,23.923,23.027,26.341,26.341,31.494,27.848,27.848,29.079,29.079,3a,11.111,3e,23.027
MG456496,639,3,10.798,29.654,23.126,22.581,24.763,24.763,30.538,26.741,26.741,28.271,28.271,3a,10.798,3e,22.581
MG456497,639,3,8.294,26.194,19.936,19.485,23.659,23.659,28.734,26.108,26.108,26.979,26.979,3a,8.294,3e,19.485
MG456498,639,3,8.451,27.214,20.701,19.807,23.381,23.381,28.662,25.000,25.000,26.108,26.108,3a,8.451,3e,19.807
MG456499,636,3,9.119,28.666,21.053,19.485,24.525,24.525,29.469,26.540,26.540,26.678,26.678,3a,9.119,3e,19.485
MG456500,639,3,9.077,28.478,22.329,23.510,25.276,25.276,31.006,26.772,26.772,27.814,27.814,3a,9.077,3d,22.329
MG456501,639,3,7.981,27.348,19.298,21.256,23.975,23.975,28.247,26.424,26.424,26.087,26.087,3a,7.981,3d,19.298
MG456502,639,3,10.172,26.030,20.734,21.129,22.871,22.871,28.708,24.842,24.842,26.171,26.171,3a,10.172,3d,20.734
MG456503,639,3,7.668,27.258,21.212,19.936,25.276,25.276,29.708,25.475,25.475,27.625,27.625,3a,7.668,3e,19.936
MG456504,639,3,7.042,28.824,22.488,21.095,23.344,23.344,30.144,26.498,26.498,27.690,27.690,3a,7.042,3e,21.095
MG456505,639,3,9.859,29.325,22.807,22.061,26.856,26.856,30.357,27.532,27.532,27.787,27.787,3a,9.859,3e,22.061
MG456506,639,3,7.668,27.541,21.212,20.451,24.487,24.487,28.180,25.949,25.949,25.563,25.563,3a,7.668,3e,20.451
MG456507,639,3,7.981,28.478,20.574,20.290,23.502,23.502,29.825,24.286,24.286,27.215,27.215,3a,7.981,3e,20.290
MG456508,639,3,6.886,28.381,21.691,20.000,25.394,25.394,28.734,25.512,25.512,26.206,26.206,3a,6.886,3e,20.000
MG456509,639,3,9.077,27.653,20.734,20.451,22.785,22.785,29.665,24.684,24.684,28.165,28.165,3a,9.077,3e,20.451
MG456510,639,3,9.859,28.135,21.053,19.775,23.697,23.697,29.506,25.158,25.158,26.667,26.667,3a,9.859,3e,19.775
MG456511,638,3,10.658,28.986,21.691,21.739,26.266,26.266,29.545,26.375,26.375,28.317,28.317,3a,10.658,3d,21.691
MG456512,639,3,8.607,27.915,22.169,19.807,24.803,24.803,30.357,26.108,26.108,26.570,26.570,3a,8.607,3e,19.807
MG456513,639,3,8.607,27.842,22.169,20.484,23.975,23.975,29.708,25.158,25.158,27.742,27.742,3a,8.607,3e,20.484
MG456514,639,3,7.042,27.915,20.541,19.968,24.013,24.013,29.140,24.525,24.525,25.884,25.884,3a,7.042,3e,19.968
MG456515,638,3,8.307,27.170,22.045,21.129,24.531,24.531,30.407,25.118,25.118,27.258,27.258,3a,8.307,3e,21.129
MG456516,639,3,6.103,28.171,22.329,20.290,23.065,23.065,29.545,25.158,25.158,27.697,27.697,3a,6.103,3e,20.290
MG456517,639,3,9.703,27.677,20.255,20.612,25.316,25.316,28.409,26.741,26.741,26.817,26.817,3a,9.703,3d,20.255
MG456518,639,3,8.451,27.677,22.169,21.256,25.552,25.552,29.383,26.266,26.266,27.464,27.464,3a,8.451,3e,21.256
MG456519,641,3,9.204,27.869,22.893,19.904,25.629,25.629,29.126,26.656,26.656,28.341,28.341,3a,9.204,3e,19.904
MG456520,639,3,10.172,28.079,21.691,22.669,25.475,25.475,29.870,26.266,26.266,27.536,27.536,3a,10.172,3d,21.691
MG456521,639,3,8.920,28.666,22.488,22.061,23.975,23.975,31.006,26.108,26.108,27.697,27.697,3a,8.920,3e,22.061
MG456522,639,3,5.634,26.601,21.338,21.095,24.487,24.487,29.498,25.158,25.158,26.087,26.087,3a,5.634,3e,21.095
MG456523,638,3,7.837,27.303,19.777,18.841,24.257,24.257,27.597,25.943,25.943,27.023,27.023,3a,7.837,3e,18.841
MG456524,639,3,8.294,27.536,20.893,19.485,23.817,23.817,28.708,24.961,24.961,26.349,26.349,3a,8.294,3e,19.485
MG456525,639,3,8.607,29.373,22.169,22.222,23.659,23.659,29.870,26.375,26.375,26.010,26.010,3a,8.607,3d,22.169
MG456526,639,3,8.294,27.138,21.053,18.519,24.803,24.803,28.734,25.908,25.908,26.129,26.129,3a,8.294,3e,18.519
MG456527,639,3,9.703,27.705,22.169,19.324,25.434,25.434,29.027,25.949,25.949,27.448,27.448,3a,9.703,3e,19.324
MG456528,639,3,9.077,28.243,22.222,22.115,25.903,25.903,30.308,26.772,26.772,27.653,27.653,3a,9.077,3d,22.222
MG456529,639,3,8.764,27.183,21.691,20.451,24.132,24.132,28.663,25.949,25.949,27.464,27.464,3a,8.764,3e,20.451
MG456530,639,3,10.798,27.258,20.255,21.095,23.944,23.944,27.911,26.266,26.266,27.375,27.375,3a,10.798,3d,20.255
MG456531,639,3,8.138,27.842,21.531,19.002,24.645,24.645,28.868,25.158,25.158,26.979,26.979,3a,8.138,3e,19.002
MG456532,636,3,10.692,29.630,22.771,21.931,26.066,26.066,30.308,26.224,26.224,28.230,28.230,3a,10.692,3e,21.931
MG456533,639,3,7.199,27.183,20.415,19.516,24.921,24.921,29.221,26.108,26.108,27.697,27.697,3a,7.199,3e,19.516
MG456534,639,3,7.199,27.018,20.255,19.355,24.763,24.763,28.896,25.633,25.633,27.536,27.536,3a,7.199,3e,19.355
MG456535,639,3,8.764,28.171,20.734,19.646,24.290,24.290,29.825,25.316,25.316,26.129,26.129,3a,8.764,3e,19.646
MG456536,639,3,9.546,28.125,22.967,21.256,23.855,23.855,29.221,26.224,26.224,28.180,28.180,3a,9.546,3e,21.256
MG456537,639,3,12.207,24.795,20.382,21.417,23.981,23.981,28.914,24.051,24.051,26.290,26.290,3a,12.207,3d,20.382
MG456538,639,3,10.955,28.180,22.329,20.934,23.539,23.539,31.260,24.803,24.803,27.937,27.937,3a,10.955,3e,20.934
MG456539,638,3,7.837,27.536,20.734,19.807,23.817,23.817,29.825,25.791,25.791,27.027,27.027,3a,7.837,3e,19.807
MG456540,639,3,7.981,28.007,20.415,20.451,24.921,24.921,29.221,25.592,25.592,26.494,26.494,3a,7.981,3d,20.415
MG456541,639,3,8.764,27.512,20.255,21.256,24.606,24.606,29.708,25.633,25.633,26.171,26.171,3a,8.764,3d,20.255
MG456542,639,3,8.138,28.336,21.372,21.417,24.132,24.132,30.357,26.190,26.190,26.817,26.817,3a,8.138,3d,21.372
MG456543,639,3,7.355,27.512,20.893,20.129,22.749,22.749,27.492,23.418,23.418,26.494,26.494,3a,7.355,3e,20.129
MG456544,639,3,9.703,28.180,22.807,21.578,25.237,25.237,30.303,26.266,26.266,27.460,27.460,3a,9.703,3e,21.578
MG456545,639,3,12.833,31.884,24.083,23.833,27.445,27.445,32.376,28.323,28.323,30.952,30.952,3a,12.833,3e,23.833
MG456546,639,3,9.859,28.501,23.482,22.581,25.549,25.549,30.407,26.582,26.582,27.974,27.974,3a,9.859,3e,22.581
MG456547,639,3,24.883,20.645,23.764,24.277,5.634,5.634,29.665,21.169,21.169,24.839,24.839,3g,5.634,3b,20.645
MG456548,639,3,9.546,27.348,20.255,20.451,23.344,23.344,28.409,24.684,24.684,26.979,26.979,3a,9.546,3d,20.255
MG456549,639,3,10.485,29.006,21.850,21.739,26.424,26.424,29.221,28.278,28.278,29.241,29.241,3a,10.485,3d,21.850
MG456550,639,3,12.520,31.137,25.359,22.824,26.656,26.656,31.331,29.384,29.384,29.952,29.952,3a,12.520,3e,22.824
MG456551,638,3,9.091,27.010,21.372,20.451,24.051,24.051,29.027,26.582,26.582,27.892,27.892,3a,9.091,3e,20.451
MG456552,639,3,9.077,28.341,21.691,20.612,23.734,23.734,28.868,25.316,25.316,26.984,26.984,3a,9.077,3e,20.612
MG456553,639,3,8.294,28.523,20.767,20.579,25.392,25.392,28.990,25.592,25.592,27.419,27.419,3a,8.294,3d,20.767
MG456554,639,3,7.981,28.691,20.893,20.328,25.276,25.276,28.780,25.276,25.276,27.581,27.581,3a,7.981,3d,20.893
MG456555,639,3,10.016,27.541,21.406,22.581,23.631,23.631,27.317,25.633,25.633,27.536,27.536,3a,10.016,3d,21.406
MG456556,639,3,12.676,29.264,24.006,24.316,27.769,27.769,31.954,27.804,27.804,29.630,29.630,3a,12.676,3d,24.006
MG456557,639,3,7.825,27.258,22.010,20.451,23.817,23.817,28.734,25.714,25.714,27.619,27.619,3a,7.825,3e,20.451
MG456558,639,3,8.138,27.858,21.691,19.968,23.659,23.659,29.346,26.266,26.266,27.778,27.778,3a,8.138,3e,19.968
MG456559,639,3,9.077,27.094,19.777,20.645,23.539,23.539,28.571,24.525,24.525,25.604,25.604,3a,9.077,3d,19.777
MG456560,638,3,8.150,27.987,22.967,22.419,25.118,25.118,30.519,27.057,27.057,27.581,27.581,3a,8.150,3e,22.419
MG456561,635,3,10.866,26.892,21.565,20.806,24.843,24.843,29.308,25.755,25.755,26.829,26.829,3a,10.866,3e,20.806
MG456562,639,3,10.485,29.654,24.242,21.900,26.856,26.856,30.596,26.899,26.899,28.433,28.433,3a,10.485,3e,21.900
MG456563,639,3,11.111,29.791,23.604,23.671,26.382,26.382,31.419,28.006,28.006,29.524,29.524,3a,11.111,3d,23.604
MG456564,638,3,7.680,29.308,21.815,21.148,25.079,25.079,29.299,25.475,25.475,25.645,25.645,3a,7.680,3e,21.148
MG456565,639,3,8.294,28.571,21.691,19.968,24.171,24.171,30.622,25.791,25.791,27.057,27.057,3a,8.294,3e,19.968
MG456566,639,3,8.138,28.180,20.415,21.417,24.013,24.013,28.230,24.525,24.525,26.424,26.424,3a,8.138,3d,20.415
MG456567,639,3,7.042,27.796,20.415,19.968,23.817,23.817,29.383,24.684,24.684,27.214,27.214,3a,7.042,3e,19.968
MG456568,639,3,9.546,27.858,21.053,19.646,23.344,23.344,28.549,25.397,25.397,27.460,27.460,3a,9.546,3e,19.646
MG456569,639,3,7.668,27.885,21.338,20.033,23.344,23.344,28.822,26.424,26.424,26.892,26.892,3a,7.668,3e,20.033
MG456570,638,3,7.680,26.359,20.893,20.290,23.028,23.028,28.734,24.209,24.209,26.452,26.452,3a,7.680,3e,20.290
PP099889,587,3,10.221,25.835,23.316,20.415,22.109,22.109,28.720,25.308,25.308,25.569,25.569,3a,10.221,3e,20.415
MG983315,465,3,9.462,28.222,21.978,18.462,22.581,22.581,29.654,26.201,26.201,28.352,28.352,3a,9.462,3e,18.462
MG983318,463,3,6.695,28.603,22.907,18.805,22.511,22.511,29.867,27.352,27.352,27.635,27.635,3a,6.695,3e,18.805
MG983323,462,3,7.792,27.231,22.687,19.248,23.478,23.478,29.204,26.258,26.258,27.517,27.517,3a,7.792,3e,19.248
MG983324,461,3,8.460,27.231,22.296,18.805,23.478,23.478,29.425,25.926,25.926,27.107,27.107,3a,8.460,3e,18.805
MG983331,462,3,8.009,26.949,23.841,17.035,21.692,21.692,30.088,26.535,26.535,27.400,27.400,3a,8.009,3e,17.035
MG983332,463,3,7.775,27.617,21.806,19.426,22.343,22.343,30.088,24.726,24.726,27.635,27.635,3a,7.775,3e,19.426
MG983333,464,3,7.974,27.171,21.319,19.079,22.629,22.629,29.890,24.672,24.672,27.166,27.166,3a,7.974,3e,19.079
MG983334,464,3,7.759,27.803,22.418,18.242,23.011,23.011,29.670,26.974,26.974,27.400,27.400,3a,7.759,3e,18.242
MG983335,464,3,8.405,29.425,22.807,18.681,24.569,24.569,30.180,26.201,26.201,29.505,29.505,3a,8.405,3e,18.681
MG983336,464,3,8.405,28.506,22.588,17.802,24.138,24.138,29.730,26.419,26.419,29.054,29.054,3a,8.405,3e,17.802
MG983340,464,3,8.621,27.803,22.198,18.681,23.441,23.441,29.890,26.974,26.974,27.000,27.000,3a,8.621,3e,18.681
MG983357,462,3,9.740,28.222,21.854,18.142,22.126,22.126,28.976,26.096,26.096,28.475,28.475,3a,9.740,3e,18.142
MG983359,463,3,7.127,28.825,22.907,18.805,23.160,23.160,30.088,27.133,27.133,28.009,28.009,3a,7.127,3e,18.805
MG983362,464,3,6.250,28.475,21.319,18.901,23.555,23.555,28.829,27.074,27.074,27.778,27.778,3a,6.250,3e,18.901
MG983389,224,3,9.821,23.894,24.528,20.354,22.566,22.566,25.926,27.679,27.679,27.830,27.830,3a,9.821,3e,20.354
MG983402,463,3,8.207,29.258,22.056,19.700,25.482,25.482,29.501,27.350,27.350,30.044,30.044,3a,8.207,3e,19.700
MG983403,276,3,12.681,26.378,24.706,21.168,26.642,26.642,29.150,25.490,25.490,28.137,28.137,3a,12.681,3e,21.168
MG983412,464,3,7.328,27.174,23.297,17.363,21.674,21.674,29.231,26.201,26.201,27.869,27.869,3a,7.328,3e,17.363
MH119605,639,3,11.424,26.801,22.010,21.383,22.907,22.907,30.357,25.237,25.237,26.892,26.892,3a,11.424,3e,21.383
MH432554,558,3,6.989,27.184,19.850,18.939,23.352,23.352,29.369,24.395,24.395,26.071,26.071,3a,6.989,3e,18.939
MH432555,558,3,6.272,28.137,20.787,18.939,23.540,23.540,29.369,25.853,25.853,26.716,26.716,3a,6.272,3e,18.939
MH432556,557,3,6.643,28.190,20.599,18.182,24.294,24.294,30.521,25.090,25.090,26.580,26.580,3a,6.643,3e,18.182
MH432557,558,3,7.885,29.333,20.974,20.644,25.725,25.725,30.270,26.257,26.257,26.629,26.629,3a,7.885,3e,20.644
MH432558,558,3,6.989,26.857,20.037,18.939,24.528,24.528,29.550,25.853,25.853,25.741,25.741,3a,6.989,3e,18.939
MH432559,558,3,6.631,27.429,20.037,17.992,24.670,24.670,29.369,25.135,25.135,25.788,25.788,3a,6.631,3e,17.992
MH432560,558,3,6.989,27.619,19.663,20.076,22.932,22.932,29.107,25.673,25.673,26.257,26.257,3a,6.989,3d,19.663
MH432561,558,3,7.706,27.656,20.412,20.000,23.370,23.370,29.189,25.135,25.135,25.269,25.269,3a,7.706,3e,20.000
MH432562,558,3,7.527,26.996,19.288,19.811,23.352,23.352,28.829,25.182,25.182,26.071,26.071,3a,7.527,3d,19.288
MH432563,558,3,6.810,27.379,20.787,19.318,22.932,22.932,28.108,25.494,25.494,26.816,26.816,3a,6.810,3e,19.318
MH432564,558,3,6.810,28.155,19.101,18.182,24.105,24.105,30.090,25.314,25.314,26.531,26.531,3a,6.810,3e,18.182
MH432565,558,3,7.885,27.238,20.787,17.803,24.294,24.294,29.730,25.853,25.853,26.345,26.345,3a,7.885,3e,17.803
MH432566,558,3,6.272,27.429,21.161,19.508,24.060,24.060,28.468,24.811,24.811,26.071,26.071,3a,6.272,3e,19.508
MH432567,558,3,7.168,27.619,19.850,18.750,24.105,24.105,29.910,24.955,24.955,25.788,25.788,3a,7.168,3e,18.750
MH432568,558,3,9.498,27.656,21.942,20.219,25.678,25.678,28.755,25.269,25.269,27.469,27.469,3a,9.498,3e,20.219
MH432569,558,3,6.989,26.908,19.663,19.129,24.105,24.105,29.910,25.581,25.581,25.232,25.232,3a,6.989,3e,19.129
MH432570,558,3,6.989,26.908,20.974,19.508,23.729,23.729,29.189,25.627,25.627,26.580,26.580,3a,6.989,3e,19.508
MH432571,558,3,8.244,26.908,21.910,21.402,23.872,23.872,28.468,25.314,25.314,26.629,26.629,3a,8.244,3e,21.402
MH432572,558,3,6.989,27.238,20.599,19.129,24.670,24.670,29.910,24.908,24.908,26.345,26.345,3a,6.989,3e,19.129
MH432573,558,3,5.018,27.429,20.974,18.561,22.368,22.368,29.550,23.792,23.792,26.257,26.257,3a,5.018,3e,18.561
MH432574,558,3,8.781,28.381,20.896,20.943,23.019,23.019,29.550,25.494,25.494,27.644,27.644,3a,8.781,3d,20.896
MH432575,558,3,9.319,28.083,21.388,19.697,23.933,23.933,28.700,26.571,26.571,27.374,27.374,3a,9.319,3e,19.697
MH432576,558,3,6.631,27.238,20.412,20.455,24.105,24.105,30.631,24.859,24.859,25.974,25.974,3a,6.631,3d,20.412
MH432577,558,3,7.885,28.000,20.225,17.614,24.482,24.482,29.550,25.458,25.458,26.345,26.345,3a,7.885,3e,17.614
MH432578,558,3,7.527,27.573,20.599,18.561,24.190,24.190,29.908,25.314,25.314,26.160,26.160,3a,7.527,3e,18.561
MH432579,558,3,9.857,27.238,20.225,19.545,24.482,24.482,27.748,24.955,24.955,27.188,27.188,3a,9.857,3e,19.545
MH432580,558,3,7.706,27.429,20.787,20.076,23.308,23.308,29.730,25.853,25.853,26.443,26.443,3a,7.706,3e,20.076
MH432581,557,3,7.361,28.000,19.663,17.235,25.047,25.047,30.270,25.448,25.448,26.022,26.022,3a,7.361,3e,17.235
MH432582,558,3,8.244,27.238,21.951,20.455,22.905,22.905,28.801,26.212,26.212,27.188,27.188,3a,8.244,3e,20.455
MH432583,558,3,6.452,29.524,19.101,19.508,24.060,24.060,29.550,24.373,24.373,25.140,25.140,3a,6.452,3d,19.101
MH432584,558,3,8.244,27.429,20.787,19.697,24.151,24.151,30.090,25.673,25.673,25.974,25.974,3a,8.244,3e,19.697
MH432585,558,3,7.527,27.429,21.682,19.508,22.556,22.556,28.237,25.853,25.853,26.071,26.071,3a,7.527,3e,19.508
MH432586,558,3,8.065,27.238,20.225,19.508,24.482,24.482,29.730,24.955,24.955,25.788,25.788,3a,8.065,3e,19.508
MH432587,558,3,6.989,27.238,20.412,18.561,23.729,23.729,30.450,25.314,25.314,25.603,25.603,3a,6.989,3e,18.561
MH432588,558,3,7.885,28.755,21.802,20.036,24.457,24.457,29.369,26.165,26.165,26.773,26.773,3a,7.885,3e,20.036
MH432589,558,3,7.348,26.616,20.974,18.939,23.917,23.917,30.270,25.673,25.673,26.716,26.716,3a,7.348,3e,18.939
MH432590,558,3,8.244,26.857,20.974,21.023,23.729,23.729,29.730,24.955,24.955,26.816,26.816,3a,8.244,3d,20.974
MH432591,558,3,7.527,26.476,20.787,20.833,23.308,23.308,29.369,24.955,24.955,25.885,25.885,3a,7.527,3d,20.787
MH432592,558,3,7.348,27.573,20.037,20.644,24.060,24.060,30.270,25.520,25.520,26.443,26.443,3a,7.348,3d,20.037
MH432593,558,3,8.244,26.857,21.161,19.886,22.222,22.222,27.500,23.774,23.774,27.374,27.374,3a,8.244,3e,19.886
MH432594,558,3,7.885,26.857,21.910,20.833,23.917,23.917,29.189,25.494,25.494,25.885,25.885,3a,7.885,3e,20.833
MH432595,558,3,8.781,27.713,22.097,21.773,24.627,24.627,29.259,25.577,25.577,28.113,28.113,3a,8.781,3e,21.773
MH432596,558,3,9.140,26.476,21.161,20.076,23.308,23.308,29.107,25.314,25.314,26.443,26.443,3a,9.140,3e,20.076
MH432597,558,3,6.989,28.190,20.974,20.833,23.917,23.917,30.270,26.629,26.629,27.087,27.087,3a,6.989,3d,20.974
MH432598,558,3,9.498,27.523,22.836,20.620,23.870,23.870,29.369,24.910,24.910,27.957,27.957,3a,9.498,3e,20.620
MH432599,558,3,7.168,26.476,20.787,18.939,23.308,23.308,29.009,25.326,25.326,26.816,26.816,3a,7.168,3e,18.939
MH432600,558,3,7.885,26.602,21.161,20.455,23.496,23.496,30.270,25.947,25.947,27.561,27.561,3a,7.885,3e,20.455
MH432601,558,3,8.781,27.810,21.161,20.265,22.932,22.932,29.550,25.269,25.269,26.345,26.345,3a,8.781,3e,20.265
MH432602,558,3,7.527,27.619,20.037,17.580,23.962,23.962,29.730,25.135,25.135,25.603,25.603,3a,7.527,3e,17.580
MH432603,558,3,7.885,27.429,20.000,18.561,24.859,24.859,29.676,25.135,25.135,25.603,25.603,3a,7.885,3e,18.561
MH432604,558,3,8.065,26.779,20.404,19.926,24.094,24.094,30.036,25.698,25.698,24.861,24.861,3a,8.065,3e,19.926
MH432605,558,3,6.989,27.429,20.037,18.371,23.917,23.917,29.550,25.494,25.494,26.160,26.160,3a,6.989,3e,18.371
MH432606,558,3,7.168,28.022,22.703,20.073,23.327,23.327,29.369,24.776,24.776,27.240,27.240,3a,7.168,3e,20.073
MH432607,558,3,6.989,26.476,19.850,20.455,23.729,23.729,30.270,25.189,25.189,25.974,25.974,3a,6.989,3d,19.850
MH432608,558,3,9.319,26.667,22.097,19.508,23.872,23.872,28.750,26.391,26.391,27.188,27.188,3a,9.319,3e,19.508
MH432609,558,3,7.706,27.238,21.910,20.227,23.540,23.540,29.369,25.853,25.853,27.374,27.374,3a,7.706,3e,20.227
MH432610,558,3,7.168,27.619,19.065,18.561,24.859,24.859,28.957,25.853,25.853,25.788,25.788,3a,7.168,3e,18.561
MH432611,558,3,9.140,27.810,22.097,20.455,23.120,23.120,30.090,26.212,26.212,26.716,26.716,3a,9.140,3e,20.455
MH432612,558,3,5.914,26.616,19.101,20.455,24.482,24.482,28.288,24.395,24.395,25.417,25.417,3a,5.914,3d,19.101
MH432613,558,3,7.348,28.571,20.412,19.508,23.352,23.352,29.317,24.731,24.731,25.232,25.232,3a,7.348,3e,19.508
MH432614,558,3,6.272,27.048,19.288,18.904,23.352,23.352,29.189,24.906,24.906,26.531,26.531,3a,6.272,3d,19.288
MH432615,558,3,7.168,27.238,20.787,20.644,24.105,24.105,30.090,24.811,24.811,25.974,25.974,3a,7.168,3d,20.787
MH432616,558,3,7.168,26.667,21.348,20.455,22.180,22.180,28.649,25.494,25.494,27.002,27.002,3a,7.168,3e,20.455
MH432617,558,3,6.989,27.810,20.037,17.614,23.308,23.308,29.910,25.314,25.314,25.417,25.417,3a,6.989,3e,17.614
MH432618,558,3,9.140,27.048,20.787,22.222,23.684,23.684,28.649,24.776,24.776,27.374,27.374,3a,9.140,3d,20.787
MH432619,558,3,6.272,27.839,22.703,19.526,22.966,22.966,28.829,24.955,24.955,25.893,25.893,3a,6.272,3e,19.526
MH432620,558,3,7.706,27.048,21.161,19.318,24.906,24.906,29.550,25.853,25.853,27.561,27.561,3a,7.706,3e,19.318
MH432621,558,3,7.706,27.429,21.308,20.265,23.872,23.872,29.856,25.314,25.314,27.188,27.188,3a,7.706,3e,20.265
MH432622,558,3,9.319,28.952,20.935,20.455,23.917,23.917,29.496,25.853,25.853,26.071,26.071,3a,9.319,3e,20.455
MH432623,558,3,9.140,26.286,20.599,19.697,23.120,23.120,29.009,25.135,25.135,27.188,27.188,3a,9.140,3e,19.697
MH432624,558,3,6.631,28.571,21.161,19.886,24.060,24.060,30.090,25.494,25.494,25.326,25.326,3a,6.631,3e,19.886
MH432625,558,3,6.452,27.810,20.412,18.182,24.482,24.482,29.910,25.314,25.314,25.974,25.974,3a,6.452,3e,18.182
MH432626,558,3,7.527,28.571,20.225,19.734,23.729,23.729,28.829,25.946,25.946,26.345,26.345,3a,7.527,3e,19.734
MH432627,558,3,7.527,27.810,20.412,18.182,24.294,24.294,30.450,25.230,25.230,26.716,26.716,3a,7.527,3e,18.182
MH432628,558,3,6.272,28.381,20.974,19.886,22.932,22.932,29.189,25.853,25.853,25.603,25.603,3a,6.272,3e,19.886
MH432629,558,3,6.272,26.667,19.288,18.371,23.208,23.208,29.730,24.953,24.953,25.788,25.788,3a,6.272,3e,18.371
