Accession,PerGeneGenotype,PerGeneSubtype,FullGenomeGenotype,FullGenomeSubtype,CometPerGeneGenotype,CometPerGeneSubtype,CometFullGenomeGenotype,CometFullGenomeSubtype,GenBankGenotype,GenBankSubtype
MK438515,6,6xf,6,6xf,6,6f,6,6f,6,6xf
MK438516,6,6p,6,6p,6,6p,6,6p,6,6p
MK438517,6,6r,6,6r,6,6r,6,6r,6,6r
MK438518,6,6e,6,6e,6,6e,6,6e,6,6e
MK438519,8,8a,8,8a,6,6q,6,6q,6,6q
MK438520,6,6e,6,6e,6,6e,6,6e,6,6e
MK438521,6,6p,6,6p,6,6p,6,6p,6,6p
MK438522,3,3d,3,3d,6,6q,6,6q,6,6q
MK438523,6,6r,6,6r,6,6r,6,6r,6,6r
MK438524,6,6xc,6,6xc,6,6e,6,6e,6,
MK438525,6,6e,6,6e,6,6e,6,6e,6,6e
MK438526,6,6e,6,6e,6,6e,6,6e,6,6e
MK438527,6,6s,6,6s,6,6s,6,6s,6,6s
MK438528,6,6p,6,6p,6,6p,6,6p,6,6p
MK438529,6,6e,6,6e,6,6e,6,6e,6,6e
MK438530,1,1a,1,1a,6,6s,6,6s,6,6s
MK438531,6,6r,6,6r,6,6r,6,6r,6,6r
MK438532,6,6r,6,6r,6,6r,6,6r,6,6r
MK438533,6,6r,6,6r,6,6r,6,6r,6,6r
MK438534,6,6e,6,6e,6,6e,6,6e,6,6e
MK438535,6,6e,6,6e,6,6e,6,6e,6,6e
MK438536,6,6r,6,6r,6,6r,6,6r,6,6r
MK438537,6,6r,6,6r,6,6r,6,6r,6,6r
MK438538,6,6e,6,6e,6,6e,6,6e,6,6e
MK438539,6,6r,6,6r,6,6r,6,6r,6,6r
MK438540,6,6e,6,6e,6,6e,6,6e,6,6e
MK438541,1,1a,1,1a,6,6s,6,6s,6,6s
MK438542,6,6r,6,6r,6,6r,6,6r,6,6r
MK438543,6,6e,6,6e,6,6e,6,6e,6,6e
MK438544,8,8a,8,8a,6,6q,6,6q,6,6q
MK438545,6,6r,6,6r,6,6r,6,6r,6,6r
MK438546,6,6e,6,6e,6,6e,6,6e,6,6e
MK438547,8,8a,8,8a,6,6q,6,6q,6,6q
MK438548,6,6a,6,6a,6,6a,6,6a,6,6a
MK438549,8,8a,8,8a,6,6e,6,6e,6,6e
MK438550,6,6r,6,6r,6,6r,6,6r,6,6r
MK438551,6,6e,6,6e,6,6e,6,6e,6,6e
MK438552,8,8a,8,8a,6,6q,6,6q,6,6q
MK438553,6,6r,6,6r,6,6r,6,6r,6,6r
MK438554,6,6e,6,6e,6,6e,6,6e,6,6e
MK438555,6,6e,6,6e,6,6e,6,6e,6,6e
MK438556,6,6e,6,6e,6,6e,6,6e,6,6e
MK438557,6,6xc,6,6xc,6,6e,6,6e,6,
MK438558,6,6e,6,6e,6,6e,6,6e,6,6e
MK438559,3,3d,3,3d,6,6q,6,6q,6,6q
MK438560,6,6e,6,6e,6,6e,6,6e,6,6e
MK438561,6,6e,6,6e,6,6e,6,6e,6,6e
MK438562,6,6xf,6,6xf,6,6e,6,6e,6,6xf
MK438563,6,6s,6,6s,6,6s,6,6s,6,6s
MK438564,6,6a,6,6a,6,6a,6,6a,6,6a
MK438565,6,6r,6,6r,6,6r,6,6r,6,6r
MK438566,6,6e,6,6e,6,6e,6,6e,6,6e
MK438567,6,6r,6,6r,6,6r,6,6r,6,6r
MK438568,6,6e,6,6e,6,6e,6,6e,6,6e
MK438569,6,6p,6,6p,6,6p,6,6p,6,6p
MK438570,6,6e,6,6e,6,6e,6,6e,6,6e
MK438571,6,6e,6,6e,6,6e,6,6e,6,6e
MK438572,6,6e,6,6e,6,6e,6,6e,6,6e
MK438573,8,8a,8,8a,6,6q,6,6q,6,6q
MK438574,6,6r,6,6r,6,6r,6,6r,6,6r
MK438575,6,6r,6,6r,6,6r,6,6r,6,6r
MK438576,6,6e,6,6e,6,6e,6,6e,6,6e
MK438577,6,6r,6,6r,6,6r,6,6r,6,6r
MK438578,6,6r,6,6r,6,6r,6,6r,6,6r
MK438579,6,6r,6,6r,6,6r,6,6r,6,6r
MK438580,6,6a,6,6a,6,6a,6,6a,6,6a
MK438581,6,6e,6,6e,6,6e,6,6e,6,6e
MK438582,6,6e,6,6e,6,6e,6,6e,6,6e
MK438583,6,6e,6,6e,6,6e,6,6e,6,6e
MK438584,8,8a,8,8a,6,6q,6,6q,6,6q
MK438585,8,8a,8,8a,6,6q,6,6q,6,6q
MK438586,1,1a,1,1a,6,6s,6,6s,6,6s
MK438587,6,6p,6,6p,6,6p,6,6p,6,6p
MK438588,6,6e,6,6e,6,6e,6,6e,6,6e
MK438589,6,6e,6,6e,6,6e,6,6e,6,6e
MK438590,6,6r,6,6r,6,6r,6,6r,6,6r
MK438591,6,6p,6,6p,6,6p,6,6p,6,6p
MK438592,6,6e,6,6e,6,6e,6,6e,6,6e
MK438593,6,6e,6,6e,6,6e,6,6e,6,6e
MK438594,6,6e,6,6e,6,6e,6,6e,6,6e
MK438595,1,1a,1,1a,6,6s,6,6s,6,6s
MK438596,6,6s,6,6s,6,6s,6,6s,6,6s
MK438597,6,6e,6,6e,6,6e,6,6e,6,6e
MK438598,6,6p,6,6p,6,6p,6,6p,6,6p
MK438599,6,6xf,6,6xf,6,6e,6,6e,6,6xf
MK438600,6,6p,6,6p,6,6p,6,6p,6,6p
MK438601,6,6e,6,6e,6,6e,6,6e,6,6e
MK438602,6,6s,6,6s,6,6s,6,6s,6,6s
MK438603,6,6r,6,6r,6,6r,6,6r,6,6r
MK438604,6,6r,6,6r,6,6r,6,6r,6,6r
MK438605,6,6q,6,6q,6,6q,6,6q,6,6q
MK438606,6,6e,6,6e,6,6e,6,6e,6,6e
MK438607,6,6e,6,6e,6,6e,6,6e,6,6e
MK438608,6,6e,6,6e,6,6e,6,6e,6,6e
MK438609,6,6r,6,6r,6,6r,6,6r,6,6r
MK438610,6,6e,6,6e,6,6e,6,6e,6,6e
MK438611,6,6e,6,6e,6,6e,6,6e,6,6e
MK438612,6,6e,6,6e,6,6e,6,6e,6,6e
MK438613,6,6p,6,6p,6,6p,6,6p,6,6p
MK438615,6,6p,6,6p,6,6p,6,6p,6,6p
MK438616,6,6r,6,6r,6,6r,6,6r,6,6r
MK438617,6,6e,6,6e,6,6e,6,6e,6,6e
MK438618,6,6e,6,6e,6,6e,6,6e,6,6e
MK438619,6,6e,6,6e,6,6e,6,6e,6,6e
MK438620,8,8a,8,8a,6,6e,6,6e,6,6e
MK438621,6,6e,6,6e,6,6e,6,6e,6,6e
MK438622,6,6e,6,6e,6,6e,6,6e,6,6e
MK438623,6,6e,6,6e,6,6e,6,6e,6,6e
MK438624,6,6r,6,6r,6,6r,6,6r,6,6r
MK438625,6,6e,6,6e,6,6e,6,6e,6,6e
MK438626,7,7a,7,7a,6,6e,6,6e,6,6e
MK438627,6,6e,6,6e,6,6e,6,6e,6,6e
MK438628,8,8a,8,8a,6,6q,6,6q,6,6q
MK438629,6,6r,6,6r,6,6r,6,6r,6,6r
MK438630,6,6xc,6,6xc,6,6e,6,6e,6,
MK438631,8,8a,8,8a,6,6r,6,6r,6,6r
MK438632,6,6r,6,6r,6,6r,6,6r,6,6r
MK438633,6,6p,6,6p,6,6p,6,6p,6,6p
MK438634,6,6e,6,6e,6,6e,6,6e,6,6e
MK438635,6,6e,6,6e,6,6e,6,6e,6,6e
MK438636,8,8a,8,8a,6,6q,6,6q,6,6q
MK438637,6,6r,6,6r,6,6r,6,6r,6,6r
MK438638,6,6r,6,6r,6,6r,6,6r,6,6r
MK438639,6,6e,6,6e,6,6e,6,6e,6,6e
MK438640,6,6e,6,6e,6,6e,6,6e,6,6e
MK438641,6,6r,6,6r,6,6r,6,6r,6,6r
MK438642,6,6p,6,6p,6,6p,6,6p,6,6p
MK438643,6,6r,6,6r,6,6r,6,6r,6,6r
MK438644,6,6e,6,6e,6,6e,6,6e,6,6e
MK438645,6,6xc,6,6xc,6,6e,6,6e,6,
MK438646,6,6e,6,6e,6,6e,6,6e,6,6e
MK438647,6,6r,6,6r,6,6r,6,6r,6,6r
MK438648,6,6e,6,6e,6,6e,6,6e,6,6e
MK438649,6,6p,6,6p,6,6e,6,6w,6,
MK438650,6,6a,6,6a,6,6a,6,6a,6,6a
MK438651,6,6e,6,6e,6,6e,6,6e,6,6e
MK438652,6,6e,6,6e,6,6e,6,6e,6,6e
MK438653,8,8a,8,8a,6,6q,6,6q,6,6q
MK438654,6,6e,6,6e,6,6e,6,6e,6,6e
MK438655,6,6e,6,6e,6,6e,6,6e,6,6e
MK438656,6,6e,6,6e,6,6e,6,6e,6,6e
MK438657,8,8a,8,8a,6,6e,6,6e,6,6e
MK438658,6,6r,6,6r,6,6r,6,6r,6,6r
MK438659,6,6r,6,6r,6,6r,6,6r,6,6r
MK438660,6,6e,6,6e,6,6e,6,6e,6,6e
MK438661,6,6e,6,6e,6,6e,6,6e,6,6e
MK438662,6,6e,6,6e,6,6e,6,6e,6,6e
MK438663,6,6p,6,6p,6,6p,6,6p,6,6p
MK438664,6,6r,6,6r,6,6r,6,6r,6,6r
MK438665,6,6e,6,6e,6,6e,6,6e,6,6e
MK438666,6,6r,6,6r,6,6r,6,6r,6,6r
MK438667,6,6r,6,6r,6,6r,6,6r,6,6r
MK438668,6,6a,6,6a,6,6a,6,6a,6,6a
MK438669,6,6r,6,6r,6,6r,6,6r,6,6r
MK438670,6,6e,6,6e,6,6e,6,6e,6,6e
MK438671,6,6e,6,6e,6,6e,6,6e,6,6e
MK438672,6,6e,6,6e,6,6e,6,6e,6,6e
MK438673,6,6xc,6,6xc,6,6e,6,6e,6,
MK438674,6,6r,6,6r,6,6r,6,6r,6,6r
MK438675,6,6e,6,6e,6,6e,6,6e,6,6e
MK438676,6,6e,6,6e,6,6e,6,6e,6,6e
MK438677,6,6e,6,6e,6,6e,6,6e,6,6e
MK438678,6,6e,6,6e,6,6e,6,6e,6,6e
MK438679,6,6r,6,6r,6,6r,6,6r,6,6r
MK438680,6,6e,6,6e,6,6e,6,6e,6,6e
MK438681,6,6e,6,6e,6,6e,6,6e,6,6e
MK438682,6,6a,6,6a,6,6a,6,6a,6,6a
MK438683,6,6o,6,6o,6,6o,6,6o,6,6o
MK438684,6,6e,6,6e,6,6e,6,6e,6,6e
MK438685,6,6e,6,6e,6,6e,6,6e,6,6e
MK438686,6,6r,6,6r,6,6r,6,6r,6,6r
MK438687,6,6a,6,6a,6,6a,6,6a,6,6a
MK438688,6,6r,6,6r,6,6r,6,6r,6,6r
MK438689,6,6e,6,6e,6,6e,6,6e,6,6e
MK438690,6,6l,6,6l,6,6l,6,6l,6,6l
MK438691,6,6e,6,6e,6,6e,6,6e,6,6e
MK438692,6,6e,6,6e,6,6e,6,6e,6,6e
MK438693,6,6e,6,6e,6,6e,6,6e,6,6e
MK438694,6,6e,6,6e,6,6e,6,6e,6,6e
MK438695,6,6e,6,6e,6,6e,6,6e,6,6e
MK438696,6,6e,6,6e,6,6e,6,6e,6,6e
MK438697,6,6xc,6,6xc,6,6e,6,6e,6,
MK438698,6,6e,6,6e,6,6e,6,6e,6,6e
MK438699,6,6e,6,6e,6,6e,6,6e,6,6e
MK438700,8,8a,8,8a,6,6q,6,6q,6,6q
MK438701,6,6r,6,6r,6,6r,6,6r,6,6r
MK438702,6,6e,6,6e,6,6e,6,6e,6,6e
MK438703,6,6xf,6,6xf,6,6e,6,6e,6,6xf
MK438704,6,6e,6,6e,6,6e,6,6e,6,6e
MK438705,6,6a,6,6a,6,6a,6,6a,6,6a
MK438706,3,3e,3,3e,6,6q,6,6q,6,6q
MK438707,6,6p,6,6p,6,6e,6,6e,6,
MK438708,6,6e,6,6e,6,6e,6,6e,6,6e
MK438709,6,6e,6,6e,6,6e,6,6e,6,6e
MK438710,6,6r,6,6r,6,6r,6,6r,6,6r
MK438711,6,6r,6,6r,6,6r,6,6r,6,6r
MK438712,6,6r,6,6r,6,6r,6,6r,6,6r
MK438713,3,3d,3,3d,6,6q,6,6q,6,6q
MK438714,6,6e,6,6e,6,6e,6,6e,6,6e
MK438715,6,6r,6,6r,6,6r,6,6r,6,6r
MK438716,6,6e,6,6e,6,6e,6,6e,6,6e
MK438717,6,6e,6,6e,6,6e,6,6e,6,6e
MK438718,6,6r,6,6r,6,6r,6,6r,6,6r
MK438719,6,6e,6,6e,6,6e,6,6e,6,6e
MK438720,6,6e,6,6e,6,6e,6,6e,6,6e
MK438721,6,6r,6,6r,6,6r,6,6r,6,6r
MK438722,6,6xc,6,6xc,6,6e,6,6e,6,
MK438723,8,8a,8,8a,6,6r,6,6r,6,6r
MK438724,8,8a,8,8a,6,6q,6,6q,6,6q
MK438725,6,6a,6,6a,6,6a,6,6a,6,6a
MK438726,6,6xc,6,6xc,6,6e,6,6e,6,
MK438727,6,6xc,6,6xc,6,6e,6,6e,6,
MK438728,6,6e,6,6e,6,6e,6,6e,6,6e
MK438729,6,6l,6,6l,6,6l,6,6l,6,6l
MK438730,6,6e,6,6e,6,6e,6,6e,6,6e
MK438731,1,1a,1,1a,6,6s,6,6s,6,6s
MK438732,6,6a,6,6a,6,6a,6,6a,6,6a
MK438733,6,6e,6,6e,6,6e,6,6e,6,6e
MK438734,6,6e,6,6e,6,6e,6,6e,6,6e
MK438735,6,6e,6,6e,6,6e,6,6e,6,6e
MK438736,6,6xc,6,6xc,6,6e,6,6e,6,
MK438737,6,6r,6,6r,6,6r,6,6r,6,6r
MK438738,6,6e,6,6e,6,6e,6,6e,6,6e
MK438739,6,6r,6,6r,6,6r,6,6r,6,6r
MK438740,8,8a,8,8a,6,6e,6,6e,6,6e
MK438741,6,6a,6,6a,6,6a,6,6a,6,6a
MK438742,6,6r,6,6r,6,6r,6,6r,6,6r
MK438743,6,6r,6,6r,6,6r,6,6r,6,6r
MK438744,6,6e,6,6e,6,6e,6,6e,6,6e
MK438745,6,6r,6,6r,6,6r,6,6r,6,6r
MK438746,6,6xc,6,6xc,6,6e,6,6e,6,
MK438747,6,6r,6,6r,6,6r,6,6r,6,6r
MK438748,6,6r,6,6r,6,6r,6,6r,6,6r
MK438749,6,6r,6,6r,6,6r,6,6r,6,6r
MK438750,1,1n,1,1n,6,6l,6,6l,6,6xb
MK438751,1,1a,1,1a,6,6s,6,6s,6,6s
MK438752,6,6e,6,6e,6,6e,6,6e,6,6e
MK438753,6,6e,6,6e,6,6e,6,6e,6,6e
MK438754,6,6e,6,6e,6,6e,6,6e,6,6e
MK438755,6,6e,6,6e,6,6e,6,6e,6,6e
MK438756,6,6e,6,6e,6,6e,6,6e,6,6e
MK438757,6,6r,6,6r,6,6r,6,6r,6,6r
MK438758,6,6xf,6,6xf,6,6e,6,6e,6,6xf
MK438759,6,6r,6,6r,6,6r,6,6r,6,6r
MK438760,8,8a,8,8a,6,6q,6,6q,6,6q
MK438761,6,6r,6,6r,6,6r,6,6r,6,6r
MK438762,6,6e,6,6e,6,6e,6,6e,6,6e
MK438763,6,6e,6,6e,6,6e,6,6e,6,6e
MK438764,6,6r,6,6r,6,6r,6,6r,6,6r
MK438765,6,6e,6,6e,6,6e,6,6e,6,6e
MK438766,6,6p,6,6p,6,6p,6,6p,6,6p
MK438767,6,6a,6,6a,6,6a,6,6a,6,6a
MK438768,6,6r,6,6r,6,6r,6,6r,6,6r
MK438769,6,6e,6,6e,6,6e,6,6e,6,6e
MK438770,8,8a,8,8a,6,6p,6,6p,6,6p
MK438771,6,6e,6,6e,6,6e,6,6e,6,6e
MK438772,8,8a,8,8a,6,6q,6,6q,6,6q
MK438773,1,1e,1,1e,6,6s,6,6s,6,6s
MK438774,6,6e,6,6e,6,6e,6,6e,6,6e
MK438775,6,6e,6,6e,6,6e,6,6e,6,6e
MK438776,6,6e,6,6e,6,6e,6,6e,6,6e
MK438777,6,6r,6,6r,6,6r,6,6r,6,6r
MK438778,6,6e,6,6e,6,6e,6,6e,6,6e
MK438779,6,6r,6,6r,6,6r,6,6r,6,6r
MK438780,6,6e,6,6e,6,6e,6,6e,6,6e
MK438781,6,6e,6,6e,6,6e,6,6e,6,6e
MK438782,6,6r,6,6r,6,6r,6,6r,6,6r
MK438783,6,6r,6,6r,6,6r,6,6r,6,6r
MK438784,8,8a,8,8a,6,6q,6,6q,6,6q
MK438785,6,6o,6,6o,6,6o,6,6o,6,6o
MK438786,6,6r,6,6r,6,6r,6,6r,6,6r
MK438787,1,1e,1,1e,6,6r,6,6r,6,6r
MK438788,6,6e,6,6e,6,6e,6,6e,6,6e
MK438789,6,6r,6,6r,6,6r,6,6r,6,6r
MK438790,8,8a,8,8a,6,6q,6,6q,6,6q
MK438791,1,1a,1,1a,6,6s,6,6s,6,6s
MK438792,6,6e,6,6e,6,6e,6,6e,6,6e
MK438793,6,6r,6,6r,6,6r,6,6r,6,6r
MK438794,6,6e,6,6e,6,6e,6,6e,6,6e
MK438795,6,6e,6,6e,6,6e,6,6e,6,6e
MK438796,6,6e,6,6e,6,6e,6,6e,6,6e
MK438797,6,6e,6,6e,6,6e,6,6e,6,6e
MK438798,6,6e,6,6e,6,6e,6,6e,6,6e
MK438799,6,6e,6,6e,6,6e,6,6e,6,6e
MK438800,6,6e,6,6e,6,6e,6,6e,6,6e
MK438801,6,6r,6,6r,6,6r,6,6r,6,6r
MK438802,6,6q,6,6q,6,6q,6,6q,6,6q
MK438803,8,8a,8,8a,6,6e,6,6e,6,6e
MK438804,8,8a,8,8a,6,6q,6,6q,6,6q
MK438805,6,6e,6,6e,6,6e,6,6e,6,6e
MK438806,6,6a,6,6a,6,6a,6,6a,6,6a
MK438807,6,6e,6,6e,6,6e,6,6e,6,6e
MK438808,6,6e,6,6e,6,6e,6,6e,6,6e
MK438809,6,6e,6,6e,6,6e,6,6e,6,6e
MK438810,1,1e,1,1e,6,6r,6,6r,6,6r
MK438811,6,6r,6,6r,6,6r,6,6r,6,6r
MK438812,6,6e,6,6e,6,6e,6,6e,6,6e
MK438813,6,6r,6,6r,6,6r,6,6r,6,6r
MK438814,6,6e,6,6e,6,6e,6,6e,6,6e
MK438815,6,6e,6,6e,6,6e,6,6e,6,6e
MK438816,6,6e,6,6e,6,6e,6,6e,6,6e
MK438817,6,6r,6,6r,6,6r,6,6r,6,6r
MK438818,6,6e,6,6e,6,6e,6,6e,6,6e
MK438819,6,6a,6,6a,6,6a,6,6a,6,6a
MK438820,6,6e,6,6e,6,6e,6,6e,6,6e
MK438821,6,6e,6,6e,6,6e,6,6e,6,6e
MK438822,6,6r,6,6r,6,6r,6,6r,6,6r
MK438823,6,6q,6,6q,6,6q,6,6q,6,6q
MK438824,6,6r,6,6r,6,6r,6,6r,6,6r
MK438825,6,6p,6,6p,6,6p,6,6p,6,6p
MK438826,6,6e,6,6e,6,6e,6,6e,6,6e
MK438827,6,6e,6,6e,6,6e,6,6e,6,6e
MK438828,6,6a,6,6a,6,6a,6,6a,6,6a
MK438829,6,6e,6,6e,6,6e,6,6e,6,6e
MK438830,6,6e,6,6e,6,6e,6,6e,6,6e
MK438831,6,6xf,6,6xf,6,6l,6,6l,6,6xf
MK438832,1,1a,1,1a,6,6s,6,6s,6,6s
MK438833,6,6xf,6,6xf,6,6w,6,6w,6,6xf
MK438834,6,6e,6,6e,6,6e,6,6e,6,6e
MK438835,6,6xf,6,6xf,6,6w,6,6w,6,6xf
MK438836,6,6r,6,6r,6,6r,6,6r,6,6r
MK438837,6,6p,6,6p,6,6p,6,6p,6,6p
MK438838,6,6e,6,6e,6,6e,6,6e,6,6e
MK438839,6,6r,6,6r,6,6r,6,6r,6,6r
MK438840,1,1d,1,1d,6,6o,6,6o,6,6o
MK438841,6,6e,6,6e,6,6e,6,6e,6,6e
MK438842,6,6e,6,6e,6,6e,6,6e,6,6e
MK438843,6,6e,6,6e,6,6e,6,6e,6,6e
MK438844,8,8a,8,8a,6,6q,6,6q,6,6q
MK438845,6,6e,6,6e,6,6e,6,6e,6,6e
MK438846,6,6r,6,6r,6,6r,6,6r,6,6r
MK438847,6,6e,6,6e,6,6e,6,6e,6,6e
MK438848,8,8a,8,8a,6,6q,6,6q,6,6q
MK438849,6,6xf,6,6xf,6,6w,6,6w,6,6xf
MK438850,6,6p,6,6p,6,6e,6,6e,6,
MK438851,6,6r,6,6r,6,6r,6,6r,6,6r
MK438852,8,8a,8,8a,6,6e,6,6e,6,6e
MK438853,7,7a,7,7a,6,6e,6,6e,6,6e
MK438854,6,6e,6,6e,6,6e,6,6e,6,6e
MK438855,6,6p,6,6p,6,6p,6,6p,6,6p
MK438856,6,6r,6,6r,6,6r,6,6r,6,6r
MK438857,3,3k,3,3k,6,6r,6,6r,6,6r
MK438858,6,6r,6,6r,6,6r,6,6r,6,6r
MK438859,6,6e,6,6e,6,6e,6,6e,6,6e
MK438860,6,6a,6,6a,6,6a,6,6a,6,6a
MK438861,6,6a,6,6a,6,6a,6,6a,6,6a
MK438862,6,6xf,6,6xf,6,6l,6,6l,6,6xf
MK438863,6,6r,6,6r,6,6r,6,6r,6,6r
MK438864,6,6e,6,6e,6,6e,6,6e,6,6e
MK438865,6,6p,6,6p,6,6p,6,6p,6,6p
MK438866,6,6r,6,6r,6,6r,6,6r,6,6r
MK438867,8,8a,8,8a,6,6q,6,6q,6,6q
MK438868,8,8a,8,8a,6,6q,6,6q,6,6q
MK438869,6,6e,6,6e,6,6e,6,6e,6,6e
MK438870,6,6e,6,6e,6,6e,6,6e,6,6e
MK438871,6,6r,6,6r,6,6r,6,6r,6,6r
MK438872,6,6e,6,6e,6,6e,6,6e,6,6e
MK438873,6,6e,6,6e,6,6e,6,6e,6,6e
MK438874,1,1a,1,1a,6,6s,6,6s,6,6s
MK438875,6,6e,6,6e,6,6e,6,6e,6,6e
MK438876,6,6e,6,6e,6,6e,6,6e,6,6e
MK438877,6,6p,6,6p,6,6p,6,6p,6,6p
MK438878,6,6e,6,6e,6,6e,6,6e,6,6e
MK438879,6,6e,6,6e,6,6e,6,6e,6,6e
MK438880,6,6e,6,6e,6,6e,6,6e,6,6e
MK438881,6,6xf,6,6xf,6,6e,6,6e,6,6xf
MK438882,1,1a,1,1a,6,6s,6,6s,6,6s
MK438883,1,1a,1,1a,6,6s,6,6s,6,6s
MK438884,6,6p,6,6p,6,6p,6,6p,6,6p
MK438885,6,6r,6,6r,6,6r,6,6r,6,6r
MK438886,1,1a,1,1a,6,6s,6,6s,6,6s
MK438887,6,6e,6,6e,6,6e,6,6e,6,6e
MK438888,6,6e,6,6e,6,6e,6,6e,6,6e
MK438889,6,6r,6,6r,6,6r,6,6r,6,6r
MK438890,6,6e,6,6e,6,6e,6,6e,6,6e
MK438891,6,6r,6,6r,6,6r,6,6r,6,6r
MK438892,6,6r,6,6r,6,6r,6,6r,6,6r
MK438893,6,6e,6,6e,6,6e,6,6e,6,6e
MK438894,8,8a,8,8a,6,6q,6,6q,6,6q
MK438895,6,6e,6,6e,6,6e,6,6e,6,6e
MK438896,6,6e,6,6e,6,6e,6,6e,6,6e
MK438897,6,6e,6,6e,6,6e,6,6e,6,6e
MK438898,6,6e,6,6e,6,6e,6,6e,6,6e
MK438899,6,6r,6,6r,6,6r,6,6r,6,6r
MK438900,1,1a,1,1a,6,6s,6,6s,6,6s
MK438901,6,6e,6,6e,6,6e,6,6e,6,6e
MK438902,6,6xf,6,6xf,6,6e,6,6e,6,6xf
MK438903,6,6e,6,6e,6,6e,6,6e,6,6e
MK438904,6,6xc,6,6xc,6,6e,6,6e,6,
MK438905,6,6a,6,6a,6,6a,6,6a,6,6a
MK438906,6,6e,6,6e,6,6e,6,6e,6,6e
MK438907,8,8a,8,8a,6,6q,6,6q,6,6q
MK438908,6,6l,6,6l,6,6l,6,6l,6,6l
MK438909,6,6e,6,6e,6,6e,6,6e,6,6e
MK438910,6,6r,6,6r,6,6r,6,6r,6,6r
MK438911,6,6r,6,6r,6,6r,6,6r,6,6r
MK438912,3,3d,3,3d,6,6q,6,6q,6,6q
MK438913,6,6a,6,6a,6,6a,6,6a,6,6a
MK438914,6,6a,6,6a,6,6a,6,6a,6,6a
MK438915,6,6r,6,6r,6,6r,6,6r,6,6r
MK438916,6,6q,6,6q,6,6q,6,6q,6,6q
MK438917,6,6e,6,6e,6,6e,6,6e,6,6e
MK438918,6,6e,6,6e,6,6e,6,6e,6,6e
MK438919,6,6p,6,6p,6,6p,6,6p,6,6p
MK438920,6,6r,6,6r,6,6r,6,6r,6,6r
MK438921,6,6e,6,6e,6,6e,6,6e,6,6e
MK438922,6,6e,6,6e,6,6e,6,6e,6,6e
MK438923,6,6r,6,6r,6,6r,6,6r,6,6r
MK438924,6,6e,6,6e,6,6e,6,6e,6,6e
MK438925,6,6e,6,6e,6,6e,6,6e,6,6e
MK438926,6,6xf,6,6xf,6,6f,6,6f,6,6xf
MK438927,6,6e,6,6e,6,6e,6,6e,6,6e
MK438928,6,6r,6,6r,6,6r,6,6r,6,6r
MK438929,6,6e,6,6e,6,6e,6,6e,6,6e
MK438930,6,6e,6,6e,6,6e,6,6e,6,6e
MK438931,6,6e,6,6e,6,6e,6,6e,6,6e
MK438932,1,1a,1,1a,6,6s,6,6s,6,6s
MK438933,8,8a,8,8a,6,6e,6,6e,6,6e
MK438934,6,6r,6,6r,6,6r,6,6r,6,6r
MK438935,6,6e,6,6e,6,6e,6,6e,6,6e
MK438936,6,6r,6,6r,6,6r,6,6r,6,6r
MK438937,6,6e,6,6e,6,6e,6,6e,6,6e
MK438938,6,6e,6,6e,6,6e,6,6e,6,6e
MK438939,6,6r,6,6r,6,6r,6,6r,6,6r
MK438940,6,6xc,6,6xc,6,6e,6,6e,6,
MK438941,1,1a,1,1a,6,6s,6,6s,6,6s
MK438942,8,8a,8,8a,6,6q,6,6q,6,6q
MK438943,6,6r,6,6r,6,6r,6,6r,6,6r
MK438944,6,6e,6,6e,6,6e,6,6e,6,6e
MK438945,8,8a,8,8a,6,6e,6,6e,6,6e
MK438946,1,1a,1,1a,6,6s,6,6s,6,6s
MK438947,6,6r,6,6r,6,6r,6,6r,6,6r
MK438948,6,6r,6,6r,6,6r,6,6r,6,6r
MK438949,6,6e,6,6e,6,6e,6,6e,6,6e
MK438950,6,6r,6,6r,6,6r,6,6r,6,6r
MK438951,6,6a,6,6a,6,6a,6,6a,6,6a
MK438952,6,6r,6,6r,6,6r,6,6r,6,6r
MK438953,6,6p,6,6p,6,6p,6,6p,6,6p
MK438954,6,6e,6,6e,6,6e,6,6e,6,6e
MK438955,6,6r,6,6r,6,6r,6,6r,6,6r
MK438956,6,6xc,6,6xc,6,6e,6,6e,6,
MK438957,6,6p,6,6p,6,6p,6,6p,6,6p
MK438958,6,6e,6,6e,6,6e,6,6e,6,6e
MK438959,8,8a,8,8a,6,6r,6,6r,6,6r
MK438960,1,1a,1,1a,6,6s,6,6s,6,6s
MK438961,6,6xf,6,6xf,6,6w,6,6w,6,6xf
MK438962,6,6e,6,6e,6,6e,6,6e,6,6e
MK438963,6,6e,6,6e,6,6e,6,6e,6,6e
MK438964,6,6e,6,6e,6,6e,6,6e,6,6e
MK438965,6,6e,6,6e,6,6e,6,6e,6,6e
MK438966,8,8a,8,8a,6,6q,6,6q,6,6q
MK438967,6,6e,6,6e,6,6e,6,6e,6,6e
MK438968,6,6s,6,6s,6,6s,6,6s,6,6s
MK438969,8,8a,8,8a,6,6e,6,6e,6,
MK438970,1,1e,1,1e,6,6r,6,6r,6,6r
MK438971,6,6e,6,6e,6,6e,6,6e,6,6e
MK438972,8,8a,8,8a,6,6q,6,6q,6,6q
MK438973,6,6r,6,6r,6,6r,6,6r,6,6r
MK438974,1,1e,1,1e,6,6r,6,6r,6,6r
MK438975,6,6xf,6,6xf,6,6e,6,6e,6,6xf
MK438976,6,6e,6,6e,6,6e,6,6e,6,6e
