Accession,PerGeneGenotype,PerGeneSubtype,FullGenomeGenotype,FullGenomeSubtype,CometPerGeneGenotype,CometPerGeneSubtype,CometFullGenomeGenotype,CometFullGenomeSubtype,GenBankGenotype,GenBankSubtype
HQ623421,5,5a,5,5a,5,5a,5,5a,5,5a
HQ623422,5,5a,5,5a,5,5a,5,5a,5,5a
HQ623423,5,5a,5,5a,5,5a,5,5a,5,5a
HQ623424,5,5a,5,5a,5,5a,5,5a,5,5a
HQ623425,5,5a,5,5a,5,5a,5,5a,5,5a
HQ623426,5,5a,5,5a,5,5a,5,5a,5,5a
HQ738645,3,3a,3,3a,3,3a,3,3a,3,3a
HQ850278,1,1a,1,1a,1,1a,1,1a,1,
HQ850279,1,1a,1,1a,1,1a,1,1a,1,
HQ850280,1,1a,1,1a,1,1a,1,1a,1,
HQ850281,1,1a,1,1a,1,1a,1,1a,1,
HQ850282,1,1a,1,1a,1,1a,1,1a,1,
HQ850283,1,1a,1,1a,1,1a,1,1a,1,
HQ850284,1,1a,1,1a,1,1a,1,1a,1,
HQ850285,1,1a,1,1a,1,1a,1,1a,1,
HQ850286,1,1a,1,1a,1,1a,1,1a,1,
HQ850287,1,1a,1,1a,1,1a,1,1a,1,
HQ850288,1,1a,1,1a,1,1a,1,1a,1,
HQ850289,1,1a,1,1a,1,1a,1,1a,1,
HQ850290,1,1a,1,1a,1,1a,1,1a,1,
HQ908282,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908283,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908284,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908285,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908286,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908287,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908288,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908289,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908290,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908291,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908292,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908293,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908294,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908295,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908296,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908297,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908298,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908299,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908300,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908301,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908302,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908303,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908304,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908305,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908306,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908307,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908308,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908309,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908310,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908311,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908312,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908313,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908314,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908315,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908316,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908317,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908318,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908319,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908320,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908321,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908322,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908323,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908324,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908325,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908326,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908327,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908328,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908329,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908330,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908331,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908332,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908333,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908334,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908335,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908336,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908337,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908338,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908339,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908340,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908341,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908342,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908343,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908344,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908345,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908346,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908347,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908348,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908349,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908350,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908351,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908352,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908353,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908354,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908355,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908356,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908357,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908358,1,1b,1,1b,1,1b,1,1b,1,1b
HQ908359,1,1b,1,1b,1,1b,1,1b,1,1b
JF509175,3,3a,3,3a,3,3a,3,3a,3,3a
JF509176,3,3a,3,3a,3,3a,3,3a,3,3a
JF509177,3,3a,3,3a,3,3a,3,3a,3,3a
JF735110,2,2j,2,2d,2,2b,2,2j,2,
JF735111,2,2m,2,2m,2,2m,2,2m,2,2m
JF735112,2,2u,2,2u,2,2a,2,2a,2,
JF735113,2,2j,2,2j,2,2j,2,2j,2,2j
JF735114,2,2d,2,2d,2,2d,2,2d,2,2d
JF735115,2,2r,2,2r,2,2r,2,2r,2,2r
JF735116,2,2f,2,2q,2,2j,2,2j,2,
JF735117,2,2c,2,2d,2,2j,2,2j,2,
JF735118,2,2q,2,2q,2,2k,2,2k,2,
JF735119,2,2u,2,2u,2,2a,2,2a,2,
JF735120,2,2e,2,2e,2,2e,2,2e,2,2e
JF735121,8,8a,3,3h,3,3h,3,3h,3,3h
JF735122,3,3k,3,3k,3,3k,3,3k,3,3k
JF735123,3,3g,3,3g,3,3g,3,3g,3,3g
JF735124,3,3i,3,3h,2,2b,,"unassigned_1, 3a-3g",3,
JF735125,3,3i,3,3i,3,3i,,"unassigned_1, 3i-3h-6h-6b",3,3i
JF735126,3,3h,3,3h,3,3h,3,3h,3,3h
JF735127,4,4b,4,4b,4,4k,4,4k,4,
JF735129,4,4v,4,4q,4,4v,,"unassigned_1, 4v-4k",4,
JF735130,4,4v,4,4q,4,4v,,"unassigned_1, 4v-4o",4,
JF735131,4,4q,4,4q,4,4v,,"unassigned_1, 4v-4g",4,
JF735132,4,4q,4,4q,4,4f,4,4v,4,
JF735134,4,4b,4,4b,4,4a,4,4k,4,
JF735135,4,4c,4,4c,4,4a,4,4a,4,
JF735136,4,4s,4,4s,4,4f,,"unassigned_1, 4v-4g",4,
JF735137,4,4a,4,4a,4,4a,4,4a,4,4a
JF735138,4,4b,4,4b,4,4k,4,4k,4,
JN704192,1,1b,1,1b,1,1b,1,1b,1,1b
JN704193,1,1a,1,1a,1,1a,1,1a,1,1a
JN704194,1,1a,1,1a,1,1a,1,1a,1,1a
JN704195,1,1b,1,1b,1,1b,1,1b,1,1b
JN704196,1,1b,1,1b,1,1b,1,1b,1,1b
JN704197,1,1b,1,1b,1,1b,1,1b,1,1b
JN704198,1,1a,1,1a,1,1a,1,1a,1,1a
JN704199,1,1a,1,1a,1,1a,1,1a,1,1a
JN704200,1,1b,1,1b,1,1b,1,1b,1,1b
JN704201,1,1b,1,1b,1,1b,1,1b,1,1b
JN704202,1,1a,1,1a,1,1a,1,1a,1,1a
JN704203,1,1a,1,1a,1,1a,1,1a,1,1a
JN704204,1,1a,1,1a,1,1a,1,1a,1,1a
JN704205,1,1b,1,1b,1,1b,1,1b,1,1b
JN704206,1,1a,1,1a,1,1a,1,1a,1,1a
JN704207,1,1b,1,1b,1,1b,1,1b,1,1b
JN704208,1,1a,1,1a,1,1a,1,1a,1,1a
JN704209,1,1b,1,1b,1,1b,1,1b,1,1b
JN704210,1,1a,1,1a,1,1a,1,1a,1,1a
JN704211,1,1b,1,1b,1,1b,1,1b,1,1b
JN704212,1,1b,1,1b,1,1b,1,1b,1,1b
JN704213,1,1b,1,1b,1,1b,1,1b,1,1b
JN704214,1,1b,1,1b,1,1b,1,1b,1,1b
JN704215,1,1b,1,1b,1,1b,1,1b,1,1b
JN704216,1,1b,1,1b,1,1b,1,1b,1,1b
JN704217,1,1b,1,1b,1,1b,1,1b,1,1b
JN704218,1,1a,1,1a,1,1a,1,1a,1,1a
JN704219,1,1a,1,1a,1,1a,1,1a,1,1a
JN704220,1,1a,1,1a,1,1a,1,1a,1,1a
JN704221,1,1b,1,1b,1,1b,1,1b,1,1b
JN704222,1,1b,1,1b,1,1b,1,1b,1,1b
JN704223,1,1b,1,1b,1,1b,1,1b,1,1b
JN704224,1,1a,1,1a,1,1a,1,1a,1,1a
JN704225,1,1b,1,1b,1,1b,1,1b,1,1b
JN704226,1,1b,1,1b,1,1b,1,1b,1,1b
JN704227,1,1b,1,1b,1,1b,1,1b,1,1b
JN704228,1,1b,1,1b,1,1b,1,1b,1,1b
JN704229,1,1a,1,1a,1,1a,1,1a,1,1a
JN704230,1,1a,1,1a,1,1a,1,1a,1,1a
JN704231,1,1a,1,1a,1,1a,1,1a,1,1a
JN704232,1,1a,1,1a,1,1a,1,1a,1,1a
JN704233,1,1a,1,1a,1,1a,1,1a,1,1a
JN704234,1,1a,1,1a,1,1a,1,1a,1,1a
JN704235,1,1a,1,1a,1,1a,1,1a,1,1a
JN704236,1,1a,1,1a,1,1a,1,1a,1,1a
JN704237,1,1a,1,1a,1,1a,1,1a,1,1a
JN704238,1,1a,1,1a,1,1a,1,1a,1,1a
JN704239,1,1a,1,1a,1,1a,1,1a,1,1a
JN704240,1,1a,1,1a,1,1a,1,1a,1,1a
JN704241,1,1a,1,1a,1,1a,1,1a,1,1a
JN704242,1,1a,1,1a,1,1a,1,1a,1,1a
JN704243,1,1b,1,1b,1,1b,1,1b,1,1b
JN704244,1,1a,1,1a,1,1a,1,1a,1,1a
JN704245,1,1b,1,1b,1,1b,1,1b,1,1b
JN704246,1,1a,1,1a,1,1a,1,1a,1,1a
JN704247,1,1a,1,1a,1,1a,1,1a,1,1a
JN704248,1,1a,1,1a,1,1a,1,1a,1,1a
JN704249,1,1a,1,1a,1,1a,1,1a,1,1a
JN704250,1,1a,1,1a,1,1a,1,1a,1,1a
JN704251,1,1a,1,1a,1,1a,1,1a,1,1a
JN704252,1,1a,1,1a,1,1a,1,1a,1,1a
JN704253,1,1a,1,1a,1,1a,1,1a,1,1a
JN704254,1,1a,1,1a,1,1a,1,1a,1,1a
JN704255,1,1b,1,1b,1,1b,1,1b,1,1b
JN704256,1,1a,1,1a,1,1a,1,1a,1,1a
JN704257,1,1a,1,1a,1,1a,1,1a,1,1a
JN704258,1,1b,1,1b,1,1b,1,1b,1,1b
JN704259,1,1b,1,1b,1,1b,1,1b,1,1b
JN704260,1,1a,1,1a,1,1a,1,1a,1,1a
JN704261,1,1a,1,1a,1,1a,1,1a,1,1a
JN704262,1,1a,1,1a,1,1a,1,1a,1,1a
JN704263,1,1a,1,1a,1,1a,1,1a,1,1a
JN704264,1,1a,1,1a,1,1a,1,1a,1,1a
JN704265,1,1b,1,1b,1,1b,1,1b,1,1b
JN704266,1,1a,1,1a,1,1a,1,1a,1,1a
JN704267,1,1a,1,1a,1,1a,1,1a,1,1a
JN704268,1,1a,1,1a,1,1a,1,1a,1,1a
JN704269,1,1a,1,1a,1,1a,1,1a,1,1a
JN704270,1,1a,1,1a,1,1a,1,1a,1,1a
JN704271,1,1b,1,1b,1,1b,1,1b,1,1b
JN704272,1,1b,1,1b,1,1b,1,1b,1,1b
JN704273,1,1a,1,1a,1,1a,1,1a,1,1a
JN704274,1,1a,1,1a,1,1a,1,1a,1,1a
JN704275,1,1a,1,1a,1,1a,1,1a,1,1a
JN704276,1,1a,1,1a,1,1a,1,1a,1,1a
JN704277,1,1a,1,1a,1,1a,1,1a,1,1a
JN704278,1,1a,1,1a,1,1a,1,1a,1,1a
JN704279,1,1b,1,1b,1,1b,1,1b,1,1b
JN704280,1,1a,1,1a,1,1a,1,1a,1,1a
JN704281,1,1a,1,1a,1,1a,1,1a,1,1a
JN704282,1,1a,1,1a,1,1a,1,1a,1,1a
JN704283,1,1a,1,1a,1,1a,1,1a,1,1a
JN704284,1,1a,1,1a,1,1a,1,1a,1,1a
JN704285,1,1a,1,1a,1,1a,1,1a,1,1a
JN704286,1,1a,1,1a,1,1a,1,1a,1,1b
JN704287,1,1b,1,1b,1,1b,1,1b,1,1b
JN704288,1,1b,1,1b,1,1b,1,1b,1,1b
JN704289,1,1b,1,1b,1,1b,1,1b,1,1b
JN704290,1,1a,1,1a,1,1a,1,1a,1,1a
JN704291,1,1a,1,1a,1,1a,1,1a,1,1a
JN704292,1,1b,1,1b,1,1b,1,1b,1,1b
JN704293,1,1a,1,1a,1,1a,1,1a,1,1a
JN704294,1,1a,1,1a,1,1a,1,1a,1,1a
JN704295,1,1a,1,1a,1,1a,1,1a,1,1a
JN704296,1,1b,1,1b,1,1b,1,1b,1,1b
JN704297,1,1b,1,1b,1,1b,1,1b,1,1b
JN704298,1,1b,1,1b,1,1b,1,1b,1,1b
JN704299,1,1b,1,1b,1,1b,1,1b,1,1b
JN704300,1,1b,1,1b,1,1b,1,1b,1,1b
JN714194,3,3a,3,3a,3,3a,3,3a,3,3a
JQ065709,3,3b,3,3b,3,3b,3,3b,3,3b
JQ246509,1,1b,1,1b,1,1b,1,1b,,
JQ246510,1,1b,1,1b,1,1b,1,1b,,
JQ246511,1,1b,1,1b,1,1b,1,1b,,
JQ246512,1,1b,1,1b,1,1b,1,1b,,
JQ246513,1,1b,1,1b,1,1b,1,1b,,
JQ246514,1,1b,1,1b,1,1b,1,1b,,
JQ246515,1,1b,1,1b,1,1b,1,1b,,
JQ246516,1,1b,1,1b,1,1b,1,1b,,
JQ246517,1,1b,1,1b,1,1b,1,1b,,
JQ246518,1,1b,1,1b,1,1b,1,1b,,
JQ246519,1,1b,1,1b,1,1b,1,1b,,
JQ246520,1,1b,1,1b,1,1b,1,1b,,
JQ246521,1,1b,1,1b,1,1b,1,1b,,
JQ246522,1,1b,1,1b,1,1b,1,1b,,
JQ246523,1,1b,1,1b,1,1b,1,1b,,
JQ246524,1,1b,1,1b,1,1b,1,1b,,
JQ246525,1,1b,1,1b,1,1b,1,1b,,
JQ246526,1,1b,1,1b,1,1b,1,1b,,
JQ246527,1,1b,1,1b,1,1b,1,1b,,
JQ246528,1,1b,1,1b,1,1b,1,1b,,
JQ246529,1,1b,1,1b,1,1b,1,1b,,
JQ246530,1,1b,1,1b,1,1b,1,1b,,
JQ246531,1,1b,1,1b,1,1b,1,1b,,
JQ246532,1,1b,1,1b,1,1b,1,1b,,
JQ246533,1,1b,1,1b,1,1b,1,1b,,
JQ246534,1,1b,1,1b,1,1b,1,1b,,
JQ246535,1,1b,1,1b,1,1b,1,1b,,
JQ246536,1,1b,1,1b,1,1b,1,1b,,
JQ246537,1,1b,1,1b,1,1b,1,1b,,
JQ246538,1,1b,1,1b,1,1b,1,1b,,
JQ246539,1,1b,1,1b,1,1b,1,1b,,
JQ246540,1,1b,1,1b,1,1b,1,1b,,
JQ246541,1,1b,1,1b,1,1b,1,1b,,
JQ246542,1,1b,1,1b,1,1b,1,1b,,
JQ246543,1,1b,1,1b,1,1b,1,1b,,
JQ246544,1,1b,1,1b,1,1b,1,1b,,
JQ246545,1,1b,1,1b,1,1b,1,1b,,
JQ253518,1,1b,1,1b,1,1b,1,1b,1,1b
JQ253519,1,1b,1,1b,1,1b,1,1b,1,1b
JQ253520,1,1b,1,1b,1,1b,1,1b,1,1b
JQ253521,1,1b,1,1b,1,1b,1,1b,1,1b
JQ253522,1,1b,1,1b,1,1b,1,1b,1,1b
JQ253523,1,1b,1,1b,1,1b,1,1b,1,1b
JQ253524,1,1b,1,1b,1,1b,1,1b,1,1b
JQ253525,1,1b,1,1b,1,1b,1,1b,1,1b
JQ253526,1,1b,1,1b,1,1b,1,1b,1,1b
JQ253527,1,1b,1,1b,1,1b,1,1b,1,1b
JQ253528,1,1b,1,1b,1,1b,1,1b,1,1b
JQ253529,1,1b,1,1b,1,1b,1,1b,1,1b
JQ253530,1,1b,1,1b,1,1b,1,1b,1,1b
JQ253531,1,1b,1,1b,1,1b,1,1b,1,1b
JQ253532,1,1b,1,1b,1,1b,1,1b,1,1b
JQ253533,1,1b,1,1b,1,1b,1,1b,1,1b
JQ253534,1,1b,1,1b,1,1b,1,1b,1,1b
JQ253535,1,1b,1,1b,1,1b,1,1b,1,1b
JQ253536,1,1b,1,1b,1,1b,1,1b,1,1b
JQ253537,1,1b,1,1b,1,1b,1,1b,1,1b
JQ253538,1,1b,1,1b,1,1b,1,1b,1,1b
JQ253539,1,1b,1,1b,1,1b,1,1b,1,1b
JQ253540,1,1b,1,1b,1,1b,1,1b,1,1b
JQ253541,1,1b,1,1b,1,1b,1,1b,1,1b
JQ343803,1,1a,1,1a,1,1a,1,1a,1,1a
JQ343804,1,1a,1,1a,1,1a,1,1a,1,1a
JQ343805,1,1a,1,1a,1,1a,1,1a,1,1a
JQ343806,1,1a,1,1a,1,1a,1,1a,1,1a
JQ343807,1,1a,1,1a,1,1a,1,1a,1,1a
JQ343808,1,1a,1,1a,1,1a,1,1a,1,1a
JQ343809,1,1a,1,1a,1,1a,1,1a,1,1a
JQ343810,1,1a,1,1a,1,1a,1,1a,1,1a
JQ343811,1,1a,1,1a,1,1a,1,1a,1,1a
JQ343812,1,1a,1,1a,1,1a,1,1a,1,1a
JQ343813,1,1a,1,1a,1,1a,1,1a,1,1a
JQ343814,1,1a,1,1a,1,1a,1,1a,1,1a
JQ343815,1,1a,1,1a,1,1a,1,1a,1,1a
JQ343816,1,1a,1,1a,1,1a,1,1a,1,1a
JQ343817,1,1a,1,1a,1,1a,1,1a,1,1a
JQ343818,1,1a,1,1a,1,1a,1,1a,1,1a
JQ343819,1,1a,1,1a,1,1a,1,1a,1,1a
JQ343820,1,1a,1,1a,1,1a,1,1a,1,1a
JQ343821,1,1a,1,1a,1,1a,1,1a,1,1a
JQ343822,1,1a,1,1a,1,1a,1,1a,1,1a
JQ343823,1,1a,1,1a,1,1a,1,1a,1,1a
JQ343824,1,1a,1,1a,1,1a,1,1a,1,1a
JQ343825,1,1a,1,1a,1,1a,1,1a,1,1a
JQ343826,1,1a,1,1a,1,1a,1,1a,1,1a
JQ717254,3,3a,3,3a,3,3a,3,3a,3,3a
JQ717255,3,3a,3,3a,3,3a,3,3a,3,3a
JQ717256,3,3a,3,3a,3,3a,3,3a,3,3a
JQ717257,3,3a,3,3a,3,3a,3,3a,3,3a
JQ717258,3,3a,3,3a,3,3a,3,3a,3,3a
JQ717259,3,3a,3,3a,3,3a,3,3a,3,3a
JQ717260,3,3a,3,3a,3,3a,3,3a,3,3a
PX290144,4,4f,4,4f,4,4f,4,4f,4,4f
PX361034,1,1l,1,1l,1,1l,,"unassigned_1, 1l-2a",,
PX376056,1,1l,1,1l,1,1l,1,1l,2,
PX376057,1,1l,1,1l,1,1l,,"unassigned_1, 1l-2k-2j-2a-2q",2,
PX376058,1,1l,1,1l,1,1l,,"unassigned_1, 1l-2a",2,
PX376059,1,1l,1,1l,1,1l,,"unassigned_1, 1l-4v-4f",,
PX386717,3,3a,3,3a,3,3a,3,3a,3,3a
PX386718,1,1a,1,1a,1,1a,1,1a,1,1a
PX386719,3,3a,3,3a,3,3a,3,3a,3,3a
PX386720,3,3a,3,3a,3,3a,3,3a,3,3a
PX386721,1,1b,1,1b,1,1b,1,1b,1,1b
PX386722,3,3a,3,3a,3,3a,3,3a,3,3a
PX386723,3,3a,3,3a,3,3a,3,3a,3,3a
PX386724,1,1a,1,1a,1,1a,1,1a,1,1a
PX386725,1,1b,1,1b,1,1b,1,1b,1,1b
PX386726,2,2b,2,2b,2,2b,2,2b,2,2b
PX386727,3,3a,3,3a,3,3a,3,3a,3,3a
PX386728,2,2b,2,2b,2,2b,2,2b,2,2b
PX386729,3,3a,3,3a,3,3a,3,3a,3,3a
PX386730,3,3a,3,3a,3,3a,3,3a,3,3a
PX386731,1,1b,1,1b,1,1b,1,1b,1,1b
PX386732,3,3a,3,3a,3,3a,3,3a,3,3a
PX386733,3,3a,3,3a,3,3a,3,3a,3,3a
PX386734,3,3a,3,3a,3,3a,3,3a,3,3a
PX386735,3,3a,3,3a,3,3a,3,3a,3,3a
PX386736,3,3a,3,3a,3,3a,3,3a,3,3a
PX386737,1,1a,1,1a,1,1a,1,1a,1,1a
PX386738,3,3a,3,3a,3,3a,3,3a,3,3a
PX386739,1,1a,1,1a,1,1a,1,1a,1,1a
PX386740,1,1a,1,1a,1,1a,1,1a,1,1a
PX386741,3,3a,3,3a,3,3a,3,3a,3,3a
PX386742,3,3a,3,3a,3,3a,3,3a,3,3a
PX386743,1,1b,1,1b,1,1b,1,1b,1,1b
PX386744,3,3a,3,3a,3,3a,3,3a,3,3a
PX386745,1,1a,1,1a,1,1a,1,1a,1,1a
PX386746,1,1b,1,1b,1,1b,1,1b,1,1b
PX386747,1,1a,1,1a,1,1a,1,1a,1,1a
PX386748,1,1a,1,1a,1,1a,1,1a,1,1a
PX386749,3,3a,3,3a,3,3a,3,3a,3,3a
PX386750,3,3a,3,3a,3,3a,3,3a,3,3a
PX386751,3,3a,3,3a,3,3a,3,3a,3,3a
PX386752,3,3a,3,3a,3,3a,3,3a,3,3a
PX386753,3,3a,3,3a,3,3a,3,3a,3,3a
PX386754,1,1a,1,1a,1,1a,1,1a,1,1a
PX386755,2,2b,2,2b,2,2b,2,2b,2,2b
PX386756,1,1a,1,1a,1,1a,1,1a,1,1a
PX386757,1,1a,1,1a,1,1a,1,1a,1,1a
PX386758,1,1a,1,1a,1,1a,1,1a,1,1a
PX386759,3,3a,3,3a,3,3a,3,3a,3,3a
PX386760,3,3a,3,3a,3,3a,3,3a,3,3a
PX386761,3,3a,3,3a,3,3a,3,3a,3,3a
PX386762,3,3a,3,3a,3,3a,3,3a,3,3a
PX386763,3,3a,3,3a,3,3a,3,3a,3,3a
PX386764,1,1a,1,1a,1,1a,1,1a,1,1a
PX386765,1,1a,1,1a,1,1a,1,1a,1,1a
PX386766,1,1a,1,1a,1,1a,1,1a,1,1a
PX386767,1,1a,1,1a,1,1a,1,1a,1,1a
PX386768,3,3a,3,3a,3,3a,3,3a,3,3a
PX386769,1,1a,1,1a,1,1a,1,1a,1,1a
PX386770,1,1a,1,1a,1,1a,1,1a,1,1a
PX386771,3,3a,3,3a,3,3a,3,3a,3,3a
PX386772,3,3a,3,3a,3,3a,3,3a,3,3a
PX386773,3,3a,3,3a,3,3a,3,3a,3,3a
PX386774,1,1a,1,1a,1,1a,1,1a,1,1a
PX386775,1,1a,1,1a,1,1a,1,1a,1,1a
PX386776,3,3a,3,3a,3,3a,3,3a,3,3a
PX386777,1,1b,1,1b,1,1b,1,1b,1,1b
PX386778,1,1b,1,1b,1,1b,1,1b,1,1b
PX386779,1,1a,1,1a,1,1a,1,1a,1,1a
PX386780,1,1a,1,1a,1,1a,1,1a,1,1a
PX386781,3,3a,3,3a,3,3a,3,3a,3,3a
PX386782,1,1a,1,1a,1,1a,1,1a,1,1a
PX386783,1,1c,1,1c,1,1c,1,1c,1,1c
PX386784,1,1a,1,1a,1,1a,1,1a,1,1a
PX386785,1,1b,1,1b,1,1b,1,1b,1,1b
PX386786,1,1a,1,1a,1,1a,1,1a,1,1a
PX386787,3,3a,3,3a,3,3a,3,3a,3,3a
PX386788,1,1a,1,1a,1,1a,1,1a,1,1a
PX386789,1,1a,1,1a,1,1a,1,1a,1,1a
PX386790,1,1b,1,1b,1,1b,1,1b,1,1b
PX386791,3,3a,3,3a,3,3a,3,3a,3,3a
PX386792,1,1a,1,1a,1,1a,1,1a,1,1a
PX386793,1,1b,1,1b,1,1b,1,1b,1,1b
PX386794,1,1a,1,1a,1,1a,1,1a,1,1a
PX386795,1,1a,1,1a,1,1a,1,1a,1,1a
PX386796,3,3a,3,3a,3,3a,3,3a,3,3a
PX386797,3,3a,3,3a,3,3a,3,3a,3,3a
PX386798,1,1a,1,1a,1,1a,1,1a,1,1a
PX386799,3,3a,3,3a,3,3a,3,3a,3,3a
PX386800,2,2a,2,2a,2,2a,2,2a,2,2a
PX386801,2,2b,2,2b,2,2b,2,2b,2,2b
PX386802,3,3a,3,3a,3,3a,3,3a,3,3a
PX386803,1,1a,1,1a,1,1a,1,1a,1,1a
PX386804,1,1b,1,1b,1,1b,1,1b,1,1b
PX386805,1,1a,1,1a,1,1a,1,1a,1,1a
PX386806,1,1a,1,1a,1,1a,1,1a,1,1a
PX386807,1,1a,1,1a,1,1a,1,1a,1,1a
PX386808,3,3a,3,3a,3,3a,3,3a,3,3a
PX386809,3,3a,3,3a,3,3a,3,3a,3,3a
PX386810,3,3a,3,3a,3,3a,3,3a,3,3a
PX386811,1,1a,1,1a,1,1a,,"unassigned_1, 1a-3a",1,1a
PX386812,3,3a,3,3a,3,3a,3,3a,3,3a
PX386813,1,1a,1,1a,1,1a,1,1a,1,1a
PX386814,1,1a,1,1a,1,1a,1,1a,1,1a
PX386815,1,1b,1,1b,1,1b,1,1b,1,1b
PX386816,1,1a,1,1a,1,1a,1,1a,1,1a
PX386817,3,3a,3,3a,3,3a,3,3a,3,3a
PX386818,1,1a,1,1a,1,1a,1,1a,1,1a
PX386819,1,1a,1,1a,1,1a,1,1a,1,1a
PX386820,3,3a,3,3a,3,3a,3,3a,3,3a
PX386821,3,3a,3,3a,3,3a,3,3a,3,3a
PX386822,3,3a,3,3a,3,3a,3,3a,3,3a
PX386823,1,1a,1,1a,1,1a,1,1a,1,1a
PX386824,3,3a,3,3a,3,3a,3,3a,3,3a
PX386825,1,1a,1,1a,1,1a,1,1a,1,1a
PX386826,2,2b,2,2b,2,2b,2,2b,2,2b
PX386827,1,1a,1,1a,1,1a,1,1a,1,1a
PX386828,3,3a,3,3a,3,3a,3,3a,3,3a
PX386829,1,1a,1,1a,1,1a,1,1a,1,1a
PX386830,3,3a,3,3a,3,3a,3,3a,3,3a
PX386831,3,3a,3,3a,3,3a,3,3a,3,3a
PX386832,3,3a,3,3a,3,3a,3,3a,3,3a
PX386833,1,1a,1,1a,1,1a,1,1a,1,1a
PX386834,3,3a,3,3a,3,3a,3,3a,3,3a
PX386835,3,3a,3,3a,3,3a,3,3a,3,3a
PX386836,1,1a,1,1a,1,1a,1,1a,1,1a
