accession,genotype,subtype
EF194966,1,1b
EF194967,1,1b
EF194968,1,1b
EF194969,1,1b
EF194970,1,1b
EF194971,1,1b
EF194972,1,1b
EF194973,1,1b
EF194974,1,1b
EF194975,1,1b
EF194976,1,1b
EF194977,1,1b
EF194978,1,1b
EF194979,1,1b
EF194980,1,1b
EF194981,1,1b
EF194982,1,1b
EF194983,1,1b
EF194984,1,1b
EF194985,1,1b
EF194986,1,1b
EF194987,1,1b
EF194988,1,1b
EF194989,1,1b
EF194990,1,1b
EF194991,1,1b
EF194992,1,1b
EF194993,1,1b
EF194994,1,1b
EF194995,1,1b
EF194996,1,1b
EF194997,1,1b
EF194998,1,1b
EF194999,1,1b
EF195000,1,1b
EF195001,1,1b
EF195003,1,1b
EF195004,1,1b
EF195005,1,1b
EF195006,1,1b
EF195007,1,1b
EF195008,1,1b
EF195009,1,1b
EF195010,1,1b
EF195011,1,1b
EF195012,1,1b
EF195013,1,1b
EF195014,1,1b
EF195015,1,1b
EF195016,1,1b
EF195017,1,1b
EF195018,1,1b
EF195019,1,1b
EF195020,1,1b
EF195021,1,1b
EF195022,1,1b
EF195023,1,1b
EF195024,1,1b
EF195025,2,2c
EF195026,2,2c
EF195027,2,2c
EF195028,2,2a
EF195029,3,3a
EF195030,3,3a
EF195031,3,3a
EF195032,3,3a
EF195033,3,3a
EF195034,3,3a
EF195035,3,3a
EF195036,3,3a
EF195037,3,3a
EF195038,3,3a
EF195039,3,3a
EF195040,3,3a
EF195041,3,3a
EF195042,3,3a
EF195043,3,3a
EF195044,3,3a
EF195045,3,3a
EF195046,3,3a
EF195047,3,3a
EF195048,3,3a
EF195049,3,3a
EF195050,3,3a
EF195051,3,3a
EF195052,3,3a
EF195053,3,3a
EF195054,3,3a
EF195055,3,3a
EF195056,3,3a
EF195057,3,3a
EF195058,3,3a
EF195059,3,3a
EF195060,3,3a
EF195061,3,3a
EF195062,3,3a
EF195063,3,3a
EF195064,3,3a
EF195065,3,3a
EF195066,3,3a
EF195067,3,3a
EF205237,2,2b
EF205238,4,
EF205239,1,1b
EF205240,2,2b
EF205241,2,2b
EF205243,2,2b
EF205244,1,1a
EF205245,1,1a
EF205246,1,1a
EF205247,1,1b
EF205248,2,2b
EF205249,1,1a
EF205250,1,1a
EF205251,2,2b
EF205252,1,1a
EF205253,1,1a
EF207987,3,3a
EF207988,3,3a
EF207989,3,3a
EF207990,3,3a
EF207991,3,3a
EF207992,3,3a
EF207993,3,3a
EF207994,3,3a
EF207995,3,3a
EF207996,3,3a
EF207997,3,3a
EF207998,3,3a
EF207999,3,3a
EF208000,3,3a
EF208001,3,3a
EF208002,3,3a
EF208003,3,3a
EF208004,3,3a
EF208005,3,3a
EF208006,3,3a
EF208007,3,3a
EF208008,3,3a
EF208009,3,3a
EF208010,3,3a
EF208011,3,3a
EF208012,3,3a
EF208013,3,3a
EF208014,3,3a
EF208015,3,3a
EF208016,3,3a
EF208017,3,3a
EF208018,3,3a
EF208345,,
EF208346,,
EF208347,,
EF208348,,
EF208349,,
EF208350,,
EF208351,,
EF208352,,
EF208353,,
EF208354,,
EF208355,,
EF208356,,
EF208357,,
EF208358,,
EF208359,,
EF208360,,
EF208361,,
EF208362,,
EF208363,,
EF208364,,
EF208365,,
EF208366,,
EF208367,,
EF208368,,
EF208369,,
EF208370,,
EF208371,,
EF208372,,
EF208373,,
EF208374,,
EF208375,,
EF208376,,
EF208377,,
EF208378,,
EF208379,,
EF208380,,
EF208381,,
EF208382,,
EF208383,,
EF208384,,
EF208385,,
EF208386,,
EF208387,,
EF208388,,
EF208389,,
EF208390,,
EF208391,,
EF208392,,
EF208393,,
EF208394,,
EF208395,,
EF208396,,
EF208397,,
EF208398,,
EF208399,,
EF208400,,
EF208401,,
EF208402,,
EF208403,,
EF208404,,
EF208405,,
EF208406,,
EF208407,,
EF208408,,
EF208409,,
EF208410,,
EF208411,,
EF208412,,
EF208413,,
EF208414,,
EF208415,,
EF208416,,
EF208417,,
EF208418,,
EF208419,,
EF208420,,
EF208421,,
EF208422,,
EF208423,,
EF208424,,
EF208425,,
EF208426,,
EF208427,,
EF208428,,
EF208429,,
EF208430,,
EF208431,,
EF208432,,
EF208433,,
EF208434,,
EF208435,,
EF208436,,
EF208437,,
EF208438,,
EF208439,,
EF208440,,
EF208441,,
EF208442,,
EF208443,,
EF208444,,
EF208445,,
EF208446,,
EF208447,,
EF208448,,
EF208449,,
EF208450,,
EF208451,,
EF208452,,
EF208453,,
EF208454,,
EF208455,,
EF208456,,
EF208457,,
EF208458,,
EF208459,,
EF208460,,
EF208461,,
EF208462,,
EF208463,,
EF208464,,
EF208465,,
EF208466,,
EF208467,,
EF208468,,
EF208469,,
EF208470,,
EF208471,,
EF208472,,
EF208473,,
EF208474,,
EF208475,,
EF208476,,
EF208477,,
EF208478,,
EF208479,,
EF208480,,
EF208481,,
EF208482,,
EF208483,,
EF208484,,
EF208485,,
EF208486,,
EF208487,,
EF208488,,
EF208489,,
EF208490,,
EF208491,,
EF208492,,
EF208493,,
EF208494,,
EF208495,,
EF208496,,
EF208497,,
EF208498,,
EF208499,,
EF208500,,
EF208501,,
EF208502,,
EF208503,,
EF208504,,
EF208505,,
EF208506,,
EF208507,,
EF208508,,
EF208509,,
EF208510,,
EF208511,,
EF208512,,
EF208513,,
EF208514,,
EF208515,,
EF208516,,
EF208517,,
EF208518,,
EF208519,,
EF208520,,
EF208521,,
EF208522,,
EF208523,,
EF208524,,
EF208525,,
EF208526,,
EF208527,,
EF208528,,
EF208529,,
EF208530,,
EF208531,,
EF208532,,
EF208533,,
EF208534,,
EF208535,,
EF208536,,
EF208537,,
EF208538,,
EF208539,,
EF208540,,
EF208541,,
EF208542,,
EF208543,,
EF208544,,
EF208545,,
EF208546,,
EF208547,,
EF208548,,
EF208549,,
EF208550,,
EF208551,,
EF208552,,
EF208553,,
EF208554,,
EF208555,,
EF208556,,
EF208557,,
EF208558,,
EF210520,3,3a
EF210521,3,3a
EF210522,3,3a
EF210523,3,3a
EF210524,3,3a
EF210525,3,3a
EF210526,3,3a
EF210527,3,3a
EF210528,3,3a
EF210529,3,3a
EF210530,3,3a
EF210531,3,3a
EF210532,3,3a
EF210533,3,3a
EF210534,3,3a
EF210535,3,3a
EF210536,3,3a
EF210537,3,3a
EF210538,3,3a
EF210539,3,3a
EF210540,3,3a
EF210541,3,3a
EF210542,3,3a
EF210543,3,3a
EF210544,3,3a
EF210545,3,3a
EF210546,3,3a
EF210547,3,3a
EF210548,3,3a
EF210549,3,3a
EF210550,3,3a
EF210551,3,3a
EF363555,1,1a
EF363556,1,1a
EF363557,3,3a
EF363558,3,3a
EF363559,3,3a
EF363560,3,3a
EF406133,1,
EF406134,1,
EF406135,1,
EF406136,1,
EF406137,1,
EF406138,1,
EF406139,1,
EF406140,1,
EF406141,1,
EF406142,1,
EF406143,1,
EF406144,1,
EF406145,1,
EF406146,1,
EF406147,1,
EF406148,1,
EF406149,1,
EF406150,1,
EF406151,1,
EF406152,1,
EF406153,1,
EF406154,1,
EF406155,1,
EF406156,1,
EF406157,1,
EF406158,1,
EF406159,1,
EF406160,1,
EF406161,1,
EF406162,1,
EF406163,1,
EF406164,1,
EF406165,1,
EF406166,1,
EF406167,1,
EF406168,1,
EF406169,3,
EF406170,3,
EF406171,3,
EF406172,3,
EF406173,3,
EF406174,3,
EF406175,3,
EF406176,3,
EF406177,3,
EF406178,3,
EF406179,3,
EF406180,3,
EF406181,3,
EF406182,3,
EF406183,3,
EF406184,3,
EF406185,3,
EF406186,3,
EF406187,3,
EF406188,3,
EF406189,1,
EF406190,1,
EF406191,1,
EF406192,1,
EF406193,1,
EF406194,1,
EF406195,1,
EF406196,1,
EF406197,1,
EF406198,1,
EF406199,1,
EF406200,1,
EF406201,1,
EF406202,1,
EF406203,1,
EF406204,1,
EF406205,1,
EF406206,1,
EF406207,1,
EF406208,1,
EF406209,1,
EF406210,1,
EF406211,1,
EF406212,1,
EF406213,1,
EF406214,1,
EF406215,1,
EF406216,1,
EF406217,1,
EF406218,1,
EF406219,1,
EF406220,1,
EF406221,1,
EF406222,1,
EF406223,1,
EF406224,1,
EF406225,1,
EF406226,1,
EF406227,1,
EF406228,1,
EF406229,3,
EF406230,3,
EF406231,3,
EF406232,3,
EF406233,3,
EF406234,3,
EF406235,3,
EF406236,3,
EF406237,3,
EF406238,3,
EF406239,3,
EF406240,3,
EF406241,3,
EF406242,3,
EF406243,3,
EF406244,3,
EF406245,3,
EF406246,3,
EF406247,3,
EF406248,3,
EF407411,1,1a
EF407412,1,1a
EF407413,1,1a
EF407414,1,1a
EF407415,1,1a
EF407416,1,1a
EF407417,1,1a
EF407418,1,1a
EF407419,1,1a
EF407420,1,1a
EF407421,1,1a
EF407422,1,1a
EF407423,1,1a
EF407424,1,1a
EF407425,1,1a
EF407426,1,1a
EF407427,1,1a
EF407428,1,1a
EF407429,1,1a
EF407430,1,1a
EF407431,1,1a
EF407432,1,1a
EF407433,1,1a
EF407434,1,1a
EF407435,1,1a
EF407436,1,1a
EF407437,1,1a
EF407438,1,1a
EF407439,1,1a
EF407440,1,1a
EF407441,1,1a
EF407442,1,1a
EF407443,1,1a
EF407444,1,1a
EF407445,1,1a
EF407446,1,1a
EF407447,1,1a
EF407448,1,1a
EF407449,1,1a
EF407450,1,1a
EF407451,1,1a
EF407452,1,1a
EF407453,1,1a
EF407454,1,1a
EF407455,1,1a
EF407456,1,1a
EF407457,1,1a
EF407458,1,1b
EF407459,1,1b
EF407460,1,1b
EF407461,1,1b
EF407462,1,1b
EF407463,1,1b
EF407464,1,1b
EF407465,1,1b
EF407466,1,1b
EF407467,1,1b
EF407468,1,1b
EF407469,1,1b
EF407470,1,1b
EF407471,1,1b
EF407472,1,1b
EF407473,1,1b
EF407474,1,1b
EF407475,1,1b
EF407476,1,1b
EF407477,1,1b
EF407478,1,1b
EF407479,1,1b
EF407480,1,1b
EF407481,1,1b
EF407482,1,1b
EF407483,1,1b
EF407484,1,1b
EF407485,1,1b
EF407486,1,1b
EF407487,1,1b
EF407488,1,1b
EF407489,1,1b
EF407490,1,1b
EF407491,1,1b
EF407492,1,1b
EF407493,1,1b
EF407494,1,1b
EF407495,1,1b
EF407496,1,1b
EF407497,1,1b
EF407498,1,1b
EF407499,1,1b
EF407500,1,1b
EF407501,1,1b
EF407502,1,1b
EF407503,1,1b
EF407504,1,1b
EF420134,,
EF422441,,
EF422442,,
EF422443,,
EF422444,,
EF422445,,
EF422446,,
EF422447,,
EF422448,,
EF422449,,
EF422450,,
EF422451,,
EF422452,,
EF422453,,
EF422454,,
EF422455,,
EF422456,,
EF422457,,
EF422458,,
EF422459,,
EF422460,,
EF422461,,
EF422462,,
EF422463,,
EF422464,,
EF422465,,
EF422466,,
EF422467,,
EF422468,,
EF422469,,
EF422470,,
EF422471,,
EF422472,,
EF422473,,
EF422474,,
EF422475,,
EF422476,,
EF422477,,
EF422478,,
EF422479,,
EF422480,,
EF422481,,
EF422482,,
EF422483,,
EF422484,,
EF422485,,
EF422486,,
EF422487,,
EF422488,,
EF422489,,
EF422490,,
EF422491,,
EF422492,,
EF422493,,
EF422494,,
EF422495,,
EF422496,,
EF422497,,
EF422498,,
EF422499,,
EF422500,,
EF422501,,
EF422502,,
EF422503,,
EF422504,,
EF422505,,
EF422506,,
EF422507,,
EF422508,,
EF422509,,
EF422510,,
EF422511,,
EF422512,,
EF422513,,
EF422514,,
EF422515,,
EF422516,,
EF422517,,
EF422518,,
EF422519,,
EF422520,,
EF422521,,
EF422522,,
EF422523,,
EF422524,,
EF422525,,
EF422526,,
EF422527,,
EF422528,,
EF422529,,
EF422530,,
EF422531,,
EF422532,,
EF422533,,
EF422534,,
EF422535,,
EF422536,,
EF422537,,
EF422538,,
EF422539,,
EF422540,,
EF422541,,
EF422542,,
EF422543,,
EF422544,,
EF422545,,
EF422546,,
EF422547,,
EF422548,,
EF422549,,
EF422550,,
EF422551,,
EF422552,,
EF422553,,
EF422554,,
EF422555,,
EF422556,,
EF422557,,
EF422558,,
EF422559,,
EF422560,,
EF422561,,
EF422562,,
EF422563,,
EF422564,,
EF422565,,
EF422566,,
EF422567,,
EF422568,,
EF422569,,
EF422570,,
EF422571,,
EF422572,,
EF422573,,
EF422574,,
EF422575,,
EF422576,,
EF422577,,
EF422578,,
EF422579,,
EF422580,,
EF422581,,
EF422582,,
EF422583,,
EF422584,,
EF422585,,
EF422586,,
EF422587,,
EF422588,,
EF422589,,
EF422590,,
EF422591,,
EF422592,,
EF422593,,
EF422594,,
EF422595,,
EF422596,,
EF422597,,
EF422598,,
EF422599,,
EF422600,,
EF422601,,
EF422602,,
EF422603,,
EF422604,,
EF422605,,
EF422606,,
EF422607,,
EF422608,,
EF422609,,
EF422610,,
EF422611,,
EF422612,,
EF422613,,
EF422614,,
EF422615,,
EF422616,,
EF422617,,
EF422618,,
EF422619,,
EF422620,,
EF422621,,
EF422622,,
EF422623,,
EF422624,,
EF422625,,
EF422626,,
EF422627,,
EF422628,,
EF422629,,
EF422630,,
EF422631,,
EF422632,,
EF422633,,
EF422634,,
EF422635,,
EF422636,,
EF422637,,
EF422638,,
EF422639,,
EF422640,,
EF422641,,
EF422642,,
EF422643,,
EF422644,,
EF422645,,
EF422646,,
EF422647,,
EF422648,,
EF422649,,
EF422650,,
EF422651,,
EF422652,,
EF422653,,
EF422654,,
EF422655,,
EF422656,,
EF422657,,
EF422658,,
EF422659,,
EF422660,,
EF422661,,
EF422662,,
EF422663,,
EF422664,,
EF422665,,
EF422666,,
EF422667,,
EF422668,,
EF422669,,
EF422670,,
EF422671,,
EF422672,,
EF422673,,
EF422674,,
EF422675,,
EF422676,,
EF422677,,
EF422678,,
EF422679,,
EF422680,,
EF422681,,
EF422682,,
EF422683,,
EF422684,,
EF422685,,
EF422686,,
EF422687,,
EF422688,,
EF422689,,
EF422690,,
EF422691,,
EF422692,,
EF422693,,
EF422694,,
EF422695,,
EF422696,,
EF422697,,
EF422698,,
EF422699,,
EF422700,,
EF422701,,
EF422702,,
EF422703,,
EF422704,,
EF422705,,
EF422706,,
EF422707,,
EF422708,,
EF422709,,
EF422710,,
EF422711,,
EF422712,,
EF422713,,
EF422714,,
EF422715,,
EF422716,,
EF422717,,
EF422718,,
EF422719,,
EF422720,,
EF422721,,
EF422722,,
EF422723,,
EF422724,,
EF422725,,
EF422726,,
EF422727,,
EF422728,,
EF422729,,
EF422730,,
EF422731,,
EF422732,,
EF422733,,
EF422734,,
EF422735,,
EF422736,,
EF422737,,
EF422738,,
EF422739,,
EF422740,,
EF422741,,
EF422742,,
EF422743,,
EF422744,,
EF422745,,
EF424625,6,6q
EF424626,6,6p
EF424627,6,6o
EF424628,6,6l
EF424629,6,6c
EF467642,1,1b
EF467643,1,1b
EF467644,1,1b
EF467645,1,1b
EF467646,4,
EF467647,1,1b
EF467648,4,
EF467649,4,
EF467650,4,
EF467651,4,
EF467652,4,
EF467653,4,
EF470308,3,3a
EF470309,3,3a
EF470310,3,3a
EF470311,3,3a
EF470312,3,3a
EF470313,1,1a
EF470314,1,1a
EF470315,1,1a
EF470316,1,1a
EF470317,1,1a
EF470318,1,1a
EF470319,1,1a
EF470320,1,1a
EF470321,1,1a
EF470322,1,1a
EF470323,1,1a
EF470324,1,1a
EF470325,1,1a
EF470326,1,1a
EF470327,1,1a
EF470328,1,1a
EF470329,1,1a
EF470330,1,1a
EF470331,1,1a
EF470332,1,1a
EF470333,1,1a
EF470334,1,1a
EF470335,1,1a
EF470336,1,1a
EF470337,1,1a
EF470338,1,1a
EF470339,1,1a
EF470340,1,1a
EF470341,1,1a
EF470342,1,1a
EF470343,1,1a
EF470344,1,1a
EF470345,1,1a
EF470346,1,1a
EF470347,1,1a
EF470348,1,1a
EF470349,1,1a
EF470350,1,1a
EF470351,1,1a
EF470352,1,1a
EF470353,1,1a
EF470354,1,1a
EF470355,1,1a
EF470356,1,1a
EF470357,1,1a
EF470358,1,1a
EF470359,1,1a
EF470360,1,1a
EF470361,1,1a
EF470362,1,1a
EF470363,1,1a
EF470364,1,1a
EF470365,1,1a
EF470366,1,1a
EF470367,1,1b
EF470368,1,1b
EF470369,1,1b
EF470370,1,1b
EF470371,1,1b
EF470372,1,1b
EF470373,1,1b
EF470374,1,1b
EF470375,1,1b
EF470376,1,1b
EF470377,1,1a
EF470378,3,3a
EF470379,3,3a
EF470380,3,3a
EF470381,1,1a
EF470382,1,1a
EF470383,1,1a
EF470384,1,1a
EF470385,1,1a
EF470386,1,1a
EF470387,1,1a
EF470388,1,1a
EF470389,1,1a
EF470390,1,1a
EF470391,1,1a
EF470392,1,1a
EF470393,1,1a
EF470394,1,1a
EF470395,1,1a
EF470396,1,1a
EF470397,1,1a
EF470398,1,1a
EF470399,1,1a
EF470400,1,1a
EF470401,1,1a
EF470402,1,1a
EF470403,1,1b
EF470404,1,1b
EF470405,1,1b
EF470406,1,1b
EF470407,1,1b
EF470408,1,1b
EF470409,1,1b
EF470410,1,1b
EF470411,1,1b
EF470412,1,1b
EF470413,1,1b
EF470414,1,1b
EF470415,1,1b
EF470416,1,1b
EF470417,1,1b
EF470418,1,1b
EF470419,1,1b
EF523591,,
EF523592,,
EF523593,,
EF523594,,
EF523595,,
EF523596,,
EF523597,,
EF523598,,
EF523599,,
EF523600,,
EF523601,,
EF543243,6,
EF543244,6,
EF543245,3,3a
EF543246,3,3a
EF543247,3,3a
EF543248,3,3a
EF543249,3,3a
EF543250,3,3a
EF543251,3,3b
EF543252,1,1b
EF543253,1,1b
EF543254,1,1b
EF543255,1,1b
EF543256,1,1a
EF543257,1,1a
EF543258,1,1a
EF560518,,
EF560519,,
EF560520,,
EF560521,,
EF560522,,
EF560523,,
EF560524,,
EF560525,,
EF560526,,
EF560527,,
EF560528,,
EF560529,,
EF560530,,
EF560531,,
EF560532,,
EF560533,,
EF560534,,
EF560535,,
EF560536,,
EF560537,,
EF560538,,
EF560539,,
EF560540,,
EF560541,,
EF560542,,
EF560543,,
EF560544,,
EF560545,,
EF560546,,
EF560547,,
EF560548,,
EF560549,,
EF560550,,
EF560551,,
EF560552,,
EF560553,,
EF560554,,
EF560555,,
EF560556,,
EF560557,,
EF560558,,
EF589160,4,4f
EF589161,4,4f
EF608622,1,1b
EF608623,1,1b
EF608624,1,1b
EF608625,1,1b
EF608626,1,1b
EF608627,1,1b
EF608628,1,1b
EF608629,1,1b
EF608630,1,1b
EF608631,1,1b
EF608632,1,1b
EF608633,1,1b
EF608634,1,1b
EF608635,1,1b
EF608636,1,1b
EF608637,1,1b
EF608638,1,1b
EF608639,1,1b
EF608640,1,1b
EF608641,1,1b
EF608642,1,1b
EF608643,1,1b
EF608644,1,1b
EF608645,1,1b
EF608646,1,1b
EF608647,1,1b
EF608648,1,1b
EF608649,1,1b
EF608650,1,1b
EF608651,1,1b
EF608652,1,1b
EF608653,1,1b
EF608654,1,1b
EF608655,1,1b
EF608656,1,1b
EF608657,1,1b
EF608658,1,1b
EF608659,1,1b
EF608660,1,1b
EF608661,1,1b
EF608662,1,1b
EF608663,1,1b
EF608664,1,1b
EF608665,1,1b
EF608666,1,1b
EF608667,1,1b
EF608668,1,1b
EF608669,1,1b
EF608670,1,1b
EF608671,1,1b
EF608672,1,1b
EF608673,1,1b
EF608674,1,1b
EF608675,1,1b
EF608676,1,1b
EF608677,1,1b
EF608678,1,1b
EF608679,1,1b
EF608680,1,1b
EF608681,1,1b
EF608682,1,1b
EF608683,1,1b
EF608684,1,1b
EF608685,1,1b
EF608686,1,1b
EF608687,1,1b
EF608688,1,1b
EF608689,1,1b
EF608690,1,1b
EF608691,1,1b
EF608692,1,1b
EF608693,1,1b
EF608694,1,1b
EF608695,1,1b
EF608696,1,1b
EF608697,1,1b
EF608698,1,1b
EF608699,1,1b
EF608700,1,1b
EF608701,1,1b
EF608702,1,1b
EF608703,1,1b
EF608704,1,1b
EF608705,1,1b
EF608706,1,1b
EF608707,1,1b
EF608708,1,1b
EF608709,1,1b
EF608710,1,1b
EF608711,1,1b
EF608712,1,1b
EF608713,1,1b
EF608714,1,1b
EF608715,1,1b
EF608716,1,1b
EF608717,1,1b
EF608718,1,1b
EF608719,1,1b
EF608720,1,1b
EF608721,1,1b
EF608722,1,1b
EF608723,1,1b
EF608724,1,1b
EF608725,1,1b
EF608726,1,1b
EF608727,1,1b
EF608728,1,1b
EF608729,1,1b
EF608730,1,1b
EF608731,1,1b
EF608732,1,1b
EF608733,1,1b
EF608734,1,1b
EF608735,1,1b
EF608736,1,1b
EF608737,1,1b
EF608738,1,1b
EF608739,1,1b
EF608740,1,1b
EF608741,1,1b
EF608742,1,1b
EF608743,1,1b
EF608744,1,1b
EF608745,1,1b
EF608746,1,1b
EF608747,1,1b
EF608748,1,1b
EF608749,1,1b
EF608750,1,1b
EF608751,1,1b
EF608752,1,1b
EF608753,1,1b
EF608754,1,1b
EF608755,1,1b
EF608756,1,1b
EF608757,1,1b
EF608758,1,1b
EF608759,1,1b
EF608760,1,1b
EF608761,1,1b
EF608762,1,1b
EF608763,1,1b
EF608764,1,1b
EF608765,1,1b
EF608766,1,1b
EF608767,1,1b
EF608768,1,1b
EF608769,1,1b
EF608770,1,1b
EF608771,1,1b
EF608772,1,1b
EF608773,1,1b
EF608774,1,1b
EF608775,1,1b
EF608776,1,1b
EF608777,1,1b
EF608778,1,1b
EF608779,1,1b
EF608780,1,1b
EF608781,1,1b
EF608782,1,1b
EF608783,1,1b
EF608784,1,1b
EF608785,1,1b
EF608786,1,1b
EF608787,1,1b
EF608788,1,1b
EF608789,1,1b
EF608790,1,1b
EF608791,1,1b
EF608792,1,1b
EF608793,1,1b
EF608794,1,1b
EF608795,1,1b
EF608796,1,1b
EF608797,1,1b
EF608798,1,1b
EF608799,1,1b
EF608800,1,1b
EF608801,1,1b
EF608802,1,1b
EF608803,1,1b
EF608804,1,1b
EF608805,1,1b
EF608806,1,1b
EF608807,1,1b
EF608808,1,1b
EF608809,1,1b
EF608810,1,1b
EF608811,1,1b
EF608812,1,1b
EF608813,1,1b
EF608814,1,1b
EF608815,1,1b
EF608816,1,1b
EF608817,1,1b
EF608818,1,1b
EF608819,1,1b
EF608820,1,1b
EF608821,1,1b
EF608822,1,1b
EF608823,1,1b
EF608824,1,1b
EF608825,1,1b
EF608826,1,1b
EF608827,1,1b
EF608828,1,1b
EF608829,1,1b
EF608830,1,1b
EF608831,1,1b
EF608832,1,1b
EF608833,1,1b
EF608834,1,1b
EF608835,1,1b
EF608836,1,1b
EF608837,1,1b
EF608838,1,1b
EF608839,1,1b
EF608840,1,1b
EF608841,1,1b
EF608842,1,1b
EF608843,1,1b
EF608844,1,1b
EF608845,1,1b
EF608846,1,1b
EF608847,1,1b
EF608848,1,1b
EF608849,1,1b
EF608850,1,1b
EF608851,1,1b
EF608852,1,1b
EF608853,1,1b
EF608854,1,1b
EF608855,1,1b
EF608856,1,1b
EF608857,1,1b
EF608858,1,1b
EF608859,1,1b
EF608860,1,1b
EF608861,1,1b
EF608862,1,1b
EF608863,1,1b
EF608864,1,1b
EF608865,1,1b
EF608866,1,1b
EF608867,1,1b
EF608868,1,1b
EF608869,1,1b
EF608870,1,1b
EF608871,1,1b
EF608872,1,1b
EF608873,1,1b
EF608874,1,1b
EF608875,1,1b
EF608876,1,1b
EF608877,1,1b
EF608878,1,1b
EF608879,1,1b
EF608880,1,1b
EF608881,1,1b
EF608882,1,1b
EF608883,1,1b
EF608884,1,1b
EF608885,1,1b
EF608886,1,1b
EF608887,1,1b
EF608888,1,1b
EF608889,1,1b
EF608890,1,1b
EF608891,1,1b
EF608892,1,1b
EF608893,1,1b
EF608894,1,1b
EF608895,1,1b
EF608896,1,1b
EF608897,1,1b
EF608898,1,1b
EF608899,1,1b
EF608900,1,1b
EF608901,1,1b
EF608902,1,1b
EF608903,1,1b
EF608904,1,1b
EF608905,1,1b
EF608906,1,1b
EF608907,1,1b
EF608908,1,1b
EF608909,1,1b
EF608910,1,1b
EF608911,1,1b
EF608912,1,1b
EF608913,1,1b
EF608914,1,1b
EF608915,1,1b
EF608916,1,1b
EF608917,1,1b
EF608918,1,1b
EF608919,1,1b
EF608920,1,1b
EF608921,1,1b
EF608922,1,1b
EF608923,1,1b
EF608924,1,1b
EF608925,1,1b
EF613694,,
EF613695,,
EF613696,,
EF613697,,
EF613698,,
EF613699,,
EF613700,,
EF613701,,
EF613702,,
EF613703,,
EF613704,,
EF613705,,
EF613706,,
EF613707,,
EF613708,,
EF613709,,
EF613710,,
EF613711,,
EF613712,,
EF613713,,
EF613714,,
EF613715,,
EF613716,,
EF613717,,
EF613718,,
EF613719,,
EF613720,,
EF613721,,
EF613722,,
EF613723,,
EF613724,,
EF613725,,
EF621489,,
EF632069,6,6t
EF632070,6,6t
EF632071,6,6t
EF638081,,
EF694393,4,4a
EF694394,4,4a
EF694395,4,4a
EF694396,4,4a
EF694397,4,4o
EF694398,4,4u
EF694399,4,4a
EF694400,4,4a
EF694401,4,4a
EF694402,4,4a
EF694403,4,4a
EF694404,4,4a
EF694405,4,4a
EF694406,4,4a
EF694407,4,4u
EF694408,4,4a
EF694409,4,4a
EF694410,4,4a
EF694411,4,4o
EF694412,4,4a
EF694413,4,4a
EF694414,4,4a
EF694415,4,4a
EF694416,4,4a
EF694417,4,4a
EF694418,4,4a
EF694419,4,4a
EF694420,4,4a
EF694421,4,4m
EF694422,4,4o
EF694423,4,4a
EF694425,4,4a
EF694426,4,4a
EF694427,4,4a
EF694428,4,4a
EF694429,4,4u
EF694431,4,4u
EF694432,4,4a
EF694433,4,4a
EF694434,4,4a
EF694435,4,4u
EF694436,1,1g
EF694437,4,4a
EF694438,4,4a
EF694439,4,4a
EF694440,4,4a
EF694441,4,4a
EF694442,4,4a
EF694443,4,4a
EF694444,4,4a
EF694445,4,4a
EF694446,4,4a
EF694447,4,4a
EF694448,4,4a
EF694449,4,4a
EF694450,4,4a
EF694451,4,4a
EF694452,1,1g
EF694453,4,4a
EF694454,4,4a
EF694455,4,4a
EF694456,4,4a
EF694457,4,4a
EF694458,4,4a
EF694459,4,4u
EF694460,4,4a
EF694461,4,4u
EF694462,4,4a
EF694463,4,4u
EF694464,4,4a
EF694465,4,4a
EF694466,4,4u
EF694467,4,4a
EF694468,4,4a
EF694469,4,4a
EF694470,4,4a
EF694471,4,4u
EF694472,4,4a
EF694473,4,4a
EF694474,4,4u
EF694475,4,4a
EF694476,4,4a
EF694477,4,4a
EF694478,4,4a
EF694479,4,4a
EF694480,4,4a
EF694481,4,4u
EF694482,1,1b
EF694483,4,4a
EF694484,4,4u
EF694485,4,4a
EF694486,4,4a
EF694487,4,4a
EF694488,4,4u
EF694489,4,4a
EF694490,4,4u
EF694491,4,4a
EF694492,4,4u
EF694493,4,4a
EF694494,4,4u
EF694495,4,4a
EF694496,4,4u
EF694497,4,4u
EF694498,4,4a
EF694499,4,4a
EF694500,4,4a
EF694501,4,4a
EF694502,4,4a
EF694503,4,4a
EF694504,4,4a
EF694505,4,4a
EF694506,4,4a
EF694507,4,4a
EF694508,4,4a
EF694509,4,4a
EF694510,4,4a
EF694511,4,4a
EF694512,4,4a
EF694513,4,4a
EF694514,4,4a
EF694515,4,4a
EF694516,4,4u
EF694517,4,4m
EF694518,4,4a
EF694519,4,4a
EF694520,4,4a
EF694521,4,4a
EF694522,4,4a
EF694523,4,4a
EF694524,4,4a
EF694525,4,4a
EU078744,,
EU078745,,
EU078746,,
EU078747,,
EU078748,,
EU078749,,
EU078750,,
EU078751,,
EU078752,,
EU078753,,
EU078754,,
EU078755,,
EU078756,,
EU078757,,
EU078758,,
EU078759,,
EU078760,,
EU078761,,
EU078762,,
EU078763,,
EU078764,,
EU078765,,
EU078766,,
EU078767,,
EU078768,,
