Accession,ClosestGenotype,ClosestSubtype,ReferenceOverlapAA,FullyCover
MG454172,1,1a,150-321,Yes
MG454173,2,2c,150-321,Yes
MG454174,1,1b,150-321,Yes
MG454175,1,1b,150-321,Yes
MG454176,4,4r,227-321,
MG454177,1,1a,150-321,Yes
MG454178,1,1a,150-321,Yes
MG454179,4,4a,150-321,Yes
MG454180,6,6a,150-321,Yes
MG454181,6,6a,150-321,Yes
MG454182,4,4a,150-321,Yes
MG454183,1,1a,150-321,Yes
MG454184,1,1a,150-321,Yes
MG454185,1,1b,150-321,Yes
MG454186,1,1a,150-321,Yes
MG454187,1,1b,150-321,Yes
MG454188,1,1a,150-321,Yes
MG454189,4,4a,150-321,Yes
MG454190,4,4d,150-321,Yes
MG454191,1,1b,150-321,Yes
MG454192,4,4d,150-321,Yes
MG454193,1,1a,150-321,Yes
MG454194,2,2c,150-321,Yes
MG454195,1,1b,150-321,Yes
MG454196,6,6l,150-321,Yes
MG454197,2,2b,150-321,Yes
MG454198,1,1a,150-321,Yes
MG454199,1,1a,150-321,Yes
MG454200,1,1b,150-321,Yes
MG454201,1,1a,150-321,Yes
MG454202,1,1b,150-321,Yes
MG454203,4,4a,150-321,Yes
MG454204,1,1a,150-321,Yes
MG454205,1,1a,150-321,Yes
MG454206,1,1a,150-321,Yes
MG454207,2,2c,150-321,Yes
MG454208,1,1b,150-321,Yes
MG454209,1,1a,150-321,Yes
MG454210,4,4a,150-321,Yes
MG454211,2,2b,150-321,Yes
MG454212,2,2b,150-321,Yes
MG454213,2,2k,150-321,Yes
MG454214,4,4k,150-321,Yes
MG454215,4,4d,150-321,Yes
MG454216,4,4b,150-321,Yes
MG454217,1,1b,150-321,Yes
MG454218,1,1a,150-321,Yes
MG454219,1,1b,150-321,Yes
MG454220,4,4a,150-321,Yes
MG454221,1,1b,150-321,Yes
MG454222,4,4d,150-321,Yes
MG454223,2,2a,150-321,Yes
MG454224,4,4a,150-321,Yes
MG454225,1,1b,150-321,Yes
MG454226,2,2c,150-321,Yes
MG454227,1,1a,150-321,Yes
MG454228,1,1i,150-321,Yes
MG454229,1,1a,150-321,Yes
MG454230,1,1a,150-321,Yes
MG454231,1,1a,150-321,Yes
MG454232,1,1a,150-321,Yes
MG454233,1,1a,150-321,Yes
MG454234,1,1a,150-321,Yes
MG454235,3,3a,150-321,Yes
MG454236,1,1a,150-321,Yes
MG454237,1,1a,150-321,Yes
MG454238,1,1a,150-321,Yes
MG454239,1,1b,150-321,Yes
MG454240,3,3a,150-321,Yes
MG454241,1,1a,150-321,Yes
MG454242,4,4a,150-321,Yes
MG454243,1,1a,150-321,Yes
MG454244,1,1a,150-321,Yes
MG454245,1,1a,150-321,Yes
MG454246,1,1a,150-321,Yes
MG454247,2,2b,150-321,Yes
MG454248,2,2a,150-321,Yes
MG454249,1,1a,150-321,Yes
MG454250,1,1a,150-321,Yes
MG454251,2,2b,150-321,Yes
MG454252,1,1b,150-321,Yes
MG454253,1,1a,150-321,Yes
MG454254,3,3a,150-321,Yes
MG454255,1,1a,150-321,Yes
MG454256,3,3a,150-321,Yes
MG454257,1,1a,150-321,Yes
MG454258,1,1a,150-321,Yes
MG454259,2,2b,150-321,Yes
MG454260,1,1a,150-321,Yes
MG454261,2,2b,150-321,Yes
MG454262,2,2a,150-321,Yes
MG454263,4,4a,150-321,Yes
MG454264,1,1a,150-321,Yes
MG454265,2,2a,150-321,Yes
MG454266,1,1a,150-321,Yes
MG454267,3,3a,150-321,Yes
MG454268,4,4a,150-321,Yes
MG454269,1,1a,150-321,Yes
MG454270,1,1a,150-321,Yes
MG454271,2,2b,150-321,Yes
MG454272,1,1a,150-321,Yes
MG454273,3,3a,150-321,Yes
MG454274,1,1a,150-321,Yes
MG454275,1,1a,150-321,Yes
MG454276,3,3a,150-321,Yes
MG454277,2,2b,150-321,Yes
MG454278,1,1a,150-321,Yes
MG454279,4,4a,150-321,Yes
MG454280,1,1a,150-321,Yes
MG454281,3,3a,150-321,Yes
MG454282,3,3a,150-321,Yes
MG454283,1,1a,150-321,Yes
MG454284,6,6a,150-321,Yes
MG454285,1,1a,150-321,Yes
MG454286,1,1b,150-321,Yes
MG454287,2,2b,150-321,Yes
MG454288,1,1b,150-321,Yes
MG454289,3,3a,150-321,Yes
MG454290,1,1a,150-321,Yes
MG454291,1,1a,150-321,Yes
MG454292,1,1a,150-321,Yes
MG454293,3,3a,150-321,Yes
MG454294,1,1a,150-321,Yes
MG454295,1,1a,150-321,Yes
MG454296,1,1b,150-321,Yes
MG454297,2,2b,150-321,Yes
MG454298,3,3a,150-321,Yes
MG454299,2,2b,150-321,Yes
MG454300,1,1a,150-321,Yes
MG454301,4,4a,150-321,Yes
MG454302,3,3a,150-321,Yes
MG454303,1,1a,150-321,Yes
MG454304,1,1b,150-321,Yes
MG454305,1,1a,150-321,Yes
MG454306,2,2a,150-321,Yes
MG454307,3,3a,150-321,Yes
MG454308,3,3a,150-321,Yes
MG454309,1,1b,150-321,Yes
MG454310,3,3a,150-321,Yes
MG454311,4,4a,150-321,Yes
MG454312,1,1a,150-321,Yes
MG454313,3,3a,150-321,Yes
MG454314,1,1a,150-321,Yes
MG454315,3,3a,150-321,Yes
MG454316,1,1a,150-321,Yes
MG454317,1,1b,150-321,Yes
MG454318,4,4a,150-321,Yes
MG454319,1,1a,150-321,Yes
MG454320,1,1a,150-321,Yes
MG454321,2,2b,150-321,Yes
MG454322,1,1b,150-321,Yes
MG454323,1,1a,150-321,Yes
MG454324,3,3a,150-321,Yes
MG454325,2,2b,150-321,Yes
MG454326,1,1b,150-321,Yes
MG454327,4,4a,150-321,Yes
MG454328,3,3a,150-321,Yes
MG454329,4,4a,150-321,Yes
MG454330,3,3a,150-321,Yes
MG454331,1,1a,150-321,Yes
MG454332,3,3a,150-321,Yes
MG454333,1,1b,150-321,Yes
MG454334,4,4a,150-321,Yes
MG454335,1,1a,150-321,Yes
MG454336,2,2b,150-321,Yes
MG454337,4,4a,150-321,Yes
MG454338,2,2a,150-321,Yes
MG454339,1,1b,150-321,Yes
MG454340,2,2b,150-321,Yes
MG454341,1,1a,150-321,Yes
MG454342,3,3a,150-321,Yes
MG454343,3,3a,150-321,Yes
MG454344,1,1a,150-321,Yes
MG454345,3,3a,150-321,Yes
MG454346,2,2b,150-321,Yes
MG454347,2,2b,150-321,Yes
MG454348,1,1a,150-321,Yes
MG454349,1,1b,150-321,Yes
MG454350,1,1a,150-321,Yes
MG454351,1,1a,150-321,Yes
MG454352,3,3a,150-321,Yes
MG454353,4,4a,150-321,Yes
MG454354,2,2b,150-321,Yes
MG454355,2,2b,150-321,Yes
MG454356,1,1a,150-321,Yes
MG454357,1,1a,150-321,Yes
MG454358,1,1a,150-321,Yes
MG454359,1,1a,150-321,Yes
MG454360,2,2b,150-321,Yes
MG454361,2,2a,150-321,Yes
MG454362,3,3a,150-321,Yes
MG454363,2,2b,150-321,Yes
MG454364,2,2b,150-321,Yes
MG454365,2,2a,150-321,Yes
MG454366,1,1a,150-321,Yes
MG454367,1,1a,150-321,Yes
MG454368,3,3a,150-321,Yes
MG454369,3,3a,150-321,Yes
MG454370,1,1a,150-321,Yes
MG454371,1,1b,150-321,Yes
MG454372,1,1a,150-321,Yes
MG454373,1,1a,150-321,Yes
MG454374,4,4d,150-321,Yes
MG454375,1,1a,150-321,Yes
MG454376,1,1a,150-321,Yes
MG454377,1,1a,150-321,Yes
MG454378,1,1a,150-321,Yes
MG454379,2,2a,150-321,Yes
MG454380,4,4a,150-321,Yes
MG454381,1,1b,150-321,Yes
MG454382,1,1b,150-321,Yes
MG454383,3,3a,150-321,Yes
MG454384,3,3a,150-321,Yes
MG454385,1,1b,150-321,Yes
MG454386,1,1a,150-321,Yes
MG454387,1,1b,150-321,Yes
MG454388,2,2b,150-321,Yes
MG454389,4,4a,150-321,Yes
MG454390,1,1a,150-321,Yes
MG454391,3,3a,150-321,Yes
MG454392,1,1a,150-321,Yes
MG454393,1,1a,150-321,Yes
MG454394,1,1b,150-321,Yes
MG454395,4,4a,150-321,Yes
MG454396,6,6e,227-321,
MG454397,3,3a,150-321,Yes
MG454398,4,4a,150-321,Yes
MG454399,3,3a,150-321,Yes
MG454400,4,4a,150-321,Yes
MG454401,1,1a,150-321,Yes
MG454402,1,1a,150-321,Yes
MG454403,3,3a,150-321,Yes
MG454404,1,1b,150-321,Yes
MG454405,1,1a,150-321,Yes
MG454406,1,1a,150-321,Yes
MG454407,1,1a,150-321,Yes
MG454408,1,1a,150-321,Yes
MG454409,2,2b,150-321,Yes
MG454410,1,1a,150-321,Yes
MG454411,1,1a,150-321,Yes
MG454412,4,4a,150-321,Yes
MG454413,1,1a,150-321,Yes
MG454414,1,1a,150-321,Yes
MG454415,1,1a,150-321,Yes
MG454416,3,3a,150-321,Yes
MG454417,1,1a,150-321,Yes
MG454418,3,3b,150-321,Yes
MG454419,4,4a,150-321,Yes
MG454420,2,2a,150-321,Yes
MG454421,2,2a,150-321,Yes
MG454422,1,1b,150-321,Yes
MG454423,1,1a,150-321,Yes
MG454424,3,3a,150-321,Yes
MG454425,1,1a,150-321,Yes
MG454426,1,1b,150-321,Yes
MG454427,3,3a,150-321,Yes
MG454428,6,6a,150-321,Yes
MG454429,1,1a,150-321,Yes
MG454430,1,1a,150-321,Yes
MG454431,3,3a,150-321,Yes
MG454432,1,1a,150-321,Yes
MG454433,3,3a,150-321,Yes
MG454434,1,1a,150-321,Yes
MG454435,3,3a,150-321,Yes
MG454436,1,1a,150-321,Yes
MG454437,2,2a,150-321,Yes
MG454438,3,3a,150-321,Yes
MG454439,1,1b,150-321,Yes
MG454440,3,3a,150-321,Yes
MG454441,1,1a,150-321,Yes
MG454442,1,1a,150-321,Yes
MG454443,4,4o,150-321,Yes
MG454444,1,1a,150-321,Yes
MG454445,2,2a,150-321,Yes
MG454446,1,1a,150-321,Yes
MG454447,1,1a,150-321,Yes
MG454448,1,1a,150-321,Yes
MG454449,1,1a,150-321,Yes
MG454450,1,1a,150-321,Yes
MG454451,4,4a,150-321,Yes
MG454452,1,1a,150-321,Yes
MG454453,2,2b,150-321,Yes
MG454454,2,2b,150-321,Yes
MG454455,2,2b,150-321,Yes
MG454456,7,7a,227-321,
MG454457,3,3a,150-321,Yes
MG454458,1,1a,150-321,Yes
MG454459,1,1b,150-321,Yes
MG454460,1,1a,150-321,Yes
MG454461,1,1a,150-321,Yes
MG454462,4,4a,150-321,Yes
MG454463,1,1a,150-321,Yes
MG454464,1,1a,150-321,Yes
MG454465,1,1a,150-321,Yes
MG454466,1,1a,150-321,Yes
MG454467,1,1a,150-321,Yes
MG454468,1,1a,150-321,Yes
MG454469,1,1a,150-321,Yes
MG454470,1,1b,150-321,Yes
MG454471,1,1b,150-321,Yes
MG454472,4,4k,150-321,Yes
MG454473,1,1a,150-321,Yes
MG454474,3,3a,150-321,Yes
MG454475,1,1a,150-321,Yes
MG454476,2,2b,150-321,Yes
MG454477,2,2b,150-321,Yes
MG454478,1,1a,150-321,Yes
MG454479,3,3a,150-321,Yes
MG454480,1,1a,150-321,Yes
MG454481,4,4a,150-321,Yes
MG454482,4,4a,150-321,Yes
MG454483,4,4d,150-321,Yes
MG454484,1,1b,150-321,Yes
MG454485,1,1a,150-321,Yes
MG454486,3,3a,150-321,Yes
MG454487,4,4a,150-321,Yes
MG454488,3,3a,150-321,Yes
MG454489,1,1a,150-321,Yes
MG454490,1,1b,150-321,Yes
MG454491,6,6a,150-321,Yes
MG454492,1,1a,150-321,Yes
MG454493,1,1b,150-321,Yes
MG454494,1,1b,150-321,Yes
MG454495,4,4d,150-321,Yes
MG454496,1,1b,150-321,Yes
MG454497,3,3a,150-321,Yes
MG454498,3,3a,150-321,Yes
MG454499,2,2b,150-321,Yes
MG454500,3,3a,150-321,Yes
MG454501,4,4k,150-321,Yes
MG454502,1,1a,150-321,Yes
MG454503,1,1b,150-321,Yes
MG454504,1,1b,150-321,Yes
MG454505,4,4k,150-321,Yes
MG454506,3,3a,150-321,Yes
MG454507,1,1a,150-321,Yes
MG454508,1,1a,150-321,Yes
MG454509,3,3a,150-321,Yes
MG454510,6,6a,150-321,Yes
MG454511,1,1b,150-321,Yes
MG454512,1,1a,150-321,Yes
MG454513,1,1b,150-321,Yes
MG454514,3,3a,150-321,Yes
MG454515,1,1a,150-321,Yes
MG454516,1,1b,150-321,Yes
MG454517,1,1h,150-321,Yes
MG454518,4,4d,150-321,Yes
MG454519,1,1a,150-321,Yes
MG454520,1,1a,150-321,Yes
MG454521,1,1a,150-321,Yes
MG454522,3,3a,150-321,Yes
MG454523,1,1a,150-321,Yes
MG454524,1,1b,150-321,Yes
MG454525,1,1b,150-321,Yes
MG454526,4,4p,150-321,Yes
MG454527,1,1b,150-321,Yes
MG454528,1,1a,150-321,Yes
MG454529,2,2a,150-321,Yes
MG454530,1,1a,150-321,Yes
MG454531,3,3a,150-321,Yes
MG454532,4,4a,150-321,Yes
MG454533,2,2b,150-321,Yes
MG454534,3,3g,150-321,Yes
MG454535,1,1b,150-321,Yes
MG454536,2,2a,150-321,Yes
MG454537,1,1b,150-321,Yes
MG454538,3,3a,150-321,Yes
MG454539,3,3a,150-321,Yes
MG454540,4,4k,150-321,Yes
MG454541,1,1b,150-321,Yes
MG454542,4,4a,150-321,Yes
MG454543,1,1a,150-321,Yes
MG454544,1,1b,150-321,Yes
MG454545,1,1a,150-321,Yes
MG454546,1,1a,150-321,Yes
MG454547,1,1a,150-321,Yes
MG454548,1,1a,150-321,Yes
MG454549,4,4v,150-321,Yes
MG454550,6,6v,227-321,
MG454551,6,6l,227-321,
MG454552,1,1a,150-321,Yes
MG454553,3,3a,150-321,Yes
MG454554,1,1a,150-321,Yes
MG454555,3,3a,150-321,Yes
MG454556,3,3a,150-321,Yes
MG454557,1,1b,150-321,Yes
MG454558,1,1a,150-321,Yes
MG454559,3,3a,150-321,Yes
MG454560,2,2b,150-321,Yes
MG454561,1,1a,150-321,Yes
MG454562,1,1a,150-321,Yes
MG454563,3,3a,150-321,Yes
MG454564,2,2b,150-321,Yes
MG454565,1,1a,150-321,Yes
MG454566,4,4a,150-321,Yes
MG454567,1,1a,150-321,Yes
MG454568,4,4v,226-321,
MG454569,1,1a,150-321,Yes
MG454570,1,1a,150-321,Yes
MG454571,3,3a,150-321,Yes
MG454572,1,1a,150-321,Yes
MG454573,4,4c,150-321,Yes
MG454574,4,4d,150-321,Yes
MG454575,3,3a,150-321,Yes
MG454576,4,4a,150-321,Yes
MG454577,1,1b,150-321,Yes
MG454578,1,1b,150-321,Yes
MG454579,1,1a,150-321,Yes
MG454580,1,1b,150-321,Yes
MG454581,1,1b,150-321,Yes
MG454582,4,4f,150-321,Yes
MG454583,3,3a,150-321,Yes
MG454584,3,3a,150-321,Yes
MG454585,3,3a,150-321,Yes
MG454586,1,1a,150-321,Yes
MG454587,1,1a,150-321,Yes
MG454588,1,1a,150-321,Yes
MG454589,3,3a,150-321,Yes
MG454590,1,1a,150-321,Yes
MG454591,1,1b,150-321,Yes
MG454592,3,3a,150-321,Yes
MG454593,4,4a,150-321,Yes
MG454594,3,3a,150-321,Yes
MG454595,1,1b,150-321,Yes
MG454596,3,3a,150-321,Yes
MG454597,4,4l,150-321,Yes
MG454598,4,4a,150-321,Yes
MG454599,1,1a,150-321,Yes
MG454600,3,3a,150-321,Yes
MG454601,2,2b,150-321,Yes
MG454602,1,1a,150-321,Yes
MG454603,4,4a,150-321,Yes
MG454604,4,4a,150-321,Yes
MG454605,4,4a,150-321,Yes
MG454606,1,1a,150-321,Yes
MG454607,4,4a,150-321,Yes
MG454608,1,1d,150-321,Yes
MG454609,1,1a,150-321,Yes
MG454610,1,1b,150-321,Yes
MG454611,1,1b,150-321,Yes
MG454612,3,3a,150-321,Yes
MG454613,1,1a,150-321,Yes
MG454614,2,2b,150-321,Yes
MG454615,1,1a,150-321,Yes
MG454616,1,1b,150-321,Yes
MG454617,1,1b,150-321,Yes
MG454618,6,6e,227-321,
MG454619,3,3a,150-321,Yes
MG454620,1,1a,150-321,Yes
MG454621,4,4a,150-321,Yes
MG454622,1,1a,150-321,Yes
MG454623,4,4d,150-321,Yes
MG454624,1,1a,150-321,Yes
MG454625,3,3a,150-321,Yes
MG454626,3,3a,150-321,Yes
MG454627,3,3a,150-321,Yes
MG454628,2,2d,150-321,Yes
MG454629,4,4d,150-321,Yes
MG454630,4,4k,150-321,Yes
MG454631,1,1a,150-321,Yes
MG454632,4,4a,150-321,Yes
MG454633,1,1a,150-321,Yes
MG454634,4,4d,150-321,Yes
MG454635,1,1a,150-321,Yes
MG454636,1,1a,150-321,Yes
MG454637,3,3a,150-321,Yes
MG454638,1,1b,150-321,Yes
MG454639,1,1a,150-321,Yes
MG454640,1,1a,150-321,Yes
MG454641,1,1a,150-321,Yes
MG454642,1,1a,150-321,Yes
MG454643,1,1a,150-321,Yes
MG454644,1,1a,150-321,Yes
MG454645,2,2k,150-321,Yes
MG454646,1,1a,150-321,Yes
MG454647,2,2b,150-321,Yes
MG454648,4,4a,150-321,Yes
MG454649,1,1a,150-321,Yes
MG454650,2,2q,150-321,Yes
MG454651,3,3a,150-321,Yes
MG454652,4,4d,150-321,Yes
MG454653,3,3a,150-321,Yes
MG454654,2,2b,150-321,Yes
MG454655,1,1a,150-321,Yes
MG454656,1,1b,150-321,Yes
MG454657,1,1a,150-321,Yes
MG454658,1,1a,150-321,Yes
MG454659,3,3a,150-321,Yes
MG454660,1,1b,150-321,Yes
MG454661,2,2b,150-321,Yes
MG454662,4,4a,150-321,Yes
MG454663,1,1a,150-321,Yes
MG454664,1,1b,150-321,Yes
MG454665,3,3a,150-321,Yes
MG454666,3,3a,150-321,Yes
MG454667,3,3a,150-321,Yes
MG454668,3,3a,150-321,Yes
MG454669,3,3a,150-321,Yes
MG454670,3,3a,150-321,Yes
MG454671,3,3a,150-321,Yes
MG454672,3,3a,150-321,Yes
MG454673,3,3a,150-321,Yes
MG454674,3,3a,150-321,Yes
MG454675,3,3a,150-321,Yes
MG454676,3,3a,150-321,Yes
MG454677,3,3a,150-321,Yes
MG454678,3,3a,150-321,Yes
MG454679,3,3a,150-321,Yes
MG454680,3,3a,150-321,Yes
MG454681,3,3a,150-321,Yes
MG454682,3,3a,150-321,Yes
MG454683,3,3a,150-321,Yes
MG454684,3,3a,150-321,Yes
MG454685,3,3a,150-321,Yes
MG454686,3,3a,150-321,Yes
MG454687,3,3a,150-321,Yes
MG454688,3,3a,150-321,Yes
MG454689,3,3a,150-321,Yes
MG454690,3,3a,150-321,Yes
MG454691,3,3a,150-321,Yes
MG454692,3,3a,150-321,Yes
MG454693,3,3a,226-321,
MG454694,3,3a,150-321,Yes
MG454695,3,3a,150-321,Yes
MG454696,3,3a,150-321,Yes
MG454697,3,3a,150-321,Yes
MG454698,3,3a,150-321,Yes
MG454699,3,3a,150-321,Yes
MG454700,3,3a,150-321,Yes
MG454701,3,3a,150-321,Yes
MG454702,3,3a,150-321,Yes
MG454703,3,3a,150-321,Yes
MG454704,3,3a,150-321,Yes
MG454705,3,3a,150-321,Yes
MG454706,3,3a,150-321,Yes
MG454707,3,3a,150-321,Yes
MG454708,3,3a,150-321,Yes
MG454709,3,3a,150-321,Yes
MG454710,3,3a,150-321,Yes
MG454711,3,3a,150-321,Yes
MG454712,3,3a,150-321,Yes
MG454713,3,3a,150-321,Yes
MG454714,3,3a,150-321,Yes
MG454715,3,3a,150-321,Yes
MG454716,3,3a,150-321,Yes
MG454717,3,3a,150-321,Yes
MG454718,3,3a,150-321,Yes
MG454719,3,3a,150-321,Yes
MG454720,3,3a,150-321,Yes
MG454721,3,3a,150-321,Yes
MG454722,3,3a,150-321,Yes
MG454723,3,3a,150-321,Yes
MG454724,3,3a,150-321,Yes
MG454725,3,3a,150-321,Yes
MG454726,3,3a,227-321,
MG454727,3,3a,150-321,Yes
MG454728,3,3a,150-321,Yes
MG454729,3,3a,150-321,Yes
MG454730,3,3a,150-321,Yes
MG454731,3,3a,150-321,Yes
MG454732,3,3a,150-321,Yes
MG454733,3,3a,150-321,Yes
MG454734,3,3a,150-321,Yes
MG454735,3,3a,150-321,Yes
MG454736,3,3a,150-321,Yes
MG454737,3,3a,150-321,Yes
MG454738,3,3a,150-321,Yes
MG454739,3,3a,150-321,Yes
MG454740,3,3a,150-321,Yes
MG454741,3,3a,150-321,Yes
MG454742,3,3a,150-321,Yes
MG454743,3,3a,150-321,Yes
MG454744,3,3a,150-321,Yes
MG454745,3,3a,150-321,Yes
MG454746,3,3a,150-321,Yes
MG454747,3,3a,150-321,Yes
MG454748,3,3g,227-321,
MG454749,3,3a,150-321,Yes
MG454750,3,3a,150-321,Yes
MG454751,3,3a,150-321,Yes
MG454752,3,3a,150-321,Yes
MG454753,3,3a,150-321,Yes
MG454754,3,3a,150-321,Yes
MG454755,3,3a,150-321,Yes
MG454756,3,3a,226-321,
MG454757,3,3a,150-321,Yes
MG454758,3,3a,150-321,Yes
MG454759,3,3a,150-321,Yes
MG454760,3,3a,150-321,Yes
MG454761,3,3a,150-321,Yes
MG454762,3,3a,150-321,Yes
MG454763,3,3a,150-321,Yes
MG454764,3,3a,150-321,Yes
MG454765,3,3a,150-321,Yes
MG454766,3,3a,150-321,Yes
MG454767,3,3a,150-321,Yes
MG454768,3,3a,150-321,Yes
MG454769,3,3a,150-321,Yes
MG454770,3,3a,150-321,Yes
MG454771,3,3a,150-321,Yes
MG454772,3,3a,150-321,Yes
MG454773,,,,
MG454774,,,,
MG454775,,,,
MG454776,,,,
MG454777,,,,
MG454778,,,,
MG454779,,,,
MG454780,,,,
MG454781,,,,
MG454782,,,,
MG454783,,,,
MG454784,,,,
MG454785,,,,
MG454786,,,,
MG454787,,,,
MG454788,,,,
MG454789,,,,
MG454790,,,,
MG454791,,,,
MG454792,,,,
MG454793,,,,
MG454794,,,,
MG454795,,,,
MG454796,,,,
MG454797,,,,
MG454798,,,,
MG454799,,,,
MG454800,,,,
MG454801,,,,
MG454802,,,,
MG454803,,,,
MG454804,,,,
MG454805,,,,
MG454806,,,,
MG454807,,,,
MG454808,,,,
MG454809,,,,
MG454810,,,,
MG454811,,,,
MG454812,,,,
MG454813,,,,
MG454814,,,,
MG454815,,,,
MG454816,,,,
MG454817,,,,
MG454818,,,,
MG454819,,,,
MG454820,,,,
MG454821,,,,
MG454822,,,,
MG454823,,,,
MG454824,,,,
MG454825,,,,
MG454826,,,,
MG454827,,,,
MG454828,,,,
MG454829,,,,
MG454830,,,,
MG454831,,,,
MG454832,,,,
MG454833,,,,
MG454834,,,,
MG454835,,,,
MG454836,,,,
MG454837,,,,
MG454838,,,,
MG454839,,,,
MG454840,,,,
MG454841,,,,
MG454842,,,,
MG454843,,,,
MG454844,,,,
MG454845,,,,
MG454846,,,,
MG454847,,,,
MG454848,,,,
MG454849,,,,
MG454850,,,,
MG454851,,,,
MG454852,,,,
MG454853,,,,
MG454854,,,,
MG454855,,,,
MG454856,,,,
MG454857,,,,
MG454858,,,,
MG454859,,,,
MG454860,,,,
MG454861,,,,
MG454862,,,,
MG454863,,,,
MG454864,,,,
MG454865,,,,
MG454866,,,,
MG454867,,,,
MG454868,,,,
MG454869,,,,
MG454870,,,,
MG454871,,,,
MG454872,,,,
MG454873,,,,
MG454874,,,,
MG454875,,,,
MG454876,,,,
MG454877,,,,
MG454878,,,,
MG454879,,,,
MG454880,,,,
MG454881,,,,
MG454882,,,,
MG454883,,,,
MG454884,,,,
MG454885,,,,
MG454886,,,,
MG454887,,,,
MG454888,,,,
MG454889,,,,
MG454890,,,,
MG454891,,,,
MG454892,,,,
MG454893,,,,
MG454894,,,,
MG454895,,,,
MG454896,,,,
MG454897,,,,
MG454898,,,,
MG454899,,,,
MG454900,,,,
MG454901,,,,
MG454902,,,,
MG454903,,,,
MG454904,,,,
MG454905,,,,
MG454906,,,,
MG454907,,,,
MG454908,,,,
MG454909,,,,
MG454910,,,,
MG454911,,,,
MG454912,,,,
MG454913,,,,
MG454914,,,,
MG454915,,,,
MG454916,,,,
MG454917,,,,
MG454918,,,,
MG454919,,,,
MG454920,,,,
MG454921,,,,
MG454922,,,,
MG454923,,,,
MG454924,,,,
MG454925,,,,
MG454926,,,,
MG454927,,,,
MG454928,,,,
MG454929,,,,
MG454930,,,,
MG454931,,,,
MG454932,,,,
MG454933,,,,
MG454934,,,,
MG454935,,,,
MG454936,,,,
MG454937,,,,
MG454938,,,,
MG454939,,,,
MG454940,,,,
MG454941,,,,
MG454942,,,,
MG454943,,,,
MG454944,,,,
MG454945,,,,
MG454946,,,,
MG454947,,,,
MG454948,,,,
MG454949,,,,
MG454950,,,,
MG454951,,,,
MG454952,,,,
MG454953,,,,
MG454954,,,,
MG454955,,,,
MG454956,,,,
MG454957,,,,
MG454958,,,,
MG454959,,,,
MG454960,,,,
MG454961,,,,
MG454962,,,,
MG454963,,,,
MG454964,,,,
MG454965,,,,
MG454966,,,,
MG454967,,,,
MG454968,,,,
MG454969,,,,
MG454970,,,,
MG454971,,,,
MG454972,,,,
MG454973,,,,
MG454974,,,,
MG454975,,,,
MG454976,,,,
MG454977,,,,
MG454978,,,,
MG454979,,,,
MG454980,,,,
MG454981,,,,
MG454982,,,,
MG454983,,,,
MG454984,,,,
MG454985,,,,
MG454986,,,,
MG454987,,,,
MG454988,,,,
MG454989,,,,
MG454990,,,,
MG454991,,,,
MG454992,,,,
MG454993,,,,
MG454994,,,,
MG454995,,,,
MG454996,,,,
MG454997,,,,
MG454998,,,,
MG454999,,,,
MG455000,,,,
MG455001,,,,
MG455002,,,,
MG455003,,,,
MG455004,,,,
MG455005,,,,
MG455006,,,,
MG455007,,,,
MG455008,,,,
MG455009,,,,
MG455010,,,,
MG455011,,,,
MG455012,,,,
MG455013,,,,
MG455014,,,,
MG455015,,,,
MG455016,,,,
MG455017,,,,
MG455018,,,,
MG455019,,,,
MG455020,,,,
MG455021,,,,
MG455022,,,,
MG455023,,,,
MG455024,,,,
MG455025,,,,
MG455026,,,,
MG455027,,,,
MG455028,,,,
MG455029,,,,
MG455030,,,,
MG455031,,,,
MG455032,,,,
MG455033,,,,
MG455034,,,,
MG455035,,,,
MG455036,,,,
MG455037,,,,
MG455038,,,,
MG455039,,,,
MG455040,,,,
MG455041,,,,
MG455042,,,,
MG455043,,,,
MG455044,,,,
MG455045,,,,
MG455046,,,,
MG455047,,,,
MG455048,,,,
MG455049,,,,
MG455050,,,,
MG455051,,,,
MG455052,,,,
MG455053,,,,
MG455054,,,,
MG455055,,,,
MG455056,,,,
MG455057,,,,
MG455058,,,,
MG455059,,,,
MG455060,,,,
MG455061,,,,
MG455062,,,,
MG455063,,,,
MG455064,,,,
MG455065,,,,
MG455066,,,,
MG455067,,,,
MG455068,,,,
MG455069,,,,
MG455070,,,,
MG455071,,,,
MG455072,,,,
MG455073,,,,
MG455074,,,,
MG455075,,,,
MG455076,,,,
MG455077,,,,
MG455078,,,,
MG455079,,,,
MG455080,,,,
MG455081,,,,
MG455082,,,,
MG455083,,,,
MG455084,,,,
MG455085,,,,
MG455086,,,,
MG455087,,,,
MG455088,,,,
MG455089,,,,
MG455090,,,,
MG455091,,,,
MG455092,,,,
MG455093,,,,
MG455094,,,,
MG455095,,,,
MG455096,,,,
MG455097,,,,
MG455098,,,,
MG455099,,,,
MG455100,,,,
MG455101,,,,
MG455102,,,,
MG455103,,,,
MG455104,,,,
MG455105,,,,
MG455106,,,,
MG455107,,,,
MG455108,,,,
MG455109,,,,
MG455110,,,,
MG455111,,,,
MG455112,,,,
MG455113,,,,
MG455114,,,,
MG455115,,,,
MG455116,,,,
MG455117,,,,
MG455118,,,,
MG455119,,,,
MG455120,,,,
MG455121,,,,
MG455122,,,,
MG455123,,,,
MG455124,,,,
