Accession,ClosestSubtypeAlignedNT,AssignedGenotype,Subtype5aDistance,Subtype5bDistance,FirstChoiceSubtype,FirstChoiceDistance,SecondChoiceSubtype,SecondChoiceDistance
HQ623417,543,5,6.998,25.092,5a,6.998,5b,25.092
HQ623418,543,5,7.735,23.801,5a,7.735,5b,23.801
HQ623419,543,5,7.735,23.985,5a,7.735,5b,23.985
HQ623420,543,5,6.814,24.354,5a,6.814,5b,24.354
HQ623421,543,5,7.366,24.170,5a,7.366,5b,24.170
HQ623422,543,5,8.287,24.170,5a,8.287,5b,24.170
HQ623423,543,5,7.366,23.985,5a,7.366,5b,23.985
HQ623424,543,5,6.446,25.092,5a,6.446,5b,25.092
HQ623425,543,5,8.103,23.616,5a,8.103,5b,23.616
HQ623426,543,5,8.103,25.461,5a,8.103,5b,25.461
JN116564,358,5,10.056,19.553,5a,10.056,5b,19.553
JN116565,364,5,7.692,20.330,5a,7.692,5b,20.330
JN116566,352,5,5.966,18.927,5a,5.966,5b,18.927
JQ318453,340,5,6.471,20.588,5a,6.471,5b,20.588
JQ318516,340,5,6.176,20.882,5a,6.176,5b,20.882
JQ318557,340,5,7.059,20.294,5a,7.059,5b,20.294
PX387001,9276,5,9.853,23.175,5a,9.853,5b,23.175
PX387002,9321,5,9.387,23.413,5a,9.387,5b,23.413
EU558516,338,5,7.988,21.239,5a,7.988,5b,21.239
EU684638,404,5,5.693,19.753,5a,5.693,5b,19.753
FJ872356,1759,5,6.254,19.318,5a,6.254,5b,19.318
FJ872357,1769,5,8.084,20.294,5a,8.084,5b,20.294
FJ872358,1759,5,7.732,20.568,5a,7.732,5b,20.568
FJ872359,1759,5,6.993,19.886,5a,6.993,5b,19.886
FJ872360,1758,5,7.395,20.466,5a,7.395,5b,20.466
FJ872361,1758,5,8.646,20.921,5a,8.646,5b,20.921
FJ872362,1766,5,6.795,19.943,5a,6.795,5b,19.943
FJ872363,1766,5,7.758,19.683,5a,7.758,5b,19.683
FJ872364,1766,5,7.361,20.305,5a,7.361,5b,20.305
FJ872365,1766,5,7.871,20.113,5a,7.871,5b,20.113
FJ872366,1766,5,7.248,20.543,5a,7.248,5b,20.543
FJ872367,1769,5,7.914,19.718,5a,7.914,5b,19.718
FJ872368,1759,5,7.447,20.352,5a,7.447,5b,20.352
FJ872369,1758,5,7.679,20.580,5a,7.679,5b,20.580
FJ872370,1758,5,7.850,20.239,5a,7.850,5b,20.239
FN553067,557,5,7.899,24.765,5a,7.899,5b,24.765
FN553068,559,5,7.156,26.604,5a,7.156,5b,26.604
FN553069,559,5,9.302,27.799,5a,9.302,5b,27.799
FN553070,559,5,7.871,26.415,5a,7.871,5b,26.415
FN553071,559,5,8.945,26.079,5a,8.945,5b,26.079
FN553072,559,5,7.335,27.205,5a,7.335,5b,27.205
FN553073,559,5,11.270,27.037,5a,11.270,5b,27.037
FN553074,559,5,10.018,25.891,5a,10.018,5b,25.891
FN553075,559,5,8.766,26.255,5a,8.766,5b,26.255
FN553076,557,5,9.156,25.891,5a,9.156,5b,25.891
FN553077,559,5,8.945,26.604,5a,8.945,5b,26.604
FN553078,559,5,8.408,27.017,5a,8.408,5b,27.017
FN553079,559,5,7.513,25.849,5a,7.513,5b,25.849
FN553080,557,5,9.515,26.358,5a,9.515,5b,26.358
FN553081,559,5,8.050,25.704,5a,8.050,5b,25.704
FN553082,559,5,8.229,26.266,5a,8.229,5b,26.266
FN553083,559,5,7.513,26.266,5a,7.513,5b,26.266
FN553084,559,5,8.050,26.454,5a,8.050,5b,26.454
FN553085,559,5,8.587,27.392,5a,8.587,5b,27.392
FN553086,559,5,8.050,26.642,5a,8.050,5b,26.642
FN553087,559,5,8.766,25.283,5a,8.766,5b,25.283
FN553088,559,5,8.945,25.660,5a,8.945,5b,25.660
FN553089,559,5,8.229,25.141,5a,8.229,5b,25.141
FN553090,559,5,6.798,26.168,5a,6.798,5b,26.168
FN553091,559,5,8.408,27.850,5a,8.408,5b,27.850
FN553092,559,5,9.839,26.642,5a,9.839,5b,26.642
FN553093,559,5,7.692,26.792,5a,7.692,5b,26.792
FN553094,559,5,8.408,26.266,5a,8.408,5b,26.266
FN553095,559,5,8.766,26.667,5a,8.766,5b,26.667
FN553096,559,5,9.123,25.192,5a,9.123,5b,25.192
FN553097,559,5,9.839,27.580,5a,9.839,5b,27.580
FN553098,557,5,7.899,27.052,5a,7.899,5b,27.052
FN553099,559,5,8.050,24.953,5a,8.050,5b,24.953
FN553100,559,5,8.408,26.454,5a,8.408,5b,26.454
FN553101,559,5,6.619,26.642,5a,6.619,5b,26.642
FN553102,559,5,7.871,26.415,5a,7.871,5b,26.415
FN553103,559,5,7.335,25.185,5a,7.335,5b,25.185
FN553104,559,5,8.229,25.704,5a,8.229,5b,25.704
FN553105,559,5,8.587,26.079,5a,8.587,5b,26.079
FN553106,559,5,8.229,26.729,5a,8.229,5b,26.729
FN553107,559,5,6.977,26.038,5a,6.977,5b,26.038
FN553108,559,5,8.229,25.720,5a,8.229,5b,25.720
FN553109,559,5,7.871,27.037,5a,7.871,5b,27.037
FN553110,559,5,7.692,25.660,5a,7.692,5b,25.660
FN553111,557,5,9.874,25.000,5a,9.874,5b,25.000
FN553112,559,5,8.408,26.642,5a,8.408,5b,26.642
FN553113,559,5,10.376,26.415,5a,10.376,5b,26.415
FN553114,559,5,8.587,27.017,5a,8.587,5b,27.017
FN553115,559,5,8.408,25.704,5a,8.408,5b,25.704
FN553116,559,5,6.440,26.266,5a,6.440,5b,26.266
FN553117,559,5,7.871,26.404,5a,7.871,5b,26.404
FN553118,557,5,6.643,26.792,5a,6.643,5b,26.792
FN553119,559,5,9.123,26.916,5a,9.123,5b,26.916
FN553120,559,5,9.302,26.266,5a,9.302,5b,26.266
FN553121,559,5,8.229,25.891,5a,8.229,5b,25.891
FN553122,559,5,8.408,26.852,5a,8.408,5b,26.852
FN553123,559,5,8.766,25.926,5a,8.766,5b,25.926
FN553124,554,5,9.386,25.704,5a,9.386,5b,25.704
FN553125,559,5,8.408,25.472,5a,8.408,5b,25.472
FN553126,559,5,8.945,25.516,5a,8.945,5b,25.516
FN553127,559,5,9.839,25.704,5a,9.839,5b,25.704
FN553128,559,5,7.871,26.454,5a,7.871,5b,26.454
FN553129,559,5,8.766,25.283,5a,8.766,5b,25.283
FN553130,559,5,6.798,26.454,5a,6.798,5b,26.454
FN553131,559,5,8.945,26.038,5a,8.945,5b,26.038
FN553132,559,5,7.513,26.038,5a,7.513,5b,26.038
FN553133,559,5,7.513,26.079,5a,7.513,5b,26.079
FN553134,557,5,6.463,26.454,5a,6.463,5b,26.454
FN553135,559,5,7.156,26.079,5a,7.156,5b,26.079
FN553136,557,5,9.336,26.111,5a,9.336,5b,26.111
FN553137,559,5,6.619,26.079,5a,6.619,5b,26.079
FN553138,559,5,8.050,26.454,5a,8.050,5b,26.454
FN553139,559,5,8.050,26.454,5a,8.050,5b,26.454
FN553140,559,5,9.123,25.704,5a,9.123,5b,25.704
FN553141,557,5,6.822,26.642,5a,6.822,5b,26.642
FN553142,559,5,9.123,26.454,5a,9.123,5b,26.454
FN553143,559,5,8.050,25.472,5a,8.050,5b,25.472
FN553144,559,5,9.481,26.111,5a,9.481,5b,26.111
FN553145,559,5,9.481,25.704,5a,9.481,5b,25.704
FN553146,559,5,8.587,25.283,5a,8.587,5b,25.283
FN553147,559,5,8.766,25.516,5a,8.766,5b,25.516
FN553148,559,5,7.871,26.454,5a,7.871,5b,26.454
FN553149,559,5,9.123,25.849,5a,9.123,5b,25.849
FN553150,559,5,6.977,25.891,5a,6.977,5b,25.891
FN553151,559,5,9.123,25.849,5a,9.123,5b,25.849
FN553152,557,5,8.259,25.891,5a,8.259,5b,25.891
FN553153,557,5,6.822,26.266,5a,6.822,5b,26.266
FN553154,559,5,8.229,26.415,5a,8.229,5b,26.415
FN553155,557,5,9.515,26.296,5a,9.515,5b,26.296
FN553156,559,5,9.302,25.516,5a,9.302,5b,25.516
FN553157,559,5,7.871,25.704,5a,7.871,5b,25.704
FN553158,557,5,9.874,26.415,5a,9.874,5b,26.415
FN553159,558,5,9.857,25.230,5a,9.857,5b,25.230
FN553160,559,5,9.123,26.415,5a,9.123,5b,26.415
FN553161,558,5,9.140,26.151,5a,9.140,5b,26.151
FN553162,559,5,8.229,26.007,5a,8.229,5b,26.007
FN553163,558,5,7.885,25.660,5a,7.885,5b,25.660
FN553164,559,5,10.376,25.434,5a,10.376,5b,25.434
FN553165,559,5,9.839,25.328,5a,9.839,5b,25.328
FN553166,559,5,9.839,25.283,5a,9.839,5b,25.283
FN553167,559,5,10.555,26.182,5a,10.555,5b,26.182
FN553168,559,5,10.018,25.926,5a,10.018,5b,25.926
FN553169,559,5,9.481,25.704,5a,9.481,5b,25.704
FN553170,559,5,7.871,27.358,5a,7.871,5b,27.358
FN553171,559,5,11.807,25.969,5a,11.807,5b,25.969
FN553172,557,5,9.695,25.599,5a,9.695,5b,25.599
FN553173,559,5,9.481,25.603,5a,9.481,5b,25.603
FN553174,559,5,9.302,26.731,5a,9.302,5b,26.731
FN553175,559,5,7.871,25.704,5a,7.871,5b,25.704
FN553176,559,5,12.343,25.885,5a,12.343,5b,25.885
FN553177,559,5,13.059,26.866,5a,13.059,5b,26.866
FN553178,559,5,8.050,26.030,5a,8.050,5b,26.030
FN553179,559,5,13.238,26.257,5a,13.238,5b,26.257
FN553180,557,5,9.515,25.328,5a,9.515,5b,25.328
FN553181,559,5,8.587,26.779,5a,8.587,5b,26.779
FN553182,558,5,9.498,23.992,5a,9.498,5b,23.992
FN553183,559,5,7.335,25.891,5a,7.335,5b,25.891
FN553184,559,5,7.156,25.783,5a,7.156,5b,25.783
FN553185,559,5,8.408,26.296,5a,8.408,5b,26.296
FN553186,559,5,12.701,25.137,5a,12.701,5b,25.137
FN553187,559,5,9.481,26.079,5a,9.481,5b,26.079
FN553188,557,5,10.054,25.328,5a,10.054,5b,25.328
FN553189,559,5,10.018,25.144,5a,10.018,5b,25.144
FN553190,559,5,8.945,26.404,5a,8.945,5b,26.404
FN553191,560,5,9.107,27.017,5a,9.107,5b,27.017
FN553192,559,5,8.766,25.421,5a,8.766,5b,25.421
FN553193,559,5,9.123,26.111,5a,9.123,5b,26.111
FN553194,559,5,8.050,24.953,5a,8.050,5b,24.953
FN553195,559,5,8.766,25.046,5a,8.766,5b,25.046
FN553196,559,5,11.628,25.698,5a,11.628,5b,25.698
FN553197,559,5,7.871,25.283,5a,7.871,5b,25.283
FN553198,559,5,7.871,25.891,5a,7.871,5b,25.891
FN553199,559,5,7.692,25.698,5a,7.692,5b,25.698
FN553200,559,5,7.692,26.602,5a,7.692,5b,26.602
FN553201,559,5,8.229,25.704,5a,8.229,5b,25.704
FN553202,559,5,10.197,26.642,5a,10.197,5b,26.642
FN553203,559,5,8.945,26.829,5a,8.945,5b,26.829
FN553204,559,5,8.587,25.783,5a,8.587,5b,25.783
FN553205,559,5,8.229,26.454,5a,8.229,5b,26.454
FN553206,559,5,9.481,25.281,5a,9.481,5b,25.281
FN553207,559,5,10.555,27.017,5a,10.555,5b,27.017
FN553208,557,5,8.797,26.415,5a,8.797,5b,26.415
FN553209,559,5,9.302,26.829,5a,9.302,5b,26.829
FN553210,559,5,10.912,26.038,5a,10.912,5b,26.038
FN553211,559,5,8.766,25.281,5a,8.766,5b,25.281
FN553212,559,5,9.302,25.516,5a,9.302,5b,25.516
FN553213,559,5,8.587,24.953,5a,8.587,5b,24.953
FN553214,559,5,8.050,25.704,5a,8.050,5b,25.704
FN553215,557,5,10.233,26.792,5a,10.233,5b,26.792
FN553216,557,5,9.874,26.415,5a,9.874,5b,26.415
FN553217,559,5,7.156,25.328,5a,7.156,5b,25.328
FN553218,556,5,9.173,26.257,5a,9.173,5b,26.257
FN553219,559,5,8.587,26.255,5a,8.587,5b,26.255
FN553220,559,5,8.587,25.328,5a,8.587,5b,25.328
FN553221,557,5,7.181,24.765,5a,7.181,5b,24.765
FN553222,559,5,8.945,26.966,5a,8.945,5b,26.966
FN553223,559,5,8.766,26.204,5a,8.766,5b,26.204
FN553224,559,5,9.660,26.454,5a,9.660,5b,26.454
FN553225,557,5,9.874,25.000,5a,9.874,5b,25.000
FN553226,558,5,11.111,26.542,5a,11.111,5b,26.542
FN553227,559,5,9.660,26.266,5a,9.660,5b,26.266
FN553228,559,5,8.945,23.643,5a,8.945,5b,23.643
FN553229,558,5,10.036,25.891,5a,10.036,5b,25.891
FN553230,559,5,8.587,25.328,5a,8.587,5b,25.328
FN553231,557,5,9.336,26.792,5a,9.336,5b,26.792
FN553232,551,5,7.623,25.047,5a,7.623,5b,25.047
FN553233,557,5,10.413,24.860,5a,10.413,5b,24.860
FN553234,559,5,7.871,26.374,5a,7.871,5b,26.374
FN553235,559,5,8.945,25.516,5a,8.945,5b,25.516
FN553236,559,5,8.229,27.473,5a,8.229,5b,27.473
FN553237,557,5,8.797,26.792,5a,8.797,5b,26.792
FN553238,559,5,10.376,24.085,5a,10.376,5b,24.085
FN553239,559,5,9.481,26.226,5a,9.481,5b,26.226
FN553240,559,5,7.871,25.047,5a,7.871,5b,25.047
FN553241,559,5,9.302,25.472,5a,9.302,5b,25.472
FN553242,559,5,9.839,24.517,5a,9.839,5b,24.517
FN553243,559,5,8.766,26.266,5a,8.766,5b,26.266
FN553244,559,5,10.018,25.891,5a,10.018,5b,25.891
FN553245,559,5,8.587,24.953,5a,8.587,5b,24.953
FN553246,559,5,8.587,26.079,5a,8.587,5b,26.079
FN553247,559,5,7.871,26.226,5a,7.871,5b,26.226
FN553248,559,5,8.408,25.849,5a,8.408,5b,25.849
FN553249,559,5,7.513,26.415,5a,7.513,5b,26.415
FN553250,559,5,8.945,25.843,5a,8.945,5b,25.843
FN553251,559,5,10.912,25.660,5a,10.912,5b,25.660
FN553252,559,5,8.229,27.017,5a,8.229,5b,27.017
FN553253,559,5,8.587,27.358,5a,8.587,5b,27.358
FN553254,559,5,8.229,25.704,5a,8.229,5b,25.704
FN553255,553,5,8.861,26.641,5a,8.861,5b,26.641
FN553256,559,5,11.628,25.516,5a,11.628,5b,25.516
FN553257,559,5,8.945,26.296,5a,8.945,5b,26.296
FN553258,559,5,9.660,24.816,5a,9.660,5b,24.816
FN553259,559,5,10.197,24.906,5a,10.197,5b,24.906
FN553260,558,5,10.036,25.981,5a,10.036,5b,25.981
FN553261,559,5,10.733,26.852,5a,10.733,5b,26.852
FN553262,559,5,10.018,24.765,5a,10.018,5b,24.765
FN553263,559,5,12.880,26.481,5a,12.880,5b,26.481
FN553264,558,5,8.961,26.692,5a,8.961,5b,26.692
FN553265,559,5,10.376,27.903,5a,10.376,5b,27.903
FN553266,559,5,8.945,25.184,5a,8.945,5b,25.184
FN553267,559,5,6.619,26.030,5a,6.619,5b,26.030
FN553268,559,5,7.335,26.592,5a,7.335,5b,26.592
FN553269,559,5,9.481,26.355,5a,9.481,5b,26.355
FN553270,559,5,9.302,25.981,5a,9.302,5b,25.981
FN553271,559,5,7.513,26.266,5a,7.513,5b,26.266
FN553272,559,5,9.481,26.966,5a,9.481,5b,26.966
FN553273,559,5,10.376,27.407,5a,10.376,5b,27.407
FN553274,557,5,8.259,25.967,5a,8.259,5b,25.967
FN553275,559,5,10.912,27.736,5a,10.912,5b,27.736
FN553276,559,5,8.050,25.328,5a,8.050,5b,25.328
FN553277,558,5,10.753,26.186,5a,10.753,5b,26.186
FN553278,559,5,9.481,26.824,5a,9.481,5b,26.824
FN553279,559,5,8.229,27.580,5a,8.229,5b,27.580
FN553280,559,5,7.692,26.266,5a,7.692,5b,26.266
FN553281,559,5,9.660,26.703,5a,9.660,5b,26.703
FN553282,559,5,8.766,25.417,5a,8.766,5b,25.417
FN553283,327,5,4.281,19.136,5a,4.281,5b,19.136
FN553284,327,5,6.116,20.062,5a,6.116,5b,20.062
FN553285,327,5,5.199,20.679,5a,5.199,5b,20.679
FN553286,327,5,4.281,19.136,5a,4.281,5b,19.136
FN553287,327,5,6.728,20.679,5a,6.728,5b,20.679
FN553288,327,5,5.810,20.062,5a,5.810,5b,20.062
FN553289,327,5,6.422,19.753,5a,6.422,5b,19.753
FN553290,327,5,4.281,20.370,5a,4.281,5b,20.370
FN553291,327,5,5.810,20.679,5a,5.810,5b,20.679
FN553292,327,5,5.505,20.370,5a,5.505,5b,20.370
FN553293,327,5,5.505,20.370,5a,5.505,5b,20.370
FN553294,327,5,5.199,21.296,5a,5.199,5b,21.296
FN553295,327,5,4.893,20.062,5a,4.893,5b,20.062
FN553296,327,5,3.670,20.679,5a,3.670,5b,20.679
FN553297,327,5,4.587,18.827,5a,4.587,5b,18.827
FN553298,327,5,5.810,20.370,5a,5.810,5b,20.370
FN553299,327,5,4.893,20.988,5a,4.893,5b,20.988
FN553300,327,5,5.505,20.370,5a,5.505,5b,20.370
FN553301,327,5,3.976,19.136,5a,3.976,5b,19.136
FN553302,327,5,4.893,18.827,5a,4.893,5b,18.827
FN553303,327,5,5.199,20.062,5a,5.199,5b,20.062
FN553304,327,5,5.199,20.679,5a,5.199,5b,20.679
FN553305,327,5,4.893,20.370,5a,4.893,5b,20.370
FN553306,327,5,7.645,20.679,5a,7.645,5b,20.679
FN553307,327,5,3.976,18.210,5a,3.976,5b,18.210
FN553308,327,5,5.505,20.370,5a,5.505,5b,20.370
FN553309,327,5,5.199,20.679,5a,5.199,5b,20.679
FN553310,327,5,5.505,19.136,5a,5.505,5b,19.136
FN553311,327,5,5.505,20.062,5a,5.505,5b,20.062
FN553312,327,5,5.505,20.679,5a,5.505,5b,20.679
FN553313,327,5,6.116,20.988,5a,6.116,5b,20.988
FN553314,327,5,4.281,19.136,5a,4.281,5b,19.136
FN553315,327,5,6.422,20.370,5a,6.422,5b,20.370
FN553316,327,5,5.199,19.444,5a,5.199,5b,19.444
FN553317,327,5,4.893,19.753,5a,4.893,5b,19.753
FN553318,327,5,4.893,20.370,5a,4.893,5b,20.370
FN553319,327,5,5.199,19.444,5a,5.199,5b,19.444
FN553320,327,5,5.199,20.370,5a,5.199,5b,20.370
FN553321,327,5,6.116,20.988,5a,6.116,5b,20.988
FN553322,327,5,4.587,19.753,5a,4.587,5b,19.753
FN553323,327,5,4.893,20.370,5a,4.893,5b,20.370
FN553324,327,5,5.505,19.444,5a,5.505,5b,19.444
FN553325,327,5,6.116,19.753,5a,6.116,5b,19.753
FN553326,327,5,4.587,20.679,5a,4.587,5b,20.679
FN553327,327,5,5.505,20.062,5a,5.505,5b,20.062
FN553328,327,5,5.505,18.827,5a,5.505,5b,18.827
FN553329,327,5,7.034,20.370,5a,7.034,5b,20.370
FN553330,327,5,4.587,19.136,5a,4.587,5b,19.136
FN553331,327,5,4.893,20.062,5a,4.893,5b,20.062
FN553332,327,5,4.281,19.444,5a,4.281,5b,19.444
FN553333,327,5,4.281,20.062,5a,4.281,5b,20.062
FN553334,327,5,3.976,19.444,5a,3.976,5b,19.444
FN553335,327,5,4.281,19.753,5a,4.281,5b,19.753
FN553336,327,5,6.116,20.370,5a,6.116,5b,20.370
FN553337,327,5,4.893,20.062,5a,4.893,5b,20.062
FN553338,327,5,4.587,20.062,5a,4.587,5b,20.062
FN553339,327,5,6.116,20.370,5a,6.116,5b,20.370
FN553340,327,5,5.199,19.753,5a,5.199,5b,19.753
FN553341,327,5,4.587,19.444,5a,4.587,5b,19.444
FN553342,327,5,4.281,19.753,5a,4.281,5b,19.753
FN553343,327,5,3.670,19.136,5a,3.670,5b,19.136
FN553344,327,5,5.199,20.679,5a,5.199,5b,20.679
FN553345,327,5,6.116,20.062,5a,6.116,5b,20.062
FN553346,327,5,4.893,19.444,5a,4.893,5b,19.444
FN553347,327,5,4.893,18.827,5a,4.893,5b,18.827
FN553348,327,5,6.728,20.062,5a,6.728,5b,20.062
FN553349,327,5,3.364,19.753,5a,3.364,5b,19.753
FN553350,327,5,4.587,19.753,5a,4.587,5b,19.753
FN553351,327,5,4.587,19.444,5a,4.587,5b,19.444
FN553352,327,5,3.976,19.136,5a,3.976,5b,19.136
FN553353,327,5,4.587,20.062,5a,4.587,5b,20.062
FN553354,327,5,6.728,20.370,5a,6.728,5b,20.370
FN553355,327,5,7.951,22.222,5a,7.951,5b,22.222
FN553356,327,5,6.728,20.062,5a,6.728,5b,20.062
FN553357,327,5,5.199,19.753,5a,5.199,5b,19.753
FN553358,327,5,6.116,20.062,5a,6.116,5b,20.062
FN553359,327,5,4.893,20.062,5a,4.893,5b,20.062
FN553360,327,5,5.505,20.062,5a,5.505,5b,20.062
FN553361,327,5,6.116,20.370,5a,6.116,5b,20.370
FN553362,325,5,6.769,19.814,5a,6.769,5b,19.814
FN553363,327,5,5.810,19.136,5a,5.810,5b,19.136
FN553364,327,5,7.034,20.679,5a,7.034,5b,20.679
FN553365,327,5,5.505,20.062,5a,5.505,5b,20.062
FN553366,327,5,3.976,18.210,5a,3.976,5b,18.210
FN553367,327,5,5.505,20.679,5a,5.505,5b,20.679
FN553368,327,5,6.422,19.444,5a,6.422,5b,19.444
FN553369,327,5,4.893,19.444,5a,4.893,5b,19.444
FN553370,327,5,7.339,20.370,5a,7.339,5b,20.370
FN553371,327,5,6.728,20.062,5a,6.728,5b,20.062
FN553372,327,5,7.951,18.210,5a,7.951,5b,18.210
FN553373,327,5,5.505,20.062,5a,5.505,5b,20.062
FN553374,327,5,5.505,20.370,5a,5.505,5b,20.370
FN553375,327,5,5.505,19.136,5a,5.505,5b,19.136
FN553376,327,5,3.976,20.679,5a,3.976,5b,20.679
FN553377,327,5,6.422,20.370,5a,6.422,5b,20.370
FN553378,327,5,4.893,19.136,5a,4.893,5b,19.136
FN553379,327,5,3.670,18.519,5a,3.670,5b,18.519
FN553380,327,5,7.034,19.136,5a,7.034,5b,19.136
FN553381,327,5,7.645,21.296,5a,7.645,5b,21.296
FN553382,327,5,5.810,19.753,5a,5.810,5b,19.753
FN553383,327,5,7.339,19.753,5a,7.339,5b,19.753
FN553384,327,5,5.199,20.370,5a,5.199,5b,20.370
FN553385,327,5,5.810,18.210,5a,5.810,5b,18.210
FN553386,327,5,5.199,18.827,5a,5.199,5b,18.827
FN553387,327,5,6.116,20.988,5a,6.116,5b,20.988
FN553388,327,5,6.728,19.444,5a,6.728,5b,19.444
FN553389,327,5,6.116,20.062,5a,6.116,5b,20.062
FN553390,327,5,7.034,18.827,5a,7.034,5b,18.827
FN553391,327,5,6.728,18.827,5a,6.728,5b,18.827
FN553392,327,5,6.116,20.062,5a,6.116,5b,20.062
FN553393,327,5,5.199,18.210,5a,5.199,5b,18.210
FN553394,327,5,3.976,19.444,5a,3.976,5b,19.444
FN553395,327,5,6.116,20.062,5a,6.116,5b,20.062
FN553396,327,5,6.422,19.753,5a,6.422,5b,19.753
FN553397,327,5,6.422,18.210,5a,6.422,5b,18.210
FN553398,327,5,7.034,22.531,5a,7.034,5b,22.531
FN553399,327,5,8.257,20.062,5a,8.257,5b,20.062
FN553400,327,5,6.116,19.444,5a,6.116,5b,19.444
FN553401,327,5,7.951,19.444,5a,7.951,5b,19.444
FN553402,327,5,4.893,19.444,5a,4.893,5b,19.444
FN553403,327,5,7.951,20.062,5a,7.951,5b,20.062
FN553404,327,5,4.587,19.444,5a,4.587,5b,19.444
FN553405,327,5,4.893,18.827,5a,4.893,5b,18.827
FN553406,327,5,5.505,20.370,5a,5.505,5b,20.370
FN553407,327,5,6.422,20.370,5a,6.422,5b,20.370
FN553408,327,5,6.116,19.444,5a,6.116,5b,19.444
FN553409,327,5,6.422,20.988,5a,6.422,5b,20.988
FN553410,327,5,6.422,20.062,5a,6.422,5b,20.062
FN553411,327,5,5.505,19.136,5a,5.505,5b,19.136
FN553412,327,5,5.810,20.370,5a,5.810,5b,20.370
FN553413,327,5,6.116,20.062,5a,6.116,5b,20.062
FN553414,327,5,7.645,19.444,5a,7.645,5b,19.444
FN553415,327,5,7.645,19.753,5a,7.645,5b,19.753
FN553416,327,5,6.116,19.444,5a,6.116,5b,19.444
FN553417,327,5,5.199,19.136,5a,5.199,5b,19.136
FN553418,327,5,4.893,18.519,5a,4.893,5b,18.519
FN553419,326,5,6.748,20.988,5a,6.748,5b,20.988
FN553420,327,5,7.951,21.605,5a,7.951,5b,21.605
FN553421,327,5,6.116,20.988,5a,6.116,5b,20.988
FN553422,327,5,5.199,20.062,5a,5.199,5b,20.062
FN553423,327,5,7.034,20.370,5a,7.034,5b,20.370
FN553424,327,5,7.339,21.605,5a,7.339,5b,21.605
FN553425,327,5,5.810,19.136,5a,5.810,5b,19.136
FN553426,327,5,5.505,19.444,5a,5.505,5b,19.444
FN553427,327,5,7.951,21.296,5a,7.951,5b,21.296
FN553428,327,5,6.116,20.062,5a,6.116,5b,20.062
FN553429,327,5,4.893,19.753,5a,4.893,5b,19.753
FN553430,327,5,5.505,20.062,5a,5.505,5b,20.062
FN553431,325,5,7.385,19.939,5a,7.385,5b,19.939
FN553432,327,5,6.728,20.679,5a,6.728,5b,20.679
GU049372,,5,,,,,,
GU085487,2055,5,9.635,23.092,5a,9.635,5b,23.092
JX571032,519,5,8.092,24.652,5a,8.092,5b,24.652
JX571033,238,5,5.462,24.790,5a,5.462,5b,24.790
JX571034,519,5,9.827,25.347,5a,9.827,5b,25.347
JX571035,519,5,6.166,25.050,5a,6.166,5b,25.050
JX571036,519,5,8.285,25.050,5a,8.285,5b,25.050
JX571037,519,5,8.285,25.646,5a,8.285,5b,25.646
JX571038,519,5,8.285,25.926,5a,8.285,5b,25.926
JX571039,519,5,8.285,25.646,5a,8.285,5b,25.646
JX677480,377,5,5.305,19.098,5a,5.305,5b,19.098
KC767829,8979,5,8.887,23.197,5a,8.887,5b,23.197
KC767830,8982,5,8.762,22.927,5a,8.762,5b,22.927
KC767831,8984,5,9.049,23.369,5a,9.049,5b,23.369
KC767832,8989,5,8.210,23.065,5a,8.210,5b,23.065
KC767833,8145,5,9.724,25.325,5a,9.724,5b,25.325
KC767834,8975,5,8.735,23.518,5a,8.735,5b,23.518
KC844046,9321,5,8.669,23.154,5a,8.669,5b,23.154
KF373567,9301,5,8.978,23.229,5a,8.978,5b,23.229
KF524082,362,5,7.182,20.994,5a,7.182,5b,20.994
KF793343,350,5,6.000,19.373,5a,6.000,5b,19.373
KJ719452,1286,5,9.642,27.393,5a,9.642,5b,27.393
KJ719453,1286,5,10.031,26.459,5a,10.031,5b,26.459
KJ719454,1286,5,9.176,26.734,5a,9.176,5b,26.734
KJ925146,9408,5,9.162,22.789,5a,9.162,5b,22.789
KJ925147,9408,5,8.365,22.516,5a,8.365,5b,22.516
KJ925148,9408,5,7.791,22.948,5a,7.791,5b,22.948
KJ925149,9410,5,8.640,22.737,5a,8.640,5b,22.737
KM587626,9312,5,10.084,23.432,5a,10.084,5b,23.432
KP162506,575,5,8.870,24.064,5a,8.870,5b,24.064
KP163120,575,5,8.348,24.777,5a,8.348,5b,24.777
KP163138,567,5,9.347,23.886,5a,9.347,5b,23.886
KP163231,575,5,9.043,23.886,5a,9.043,5b,23.886
KY627936,347,5,8.069,20.286,5a,8.069,5b,20.286
L23471,222,5,6.306,19.091,5a,6.306,5b,19.091
L23472,222,5,6.306,19.091,5a,6.306,5b,19.091
L23473,222,5,5.405,19.545,5a,5.405,5b,19.545
L23474,222,5,5.856,19.545,5a,5.856,5b,19.545
L29579,1439,5,8.895,23.684,5a,8.895,5b,23.684
L29580,340,5,6.471,20.294,5a,6.471,5b,20.294
L29583,340,5,6.765,20.588,5a,6.765,5b,20.588
L29584,340,5,8.235,21.818,5a,8.235,5b,21.818
LC484047,287,5,8.711,22.807,5a,8.711,5b,22.807
LC484049,339,5,8.260,22.419,5a,8.260,5b,22.419
LC484050,339,5,8.555,23.009,5a,8.555,5b,23.009
LC484051,310,5,9.677,24.412,5a,9.677,5b,24.412
