Accession,CometFullSeqGenotype,CometPerGeneGenotype,FullSeqGenotype,PerGeneGenotype,GenBankGenotype,PresentMethodCount,BlankMethods,DistinctGenotypeCount,GenotypesObserved,AgreementStatus
DQ640367,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
DQ835767,6,6,8,6,6,5,,2,6;8,AllFiveDisagree
EF026073,2,5,5,5,,4,GenBank,2,2;5,AvailableCallsDisagree
EF116170,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
EF116175,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
EF116176,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
EF116177,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
EF116179,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
EF116182,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
EF116183,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
EF116186,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
EF116191,6,6,3,3,6,5,,2,3;6,AllFiveDisagree
EF116198,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
EF116201,3,3,7,7,7,5,,2,3;7,AllFiveDisagree
EF175837,6,6,7,7,6,5,,2,6;7,AllFiveDisagree
EU123123,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
EU123125,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
EU123132,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
EU123133,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
EU123134,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
EU123137,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
EU123145,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
EU123146,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
EU123147,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
EU123152,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
EU123154,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
EU123156,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
EU123158,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
EU123160,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
EU123161,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
EU123166,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
EU123167,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
EU123177,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
EU123180,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
EU123186,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
EU123187,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
EU123189,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
EU123190,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
EU123191,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
EU123192,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
EU123193,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
EU123194,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
EU123195,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
EU123196,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
EU123197,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
EU123198,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
EU123199,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
EU123200,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
EU123201,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
EU123202,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
EU123203,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
EU123204,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
EU123205,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
EU123214,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
EU123216,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
EU123218,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
EU123219,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
EU123225,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
EU123226,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
EU123229,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
EU123230,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
EU123232,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
EU123236,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
EU123238,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
EU123239,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
EU123243,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
EU123245,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
EU123248,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
EU123257,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
EU123261,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
EU123265,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
EU123266,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
EU123268,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
EU123269,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
EU123271,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
EU123273,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
EU123281,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
EU123284,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
EU123285,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
EU123287,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
EU123290,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
EU123294,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
EU123299,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
EU127994,6,6,7,7,6,5,,2,6;7,AllFiveDisagree
OR480623,2,2,2,2,1,5,,2,1;2,AllFiveDisagree
OR497876,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
U31276,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
OR825162,2,2,2,2,4,5,,2,2;4,AllFiveDisagree
OR825257,4,4,4,4,1,5,,2,1;4,AllFiveDisagree
OR825259,4,4,4,4,1,5,,2,1;4,AllFiveDisagree
OR825260,4,4,4,4,1,5,,2,1;4,AllFiveDisagree
OR825261,1,1,1,1,4,5,,2,1;4,AllFiveDisagree
OR825262,4,4,4,4,1,5,,2,1;4,AllFiveDisagree
OR825263,4,4,4,4,1,5,,2,1;4,AllFiveDisagree
OR825264,1,1,1,1,4,5,,2,1;4,AllFiveDisagree
OR825266,1,1,1,1,4,5,,2,1;4,AllFiveDisagree
OR825269,2,2,2,2,4,5,,2,2;4,AllFiveDisagree
OR825271,4,4,4,4,1,5,,2,1;4,AllFiveDisagree
OR825272,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
OR825273,4,4,4,4,1,5,,2,1;4,AllFiveDisagree
OR825274,4,4,4,4,1,5,,2,1;4,AllFiveDisagree
OR825275,1,1,1,1,4,5,,2,1;4,AllFiveDisagree
OR825276,4,4,4,4,2,5,,2,2;4,AllFiveDisagree
OR825278,1,1,1,1,4,5,,2,1;4,AllFiveDisagree
OR825280,1,1,1,1,4,5,,2,1;4,AllFiveDisagree
OR825281,4,4,4,4,1,5,,2,1;4,AllFiveDisagree
OR825285,4,4,4,4,1,5,,2,1;4,AllFiveDisagree
OR825286,1,1,1,1,4,5,,2,1;4,AllFiveDisagree
AB523257,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
AB523259,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
AB523289,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
AB523290,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
AB523312,6,6,8,8,,4,GenBank,2,6;8,AvailableCallsDisagree
AB523332,6,6,8,8,,4,GenBank,2,6;8,AvailableCallsDisagree
AB523339,6,6,8,8,,4,GenBank,2,6;8,AvailableCallsDisagree
AB661826,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
AF041323,1,1,2,2,,4,GenBank,2,1;2,AvailableCallsDisagree
AM408911,2,5,5,5,,4,GenBank,2,2;5,AvailableCallsDisagree
AY257430,4,4,2,2,,4,GenBank,2,2;4,AvailableCallsDisagree
AY587235,4,4,1,1,,4,GenBank,2,1;4,AvailableCallsDisagree
AY587236,4,4,1,1,,4,GenBank,2,1;4,AvailableCallsDisagree
AY587237,4,4,1,1,,4,GenBank,2,1;4,AvailableCallsDisagree
AY587238,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
AY587239,4,4,2,2,,4,GenBank,2,2;4,AvailableCallsDisagree
AY587240,4,4,2,2,,4,GenBank,2,2;4,AvailableCallsDisagree
AY632153,4,4,4,4,2,5,,2,2;4,AllFiveDisagree
AY654000,3,3,3,3,5,5,,2,3;5,AllFiveDisagree
AY735102,6,6,8,8,,4,GenBank,2,6;8,AvailableCallsDisagree
AY754612,6,6,3,3,,4,GenBank,2,3;6,AvailableCallsDisagree
AY754615,6,6,8,8,,4,GenBank,2,6;8,AvailableCallsDisagree
AY754618,6,6,8,8,,4,GenBank,2,6;8,AvailableCallsDisagree
AY754627,6,6,3,3,,4,GenBank,2,3;6,AvailableCallsDisagree
AY754630,6,6,8,8,,4,GenBank,2,6;8,AvailableCallsDisagree
AY754633,6,6,8,8,,4,GenBank,2,6;8,AvailableCallsDisagree
AY754637,6,6,8,8,,4,GenBank,2,6;8,AvailableCallsDisagree
AY834937,6,6,2,2,,4,GenBank,2,2;6,AvailableCallsDisagree
AY834938,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
AY834939,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
HE580354,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
HE580355,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
HE580356,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
HE580357,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
HE580360,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
HE580361,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
HE580362,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
HE580363,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
HE580364,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
HE580365,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
HE580366,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
HE580367,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
HE580368,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
HE580369,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
HE580370,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
HE580371,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
HE580372,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
HE580373,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
HE580374,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
HE580377,6,6,7,7,,4,GenBank,2,6;7,AvailableCallsDisagree
HE580379,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
HE580380,6,6,7,7,,4,GenBank,2,6;7,AvailableCallsDisagree
HE580381,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
HE580382,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
HE580383,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
HE580385,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
HE580386,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
HE580387,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
HE580388,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
HE580389,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
HE580390,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
HE580391,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
HE580392,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
HE580393,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
HE580394,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
HE580395,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
HE580396,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
HE580397,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
HE580398,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
HE580399,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
HE580400,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
HE580401,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
HE580402,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
HE580404,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
HE580405,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
HE580406,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
HE580407,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
HE580409,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
HE580410,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
HE580411,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
HE580416,6,6,8,8,,4,GenBank,2,6;8,AvailableCallsDisagree
HE580417,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
HE580418,6,6,8,8,,4,GenBank,2,6;8,AvailableCallsDisagree
HE580419,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
HM009308,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
HM031218,6,6,8,8,,4,GenBank,2,6;8,AvailableCallsDisagree
HM172592,6,6,2,2,,4,GenBank,2,2;6,AvailableCallsDisagree
HM172593,6,6,7,7,,4,GenBank,2,6;7,AvailableCallsDisagree
HM172594,6,6,2,2,,4,GenBank,2,2;6,AvailableCallsDisagree
HM172595,6,6,2,2,,4,GenBank,2,2;6,AvailableCallsDisagree
HM172596,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
HM172597,6,6,7,7,,4,GenBank,2,6;7,AvailableCallsDisagree
HM172598,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
HM172600,6,6,2,2,,4,GenBank,2,2;6,AvailableCallsDisagree
HQ229446,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
HQ537005,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
HQ537006,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
JF779679,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
JF824447,3,3,3,3,1,5,,2,1;3,AllFiveDisagree
JF824453,2,2,2,2,3,5,,2,2;3,AllFiveDisagree
JF824466,3,3,3,3,1,5,,2,1;3,AllFiveDisagree
JF824477,3,3,3,3,1,5,,2,1;3,AllFiveDisagree
JN427001,3,3,3,3,1,5,,2,1;3,AllFiveDisagree
JQ038457,3,3,3,3,1,5,,2,1;3,AllFiveDisagree
JQ318415,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
JQ318424,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
JQ318428,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
JQ318450,1,1,1,1,4,5,,2,1;4,AllFiveDisagree
JQ318454,6,6,2,2,6,5,,2,2;6,AllFiveDisagree
JQ318482,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
JQ318530,6,6,3,3,6,5,,2,3;6,AllFiveDisagree
PX376056,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
PX376057,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
PX376058,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
PX386968,,3,1,3,3,4,CometFullSeq,2,1;3,AvailableCallsDisagree
PX445002,,1,1,1,4,4,CometFullSeq,2,1;4,AvailableCallsDisagree
PX445004,,1,1,1,4,4,CometFullSeq,2,1;4,AvailableCallsDisagree
PX446221,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
PX446959,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
PX446960,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
EU420973,4,4,8,8,6,5,,3,4;6;8,AllFiveDisagree
EU420975,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
EU420983,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
EU420986,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
EU684606,4,4,1,1,,4,GenBank,2,1;4,AvailableCallsDisagree
FJ462853,6,6,2,2,6,5,,2,2;6,AllFiveDisagree
FJ768776,6,6,2,2,6,5,,2,2;6,AllFiveDisagree
FJ791067,4,1,4,4,,4,GenBank,2,1;4,AvailableCallsDisagree
FJ859286,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
FJ859289,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
FJ859295,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
FJ859297,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
FJ859305,6,6,3,3,6,5,,2,3;6,AllFiveDisagree
FJ859316,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
FJ859319,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
FJ859323,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
FJ859325,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
FJ859328,6,6,3,3,6,5,,2,3;6,AllFiveDisagree
FJ859329,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
FJ859331,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
FJ859333,6,6,3,3,6,5,,2,3;6,AllFiveDisagree
GU049364,6,6,7,7,6,5,,2,6;7,AllFiveDisagree
GU049370,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
GU049372,6,6,5,5,6,5,,2,5;6,AllFiveDisagree
GU049376,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
GU049381,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
GU049383,6,6,4,4,6,5,,2,4;6,AllFiveDisagree
GU049388,6,6,4,4,6,5,,2,4;6,AllFiveDisagree
GU049389,6,6,4,4,6,5,,2,4;6,AllFiveDisagree
GU049390,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
GU049393,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
GU049395,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
GU049398,6,6,4,4,6,5,,2,4;6,AllFiveDisagree
JX102881,6,6,7,7,6,5,,2,6;7,AllFiveDisagree
JX102882,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
JX102919,6,6,3,3,6,5,,2,3;6,AllFiveDisagree
JX102929,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
JX102940,6,6,3,3,6,5,,2,3;6,AllFiveDisagree
JX102946,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
JX102967,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
JX103031,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
JX103085,6,6,7,7,6,5,,2,6;7,AllFiveDisagree
JX103121,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
JX103123,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
JX103127,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
JX103130,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
JX103131,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
JX183549,6,6,8,6,6,5,,2,6;8,AllFiveDisagree
JX183554,6,6,8,6,6,5,,2,6;8,AllFiveDisagree
JX677266,4,4,6,6,,4,GenBank,2,4;6,AvailableCallsDisagree
JX677555,3,3,6,6,,4,GenBank,2,3;6,AvailableCallsDisagree
KC118154,3,3,3,3,1,5,,2,1;3,AllFiveDisagree
KC118156,3,3,3,3,1,5,,2,1;3,AllFiveDisagree
KC118157,3,3,3,3,1,5,,2,1;3,AllFiveDisagree
KC118223,1,1,1,1,3,5,,2,1;3,AllFiveDisagree
KF437708,6,6,3,3,6,5,,2,3;6,AllFiveDisagree
KF437709,6,6,3,3,6,5,,2,3;6,AllFiveDisagree
KF437710,6,6,3,3,6,5,,2,3;6,AllFiveDisagree
KF437711,6,6,3,3,6,5,,2,3;6,AllFiveDisagree
KF437712,6,6,3,3,6,5,,2,3;6,AllFiveDisagree
KF437713,6,6,3,3,6,5,,2,3;6,AllFiveDisagree
KF437714,6,6,3,3,6,5,,2,3;6,AllFiveDisagree
KF437715,6,6,2,2,6,5,,2,2;6,AllFiveDisagree
KF437716,6,6,2,2,6,5,,2,2;6,AllFiveDisagree
KF437717,6,6,2,2,6,5,,2,2;6,AllFiveDisagree
KF585672,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
KF585674,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
KF585719,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
OR210481,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
OR210624,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
OR210678,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
OR210766,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
OR210805,6,6,2,2,,4,GenBank,2,2;6,AvailableCallsDisagree
OR210850,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
OR210878,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
OR097220,,,2,2,6,3,CometFullSeq;CometPerGene,2,2;6,AvailableCallsDisagree
KJ470155,4,4,1,1,6,5,,3,1;4;6,AllFiveDisagree
KJ470169,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
KJ470197,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
KJ470202,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
KJ470210,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
KJ470254,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
KJ470262,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
KJ470278,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
KJ470282,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
KJ470285,6,6,3,3,6,5,,2,3;6,AllFiveDisagree
KJ470298,6,6,7,7,6,5,,2,6;7,AllFiveDisagree
KJ470303,6,6,2,2,6,5,,2,2;6,AllFiveDisagree
KJ470312,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
KJ470317,6,6,3,3,6,5,,2,3;6,AllFiveDisagree
KJ470322,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
KJ470327,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
KJ470356,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
KJ470365,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
KJ470370,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
KM102760,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
KM102761,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
KM102762,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
KM102763,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
KM102764,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
KM102765,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
KM102766,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
KM102767,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
KM102768,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
KM102769,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
KM102770,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
KM213574,4,4,1,1,1,5,,2,1;4,AllFiveDisagree
KM252793,6,6,1,6,,4,GenBank,2,1;6,AvailableCallsDisagree
KM252796,6,6,1,6,,4,GenBank,2,1;6,AvailableCallsDisagree
KM252798,6,6,8,6,,4,GenBank,2,6;8,AvailableCallsDisagree
KM504112,1,6,6,6,,4,GenBank,2,1;6,AvailableCallsDisagree
KM504123,6,6,1,6,6,5,,2,1;6,AllFiveDisagree
KM504124,6,6,1,6,6,5,,2,1;6,AllFiveDisagree
KM523574,3,3,3,3,2,5,,2,2;3,AllFiveDisagree
KP201489,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
KP201491,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
KP201492,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
KP201493,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
KP324195,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
KP324196,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
KP324197,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
KP324198,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
KP324199,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
KP324200,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
KP324201,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
KP324202,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
KP324203,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
KP324204,6,6,7,7,6,5,,2,6;7,AllFiveDisagree
KP324205,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
KP324206,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
KP324207,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
KP324208,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
KR095342,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
KX789412,3,3,7,7,7,5,,2,3;7,AllFiveDisagree
KY083758,2,2,2,2,4,5,,2,2;4,AllFiveDisagree
KY608701,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
L38369,6,6,8,8,,4,GenBank,2,6;8,AvailableCallsDisagree
L38381,6,6,8,8,,4,GenBank,2,6;8,AvailableCallsDisagree
L49481,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
L49484,6,6,8,8,,4,GenBank,2,6;8,AvailableCallsDisagree
L50535,6,6,8,8,,4,GenBank,2,6;8,AvailableCallsDisagree
LC435024,6,6,1,6,,4,GenBank,2,1;6,AvailableCallsDisagree
LC484058,5,5,1,1,5,5,,2,1;5,AllFiveDisagree
LC538246,1,2,1,1,,4,GenBank,2,1;2,AvailableCallsDisagree
LC538248,5,5,1,1,,4,GenBank,2,1;5,AvailableCallsDisagree
KR870888,,1,1,1,4,4,CometFullSeq,2,1;4,AvailableCallsDisagree
KT921389,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
KT921390,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
KU167534,6,6,2,2,6,5,,2,2;6,AllFiveDisagree
KU167535,6,6,2,2,6,5,,2,2;6,AllFiveDisagree
KU707103,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
KU707104,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
KU861171,2,6,7,7,7,5,,3,2;6;7,AllFiveDisagree
KX092342,2,2,7,7,,4,GenBank,2,2;7,AvailableCallsDisagree
KX172138,2,4,7,7,7,5,,3,2;4;7,AllFiveDisagree
OQ660325,2,2,8,8,,4,GenBank,2,2;8,AvailableCallsDisagree
