Accession,PerGeneSubtype,FullGenomeSubtype,CometPerGeneSubtype,CometFullGenomeSubtype,GenBankSubtype,PresentMethodCount,BlankMethods,DistinctSubtypeCount,SubtypesObserved,AgreementStatus
MG993269,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MG993270,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MG993271,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MG993272,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MG993274,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MG993275,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MG993276,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MG993277,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MG993278,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MG993279,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MG993281,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MG993283,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MG993286,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MG993287,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MG993288,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MG993289,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MG993291,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MG993292,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MG993293,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MG993294,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MG993295,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MG993296,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MG993298,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MG993299,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MG993300,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MG993301,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MG993302,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MG993303,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MG993304,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MG993305,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MG993306,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MG993308,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MG993309,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MG993311,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MG993312,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MG993313,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MG993314,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MG993315,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MG993318,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MG993319,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MH477423,2U,2U,2J,2A,,4,GenBank,3,2A;2J;2U,AvailableCallsDisagree
MH477424,4F,4F,4F,4F,4F,5,,1,4F,AllFiveAgree
MH477426,4F,4F,4F,4F,4F,5,,1,4F,AllFiveAgree
MH492360,6XG,6XG,6N,6N,6XG,5,,2,6N;6XG,AllFiveDisagree
MH492362,6XG,6XG,6N,6N,6XG,5,,2,6N;6XG,AllFiveDisagree
MH590698,8A,8A,1B,"UNASSIGNED_1, 2J-5A",,4,GenBank,3,"1B;8A;UNASSIGNED_1, 2J-5A",AvailableCallsDisagree
MH590699,8A,8A,1B,"UNASSIGNED_1, 2J-5A",,4,GenBank,3,"1B;8A;UNASSIGNED_1, 2J-5A",AvailableCallsDisagree
MH590700,8A,8A,1B,"UNASSIGNED_1, 1B-6W",,4,GenBank,3,"1B;8A;UNASSIGNED_1, 1B-6W",AvailableCallsDisagree
MH590701,8A,8A,1B,"UNASSIGNED_1, 2J-5A",,4,GenBank,3,"1B;8A;UNASSIGNED_1, 2J-5A",AvailableCallsDisagree
MH714561,6T,6T,6T,6T,6T,5,,1,6T,AllFiveAgree
MH714566,6A,6A,6A,6A,6A,5,,1,6A,AllFiveAgree
MH714569,6O,6O,6O,6O,6O,5,,1,6O,AllFiveAgree
MH714596,6Q,6Q,4K,4K,,4,GenBank,2,4K;6Q,AvailableCallsDisagree
MH733012,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MH733014,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MH733016,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MH733017,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MH733018,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MH733019,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MH733020,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MH733021,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MH733022,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MH733024,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MH733026,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MH733028,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MH733029,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MH733030,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MH733031,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MH733032,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MH733033,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MH733035,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MH733036,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MH733037,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MH733040,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MH733041,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MH733042,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MH733043,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MH733044,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MH733045,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MH733046,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MH733047,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MH733048,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MH733049,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MH733050,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
MH733051,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
MH733052,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
MH733053,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
MH733054,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
MH733055,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
MH733056,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
MH733057,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
MH733058,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
MH733059,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
MH733060,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
MH733061,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
MH733062,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
MH733063,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
MH733064,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
MH733065,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
MH733066,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
MH733067,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
MH733068,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
MH733070,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
MH733071,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
MH733072,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
MH733073,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
MH733074,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
MH733075,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
MH733076,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
MH733077,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
MH742362,4Q,4Q,4V,4V,4Q,5,,2,4Q;4V,AllFiveDisagree
MH742363,4Q,4Q,4Q,4Q,4Q,5,,1,4Q,AllFiveAgree
MH742364,4K,4K,4K,4K,4K,5,,1,4K,AllFiveAgree
MH742365,4V,4V,4V,4V,4V,5,,1,4V,AllFiveAgree
MH742367,4V,4V,4V,4V,4V,5,,1,4V,AllFiveAgree
MH742370,4K,4K,4K,4K,4K,5,,1,4K,AllFiveAgree
MH885469,1O,1O,1C,1C,,4,GenBank,2,1C;1O,AvailableCallsDisagree
MH940291,7A,7A,2A,7A,,4,GenBank,2,2A;7A,AvailableCallsDisagree
MK139015,6XG,6XG,6N,6N,6XG,5,,2,6N;6XG,AllFiveDisagree
MK139016,6XG,6XG,6N,6N,6XG,5,,2,6N;6XG,AllFiveDisagree
MK139017,6XG,6XG,6N,6N,6XG,5,,2,6N;6XG,AllFiveDisagree
MK139018,6XG,6XG,6N,6N,6XG,5,,2,6N;6XG,AllFiveDisagree
MK139019,6XG,6XG,6N,6N,6XG,5,,2,6N;6XG,AllFiveDisagree
MK139020,6XG,6XG,6N,6N,6XG,5,,2,6N;6XG,AllFiveDisagree
MK139021,6XG,6XG,6N,6N,6XG,5,,2,6N;6XG,AllFiveDisagree
MK139022,6XG,6XG,6N,6N,6XG,5,,2,6N;6XG,AllFiveDisagree
MK210544,4A,4A,4A,4A,,4,GenBank,1,4A,AvailableCallsAgree
MK210545,4A,4A,4A,4A,,4,GenBank,1,4A,AvailableCallsAgree
MK210547,4A,4A,4A,4A,,4,GenBank,1,4A,AvailableCallsAgree
MK210548,4A,4A,4A,4A,,4,GenBank,1,4A,AvailableCallsAgree
MK210549,4A,4A,4A,4A,,4,GenBank,1,4A,AvailableCallsAgree
MK210550,4A,4A,4A,4A,,4,GenBank,1,4A,AvailableCallsAgree
MK210551,4A,4A,4A,4A,,4,GenBank,1,4A,AvailableCallsAgree
MK210552,4A,4A,4A,4A,,4,GenBank,1,4A,AvailableCallsAgree
MK210553,4A,4A,4A,4A,,4,GenBank,1,4A,AvailableCallsAgree
MK210554,4A,4A,4A,4A,,4,GenBank,1,4A,AvailableCallsAgree
MK210555,4A,4A,4A,4A,,4,GenBank,1,4A,AvailableCallsAgree
MK215006,1B,1B,1B,1B,,4,GenBank,1,1B,AvailableCallsAgree
MK215007,1B,1B,1B,1B,,4,GenBank,1,1B,AvailableCallsAgree
MK215008,1B,1B,1B,1B,,4,GenBank,1,1B,AvailableCallsAgree
MK215009,1B,1B,1B,1B,,4,GenBank,1,1B,AvailableCallsAgree
MK215010,1B,1B,1B,1B,,4,GenBank,1,1B,AvailableCallsAgree
MK215011,1B,1B,1B,1B,,4,GenBank,1,1B,AvailableCallsAgree
MK215012,1B,1B,1B,1B,,4,GenBank,1,1B,AvailableCallsAgree
MK215013,1B,1B,1B,1B,,4,GenBank,1,1B,AvailableCallsAgree
MK215014,1B,1B,1B,1B,,4,GenBank,1,1B,AvailableCallsAgree
MK215015,1B,1B,1B,1B,,4,GenBank,1,1B,AvailableCallsAgree
MK215016,1B,1B,1B,1B,,4,GenBank,1,1B,AvailableCallsAgree
MK215017,1B,1B,1B,1B,,4,GenBank,1,1B,AvailableCallsAgree
D00944,2A,2A,2A,2A,,4,GenBank,1,2A,AvailableCallsAgree
D10988,2B,2B,2B,2B,,4,GenBank,1,2B,AvailableCallsAgree
D14853,1C,1C,1C,1C,,4,GenBank,1,1C,AvailableCallsAgree
D17763,3A,3A,3A,3A,,4,GenBank,1,3A,AvailableCallsAgree
D28917,3A,3A,3A,3A,,4,GenBank,1,3A,AvailableCallsAgree
D49374,3B,3B,3B,3B,,4,GenBank,1,3B,AvailableCallsAgree
D50409,2C,2C,2C,2C,,4,GenBank,1,2C,AvailableCallsAgree
D50480,1B,1B,1B,1B,,4,GenBank,1,1B,AvailableCallsAgree
D50481,1B,1B,1B,1B,,4,GenBank,1,1B,AvailableCallsAgree
D50482,1B,1B,1B,1B,,4,GenBank,1,1B,AvailableCallsAgree
D50483,1B,1B,1B,1B,,4,GenBank,1,1B,AvailableCallsAgree
D50484,1B,1B,1B,1B,,4,GenBank,1,1B,AvailableCallsAgree
D50485,1B,1B,1B,1B,,4,GenBank,1,1B,AvailableCallsAgree
D63821,3K,3K,3K,3K,,4,GenBank,1,3K,AvailableCallsAgree
D63822,6G,6G,6G,6G,,4,GenBank,1,6G,AvailableCallsAgree
D84262,6B,6B,6B,6B,,4,GenBank,1,6B,AvailableCallsAgree
D84263,6D,8A,6D,6D,,4,GenBank,2,6D;8A,AvailableCallsDisagree
D84264,6K,6K,6K,6K,,4,GenBank,1,6K,AvailableCallsAgree
D84265,6H,6H,6H,6H,,4,GenBank,1,6H,AvailableCallsAgree
D90208,1B,1B,1B,1B,,4,GenBank,1,1B,AvailableCallsAgree
DQ155561,2I,2I,2I,2I,2I,5,,1,2I,AllFiveAgree
DQ278891,6XJ,6XJ,6L,6L,6K,5,,3,6K;6L;6XJ,AllFiveDisagree
DQ278892,6W,6W,6W,6W,,4,GenBank,1,6W,AvailableCallsAgree
DQ278893,6XJ,6XJ,6L,6L,6K,5,,3,6K;6L;6XJ,AllFiveDisagree
DQ278894,6N,6N,6N,6N,6N,5,,1,6N,AllFiveAgree
DQ314805,6E,6E,6E,6E,6E,5,,1,6E,AllFiveAgree
DQ314806,6G,6G,6G,6G,6G,5,,1,6G,AllFiveAgree
DQ418782,4A,4A,4A,4A,,4,GenBank,1,4A,AvailableCallsAgree
DQ418783,4A,4A,4A,4A,,4,GenBank,1,4A,AvailableCallsAgree
DQ418784,4A,4A,4A,4A,,4,GenBank,1,4A,AvailableCallsAgree
DQ418785,4A,4A,4A,4A,,4,GenBank,1,4A,AvailableCallsAgree
DQ418786,4D,4D,4D,4D,,4,GenBank,1,4D,AvailableCallsAgree
DQ418787,4A,4A,4A,4A,,4,GenBank,1,4A,AvailableCallsAgree
DQ418788,4A,4A,4A,4A,,4,GenBank,1,4A,AvailableCallsAgree
DQ418789,4A,4A,4A,4A,,4,GenBank,1,4A,AvailableCallsAgree
DQ480512,6A,6A,6A,6A,6A,5,,1,6A,AllFiveAgree
DQ480513,6A,6A,6A,6A,6A,5,,1,6A,AllFiveAgree
DQ480514,6A,6A,6A,6A,6A,5,,1,6A,AllFiveAgree
DQ480515,6A,6A,6A,6A,6A,5,,1,6A,AllFiveAgree
DQ480516,6A,6A,6A,6A,6A,5,,1,6A,AllFiveAgree
DQ480517,6A,6A,6A,6A,6A,5,,1,6A,AllFiveAgree
DQ480518,6A,6A,6A,6A,6A,5,,1,6A,AllFiveAgree
DQ480519,6A,6A,6A,6A,6A,5,,1,6A,AllFiveAgree
DQ480520,6A,6A,6A,6A,6A,5,,1,6A,AllFiveAgree
DQ480521,6A,6A,6A,6A,6A,5,,1,6A,AllFiveAgree
DQ480522,6A,6A,6A,6A,6A,5,,1,6A,AllFiveAgree
DQ480523,6A,6A,6A,6A,6A,5,,1,6A,AllFiveAgree
DQ480524,6A,6A,6A,6A,6A,5,,1,6A,AllFiveAgree
DQ516083,4D,4D,4D,4D,4D,5,,1,4D,AllFiveAgree
DQ516084,4A,4A,4A,4A,4A,5,,1,4A,AllFiveAgree
DQ835760,6F,6F,6F,6F,6F,5,,1,6F,AllFiveAgree
DQ835761,6J,6J,6J,6J,6J,5,,1,6J,AllFiveAgree
DQ835762,6I,6I,6I,6I,6I,5,,1,6I,AllFiveAgree
DQ835763,6M,6M,6M,6M,6M,5,,1,6M,AllFiveAgree
DQ835764,6F,6F,6F,6F,6F,5,,1,6F,AllFiveAgree
DQ835765,6M,6M,6M,6M,6M,5,,1,6M,AllFiveAgree
DQ835767,6M,8A,6M,6M,6M,5,,2,6M;8A,AllFiveDisagree
DQ835768,6N,6N,6N,6N,6N,5,,1,6N,AllFiveAgree
DQ835769,6J,6J,6J,6J,6J,5,,1,6J,AllFiveAgree
DQ889263,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
DQ889264,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
DQ889291,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
DQ889295,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
DQ889296,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
DQ889308,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
DQ889312,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
EF026073,5A,5A,1B,2J,,4,GenBank,3,1B;2J;5A,AvailableCallsDisagree
EF108306,7A,7A,7A,7A,7A,5,,1,7A,AllFiveAgree
EF139657,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
EF139658,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
EF139659,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
EF139660,1B,1B,1B,1B,,4,GenBank,1,1B,AvailableCallsAgree
EF139661,1B,1B,1B,1B,,4,GenBank,1,1B,AvailableCallsAgree
EF139666,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
EF139671,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
EF139674,1B,1B,1B,1B,,4,GenBank,1,1B,AvailableCallsAgree
EF139676,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
EF139678,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
EF139691,1B,1B,1B,1B,,4,GenBank,1,1B,AvailableCallsAgree
EF139695,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
EF139698,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
EF139699,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
EF139701,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
EF139703,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
EF139706,1B,1B,1B,1B,,4,GenBank,1,1B,AvailableCallsAgree
EF139707,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
EF139714,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
EF139715,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
EF139716,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
EF139717,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
EF139719,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
EF139722,1B,1B,1B,1B,,4,GenBank,1,1B,AvailableCallsAgree
EF139723,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
EF139725,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
EF139726,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
EF139728,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
EF139729,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
EF139730,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
EF139734,1B,1B,1B,1B,,4,GenBank,1,1B,AvailableCallsAgree
EF139735,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
EF139736,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
EF139739,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
EF139742,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
EF139748,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
EF139751,1B,1B,1B,1B,,4,GenBank,1,1B,AvailableCallsAgree
EF139759,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
EF139760,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
EF139762,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
EF139763,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
EF139765,1B,1B,1B,1B,,4,GenBank,1,1B,AvailableCallsAgree
EF139766,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
EF139773,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
EF173627,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
EF173628,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
EF173629,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
EF173630,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
EF173631,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
EF173632,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
EF173633,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
EF173634,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
EF173635,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
EF173636,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
EF173637,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
EF173638,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
EF173639,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
EF173640,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
EF173641,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
EF173642,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
EF173643,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
EF173644,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
EF173645,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
EF173646,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
EF173647,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
EF173648,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
EF173649,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
EF173650,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
EF173651,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
EF173652,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
EF173653,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
EF173654,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
EF407411,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
EF407412,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
EF407413,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
EF407414,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
EF407415,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
EF407416,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
EF407417,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
EF407418,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
EF407419,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
EF407420,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
EF407421,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
EF407422,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
EF407423,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
EF407424,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
EF407425,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
EF407426,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
EF407427,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
EF407428,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
EF407429,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
EF407430,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
EF407431,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
EF407432,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
EF407433,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
EF407434,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
EF407435,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
EF407436,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
EF407437,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
EF407438,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
EF407439,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
EF407440,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
EF407441,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
EF407442,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
EF407443,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
EF407444,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
EF407445,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
EF407446,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
EF407447,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
EF407448,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
EF407449,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
EF407450,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
EF407451,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
EF407452,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
EF407453,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
EF407454,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
EF407455,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
EF407456,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
EF407457,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
EF407458,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
EF407459,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
EF407460,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
EF407461,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
EF407462,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
EF407463,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
EF407464,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
EF407465,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
EF407466,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
EF407467,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
EF407468,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
EF407469,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
EF407470,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
EF407471,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
EF407472,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
