Accession,ClosestGenotype,ClosestGenotypePident,ClosestSubtype,ClosestSubtypePident,ReferenceOverlapAA,FullyCover,CoveredNS3RASPositions
Y11604,4,100.000,4a,100.000,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
Y12083,6,79.440,6a,100.000,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
Y13184,5,100.000,5a,91.337,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB031663,2,80.021,2k,100.000,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB047639,2,89.646,2a,100.000,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB047640,2,91.231,2a,91.389,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB047641,2,92.816,2a,92.657,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB047642,2,90.808,2a,90.967,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB047643,2,90.755,2a,91.125,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB047644,2,91.020,2a,91.706,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB047645,2,91.284,2a,91.653,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB049087,1,78.997,1b,91.226,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB049088,1,78.986,1b,92.604,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB049089,1,79.345,1b,90.698,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB049090,1,79.472,1b,92.230,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB049091,1,80.074,1b,92.129,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB049092,1,79.820,1b,90.909,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB049093,1,79.589,1b,93.080,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB049094,1,79.356,1b,91.226,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB049095,1,79.820,1b,91.490,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB049096,1,78.892,1b,91.438,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB049097,1,79.461,1b,91.812,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB049098,1,78.658,1b,92.816,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB049099,1,79.092,1b,92.178,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB049100,1,79.092,1b,91.068,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB049101,1,79.325,1b,91.173,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB072043,1,76.879,1b,90.741,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072044,1,76.350,1b,97.222,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB072045,1,79.191,1b,95.926,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072046,1,78.026,1b,92.778,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB072047,1,78.035,1b,92.037,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072048,1,78.035,1b,92.037,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072049,1,77.885,1b,90.926,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072050,1,77.071,1b,91.852,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072051,1,76.493,1b,90.926,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072052,1,78.530,1b,90.892,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072053,1,76.108,1b,90.432,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072054,1,76.536,1b,92.593,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB072055,1,78.420,1b,92.037,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072056,1,78.420,1b,89.444,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072057,1,79.961,1b,92.037,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072058,1,76.493,1b,92.222,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072059,1,77.840,1b,92.593,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB072060,1,78.227,1b,94.630,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072061,1,78.420,1b,91.667,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072062,1,77.264,1b,90.000,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072063,1,77.264,1b,92.407,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072064,1,77.457,1b,90.741,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072065,1,80.347,1b,93.704,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072066,1,76.686,1b,91.667,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072067,1,77.457,1b,90.741,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072068,1,79.383,1b,90.741,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072069,1,77.649,1b,95.185,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072070,1,77.649,1b,92.222,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072071,1,79.191,1b,92.579,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072072,1,77.457,1b,91.667,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072073,1,77.071,1b,92.593,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072074,1,76.493,1b,91.481,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072075,1,77.071,1b,91.667,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072076,1,78.035,1b,92.222,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072077,1,78.420,1b,94.815,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072078,1,77.842,1b,93.519,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072079,1,77.264,1b,90.926,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072080,1,77.095,1b,91.111,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB072081,1,76.923,1b,92.393,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072082,1,77.457,1b,91.111,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072083,1,78.227,1b,92.778,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072084,1,78.227,1b,92.222,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072085,1,79.191,1b,92.037,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072086,1,76.108,1b,90.432,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072087,1,77.264,1b,92.778,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072088,1,76.879,1b,91.111,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072089,1,77.071,1b,91.852,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072090,1,76.879,1b,92.963,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072091,1,77.649,1b,91.667,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072092,1,78.805,1b,90.926,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072093,1,76.346,1b,90.841,36-174,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072094,1,78.998,1b,94.444,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072095,1,78.998,1b,91.481,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072096,1,79.383,1b,92.778,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072097,1,78.227,1b,92.778,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072098,1,77.071,1b,90.741,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072099,1,77.457,1b,93.148,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072100,1,77.071,1b,92.037,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072101,1,79.576,1b,96.111,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072102,1,79.769,1b,90.370,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072103,1,77.842,1b,89.630,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072104,1,77.071,1b,91.667,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072105,1,75.978,1b,91.667,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB072106,1,77.071,1b,91.296,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072107,1,75.696,1b,90.741,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB072108,1,78.420,1b,90.926,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072109,1,79.383,1b,89.444,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072110,1,79.961,1b,93.333,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072111,1,78.805,1b,93.519,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072112,1,77.264,1b,92.222,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB072113,1,78.613,1b,92.778,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB089512,1,75.676,1b,90.000,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB089513,1,79.191,1b,92.037,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB089514,1,78.613,1b,94.815,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB089515,1,76.686,1b,90.926,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB089516,1,77.626,1b,90.000,36-172,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB089517,1,76.909,1b,90.556,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB089518,1,78.998,1b,94.630,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB089519,1,77.842,1b,91.852,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB089520,1,78.957,1b,93.333,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB089521,1,78.805,1b,90.926,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB089522,1,76.686,1b,90.926,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB089523,1,78.035,1b,90.000,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB089524,1,77.649,1b,91.481,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB089525,1,77.842,1b,92.407,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB089526,1,79.576,1b,93.333,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB089527,1,78.805,1b,93.519,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB089528,1,78.805,1b,91.852,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB089529,1,78.805,1b,90.556,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB089530,1,78.613,1b,92.222,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB089531,1,76.909,1b,90.741,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB089532,1,76.686,1b,90.556,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB089533,1,78.420,1b,90.185,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB089534,1,77.649,1b,90.185,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB089535,1,77.264,1b,91.667,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB089536,1,77.467,1b,90.370,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB089537,1,78.227,1b,92.593,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB089538,1,77.071,1b,90.741,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB089539,1,77.264,1b,92.037,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB089540,1,77.457,1b,90.926,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB089541,1,77.071,1b,90.556,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB089542,1,75.530,1b,90.556,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB089543,1,76.723,1b,92.222,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB089544,1,78.227,1b,89.444,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB089545,1,79.191,1b,92.222,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB089546,1,77.842,1b,92.222,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB089547,1,77.071,1b,91.852,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB089548,1,78.035,1b,91.852,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB089549,1,77.071,1b,90.370,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB089550,1,75.978,1b,90.741,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB089551,1,77.264,1b,90.370,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB089552,1,79.191,1b,93.333,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB089553,1,76.723,1b,90.185,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB089554,1,78.420,1b,92.037,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB089555,1,79.383,1b,93.333,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB089556,1,76.809,1b,91.667,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB089557,1,77.649,1b,91.557,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB089558,1,76.536,1b,89.259,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB089559,1,77.457,1b,91.481,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB089560,1,77.264,1b,91.852,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB089561,1,77.264,1b,89.444,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB089562,1,77.649,1b,92.037,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB089563,1,77.649,1b,90.556,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB089564,1,76.164,1b,91.667,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB089565,1,77.071,1b,91.296,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB089566,1,76.301,1b,92.037,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB089567,1,77.649,1b,90.741,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB089568,1,78.227,1b,91.481,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB089569,1,78.420,1b,91.667,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB089570,1,76.723,1b,91.296,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB089571,1,78.805,1b,91.111,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB089572,1,77.457,1b,91.481,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB089573,1,78.026,1b,91.111,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB089574,1,78.805,1b,91.481,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB089575,1,76.686,1b,91.111,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB089576,1,76.686,1b,91.667,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB089577,1,76.008,1b,86.667,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB089578,1,77.842,1b,92.037,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB089579,1,75.978,1b,91.111,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB089580,1,76.686,1b,90.741,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB089581,1,77.264,1b,91.296,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB089582,1,77.842,1b,89.630,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB089583,1,76.108,1b,89.630,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB100806,1,79.383,1b,92.778,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB100807,1,78.420,1b,92.037,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB100808,1,76.686,1b,90.432,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB100809,1,76.350,1b,89.630,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB100810,1,77.413,1b,89.444,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB100811,1,77.457,1b,90.556,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB100812,1,75.915,1b,91.667,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB100813,1,78.420,1b,90.556,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB100814,1,77.264,1b,91.296,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB100815,1,79.383,1b,95.185,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB100816,1,78.420,1b,94.259,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB100817,1,76.493,1b,90.556,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB100818,1,77.515,1b,90.000,36-169,,36;41;43;54;55;56;80;122;155;156;158;166;168
AB100819,1,78.035,1b,92.407,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB100820,1,76.438,1b,91.852,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB100821,1,78.035,1b,90.000,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB100822,1,77.649,1b,91.481,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB100823,1,77.264,1b,91.852,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB100824,1,76.536,1b,90.370,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB100825,1,77.649,1b,91.852,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB100826,1,77.071,1b,90.370,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB100827,1,77.071,1b,91.481,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB100828,1,76.493,1b,90.370,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB100829,1,77.842,1b,91.111,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB548070,1,76.503,1b,90.128,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB548071,1,76.501,1b,90.395,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB548072,1,76.550,1b,88.710,36-124,,36;41;43;54;55;56;80;122
AB548073,1,77.358,1b,92.612,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB548074,1,77.358,1b,91.237,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB548075,1,77.304,1b,91.096,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB548076,1,75.768,1b,89.726,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB548077,1,76.962,1b,90.940,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB548078,1,76.280,1b,89.041,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB548079,1,76.451,1b,91.497,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB548080,1,74.744,1b,88.776,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB548081,1,76.301,1b,91.107,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB548082,1,80.202,1b,94.141,36-165,,36;41;43;54;55;56;80;122;155;156;158
AB548083,1,77.799,1b,90.727,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB548084,1,77.842,1b,89.630,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB548085,1,78.420,1b,93.506,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB548086,1,78.371,1b,91.899,36-119,,36;41;43;54;55;56;80
AB548087,1,77.636,1b,93.091,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB548088,1,78.805,1b,92.642,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB548089,1,77.091,1b,92.883,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB548090,1,75.352,1b,88.908,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB548091,1,78.613,1b,92.740,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB548092,1,76.686,1b,90.353,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB548093,1,77.200,1b,91.200,36-167,,36;41;43;54;55;56;80;122;155;156;158;166
AB548094,1,77.127,1b,88.848,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB548095,1,79.191,1b,92.208,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB548096,1,77.842,1b,91.296,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB548097,1,75.311,1b,89.840,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB548098,1,77.007,1b,89.011,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB548099,1,78.062,1b,89.945,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB548100,1,75.530,1b,89.560,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB548101,1,77.638,1b,91.206,36-133,,36;41;43;54;55;56;80;122
AB548102,1,76.965,1b,90.311,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB548103,1,79.021,1b,92.093,36-143,,36;41;43;54;55;56;80;122
AB548104,1,78.420,1b,90.341,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB548105,1,76.825,1b,89.435,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB548106,1,77.455,1b,92.532,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB548107,1,75.978,1b,90.221,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB548108,1,78.000,1b,91.621,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB548109,1,78.545,1b,91.985,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB548110,1,76.277,1b,91.257,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB548111,1,76.690,1b,89.286,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB548112,1,77.273,1b,91.803,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB548113,1,77.936,1b,90.391,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB548114,1,75.666,1b,92.035,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB548115,1,76.950,1b,90.391,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB548116,1,78.545,1b,90.710,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB548117,1,75.597,1b,90.067,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB548118,1,79.576,1b,93.233,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB548119,1,76.909,1b,90.346,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB548120,1,76.867,1b,91.225,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB548121,1,78.545,1b,93.807,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB548122,1,78.114,1b,91.250,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB548123,1,76.607,1b,91.250,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB548124,1,75.915,1b,90.584,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB548125,1,78.420,1b,90.737,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB548126,1,77.046,1b,91.786,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB548127,1,78.102,1b,91.439,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB548128,1,77.455,1b,91.439,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB548129,1,76.493,1b,89.623,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB548130,1,78.648,1b,91.281,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB548131,1,76.495,1b,89.072,36-162,,36;41;43;54;55;56;80;122;155;156;158
AB548132,1,78.035,1b,91.697,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB548133,1,78.624,1b,91.400,36-136,,36;41;43;54;55;56;80;122
AB548134,1,76.335,1b,88.750,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB548135,1,78.227,1b,90.994,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB548136,1,77.649,1b,90.018,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB548137,1,77.649,1b,90.959,36-173,,36;41;43;54;55;56;80;122;155;156;158;166;168;170
AB622121,1,79.620,1b,90.755,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB622123,1,76.230,1b,89.634,36-163,,36;41;43;54;55;56;80;122;155;156;158
AB661373,2,78.118,2b,91.720,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
AB661374,2,77.326,2b,91.653,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
