Accession,PerGeneGenotype,PerGeneSubtype,FullGenomeGenotype,FullGenomeSubtype,CometPerGeneGenotype,CometPerGeneSubtype,CometFullGenomeGenotype,CometFullGenomeSubtype,GenBankGenotype,GenBankSubtype
MG455038,1,1o,1,1o,1,1b,1,1b,1,1c
MG455039,1,1o,1,1o,1,1b,1,1b,1,1c
MG455041,4,4a,4,4a,4,4a,4,4a,4,4a
MG455042,2,2c,2,2c,2,2c,2,2c,2,2c
MG455043,5,5a,5,5a,5,5a,5,5a,5,5a
MG455044,4,4a,4,4a,4,4a,4,4a,4,4a
MG455045,2,2a,2,2a,2,2a,2,2a,2,2a
MG455046,1,1b,1,1b,1,1b,1,1b,1,1b
MG455047,1,1b,1,1b,1,1b,1,1b,1,1b
MG455048,2,2b,2,2b,2,2b,2,2b,2,2b
MG455049,4,4a,4,4a,4,4a,4,4a,4,4a
MG455051,1,1a,1,1a,1,1a,1,1a,1,1a
MG455054,1,1a,1,1a,1,1a,1,1a,1,1a
MG455058,1,1a,1,1a,1,1a,1,1a,1,1a
MG455059,4,4a,4,4a,4,4a,4,4a,4,4a
MG455062,4,4a,4,4a,4,4a,4,4a,4,4a
MG455065,4,4c,4,4c,4,4c,4,4c,4,4c
MG455069,5,5a,5,5a,5,5a,5,5a,5,5a
MG455070,1,1b,1,1b,1,1b,1,1b,1,1b
MG455071,2,2q,2,2d,2,2j,2,2j,2,2j
MG455074,1,1b,1,1b,1,1b,1,1b,1,1b
MG455075,4,4t,4,4t,4,4t,4,4t,4,4t
MG455076,2,2a,2,2a,2,2a,2,2a,2,2a
MG455077,1,1a,1,1a,1,1a,1,1a,1,1a
MG455081,1,1b,1,1b,1,1b,1,1b,1,1b
MG455085,1,1a,1,1a,1,1a,1,1a,1,1a
MG455086,1,1a,1,1a,1,1a,1,1a,1,1a
MG455089,2,2i,2,2i,2,2i,2,2i,2,2i
MG455090,2,2b,2,2b,2,2b,2,2b,2,2b
MG455093,2,2b,2,2b,2,2b,2,2b,2,2b
MG455094,6,6a,6,6a,6,6a,6,6a,6,6a
MG455095,6,6a,6,6a,6,6a,6,6a,6,6a
MG455096,2,2c,2,2c,2,2c,2,2c,2,2c
MG455097,6,6a,6,6a,6,6a,6,6a,6,6a
MG455098,1,1b,1,1b,1,1b,1,1b,1,1b
MG455099,2,2b,2,2b,2,2b,2,2b,2,2b
MG455103,1,1b,1,1b,1,1b,1,1b,1,1b
MG455106,1,1a,1,1a,1,1a,1,1a,1,1a
MG455109,4,4n,4,4n,4,4n,4,4n,4,4n
MG455111,1,1b,1,1b,1,1b,1,1b,1,1b
MG455118,2,2b,2,2b,2,2b,2,2b,2,2b
MG455119,1,1a,1,1a,1,1a,1,1a,1,1a
MG455120,4,4a,4,4a,4,4a,4,4a,4,4a
MG455121,1,1a,1,1a,1,1a,1,1a,1,1a
MG455125,1,1a,1,1a,1,1a,1,1a,1,1a
MG455126,1,1a,1,1a,1,1a,1,1a,1,1a
MG455127,6,6a,6,6a,6,6a,6,6a,6,6a
MG455129,6,6a,6,6a,6,6a,6,6a,6,6a
MG455131,2,2c,2,2c,2,2c,2,2c,2,2c
MG455134,2,2i,2,2i,2,2i,2,2i,2,2i
MG455136,1,1b,1,1b,1,1b,1,1b,1,1b
MG455137,1,1b,1,1b,1,1b,1,1b,1,1b
MG455138,4,4a,4,4a,4,4a,4,4a,4,4a
MG455139,1,1a,1,1a,1,1a,1,1a,1,1a
MG455140,2,2i,2,2i,2,2i,2,2i,2,2i
MG455144,5,5a,5,5a,5,5a,5,5a,5,5a
MG455145,1,1a,1,1a,1,1a,1,1a,1,1a
MG455149,5,5a,5,5a,5,5a,5,5a,5,5a
MG455152,2,2b,2,2b,2,2b,2,2b,2,2b
MG455153,2,2b,2,2b,2,2b,2,2b,2,2b
MG455155,4,4a,4,4a,4,4a,4,4a,4,4a
MG455158,1,1b,1,1b,1,1b,1,1b,1,1b
MG455160,4,4a,4,4a,4,4a,4,4a,4,4a
MG455161,4,4a,4,4a,4,4a,4,4a,4,4a
MG455163,2,2j,2,2f,2,2j,2,2j,2,2a
MG455164,1,1a,1,1a,1,1a,1,1a,1,1a
MG455167,2,2a,2,2a,2,2a,2,2a,2,2a
MG455168,2,2a,2,2a,2,2a,2,2a,2,2a
MG455169,1,1b,1,1b,1,1b,1,1b,1,1b
MG455170,2,2b,2,2b,2,2b,2,2b,2,2b
MG455174,4,4d,4,4d,4,4d,4,4d,4,4d
MG455178,1,1a,1,1a,1,1a,1,1a,1,1a
MG455179,1,1b,1,1b,1,1b,1,1b,1,1b
MG455182,5,5a,5,5a,5,5a,5,5a,5,5a
MG455183,1,1a,1,1a,1,1a,1,1a,1,1a
MG455190,4,4d,4,4d,4,4d,4,4d,4,4d
MG455191,1,1a,1,1a,1,1a,1,1a,1,1a
MG455192,1,1a,1,1a,1,1a,1,1a,1,1a
MG455194,2,2b,2,2b,2,2b,2,2b,2,2e
MG455195,2,2c,2,2c,2,2c,2,2c,2,2c
MG455196,6,6a,6,6a,6,6a,6,6a,6,6a
MG455198,1,1a,1,1a,1,1a,1,1a,1,1a
MG455201,1,1a,1,1a,1,1a,1,1a,1,1a
MG455202,1,1a,1,1a,1,1a,1,1a,1,1a
MG455203,2,2a,2,2a,2,2a,2,2a,2,2a
MG455204,4,4d,4,4d,4,4d,4,4d,4,4d
MG455205,4,4c,4,4a,4,4a,4,4a,4,4a
MG455207,1,1a,1,1a,1,1a,1,1a,1,1a
MG455208,1,1b,1,1b,1,1b,1,1b,1,1b
MG455210,2,2a,2,2a,2,2a,2,2a,2,2a
MG455212,1,1a,1,1a,1,1a,1,1a,1,1a
MG455214,1,1a,1,1a,1,1a,1,1a,1,1a
MG455216,1,1b,1,1b,1,1b,1,1b,1,1b
MG455221,4,4f,4,4f,4,4f,4,4f,4,4f
MG455222,4,4a,4,4a,4,4a,4,4a,4,4a
MG455225,4,4b,4,4b,4,4b,4,4b,4,4b
MG455226,1,1a,1,1a,1,1a,1,1a,1,1a
MG455227,1,1b,1,1b,1,1b,1,1b,1,1b
MG455228,1,1a,1,1a,1,1a,1,1a,1,1a
MG455229,4,4d,4,4d,4,4d,4,4d,4,4d
MG455231,5,5a,5,5a,5,5a,5,5a,5,5a
MG455232,4,4n,4,4n,4,4n,4,4n,4,4n
MG455235,1,1a,1,1a,1,1a,1,1a,1,1a
MG455236,5,5a,5,5a,5,5a,5,5a,5,5a
MG455237,2,2b,2,2b,2,2b,2,2b,2,2b
MG455242,4,4d,4,4d,4,4d,4,4d,4,4d
MG455245,1,1a,1,1a,1,1a,1,1a,1,1a
MG455246,1,1a,1,1a,1,1a,1,1a,1,1a
MG455248,1,1b,1,1b,1,1b,1,1b,1,1b
MG455250,4,4a,4,4a,4,4a,4,4a,4,4a
MG455253,6,6a,6,6a,6,6a,6,6a,6,6a
MG455255,1,1a,1,1a,1,1a,1,1a,1,1a
MG455257,4,4o,4,4o,4,4o,4,4o,4,4o
MG455258,4,4a,4,4a,4,4a,4,4a,4,4a
MG455259,4,4a,4,4a,4,4a,4,4a,4,4a
MG455263,4,4a,4,4a,4,4a,4,4a,4,4a
MG455265,4,4n,4,4n,4,4n,4,4n,4,4n
MG455267,1,1a,1,1a,1,1a,1,1a,1,1a
MG455269,4,4a,4,4a,4,4a,4,4a,4,4a
MG455272,1,1a,1,1a,1,1a,1,1a,1,1a
MG455273,4,4a,4,4a,4,4a,4,4a,4,4a
MG455274,4,4o,4,4o,4,4o,4,4o,4,4o
MG455275,1,1b,1,1b,1,1b,1,1b,1,1b
MG455276,2,2b,2,2b,2,2b,2,2b,2,2b
MG455277,1,1a,1,1a,1,1a,1,1a,1,1a
MG455278,4,4a,4,4a,4,4a,4,4a,4,4a
MG455281,1,1a,1,1a,1,1a,1,1a,1,1a
MG455282,6,6h,6,6h,6,6h,6,6h,6,6h
MG455284,4,4a,4,4a,4,4a,4,4a,4,4a
MG455285,1,1b,1,1b,1,1b,1,1b,1,1b
MG455286,5,5a,5,5a,5,5a,5,5a,5,5a
MG455287,4,4c,4,4c,4,4c,4,4c,4,4c
MG455288,2,2i,2,2i,2,2i,2,2i,2,2i
MG455289,1,1a,1,1a,1,1a,1,1a,1,1a
MG455291,5,5a,5,5a,5,5a,5,5a,5,5a
MG455292,4,4a,4,4a,4,4a,4,4a,4,4a
MG455295,4,4a,4,4a,4,4a,4,4a,4,4a
MG455296,4,4d,4,4d,4,4d,4,4d,4,4d
MG455298,1,1b,1,1b,1,1b,1,1b,1,1b
MG455299,4,4d,4,4d,4,4d,4,4d,4,4d
MG455302,4,4n,4,4n,4,4n,4,4n,4,4n
MG455303,4,4a,4,4a,4,4a,4,4a,4,4a
MG455305,1,1a,1,1a,1,1a,1,1a,1,1a
MG455306,4,4a,4,4a,4,4a,4,4a,4,4a
MG455307,1,1b,1,1b,1,1b,1,1b,1,1b
MG455308,2,2c,2,2c,2,2c,2,2c,2,2c
MG455309,4,4a,4,4a,4,4a,4,4a,4,4a
MG455311,4,4d,4,4d,4,4d,4,4d,4,4d
MG455317,1,1b,1,1b,1,1b,1,1b,1,1b
MG455318,1,1a,1,1a,1,1a,1,1a,1,1a
MG455319,4,4d,4,4d,4,4d,4,4d,4,4d
MG455320,1,1a,1,1a,1,1a,1,1a,1,1a
MG455321,4,4a,4,4a,4,4a,4,4a,4,4a
MG455322,1,1b,1,1b,1,1b,1,1b,1,1b
MG455323,1,1a,1,1a,1,1a,1,1a,1,1a
MG455325,5,5a,5,5a,5,5a,5,5a,5,5a
MG455327,4,4o,4,4o,4,4o,4,4o,4,4o
MG455328,1,1b,1,1b,1,1b,1,1b,1,1b
MG455331,4,4a,4,4a,4,4a,4,4a,4,4a
MG455332,4,4d,4,4d,4,4d,4,4d,4,4d
MG455333,4,4a,4,4a,4,4a,4,4a,4,4a
MG455336,6,6a,6,6a,6,6a,6,6a,6,6a
MG455337,4,4a,4,4a,4,4a,4,4a,4,4a
MG455340,4,4d,4,4d,4,4d,4,4d,4,4d
MG455341,4,4a,4,4a,4,4a,4,4a,4,4a
MG455342,1,1b,1,1b,1,1b,1,1b,1,1b
MG455343,1,1b,1,1b,1,1b,1,1b,1,1b
MG455346,2,2a,2,2a,2,2a,2,2a,2,2a
MG455348,1,1a,1,1a,1,1a,1,1a,1,1a
MG455350,1,1a,1,1a,1,1a,1,1a,1,1a
MG455352,2,2a,2,2a,2,2a,2,2a,2,2a
MG455353,1,1a,1,1a,1,1a,1,1a,1,1a
MG455356,6,6a,6,6a,6,6a,6,6a,6,6a
MG455357,5,5a,5,5a,5,5a,5,5a,5,5a
MG455358,5,5a,5,5a,5,5a,5,5a,5,5a
MG455359,5,5a,5,5a,5,5a,5,5a,5,5a
MG455360,4,4n,4,4n,4,4n,4,4n,4,4n
MG455361,6,6n,6,6n,6,6n,6,6n,6,6n
MG455363,2,2i,2,2i,2,2i,2,2i,2,2i
MG455364,4,4f,4,4f,4,4f,4,4f,4,4f
MG455365,2,2a,2,2a,2,2a,2,2a,2,2a
MG455369,1,1a,1,1a,1,1a,1,1a,1,1a
MG455372,6,6a,6,6a,6,6a,6,6a,6,6a
MG455375,5,5a,5,5a,5,5a,5,5a,5,5a
MG455378,6,6a,6,6a,6,6a,6,6a,6,6a
MG455381,4,4a,4,4a,4,4a,4,4a,4,4a
MG455383,6,6a,6,6a,6,6a,6,6a,6,6a
MG455387,1,1a,1,1a,1,1a,1,1a,1,1a
MG455388,4,4a,4,4a,4,4a,4,4a,4,4a
MG455390,6,6m,6,6m,6,6m,6,6m,6,6m
MG455392,4,4a,4,4a,4,4a,4,4a,4,4a
MG455393,2,2a,2,2a,2,2a,2,2a,2,2a
MG455401,2,2b,2,2b,2,2b,2,2b,2,2b
MG455405,2,2b,2,2b,2,2b,2,2b,2,2b
MG455406,2,2b,2,2b,2,2b,2,2b,2,2b
MG455407,2,2b,2,2b,2,2b,2,2b,2,2b
MG455409,2,2b,2,2b,2,2b,2,2b,2,2b
MG455410,2,2b,2,2b,2,2b,2,2b,2,2b
MG455412,2,2a,2,2a,2,2a,2,2a,2,2a
MG455414,2,2b,2,2b,2,2b,2,2b,2,2b
MG455417,2,2b,2,2b,2,2b,2,2b,2,2b
MG455418,2,2b,2,2b,2,2b,2,2b,2,2b
MG455419,2,2b,2,2b,2,2b,2,2b,2,2b
MG455420,2,2b,2,2b,2,2b,2,2b,2,2b
MG455422,2,2b,2,2b,2,2b,2,2b,2,2b
MG455423,2,2a,2,2a,2,2a,2,2a,2,2a
MG455425,2,2b,2,2b,2,2b,2,2b,2,2b
MG455426,2,2b,2,2b,2,2b,2,2b,2,2b
MG455428,2,2b,2,2b,2,2b,2,2b,2,2b
MG455429,2,2b,2,2b,2,2b,2,2b,2,2b
MG455430,2,2b,2,2b,2,2b,2,2b,2,2b
MG455431,2,2a,2,2a,2,2a,2,2a,2,2a
MG455432,2,2c,2,2c,2,2c,2,2c,2,2c
MG455434,2,2a,2,2a,2,2a,2,2a,2,2a
MG455436,2,2b,2,2b,2,2b,2,2b,2,2b
MG455438,2,2a,2,2a,2,2a,2,2a,2,2a
MG455439,2,2b,2,2b,2,2b,2,2b,2,2b
MG455440,2,2a,2,2a,2,2a,2,2a,2,2a
MG455442,2,2b,2,2b,2,2b,2,2b,2,2b
MG455445,1,1a,1,1a,1,1a,1,1a,1,1a
MG455448,2,2b,2,2b,2,2b,2,2b,2,2b
MG455449,2,2b,2,2b,2,2b,2,2b,2,2b
MG455450,2,2b,2,2b,2,2b,2,2b,2,2b
MG455452,2,2b,2,2b,2,2b,2,2b,2,2b
MG455455,2,2b,2,2b,2,2b,2,2b,2,2b
MG455459,2,2b,2,2b,2,2b,2,2b,2,2b
MG455460,2,2b,2,2b,2,2b,2,2b,2,2b
MG455461,2,2b,2,2b,2,2b,2,2b,2,2b
MG455462,2,2b,2,2b,2,2b,2,2b,2,2b
MG455463,2,2b,2,2b,2,2b,2,2b,2,2b
MG455464,2,2b,2,2b,2,2b,2,2b,2,2b
MG455468,2,2b,2,2b,2,2b,2,2b,2,2b
MG455470,2,2b,2,2b,2,2b,2,2b,2,2b
MG455473,2,2b,2,2b,2,2b,2,2b,2,2b
MG455474,2,2b,2,2b,2,2b,2,2b,2,2b
MG455479,2,2b,2,2b,2,2b,2,2b,2,2b
MG455481,2,2b,2,2b,2,2b,2,2b,2,2b
MG455490,2,2b,2,2b,2,2b,2,2b,2,2b
MG455492,2,2b,2,2b,2,2b,2,2b,2,2b
MG455496,2,2b,2,2b,2,2b,2,2b,2,2b
MG455497,2,2b,2,2b,2,2b,2,2b,2,2b
MG455499,2,2b,2,2b,2,2b,2,2b,2,2b
MG455500,2,2a,2,2a,2,2a,2,2a,2,2a
MG455502,2,2b,2,2b,2,2b,2,2b,2,2b
MG455503,2,2b,2,2b,2,2b,2,2b,2,2b
MG455504,2,2b,2,2b,2,2b,2,2b,2,2b
MG455506,2,2b,2,2b,2,2b,2,2b,2,2b
MG455508,2,2b,2,2b,2,2b,2,2b,2,2b
MG455509,2,2a,2,2a,2,2a,2,2a,2,2a
MG455511,2,2b,2,2b,2,2b,2,2b,2,2b
MG455512,2,2b,2,2b,2,2b,2,2b,2,2b
MG455518,2,2b,2,2b,2,2b,2,2b,2,2b
MG455520,2,2b,2,2b,2,2b,2,2b,2,2b
MG455522,2,2a,2,2a,2,2a,2,2a,2,2a
MG455526,3,3a,3,3a,3,3a,3,3a,3,3a
MG455529,3,3a,3,3a,3,3a,3,3a,3,3a
MG455530,3,3a,3,3a,3,3a,3,3a,3,3a
MG455531,3,3a,3,3a,3,3a,3,3a,3,3a
MG455534,3,3a,3,3a,3,3a,3,3a,3,3a
MG455535,3,3a,3,3a,3,3a,3,3a,3,3a
MG455536,3,3a,3,3a,3,3a,3,3a,3,3a
MG455538,3,3a,3,3a,3,3a,3,3a,3,3a
MG455539,3,3a,3,3a,3,3a,3,3a,3,3a
MG455540,3,3a,3,3a,3,3a,3,3a,3,3a
MG455541,3,3a,3,3a,3,3a,3,3a,3,3a
MG455544,3,3a,3,3a,3,3a,3,3a,3,3a
MG455545,3,3a,3,3a,3,3a,3,3a,3,3a
MG455546,3,3a,3,3a,3,3a,3,3a,3,3a
MG455547,3,3a,3,3a,3,3a,3,3a,3,3a
MG455548,3,3a,3,3a,3,3a,3,3a,3,3a
MG455549,3,3a,3,3a,3,3a,3,3a,3,3a
MG455551,3,3a,3,3a,3,3a,3,3a,3,3a
MG455552,3,3a,3,3a,3,3a,3,3a,3,3a
MG455553,3,3a,3,3a,3,3a,3,3a,3,3a
MG455554,3,3a,3,3a,3,3a,3,3a,3,3a
MG455556,3,3a,3,3a,3,3a,3,3a,3,3a
MG455557,3,3a,3,3a,3,3a,3,3a,3,3a
MG455558,3,3a,3,3a,3,3a,3,3a,3,3a
MG455559,3,3a,3,3a,3,3a,3,3a,3,3a
MG455560,3,3a,3,3a,3,3a,3,3a,3,3a
MG455561,3,3a,3,3a,3,3a,3,3a,3,3a
MG455562,3,3a,3,3a,3,3a,3,3a,3,3a
MG455563,3,3a,3,3a,3,3a,3,3a,3,3a
MG455566,3,3a,3,3a,3,3a,3,3a,3,3a
MG455567,3,3a,3,3a,3,3a,3,3a,3,3a
MG455568,3,3a,3,3a,3,3a,3,3a,3,3a
MG455569,3,3a,3,3a,3,3a,3,3a,3,3a
MG455572,3,3a,3,3a,3,3a,3,3a,3,3a
MG455574,3,3a,3,3a,3,3a,3,3a,3,3a
MG455575,3,3a,3,3a,3,3a,3,3a,3,3a
MG455576,3,3a,3,3a,3,3a,3,3a,3,3a
MG455577,3,3a,3,3a,3,3a,3,3a,3,3a
MG455578,3,3a,3,3a,3,3a,3,3a,3,3a
MG455579,3,3a,3,3a,3,3a,3,3a,3,3a
MG455581,3,3a,3,3a,3,3a,3,3a,3,3a
MG455582,3,3a,3,3a,3,3a,3,3a,3,3a
MG455583,3,3a,3,3a,3,3a,3,3a,3,3a
MG455584,3,3a,3,3a,3,3a,3,3a,3,3a
MG455585,3,3a,3,3a,3,3a,3,3a,3,3a
MG455586,3,3a,3,3a,3,3a,3,3a,3,3a
MG455588,3,3a,3,3a,3,3a,3,3a,3,3a
MG455589,3,3a,3,3a,3,3a,3,3a,3,3a
MG455590,3,3a,3,3a,3,3a,3,3a,3,3a
MG455591,3,3a,3,3a,3,3a,3,3a,3,3a
MG455592,3,3a,3,3a,3,3a,3,3a,3,3a
MG455593,3,3a,3,3a,3,3a,3,3a,3,3a
MG455594,3,3a,3,3a,3,3a,3,3a,3,3a
MG455595,3,3a,3,3a,3,3a,3,3a,3,3a
MG455596,3,3a,3,3a,3,3a,3,3a,3,3a
MG455598,3,3a,3,3a,3,3a,3,3a,3,3a
MG455600,3,3a,3,3a,3,3a,3,3a,3,3a
MG455601,3,3a,3,3a,3,3a,3,3a,3,3a
MG455602,3,3a,3,3a,3,3a,3,3a,3,3a
MG455603,3,3a,3,3a,3,3a,3,3a,3,3a
MG455604,3,3a,3,3a,3,3a,3,3a,3,3a
MG455605,3,3a,3,3a,3,3a,3,3a,3,3a
MG455609,3,3a,3,3a,3,3a,3,3a,3,3a
MG455611,3,3a,3,3a,3,3a,3,3a,3,3a
MG455613,3,3a,3,3a,3,3a,3,3a,3,3a
MG455614,3,3a,3,3a,3,3a,3,3a,3,3a
MG455615,3,3a,3,3a,3,3a,3,3a,3,3a
MG455617,3,3a,3,3a,3,3a,3,3a,3,3a
MG455620,3,3a,3,3a,3,3a,3,3a,3,3a
MG455621,3,3a,3,3a,3,3a,3,3a,3,3a
MG455622,3,3a,3,3a,3,3a,3,3a,3,3a
MG455623,3,3a,3,3a,3,3a,3,3a,3,3a
MG455624,3,3a,3,3a,3,3a,3,3a,3,3a
MG455625,3,3a,3,3a,3,3a,3,3a,3,3a
MG455626,3,3a,3,3a,3,3a,3,3a,3,3a
MG455627,3,3a,3,3a,3,3a,3,3a,3,3a
MG455630,3,3a,3,3a,3,3a,3,3a,3,3a
MG455631,3,3a,3,3a,3,3a,3,3a,3,3a
MG455632,3,3a,3,3a,3,3a,3,3a,3,3a
MG455633,3,3a,3,3a,3,3a,3,3a,3,3a
MG455634,3,3a,3,3a,3,3a,3,3a,3,3a
MG455635,3,3a,3,3a,3,3a,3,3a,3,3a
MG455636,3,3a,3,3a,3,3a,3,3a,3,3a
MG455637,3,3a,3,3a,3,3a,3,3a,3,3a
MG455638,3,3a,3,3a,3,3a,3,3a,3,3a
MG455639,3,3a,3,3a,3,3a,3,3a,3,3a
MG455642,3,3a,3,3a,3,3a,3,3a,3,3a
MG455644,3,3a,3,3a,3,3a,3,3a,3,3a
MG455645,3,3a,3,3a,3,3a,3,3a,3,3a
MG455646,3,3a,3,3a,3,3a,3,3a,3,3a
MG455650,3,3a,3,3a,3,3a,3,3a,3,3a
MG455653,3,3a,3,3a,3,3a,3,3a,3,3a
MG455654,3,3a,3,3a,3,3a,3,3a,3,3a
MG455655,3,3a,3,3a,3,3a,3,3a,3,3a
MG455656,3,3a,3,3a,3,3a,3,3a,3,3a
MG455657,3,3a,3,3a,3,3a,3,3a,3,3a
MG455659,3,3a,3,3a,3,3a,3,3a,3,3a
MG455663,3,3a,3,3a,3,3a,3,3a,3,3a
MG455667,3,3a,3,3a,3,3a,3,3a,3,3a
MG455668,3,3a,3,3a,3,3a,3,3a,3,3a
MG455670,3,3a,3,3a,3,3a,3,3a,3,3a
MG455671,3,3a,3,3a,3,3a,3,3a,3,3a
MG455674,3,3a,3,3a,3,3a,3,3a,3,3a
MG455675,3,3a,3,3a,3,3a,3,3a,3,3a
MG455676,3,3a,3,3a,3,3a,3,3a,3,3a
MG455677,3,3a,3,3a,3,3a,3,3a,3,3a
MG455678,3,3a,3,3a,3,3a,3,3a,3,3a
MG455679,3,3a,3,3a,3,3a,3,3a,3,3a
MG455682,3,3a,3,3a,3,3a,3,3a,3,3a
MG455683,3,3a,3,3a,3,3a,3,3a,3,3a
MG455684,3,3a,3,3a,3,3a,3,3a,3,3a
MG455685,3,3a,3,3a,3,3a,3,3a,3,3a
MG455686,3,3a,3,3a,3,3a,3,3a,3,3a
MG455687,3,3a,3,3a,3,3a,3,3a,3,3a
MG455688,3,3a,3,3a,3,3a,3,3a,3,3a
MG455690,3,3a,3,3a,3,3a,3,3a,3,3a
MG455691,3,3a,3,3a,3,3a,3,3a,3,3a
MG455694,3,3a,3,3a,3,3a,3,3a,3,3a
MG455695,3,3a,3,3a,3,3a,3,3a,3,3a
MG455696,3,3a,3,3a,3,3a,3,3a,3,3a
MG455697,3,3a,3,3a,3,3a,3,3a,3,3a
MG455698,3,3a,3,3a,3,3a,3,3a,3,3a
MG455700,3,3a,3,3a,3,3a,3,3a,3,3a
MG455704,3,3a,3,3a,3,3a,3,3a,3,3a
MG455705,3,3a,3,3a,3,3a,3,3a,3,3a
MG455706,3,3a,3,3a,3,3a,3,3a,3,3a
MG455707,3,3a,3,3a,3,3a,3,3a,3,3a
MG455708,3,3a,3,3a,3,3a,3,3a,3,3a
MG455711,3,3a,3,3a,3,3a,3,3a,3,3a
MG455712,3,3a,3,3a,3,3a,3,3a,3,3a
MG455714,3,3a,3,3a,3,3a,3,3a,3,3a
MG455715,3,3a,3,3a,3,3a,3,3a,3,3a
MG455717,3,3a,3,3a,3,3a,3,3a,3,3a
MG455721,3,3a,3,3a,3,3a,3,3a,3,3a
MG455722,3,3a,3,3a,3,3a,3,3a,3,3a
MG455723,3,3a,3,3a,3,3a,3,3a,3,3a
MG455724,3,3a,3,3a,3,3a,3,3a,3,3a
MG455725,3,3a,3,3a,3,3a,3,3a,3,3a
MG455727,3,3a,3,3a,3,3a,3,3a,3,3a
MG455728,3,3a,3,3a,3,3a,3,3a,3,3a
MG455729,3,3a,3,3a,3,3a,3,3a,3,3a
MG455732,3,3a,3,3a,3,3a,3,3a,3,3a
MG455735,3,3a,3,3a,3,3a,3,3a,3,3a
MG455737,3,3a,3,3a,3,3a,3,3a,3,3a
MG455739,3,3a,3,3a,3,3a,3,3a,3,3a
MG455740,3,3a,3,3a,3,3a,3,3a,3,3a
MG455741,3,3a,3,3a,3,3a,3,3a,3,3a
MG455742,3,3a,3,3a,3,3a,3,3a,3,3a
MG455744,3,3a,3,3a,3,3a,3,3a,3,3a
MG455745,3,3a,3,3a,3,3a,3,3a,3,3a
MG455746,3,3a,3,3a,3,3a,3,3a,3,3a
MG455747,3,3a,3,3a,3,3a,3,3a,3,3a
MG455749,3,3a,3,3a,3,3a,3,3a,3,3a
MG455750,3,3a,3,3a,3,3a,3,3a,3,3a
MG455753,3,3a,3,3a,3,3a,3,3a,3,3a
MG455755,3,3a,3,3a,3,3a,3,3a,3,3a
MG455756,3,3a,3,3a,3,3a,3,3a,3,3a
MG455758,3,3a,3,3a,3,3a,3,3a,3,3a
MG455759,3,3a,3,3a,3,3a,3,3a,3,3a
MG455760,3,3b,3,3b,3,3b,3,3b,3,3b
MG455762,3,3a,3,3a,3,3a,3,3a,3,3a
MG455763,3,3a,3,3a,3,3a,3,3a,3,3a
MG455765,3,3a,3,3a,3,3a,3,3a,3,3a
MG455766,3,3a,3,3a,3,3a,3,3a,3,3a
MG455767,3,3a,3,3a,3,3a,3,3a,3,3a
MG455768,3,3a,3,3a,3,3a,3,3a,3,3a
MG455769,3,3a,3,3a,3,3a,3,3a,3,3a
MG455771,3,3a,3,3a,3,3a,3,3a,3,3a
MG455772,3,3a,3,3a,3,3a,3,3a,3,3a
MG455774,3,3a,3,3a,3,3a,3,3a,3,3a
MG455778,3,3a,3,3a,3,3a,3,3a,3,3a
MG455781,3,3a,3,3a,3,3a,3,3a,3,3a
MG455782,3,3a,3,3a,3,3a,3,3a,3,3a
MG455783,3,3a,3,3a,3,3a,3,3a,3,3a
MG455784,3,3a,3,3a,3,3a,3,3a,3,3a
MG455785,3,3a,3,3a,3,3a,3,3a,3,3a
MG455791,3,3a,3,3a,3,3a,3,3a,3,3a
MG455792,3,3a,3,3a,3,3a,3,3a,3,3a
MG455793,3,3a,3,3a,3,3a,3,3a,3,3a
MG455794,3,3a,3,3a,3,3a,3,3a,3,3a
MG455795,3,3a,3,3a,3,3a,3,3a,3,3a
MG455796,3,3b,3,3b,3,3b,3,3b,3,3b
MG455798,3,3a,3,3a,3,3a,3,3a,3,3a
MG455800,3,3a,3,3a,3,3a,3,3a,3,3a
MG455801,3,3a,3,3a,3,3a,3,3a,3,3a
MG455802,3,3a,3,3a,3,3a,3,3a,3,3a
MG455803,3,3a,3,3a,3,3a,3,3a,3,3a
MG455806,3,3a,3,3a,3,3a,3,3a,3,3a
MG455807,3,3a,3,3a,3,3a,3,3a,3,3a
MG455808,3,3a,3,3a,3,3a,3,3a,3,3a
MG455809,3,3a,3,3a,3,3a,3,3a,3,3a
MG455811,2,2a,2,2a,2,2a,2,2a,2,2a
MG455812,2,2b,2,2b,2,2b,2,2b,2,2b
MG455813,1,1b,1,1b,1,1b,1,1b,1,1b
MG455815,1,1a,1,1a,1,1a,1,1a,1,1a
MG455816,2,2b,2,2b,2,2b,2,2b,2,2b
MG455817,4,4a,4,4a,4,4a,4,4a,4,4a
MG455819,1,1a,1,1a,1,1a,1,1a,1,1a
MG455820,1,1a,1,1a,1,1a,1,1a,1,1a
MG455823,1,1a,1,1a,1,1a,1,1a,1,1a
MG455826,1,1a,1,1a,1,1a,1,1a,1,1a
MG455827,2,2a,2,2a,2,2a,2,2a,2,2a
MG455828,1,1a,1,1a,1,1a,1,1a,1,1a
MG455829,3,3a,3,3a,3,3a,3,3a,3,3a
MG455830,3,3a,3,3a,3,3a,3,3a,3,3a
MG455832,1,1a,1,1a,1,1a,1,1a,1,1a
MG455833,1,1a,1,1a,1,1a,1,1a,1,1a
MG455836,3,3a,3,3a,3,3a,3,3a,3,3a
