Accession,PerGeneGenotype,PerGeneSubtype,PerGeneClosestSubtypeAlignedNT,FullSeqGenotype,FullSeqSubtype,FullSeqClosestSubtypeAlignedNT,CometPerGeneGenotype,CometPerGeneSubtype,CometFullSeqGenotype,CometFullSeqSubtype,GenBankGenotype,GenBankSubtype
FJ864760,1,1b,1892,1,1b,1908,1,1b,1,1b,1,1b
FJ864761,1,1b,1892,1,1b,1908,1,1b,1,1b,1,1b
FJ864762,1,1b,1892,1,1b,1907,1,1b,1,1b,1,1b
FJ864763,1,1b,1892,1,1b,1907,1,1b,1,1b,1,1b
FJ864764,1,1b,1892,1,1b,1908,1,1b,1,1b,1,1b
FJ864765,1,1b,1892,1,1b,1907,1,1b,1,1b,1,1b
FJ864766,1,1b,1892,1,1b,1907,1,1b,1,1b,1,1b
FJ864767,1,1b,1893,1,1b,1907,1,1b,1,1b,1,1b
FJ864768,1,1b,1892,1,1b,1907,1,1b,1,1b,1,1b
FJ864769,1,1b,1892,1,1b,1907,1,1b,1,1b,1,1b
FJ864770,1,1b,1892,1,1b,1907,1,1b,1,1b,1,1b
FJ864771,1,1b,1892,1,1b,1908,1,1b,1,1b,1,1b
FJ864772,1,1b,1892,1,1b,1908,1,1b,1,1b,1,1b
FJ864773,1,1b,1892,1,1b,1908,1,1b,1,1b,1,1b
FJ864774,1,1b,1892,1,1b,1908,1,1b,1,1b,1,1b
FJ864775,3,3a,1895,3,3a,1895,3,3a,3,3a,3,3a
FJ864776,3,3a,1894,3,3a,1894,3,3a,3,3a,3,3a
FJ864777,3,3a,1894,3,3a,1894,3,3a,3,3a,3,3a
FJ864778,3,3a,1895,3,3a,1895,3,3a,3,3a,3,3a
FJ864779,3,3a,1895,3,3a,1895,3,3a,3,3a,3,3a
FJ864780,3,3a,1895,3,3a,1895,3,3a,3,3a,3,3a
FJ864781,3,3a,1894,3,3a,1894,3,3a,3,3a,3,3a
FJ864782,3,3a,1893,3,3a,1893,3,3a,3,3a,3,3a
FJ864784,3,3a,1895,3,3a,1895,3,3a,3,3a,3,3a
FJ864786,3,3a,1895,3,3a,1895,3,3a,3,3a,3,3a
FJ864787,3,3a,1895,3,3a,1895,3,3a,3,3a,3,3a
FJ864788,3,3a,1894,3,3a,1894,3,3a,3,3a,3,3a
FJ864789,3,3a,1895,3,3a,1895,3,3a,3,3a,3,3a
FJ864791,3,3a,1894,3,3a,1894,3,3a,3,3a,3,3a
FJ864792,3,3a,1895,3,3a,1895,3,3a,3,3a,3,3a
FJ864793,3,3a,1895,3,3a,1895,3,3a,3,3a,3,3a
FJ864794,3,3a,1895,3,3a,1895,3,3a,3,3a,3,3a
FJ864795,3,3a,1895,3,3a,1895,3,3a,3,3a,3,3a
FJ864796,3,3a,1895,3,3a,1895,3,3a,3,3a,3,3a
FJ864797,3,3a,1895,3,3a,1895,3,3a,3,3a,3,3a
FJ864798,3,3a,1895,3,3a,1895,3,3a,3,3a,3,3a
FJ864799,3,3a,1893,3,3a,1893,3,3a,3,3a,3,3a
FJ864800,3,3a,1895,3,3a,1895,3,3a,3,3a,3,3a
FJ864801,3,3a,1893,3,3a,1893,3,3a,3,3a,3,3a
FJ864803,3,3a,1895,3,3a,1895,3,3a,3,3a,3,3a
FJ864804,3,3a,1895,3,3a,1895,3,3a,3,3a,3,3a
FJ864805,3,3a,1895,3,3a,1895,3,3a,3,3a,3,3a
FJ864806,3,3a,1895,3,3a,1895,3,3a,3,3a,3,3a
FJ864808,3,3a,1895,3,3a,1895,3,3a,3,3a,3,3a
FJ864809,3,3a,1894,3,3a,1894,3,3a,3,3a,3,3a
FJ864810,3,3a,1893,3,3a,1893,3,3a,3,3a,3,3a
FJ864811,3,3a,1895,3,3a,1895,3,3a,3,3a,3,3a
FJ864812,3,3a,1893,3,3a,1893,3,3a,3,3a,3,3a
FJ864813,3,3a,1895,3,3a,1895,3,3a,3,3a,3,3a
FJ864814,3,3a,1893,3,3a,1893,3,3a,3,3a,3,3a
FJ864815,3,3a,1893,3,3a,1893,3,3a,3,3a,3,3a
FN666428,2,2q,1884,2,2q,9566,2,2q,2,2q,,
FN666429,2,2q,1884,2,2q,9398,2,2q,2,2q,,
GQ356200,3,3a,1894,3,3a,8791,3,3a,3,3a,3,3a
GQ356201,3,3a,1894,3,3a,8796,3,3a,3,3a,3,3a
GQ356202,3,3a,1894,3,3a,8992,3,3a,3,3a,3,3a
GQ356203,3,3a,1895,3,3a,8805,3,3a,3,3a,3,3a
GQ356204,3,3a,1894,3,3a,8803,3,3a,3,3a,3,3a
GQ356205,3,3a,1894,3,3a,8798,3,3a,3,3a,3,3a
GQ356206,3,3a,1894,3,3a,9092,3,3a,3,3a,3,3a
GQ356207,3,3a,1895,3,3a,8794,3,3a,3,3a,3,3a
GQ356208,3,3a,1894,3,3a,8799,3,3a,3,3a,3,3a
GQ356209,3,3a,1894,3,3a,8798,3,3a,3,3a,3,3a
GQ356210,3,3a,1894,3,3a,8805,3,3a,3,3a,3,3a
GQ356211,3,3a,1893,3,3a,8804,3,3a,3,3a,3,3a
GQ356212,3,3a,1893,3,3a,8807,3,3a,3,3a,3,3a
GQ356213,3,3a,1895,3,3a,8798,3,3a,3,3a,3,3a
GQ356214,3,3a,1894,3,3a,8807,3,3a,3,3a,3,3a
GQ356215,3,3a,1893,3,3a,8803,3,3a,3,3a,3,3a
GQ356216,3,3a,1895,3,3a,8791,3,3a,3,3a,3,3a
GQ356217,3,3a,1894,3,3a,8804,3,3a,3,3a,3,3a
GU117916,1,1a,573,1,1a,718,1,1a,1,1a,1,1a
GU126553,1,1a,605,1,1a,713,1,1a,1,1a,1,1a
GU126554,1,1a,605,1,1a,713,1,1a,1,1a,1,1a
GU126555,1,1a,605,1,1a,713,1,1a,1,1a,1,1a
GU126556,1,1a,605,1,1a,713,1,1a,1,1a,1,1a
GU126557,1,1a,605,1,1a,713,1,1a,1,1a,1,1a
GU126558,1,1a,605,1,1a,713,1,1a,1,1a,1,1a
GU126559,1,1a,605,1,1a,713,1,1a,1,1a,1,1a
GU126560,1,1a,606,1,1a,714,1,1a,1,1a,1,1a
GU126561,1,1a,605,1,1a,713,1,1a,1,1a,1,1a
GU126562,1,1a,605,1,1a,713,1,1a,1,1a,1,1a
GU126563,1,1a,605,1,1a,713,1,1a,1,1a,1,1a
GU126564,1,1a,605,1,1a,713,1,1a,1,1a,1,1a
GU126565,1,1a,605,1,1a,713,1,1a,1,1a,1,1a
GU126566,1,1a,605,1,1a,713,1,1a,1,1a,1,1a
GU126567,1,1a,605,1,1a,713,1,1a,1,1a,1,1a
GU126568,1,1a,603,1,1a,711,1,1a,1,1a,1,1a
GU126569,1,1a,605,1,1a,713,1,1a,1,1a,1,1a
GU126570,1,1a,605,1,1a,713,1,1a,1,1a,1,1a
GU126571,1,1a,605,1,1a,713,1,1a,1,1a,1,1a
GU126572,1,1a,605,1,1a,713,1,1a,1,1a,1,1a
GU126573,1,1a,605,1,1a,713,1,1a,1,1a,1,1a
GU126574,1,1a,605,1,1a,713,1,1a,1,1a,1,1a
GU126575,1,1a,605,1,1a,713,1,1a,1,1a,1,1a
GU126576,1,1a,605,1,1a,713,1,1a,1,1a,1,1a
GU126577,1,1a,605,1,1a,713,1,1a,1,1a,1,1a
GU126578,1,1a,605,1,1a,713,1,1a,1,1a,1,1a
GU126579,1,1a,605,1,1a,713,1,1a,1,1a,1,1a
GU126580,1,1a,605,1,1a,713,1,1a,1,1a,1,1a
GU126581,1,1a,605,1,1a,713,1,1a,1,1a,1,1a
GU126582,1,1a,605,1,1a,713,1,1a,1,1a,1,1a
GU126583,1,1a,605,1,1a,713,1,1a,1,1a,1,1a
GU126584,1,1a,605,1,1a,713,1,1a,1,1a,1,1a
GU126585,1,1a,605,1,1a,713,1,1a,1,1a,1,1a
GU126586,1,1a,605,1,1a,713,1,1a,1,1a,1,1a
GU126587,1,1a,605,1,1a,713,1,1a,1,1a,1,1a
GU126588,1,1a,605,1,1a,713,1,1a,1,1a,1,1a
GU126589,1,1a,605,1,1a,713,1,1a,1,1a,1,1a
GU126590,1,1a,605,1,1a,713,1,1a,1,1a,1,1a
GU126591,1,1a,605,1,1a,713,1,1a,1,1a,1,1a
GU126592,1,1a,605,1,1a,713,1,1a,1,1a,1,1a
GU126593,1,1a,605,1,1a,713,1,1a,1,1a,1,1a
GU126594,1,1a,605,1,1a,713,1,1a,1,1a,1,1a
GU126595,1,1a,605,1,1a,713,1,1a,1,1a,1,1a
GU126596,1,1a,605,1,1a,713,1,1a,1,1a,1,1a
GU126597,1,1a,605,1,1a,713,1,1a,1,1a,1,1a
GU126598,1,1a,605,1,1a,713,1,1a,1,1a,1,1a
GU126599,1,1a,605,1,1a,713,1,1a,1,1a,1,1a
GU126600,1,1a,605,1,1a,713,1,1a,1,1a,1,1a
GU126601,1,1b,605,1,1b,713,1,1b,1,1b,1,1b
GU126602,1,1b,605,1,1b,713,1,1b,1,1b,1,1b
GU126603,1,1b,603,1,1b,713,1,1b,1,1b,1,1b
GU126604,1,1b,602,1,1b,710,1,1b,1,1b,1,1b
GU126605,1,1b,604,1,1b,712,1,1b,1,1b,1,1b
GU126606,1,1b,605,1,1b,713,1,1b,1,1b,1,1b
GU126607,1,1b,602,1,1b,712,1,1b,1,1b,1,1b
GU126609,1,1b,605,1,1b,713,1,1b,1,1b,1,1b
GU126610,1,1b,605,1,1b,713,1,1b,1,1b,1,1b
GU126611,1,1b,605,1,1b,713,1,1b,1,1b,1,1b
GU126612,1,1b,605,1,1b,713,1,1b,1,1b,1,1b
GU126613,1,1b,605,1,1b,711,1,1b,1,1b,1,1b
GU126614,1,1b,605,1,1b,713,1,1b,1,1b,1,1b
GU126615,1,1b,605,1,1b,713,1,1b,1,1b,1,1b
GU126616,1,1b,603,1,1b,713,1,1b,1,1b,1,1b
GU126617,1,1b,605,1,1b,710,1,1b,1,1b,1,1b
GU126618,1,1b,605,1,1b,713,1,1b,1,1b,1,1b
GU126619,1,1b,605,1,1b,713,1,1b,1,1b,1,1b
GU126620,1,1b,603,1,1b,711,1,1b,1,1b,1,1b
GU126621,1,1b,605,1,1b,713,1,1b,1,1b,1,1b
GU126622,1,1b,602,1,1b,711,1,1b,1,1b,1,1b
GU126623,1,1b,605,1,1b,711,1,1b,1,1b,1,1b
GU126624,1,1b,605,1,1b,713,1,1b,1,1b,1,1b
GU126625,1,1b,605,1,1b,711,1,1b,1,1b,1,1b
GU126626,1,1b,603,1,1b,713,1,1b,1,1b,1,1b
GU126627,1,1b,605,1,1b,712,1,1b,1,1b,1,1b
GU126628,1,1b,605,1,1b,713,1,1b,1,1b,1,1b
GU126629,1,1b,605,1,1b,713,1,1b,1,1b,1,1b
GU126630,1,1b,605,1,1b,713,1,1b,1,1b,1,1b
GU126631,1,1b,605,1,1b,713,1,1b,1,1b,1,1b
GU126632,1,1b,603,1,1b,711,1,1b,1,1b,1,1b
GU126633,1,1b,602,1,1b,713,1,1b,1,1b,1,1b
GU126634,1,1b,603,1,1b,711,1,1b,1,1b,1,1b
GU126635,1,1b,605,1,1b,711,1,1b,1,1b,1,1b
GU126636,1,1b,605,1,1b,710,1,1b,1,1b,1,1b
GU126637,1,1b,605,1,1b,711,1,1b,1,1b,1,1b
GU126638,1,1b,603,1,1b,711,1,1b,1,1b,1,1b
GU126639,1,1b,602,1,1b,710,1,1b,1,1b,1,1b
GU126640,1,1b,603,1,1b,710,1,1b,1,1b,1,1b
GU126641,1,1b,605,1,1b,711,1,1b,1,1b,1,1b
GU126642,1,1b,603,1,1b,711,1,1b,1,1b,1,1b
GU126643,1,1b,603,1,1b,711,1,1b,1,1b,1,1b
GU126644,1,1b,603,1,1b,711,1,1b,1,1b,1,1b
GU126645,1,1b,605,1,1b,713,1,1b,1,1b,1,1b
GU126646,1,1b,603,1,1b,711,1,1b,1,1b,1,1b
GU126647,1,1b,605,1,1b,713,1,1b,1,1b,1,1b
GU126648,1,1b,605,1,1b,713,1,1b,1,1b,1,1b
GU126649,1,1b,605,1,1b,713,1,1b,1,1b,1,1b
GU126650,1,1b,605,1,1b,713,1,1b,1,1b,1,1b
GU126651,1,1b,605,1,1b,713,1,1b,1,1b,1,1b
GU126652,1,1b,602,1,1b,710,1,1b,1,1b,1,1b
GU126653,1,1b,603,1,1b,711,1,1b,1,1b,1,1b
GU126654,3,3a,605,3,3a,713,3,3a,3,3a,3,3a
GU126655,3,3a,605,3,3a,713,3,3a,3,3a,3,3a
GU126656,3,3a,605,3,3a,713,3,3a,3,3a,3,3a
GU126657,3,3a,605,3,3a,713,3,3a,3,3a,3,3a
GU126658,3,3a,605,3,3a,713,3,3a,3,3a,3,3a
GU126659,3,3a,605,3,3a,713,3,3a,3,3a,3,3a
GU126660,3,3a,605,3,3a,713,3,3a,3,3a,3,3a
GU126661,3,3a,605,3,3a,713,3,3a,3,3a,3,3a
GU126662,3,3a,605,3,3a,713,3,3a,3,3a,3,3a
GU126663,3,3a,605,3,3a,713,3,3a,3,3a,3,3a
GU126664,3,3a,605,3,3a,713,3,3a,3,3a,3,3a
GU126665,3,3a,605,3,3a,713,3,3a,3,3a,3,3a
GU126666,3,3a,605,3,3a,713,3,3a,3,3a,3,3a
OM312065,1,1a,543,1,1a,543,1,1a,1,1a,1,1a
OM312067,1,1a,543,1,1a,543,1,1a,1,1a,1,1a
OM312069,1,1a,543,1,1a,543,1,1a,1,1a,1,1a
OM312070,1,1a,543,1,1a,543,1,1a,1,1a,1,1a
OM312071,1,1a,543,1,1a,543,1,1a,1,1a,1,1a
OM312073,1,1a,543,1,1a,543,1,1a,1,1a,1,1a
OM312075,1,1a,543,1,1a,543,1,1a,1,1a,1,1a
OM312076,1,1a,543,1,1a,543,1,1a,1,1a,1,1a
OM312077,1,1a,543,1,1a,543,1,1a,1,1a,1,1a
OM312080,1,1a,543,1,1a,543,1,1a,1,1a,1,1a
OM312081,1,1a,543,1,1a,543,1,1a,1,1a,1,1a
OM312082,1,1a,543,1,1a,543,1,1a,1,1a,1,1a
OM312083,1,1a,543,1,1a,543,1,1a,1,1a,1,1a
OM312084,1,1a,543,1,1a,543,1,1a,1,1a,1,1a
OM312085,1,1a,543,1,1a,543,1,1a,1,1a,1,1a
OM312087,1,1a,543,1,1a,543,1,1a,1,1a,1,1a
OM312088,1,1a,543,1,1a,543,1,1a,1,1a,1,1a
OM312089,1,1a,543,1,1a,543,1,1a,1,1a,1,1a
OM312090,1,1a,543,1,1a,543,1,1a,1,1a,1,1a
OM312091,1,1a,543,1,1a,543,1,1a,1,1a,1,1a
OM312097,1,1a,543,1,1a,543,1,1a,1,1a,1,1a
OM312098,1,1a,543,1,1a,543,1,1a,1,1a,1,1a
OM312099,1,1a,543,1,1a,543,1,1a,1,1a,1,1a
OM312100,1,1a,543,1,1a,543,1,1a,1,1a,1,1a
OM312103,1,1a,543,1,1a,543,1,1a,1,1a,1,1a
OM312106,1,1a,543,1,1a,543,1,1a,1,1a,1,1a
OM312111,1,1a,543,1,1a,543,1,1a,1,1a,1,1a
OM312112,1,1a,543,1,1a,543,1,1a,1,1a,1,1a
OM312113,1,1a,542,1,1a,542,1,1a,1,1a,1,1a
OM312114,1,1a,543,1,1a,543,1,1a,1,1a,1,1a
OM312115,1,1a,543,1,1a,543,1,1a,1,1a,1,1a
OM312117,1,1a,543,1,1a,543,1,1a,1,1a,1,1a
OM312118,1,1a,543,1,1a,543,1,1a,1,1a,1,1a
OM312120,1,1a,543,1,1a,543,1,1a,1,1a,1,1a
OM312121,1,1a,543,1,1a,543,1,1a,1,1a,1,1a
OM312122,1,1a,543,1,1a,543,1,1a,1,1a,1,1a
OM312123,1,1a,543,1,1a,543,1,1a,1,1a,1,1a
OM312124,1,1a,543,1,1a,543,1,1a,1,1a,1,1a
OM312125,1,1a,543,1,1a,543,1,1a,1,1a,1,1a
OM312126,1,1a,543,1,1a,543,1,1a,1,1a,1,1a
OM312127,1,1a,543,1,1a,543,1,1a,1,1a,1,1a
OM312128,1,1a,543,1,1a,543,1,1a,1,1a,1,1a
OM312129,1,1a,543,1,1a,543,1,1a,1,1a,1,1a
OM312131,1,1a,543,1,1a,543,1,1a,1,1a,1,1a
OM312132,1,1a,543,1,1a,543,1,1a,1,1a,1,1a
OM312133,1,1a,543,1,1a,543,1,1a,1,1a,1,1a
OM312134,1,1a,543,1,1a,543,1,1a,1,1a,1,1a
OM312135,1,1a,542,1,1a,542,1,1a,1,1a,1,1a
OM312140,1,1a,542,1,1a,542,1,1a,1,1a,1,1a
OM312141,1,1a,543,1,1a,543,1,1a,1,1a,1,1a
OM312142,1,1a,543,1,1a,543,1,1a,1,1a,1,1a
OM312146,1,1a,543,1,1a,543,1,1a,1,1a,1,1a
OM312147,1,1a,543,1,1a,543,1,1a,1,1a,1,1a
OM312148,1,1a,543,1,1a,543,1,1a,1,1a,1,1a
OM312149,1,1a,543,1,1a,543,1,1a,1,1a,1,1a
OM312151,1,1a,543,1,1a,543,1,1a,1,1a,1,1a
OM312152,1,1a,543,1,1a,543,1,1a,1,1a,1,1a
OM312153,1,1a,543,1,1a,543,1,1a,1,1a,1,1a
OM312157,1,1a,543,1,1a,543,1,1a,1,1a,1,1a
OM312158,1,1a,543,1,1a,543,1,1a,1,1a,1,1a
OM312160,1,1a,543,1,1a,543,1,1a,1,1a,1,1a
OM312161,1,1a,543,1,1a,543,1,1a,1,1a,1,1a
OM312163,1,1a,543,1,1a,543,1,1a,1,1a,1,1a
OM312164,1,1a,542,1,1a,542,1,1a,1,1a,1,1a
OM312165,1,1a,543,1,1a,543,1,1a,1,1a,1,1a
OM312166,1,1a,543,1,1a,543,1,1a,1,1a,1,1a
OM312168,1,1a,543,1,1a,543,1,1a,1,1a,1,1a
OM312172,1,1a,543,1,1a,543,1,1a,1,1a,1,1a
OM312173,1,1a,543,1,1a,543,1,1a,1,1a,1,1a
OM312175,1,1b,543,1,1b,543,1,1b,1,1b,1,1b
OM312176,1,1b,543,1,1b,543,1,1b,1,1b,1,1b
OM312179,1,1b,543,1,1b,543,1,1b,1,1b,1,1b
OM312182,1,1b,543,1,1b,543,1,1b,1,1b,1,1b
OM312183,1,1b,542,1,1b,542,1,1b,1,1b,1,1b
OM312185,1,1b,542,1,1b,542,1,1b,1,1b,1,1b
OM312186,1,1b,542,1,1b,542,1,1b,1,1b,1,1b
OM312187,1,1b,542,1,1b,542,1,1b,1,1b,1,1b
OM312189,1,1b,542,1,1b,542,1,1b,1,1b,1,1b
OM312190,1,1b,543,1,1b,543,1,1b,1,1b,1,1b
OM312191,1,1b,542,1,1b,542,1,1b,1,1b,1,1b
OM312192,1,1b,542,1,1b,542,1,1b,1,1b,1,1b
OM312193,1,1b,542,1,1b,542,1,1b,1,1b,1,1b
OM312194,1,1b,542,1,1b,542,1,1b,1,1b,1,1b
OM312196,1,1b,542,1,1b,542,1,1b,1,1b,1,1b
OM312197,1,1b,542,1,1b,542,1,1b,1,1b,1,1b
OM312198,1,1b,542,1,1b,542,1,1b,1,1b,1,1b
OM312200,1,1b,542,1,1b,542,1,1b,1,1b,1,1b
OM312201,1,1b,543,1,1b,543,1,1b,1,1b,1,1b
OM312202,1,1b,542,1,1b,542,1,1b,1,1b,1,1b
OM312203,1,1b,543,1,1b,543,1,1b,1,1b,1,1b
OM312204,1,1b,542,1,1b,542,1,1b,1,1b,1,1b
OM312205,1,1b,542,1,1b,542,1,1b,1,1b,1,1b
OM312206,1,1b,543,1,1b,543,1,1b,1,1b,1,1b
OM312208,1,1b,542,1,1b,542,1,1b,1,1b,1,1b
OM312210,1,1b,542,1,1b,542,1,1b,1,1b,1,1b
OM312211,1,1b,542,1,1b,542,1,1b,1,1b,1,1b
OM312212,1,1b,543,1,1b,543,1,1b,1,1b,1,1b
OM312213,1,1b,542,1,1b,542,1,1b,1,1b,1,1b
OM312214,1,1b,542,1,1b,542,1,1b,1,1b,1,1b
OM312215,1,1b,543,1,1b,543,1,1b,1,1b,1,1b
OM312216,1,1b,543,1,1b,543,1,1b,1,1b,1,1b
OM312217,1,1b,542,1,1b,542,1,1b,1,1b,1,1b
OM312218,1,1b,542,1,1b,542,1,1b,1,1b,1,1b
OM312219,1,1b,542,1,1b,542,1,1b,1,1b,1,1b
OM312220,1,1b,542,1,1b,542,1,1b,1,1b,1,1b
OM312221,1,1b,542,1,1b,542,1,1b,1,1b,1,1b
OM312223,1,1b,543,1,1b,543,1,1b,1,1b,1,1b
OM312225,1,1b,542,1,1b,542,1,1b,1,1b,1,1b
OM312228,1,1b,542,1,1b,542,1,1b,1,1b,1,1b
OM312230,1,1b,542,1,1b,542,1,1b,1,1b,1,1b
OM312231,1,1b,542,1,1b,542,1,1b,1,1b,1,1b
OM312232,1,1b,542,1,1b,542,1,1b,1,1b,1,1b
OM312233,1,1b,543,1,1b,543,1,1b,1,1b,1,1b
OM312235,1,1b,542,1,1b,542,1,1b,1,1b,1,1b
OM312236,1,1b,542,1,1b,542,1,1b,1,1b,1,1b
OM312237,1,1b,543,1,1b,543,1,1b,1,1b,1,1b
OM312243,1,1b,542,1,1b,542,1,1b,1,1b,1,1b
OM312244,1,1b,542,1,1b,542,1,1b,1,1b,1,1b
OM312246,1,1b,543,1,1b,543,1,1b,1,1b,1,1b
OM312248,1,1b,544,1,1b,544,1,1b,1,1b,1,1b
OM312250,1,1b,542,1,1b,542,1,1b,1,1b,1,1b
OM312251,1,1b,542,1,1b,542,1,1b,1,1b,1,1b
OM312254,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312256,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312257,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312258,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312260,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312262,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312264,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312266,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312267,3,3a,542,3,3a,542,3,3a,3,3a,3,3a
OM312268,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312269,3,3a,542,3,3a,542,3,3a,3,3a,3,3a
OM312270,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312272,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312273,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312274,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312275,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312277,3,3a,542,3,3a,542,3,3a,3,3a,3,3a
OM312278,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312280,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312281,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312283,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312284,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312285,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312287,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312288,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312290,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312291,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312292,3,3a,542,3,3a,542,3,3a,3,3a,3,3a
OM312293,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312294,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312295,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312297,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312298,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312300,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312301,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312302,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312303,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312304,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312305,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312306,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312309,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312310,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312311,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312312,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312313,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312314,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312315,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312316,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312318,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312320,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312321,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312322,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312323,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312324,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312325,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312326,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312327,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312328,3,3a,542,3,3a,542,3,3a,3,3a,3,3a
OM312329,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312330,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312332,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312333,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312334,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312335,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312337,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312339,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312340,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312341,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312346,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312347,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312348,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312349,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312350,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312351,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312352,3,3a,542,3,3a,542,3,3a,3,3a,3,3a
OM312353,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312354,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312355,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312357,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312359,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312360,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
OM312363,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
JX183549,6,6xi,1893,8,8a,9292,6,6l,6,6k,6,6k-related
JX183550,6,6xi,1893,6,6k,9463,6,6l,6,6l,6,6k-related
JX183551,6,6xb,1893,6,6xb,9414,6,6l,6,6l,6,6k-related
JX183552,6,6xb,1892,6,6xb,9533,6,6l,6,6l,6,6k-related
JX183553,6,6l,1892,6,6l,9462,6,6l,6,6l,6,6l-related
JX183554,6,6l,1886,8,8a,9277,6,6l,6,6l,6,6l-related
JX183556,6,6l,1893,6,6l,9416,6,6l,6,6l,6,6l
JX183557,6,6xe,1893,6,6xe,9460,6,6n,6,6n,,
JX183558,6,6j,1892,6,6j,9460,6,6j,6,6j,,
JX227949,2,2c,1884,2,2c,9316,2,2c,2,2c,,
JX227950,2,2c,1884,2,2c,9139,2,2c,2,2c,,
